,QUARTER,TIME_REMAINING,NEW YORK_ACTION,WASHINGTON_ACTION,NEW YORK_SCORE,WASHINGTON_SCORE
0,1,11:35.0,,M. Gortat misses 2-pt jump shot from 13 ft,0,0
1,1,11:34.0,Defensive rebound by K. Porziņģis,,0,0
2,1,11:15.0,Turnover by J. Calderón (bad pass; steal by O. Porter),,0,0
3,1,11:01.0,,O. Porter makes 2-pt layup from 1 ft (assist by K. Humphries),0,2
4,1,10:50.0,J. Calderón misses 3-pt jump shot from 26 ft,,0,2
5,1,10:49.0,,Defensive rebound by M. Gortat,0,2
6,1,10:38.0,,M. Gortat makes 2-pt jump shot from 14 ft (assist by K. Humphries),0,4
7,1,10:13.0,C. Anthony misses 3-pt jump shot from 26 ft,,0,4
8,1,10:12.0,,Defensive rebound by M. Gortat,0,4
9,1,10:06.0,,O. Porter makes 2-pt layup at rim (assist by M. Gortat),0,6
10,1,9:44.0,J. Calderón makes 3-pt jump shot from 26 ft (assist by C. Anthony),,3,6
11,1,9:28.0,,M. Gortat misses 2-pt jump shot from 7 ft,3,6
12,1,9:28.0,,Offensive rebound by Team,3,6
13,1,9:28.0,Loose ball foul by J. Calderón (drawn by M. Gortat),,3,6
14,1,9:17.0,,M. Gortat misses 2-pt layup from 1 ft (block by R. Lopez),3,6
15,1,9:15.0,Defensive rebound by C. Anthony,,3,6
16,1,9:10.0,S. Vujačić misses 3-pt jump shot from 25 ft,,3,6
17,1,9:08.0,Offensive rebound by R. Lopez,,3,6
18,1,9:04.0,S. Vujačić misses 3-pt jump shot from 24 ft,,3,6
19,1,9:03.0,,Defensive rebound by K. Humphries,3,6
20,1,8:58.0,,J. Wall makes 2-pt layup at rim (assist by K. Humphries),3,8
21,1,8:54.0,New York full timeout,,3,8
22,1,8:36.0,C. Anthony misses 2-pt jump shot from 18 ft,,3,8
23,1,8:34.0,,Defensive rebound by B. Beal,3,8
24,1,8:29.0,,M. Gortat misses 2-pt layup from 2 ft (block by R. Lopez),3,8
25,1,8:27.0,,Offensive rebound by J. Wall,3,8
26,1,8:27.0,,Washington full timeout,3,8
27,1,8:15.0,,B. Beal misses 2-pt layup at rim,3,8
28,1,8:15.0,,Offensive rebound by Team,3,8
29,1,8:12.0,,O. Porter misses 3-pt jump shot from 27 ft,3,8
30,1,8:12.0,,Offensive rebound by Team,3,8
31,1,8:12.0,,Turnover by Team (shot clock),3,8
