,QUARTER,TIME_REMAINING,DETROIT_ACTION,BROOKLYN_ACTION,DETROIT_SCORE,BROOKLYN_SCORE
0,1,11:46.0,E. İlyasova misses 3-pt jump shot from 25 ft,,0,0
1,1,11:45.0,,Defensive rebound by D. Sloan,0,0
2,1,11:32.0,,Personal foul by A. Drummond (drawn by B. Lopez),0,0
3,1,11:22.0,,B. Lopez makes 2-pt jump shot from 16 ft (assist by D. Sloan),0,2
4,1,10:58.0,M. Morris misses 2-pt jump shot from 21 ft,,0,2
5,1,10:57.0,Offensive rebound by E. İlyasova,,0,2
6,1,10:49.0,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by M. Morris),,2,2
7,1,10:31.0,,T. Young misses 2-pt layup from 2 ft,2,2
8,1,10:30.0,Defensive rebound by A. Drummond,,2,2
9,1,10:21.0,M. Morris misses 2-pt jump shot from 3 ft,,2,2
10,1,10:20.0,Offensive rebound by A. Drummond,,2,2
11,1,10:19.0,A. Drummond makes 2-pt dunk at rim,,4,2
12,1,9:56.0,,B. Lopez makes 2-pt jump shot from 15 ft,4,4
13,1,9:43.0,K. Caldwell-Pope makes 2-pt jump shot from 13 ft (assist by R. Jackson),,6,4
14,1,9:23.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by D. Sloan),6,7
15,1,9:06.0,A. Drummond misses 2-pt hook shot from 7 ft,,6,7
16,1,9:05.0,,Defensive rebound by D. Sloan,6,7
17,1,8:55.0,,B. Lopez misses 2-pt layup from 3 ft,6,7
18,1,8:54.0,Defensive rebound by M. Morris,,6,7
19,1,8:51.0,Shooting foul by T. Young (drawn by E. İlyasova),,6,7
20,1,8:51.0,E. İlyasova makes free throw 1 of 2,,7,7
21,1,8:51.0,E. İlyasova makes free throw 2 of 2,,8,7
22,1,8:38.0,,W. Ellington misses 2-pt hook shot from 4 ft,8,7
23,1,8:37.0,Defensive rebound by A. Drummond,,8,7
24,1,8:27.0,Turnover by A. Drummond (traveling),,8,7
25,1,8:16.0,,Turnover by D. Sloan (bad pass; steal by E. İlyasova),8,7
26,1,8:10.0,K. Caldwell-Pope misses 2-pt layup from 1 ft,,8,7
27,1,8:09.0,Offensive rebound by M. Morris,,8,7
28,1,8:08.0,M. Morris makes 2-pt layup at rim,,10,7
29,1,7:57.0,,Personal foul by M. Morris (drawn by J. Johnson),10,7
30,1,7:51.0,,Shooting foul by M. Morris (drawn by J. Johnson),10,7
31,1,7:51.0,,J. Johnson misses free throw 1 of 2,10,7
32,1,7:51.0,,Offensive rebound by Team,10,7
33,1,7:51.0,S. Johnson enters the game for M. Morris,,10,7
34,1,7:51.0,,J. Johnson makes free throw 2 of 2,10,8
35,1,7:40.0,Turnover by R. Jackson (bad pass; steal by D. Sloan),,10,8
36,1,7:36.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by D. Sloan),10,11
37,1,7:11.0,S. Johnson makes 3-pt jump shot from 24 ft,,13,11
38,1,6:56.0,,J. Johnson misses 2-pt layup from 3 ft,13,11
39,1,6:55.0,Defensive rebound by A. Drummond,,13,11
40,1,6:48.0,E. İlyasova makes 2-pt layup from 1 ft (assist by S. Johnson),,15,11
41,1,6:48.0,Shooting foul by T. Young (drawn by E. İlyasova),,15,11
42,1,6:48.0,,A. Bargnani enters the game for T. Young,15,11
43,1,6:48.0,E. İlyasova makes free throw 1 of 1,,16,11
44,1,6:26.0,,W. Ellington makes 2-pt jump shot from 10 ft (assist by J. Johnson),16,13
45,1,6:14.0,R. Jackson misses 2-pt jump shot from 7 ft,,16,13
46,1,6:13.0,Offensive rebound by A. Drummond,,16,13
47,1,6:12.0,A. Drummond makes 2-pt layup from 1 ft,,18,13
48,1,6:12.0,Shooting foul by J. Johnson (drawn by A. Drummond),,18,13
49,1,6:12.0,A. Drummond misses free throw 1 of 1,,18,13
50,1,6:11.0,,Defensive rebound by B. Lopez,18,13
51,1,5:59.0,,A. Bargnani misses 2-pt jump shot from 5 ft,18,13
52,1,5:58.0,,Offensive rebound by B. Lopez,18,13
53,1,5:56.0,,B. Lopez makes 2-pt layup from 1 ft,18,15
54,1,5:48.0,R. Jackson misses 2-pt jump shot from 7 ft,,18,15
55,1,5:47.0,,Defensive rebound by B. Lopez,18,15
56,1,5:38.0,,D. Sloan makes 3-pt jump shot from 25 ft (assist by W. Ellington),18,18
57,1,5:30.0,Detroit full timeout,,18,18
58,1,5:16.0,A. Drummond misses 2-pt hook shot from 4 ft,,18,18
59,1,5:15.0,,Defensive rebound by A. Bargnani,18,18
60,1,4:52.0,,W. Ellington misses 2-pt jump shot from 17 ft (block by K. Caldwell-Pope),18,18
61,1,4:51.0,Defensive rebound by A. Drummond,,18,18
