,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,INDIANA_ACTION,BROOKLYN_SCORE,INDIANA_SCORE
0,1,11:44.0,,C. Miles misses 2-pt jump shot from 16 ft,0,0
1,1,11:43.0,Defensive rebound by J. Jack,,0,0
2,1,11:18.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by J. Johnson),,3,0
3,1,10:54.0,,I. Mahinmi makes 2-pt hook shot from 4 ft (assist by G. Hill),3,2
4,1,10:30.0,Turnover by B. Bogdanović (lost ball),,3,2
5,1,10:18.0,,Turnover by P. George (traveling),3,2
6,1,10:03.0,J. Johnson misses 2-pt jump shot from 17 ft,,3,2
7,1,10:02.0,,Defensive rebound by C. Miles,3,2
8,1,9:59.0,,Personal foul by J. Johnson (drawn by P. George),3,2
9,1,9:54.0,,Turnover by C. Miles (bad pass; steal by J. Jack),3,2
10,1,9:38.0,T. Young misses 2-pt jump shot from 6 ft (block by I. Mahinmi),,3,2
11,1,9:36.0,,Defensive rebound by P. George,3,2
12,1,9:33.0,,P. George makes 2-pt layup from 1 ft,3,4
13,1,9:19.0,Personal foul by I. Mahinmi (drawn by B. Lopez),,3,4
14,1,9:06.0,J. Jack misses 2-pt jump shot from 5 ft,,3,4
15,1,9:05.0,Offensive rebound by B. Lopez,,3,4
16,1,9:05.0,B. Lopez misses 2-pt layup at rim,,3,4
17,1,9:04.0,Offensive rebound by B. Lopez,,3,4
18,1,9:04.0,B. Lopez misses 2-pt layup at rim,,3,4
19,1,9:03.0,,Defensive rebound by P. George,3,4
20,1,8:59.0,,Turnover by P. George (bad pass; steal by J. Jack),3,4
21,1,8:46.0,B. Lopez misses 2-pt jump shot from 6 ft,,3,4
22,1,8:45.0,Offensive rebound by T. Young,,3,4
23,1,8:43.0,T. Young misses 2-pt hook shot from 11 ft,,3,4
24,1,8:43.0,,Defensive rebound by I. Mahinmi,3,4
25,1,8:25.0,,G. Hill misses 3-pt jump shot from 24 ft,3,4
26,1,8:24.0,Defensive rebound by J. Jack,,3,4
27,1,8:19.0,Offensive foul by B. Lopez (drawn by C. Miles),,3,4
28,1,8:19.0,Turnover by B. Lopez (offensive foul),,3,4
29,1,8:08.0,,P. George misses 2-pt layup from 1 ft,3,4
30,1,8:08.0,Defensive rebound by B. Lopez,,3,4
31,1,8:01.0,B. Bogdanović misses 2-pt layup at rim (block by C. Miles),,3,4
32,1,8:00.0,,Defensive rebound by I. Mahinmi,3,4
33,1,7:54.0,,P. George misses 3-pt jump shot from 26 ft,3,4
34,1,7:52.0,,Offensive rebound by C. Miles,3,4
35,1,7:52.0,,C. Miles misses 2-pt dunk at rim,3,4
36,1,7:51.0,Defensive rebound by T. Young,,3,4
37,1,7:43.0,T. Young makes 2-pt layup at rim (assist by J. Jack),,5,4
38,1,7:29.0,,C. Miles makes 3-pt jump shot from 25 ft (assist by P. George),5,7
39,1,7:04.0,J. Jack makes 3-pt jump shot from 22 ft (assist by J. Johnson),,8,7
40,1,6:45.0,,Turnover by P. George (bad pass; steal by J. Johnson),8,7
41,1,6:40.0,Turnover by J. Jack (bad pass; steal by M. Ellis),,8,7
42,1,6:34.0,,P. George makes 2-pt layup at rim,8,9
43,1,6:34.0,,Shooting foul by J. Johnson (drawn by P. George),8,9
44,1,6:34.0,,P. George makes free throw 1 of 1,8,10
45,1,6:22.0,,Violation by C. Miles (def goaltending),8,10
46,1,6:22.0,T. Young makes 2-pt layup from 1 ft (assist by B. Lopez),,10,10
47,1,6:05.0,,C. Miles misses 3-pt jump shot from 25 ft,10,10
48,1,6:05.0,,Offensive rebound by I. Mahinmi,10,10
49,1,6:02.0,,I. Mahinmi makes 2-pt hook shot from 5 ft,10,12
50,1,5:47.0,J. Jack makes 2-pt jump shot from 9 ft,,12,12
51,1,5:30.0,,G. Hill misses 3-pt jump shot from 23 ft,12,12
52,1,5:29.0,Defensive rebound by T. Young,,12,12
53,1,5:20.0,J. Jack makes 2-pt jump shot from 15 ft,,14,12
54,1,5:13.0,,Indiana full timeout,14,12
55,1,5:05.0,,P. George makes 3-pt jump shot from 24 ft (assist by M. Ellis),14,15
56,1,4:51.0,B. Lopez makes 2-pt hook shot from 5 ft (assist by J. Johnson),,16,15
57,1,4:34.0,,I. Mahinmi misses 2-pt layup at rim (block by J. Jack),16,15
58,1,4:33.0,Defensive rebound by T. Young,,16,15
59,1,4:21.0,T. Young misses 2-pt hook shot from 6 ft,,16,15
60,1,4:21.0,Offensive rebound by T. Young,,16,15
61,1,4:18.0,T. Young misses 2-pt jump shot from 5 ft,,16,15
62,1,4:18.0,,Defensive rebound by G. Hill,16,15
63,1,4:01.0,,Turnover by P. George (lost ball; steal by J. Jack),16,15
64,1,3:56.0,T. Young makes 2-pt layup at rim (assist by B. Bogdanović),,18,15
65,1,3:43.0,,C. Miles makes 3-pt jump shot from 25 ft (assist by I. Mahinmi),18,18
66,1,3:21.0,J. Jack misses 3-pt jump shot from 26 ft,,18,18
67,1,3:20.0,,Defensive rebound by P. George,18,18
68,1,3:13.0,,M. Ellis makes 2-pt layup at rim,18,20
69,1,3:01.0,J. Johnson misses 2-pt jump shot from 17 ft,,18,20
70,1,3:00.0,Offensive rebound by T. Young,,18,20
71,1,2:55.0,T. Young misses 2-pt hook shot from 4 ft,,18,20
72,1,2:55.0,,Defensive rebound by I. Mahinmi,18,20
73,1,2:44.0,,Shooting foul by T. Young (drawn by P. George),18,20
74,1,2:44.0,Brooklyn full timeout,,18,20
75,1,2:44.0,A. Bargnani enters the game for J. Johnson,,18,20
76,1,2:44.0,W. Ellington enters the game for B. Lopez,,18,20
77,1,2:44.0,,L. Allen enters the game for C. Miles,18,20
78,1,2:44.0,,J. Hill enters the game for I. Mahinmi,18,20
79,1,2:44.0,,R. Stuckey enters the game for G. Hill,18,20
80,1,2:44.0,,P. George makes free throw 1 of 2,18,21
81,1,2:44.0,,P. George makes free throw 2 of 2,18,22
82,1,2:25.0,W. Ellington misses 2-pt jump shot from 18 ft,,18,22
83,1,2:25.0,,Defensive rebound by R. Stuckey,18,22
84,1,2:06.0,,P. George misses 3-pt jump shot from 25 ft,18,22
85,1,2:05.0,Defensive rebound by A. Bargnani,,18,22
86,1,1:54.0,A. Bargnani misses 2-pt jump shot from 18 ft,,18,22
87,1,1:54.0,,Defensive rebound by L. Allen,18,22
88,1,1:32.0,,R. Stuckey misses 2-pt jump shot from 5 ft,18,22
89,1,1:31.0,,Offensive rebound by R. Stuckey,18,22
90,1,1:29.0,,R. Stuckey misses 2-pt jump shot from 4 ft,18,22
91,1,1:28.0,Defensive rebound by T. Young,,18,22
92,1,1:16.0,A. Bargnani misses 2-pt jump shot from 15 ft,,18,22
93,1,1:15.0,,Defensive rebound by J. Hill,18,22
94,1,1:12.0,,Shooting block foul by A. Bargnani (drawn by R. Stuckey),18,22
95,1,1:12.0,,R. Stuckey misses free throw 1 of 2,18,22
96,1,1:12.0,,Offensive rebound by Team,18,22
97,1,1:12.0,D. Sloan enters the game for J. Jack,,18,22
98,1,1:12.0,,R. Stuckey makes free throw 2 of 2,18,23
99,1,0:56.0,B. Bogdanović misses 2-pt jump shot from 18 ft,,18,23
100,1,0:56.0,,Defensive rebound by R. Stuckey,18,23
101,1,0:50.0,,R. Stuckey misses 2-pt layup from 1 ft (block by T. Young),18,23
102,1,0:49.0,Defensive rebound by B. Bogdanović,,18,23
103,1,0:39.0,W. Ellington misses 3-pt jump shot from 25 ft,,18,23
104,1,0:38.0,Offensive rebound by A. Bargnani,,18,23
105,1,0:26.0,T. Young misses 2-pt hook shot from 3 ft,,18,23
106,1,0:26.0,,Defensive rebound by J. Hill,18,23
107,1,0:02.0,,P. George misses 2-pt jump shot from 9 ft,18,23
108,1,0:01.0,,Offensive rebound by J. Hill,18,23
109,1,0:01.0,,J. Hill misses 2-pt layup at rim,18,23
110,1,0:00.0,,Offensive rebound by J. Hill,18,23
111,2,11:43.0,A. Bargnani misses 2-pt hook shot from 8 ft,,18,23
112,2,11:42.0,,Defensive rebound by J. Hill,18,23
113,2,11:23.0,,C. Budinger misses 3-pt jump shot from 25 ft,18,23
114,2,11:22.0,Defensive rebound by D. Sloan,,18,23
115,2,11:10.0,W. Ellington misses 2-pt jump shot from 18 ft,,18,23
116,2,11:10.0,,Defensive rebound by R. Stuckey,18,23
117,2,11:04.0,,R. Stuckey makes 2-pt layup at rim,18,25
118,2,10:48.0,A. Bargnani makes 2-pt jump shot from 11 ft,,20,25
119,2,10:28.0,,J. Hill misses 2-pt hook shot from 3 ft,20,25
120,2,10:27.0,,Offensive rebound by C. Budinger,20,25
121,2,10:27.0,,C. Budinger makes 2-pt layup from 3 ft,20,27
122,2,10:14.0,M. Brown enters the game for B. Bogdanović,,20,27
123,2,10:09.0,D. Sloan makes 2-pt layup at rim (assist by A. Bargnani),,22,27
124,2,9:55.0,,C. Budinger makes 2-pt dunk at rim (assist by J. Hill),22,29
125,2,9:38.0,A. Bargnani makes 2-pt layup from 2 ft,,24,29
126,2,9:34.0,,Personal foul by D. Sloan (drawn by G. Hill),24,29
127,2,9:25.0,,C. Budinger misses 3-pt jump shot from 23 ft,24,29
128,2,9:25.0,Defensive rebound by Team,,24,29
129,2,9:25.0,,Loose ball foul by J. Hill (drawn by W. Reed),24,29
130,2,9:15.0,M. Brown misses 2-pt jump shot from 9 ft,,24,29
131,2,9:14.0,,Defensive rebound by R. Stuckey,24,29
132,2,9:05.0,,L. Allen makes 2-pt jump shot from 21 ft (assist by R. Stuckey),24,31
133,2,8:44.0,M. Brown misses 3-pt jump shot from 26 ft,,24,31
134,2,8:44.0,,Defensive rebound by G. Hill,24,31
135,2,8:34.0,,Def 3 sec tech foul by A. Bargnani,24,31
136,2,8:34.0,Official timeout,,24,31
137,2,8:34.0,B. Lopez enters the game for W. Reed,,24,31
138,2,8:34.0,,R. Stuckey misses technical free throw,24,31
139,2,8:34.0,,Offensive rebound by Team,24,31
140,2,8:28.0,Violation by B. Lopez (kicked ball),,24,31
141,2,8:18.0,,C. Budinger makes 2-pt layup from 1 ft,24,33
142,2,7:59.0,B. Lopez misses 2-pt hook shot from 3 ft,,24,33
143,2,7:59.0,,Defensive rebound by L. Allen,24,33
144,2,7:44.0,,Turnover by J. Hill (lost ball),24,33
145,2,7:44.0,J. Jack enters the game for M. Brown,,24,33
146,2,7:34.0,A. Bargnani makes 2-pt jump shot from 16 ft (assist by D. Sloan),,26,33
147,2,7:24.0,,Shooting foul by W. Ellington (drawn by R. Stuckey),26,33
148,2,7:24.0,,R. Stuckey makes free throw 1 of 2,26,34
149,2,7:24.0,,R. Stuckey makes free throw 2 of 2,26,35
150,2,7:12.0,B. Lopez makes 2-pt hook shot from 6 ft (assist by J. Jack),,28,35
151,2,6:48.0,,G. Hill misses 3-pt jump shot from 25 ft,28,35
152,2,6:46.0,,Offensive rebound by J. Hill,28,35
153,2,6:45.0,,J. Hill makes 2-pt hook shot from 3 ft,28,37
154,2,6:29.0,W. Ellington makes 3-pt jump shot from 23 ft (assist by D. Sloan),,31,37
155,2,6:22.0,,L. Allen makes 2-pt dunk at rim (assist by C. Budinger),31,39
156,2,6:02.0,Shooting foul by J. Hill (drawn by B. Lopez),,31,39
157,2,6:02.0,B. Lopez makes free throw 1 of 2,,32,39
158,2,6:02.0,,I. Mahinmi enters the game for J. Hill,32,39
159,2,6:02.0,B. Lopez makes free throw 2 of 2,,33,39
160,2,5:42.0,,G. Hill misses 2-pt layup at rim,33,39
161,2,5:40.0,Defensive rebound by W. Ellington,,33,39
162,2,5:20.0,B. Lopez makes 2-pt hook shot from 5 ft (assist by J. Jack),,35,39
163,2,5:09.0,,L. Allen misses 2-pt jump shot from 17 ft,35,39
164,2,5:08.0,Defensive rebound by D. Sloan,,35,39
165,2,5:00.0,D. Sloan misses 2-pt jump shot from 13 ft,,35,39
166,2,4:59.0,,Defensive rebound by I. Mahinmi,35,39
167,2,4:50.0,,R. Stuckey makes 2-pt jump shot from 16 ft (assist by I. Mahinmi),35,41
168,2,4:42.0,Brooklyn full timeout,,35,41
169,2,4:24.0,D. Sloan makes 2-pt layup from 1 ft,,37,41
170,2,4:04.0,,I. Mahinmi makes 2-pt layup from 3 ft (assist by G. Hill),37,43
171,2,3:49.0,B. Lopez makes 2-pt layup at rim (assist by J. Jack),,39,43
172,2,3:32.0,,L. Allen misses 2-pt jump shot from 14 ft,39,43
173,2,3:31.0,,Offensive rebound by C. Budinger,39,43
174,2,3:31.0,,Shooting foul by J. Jack (drawn by C. Budinger),39,43
175,2,3:31.0,,C. Budinger makes free throw 1 of 2,39,44
176,2,3:31.0,J. Johnson enters the game for A. Bargnani,,39,44
177,2,3:31.0,T. Young enters the game for W. Ellington,,39,44
178,2,3:31.0,,C. Miles enters the game for G. Hill,39,44
179,2,3:31.0,,M. Ellis enters the game for L. Allen,39,44
180,2,3:31.0,,P. George enters the game for R. Stuckey,39,44
181,2,3:31.0,,C. Budinger makes free throw 2 of 2,39,45
182,2,3:16.0,B. Lopez makes 2-pt hook shot from 12 ft,,41,45
183,2,3:02.0,,Turnover by P. George (bad pass),41,45
184,2,2:46.0,J. Jack makes 2-pt jump shot from 18 ft,,43,45
185,2,2:35.0,,C. Miles misses 3-pt jump shot from 25 ft,43,45
186,2,2:34.0,Defensive rebound by B. Lopez,,43,45
187,2,2:31.0,Turnover by T. Young (lost ball),,43,45
188,2,2:31.0,,Indiana full timeout,43,45
189,2,2:31.0,,R. Stuckey enters the game for C. Budinger,43,45
190,2,2:09.0,,R. Stuckey makes 2-pt jump shot from 11 ft,43,47
191,2,1:47.0,B. Lopez misses 2-pt jump shot from 15 ft,,43,47
192,2,1:46.0,,Defensive rebound by Team,43,47
193,2,1:34.0,,M. Ellis misses 3-pt jump shot from 25 ft,43,47
194,2,1:33.0,Defensive rebound by D. Sloan,,43,47
195,2,1:14.0,J. Johnson misses 2-pt jump shot from 17 ft,,43,47
196,2,1:13.0,,Defensive rebound by C. Miles,43,47
197,2,1:04.0,,I. Mahinmi makes 2-pt dunk at rim (assist by C. Miles),43,49
