,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CLEVELAND_ACTION,MILWAUKEE_SCORE,CLEVELAND_SCORE
0,1,11:34.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,2,0
1,1,11:18.0,,K. Love misses 2-pt hook shot from 10 ft,2,0
2,1,11:17.0,Defensive rebound by J. Parker,,2,0
3,1,11:09.0,Turnover by K. Middleton (offensive foul),,2,0
4,1,11:09.0,,Offensive charge foul by K. Middleton (drawn by M. Dellavedova),2,0
5,1,10:45.0,,K. Love makes 3-pt jump shot from 24 ft (assist by M. Dellavedova),2,3
6,1,10:25.0,J. Parker misses 2-pt jump shot from 16 ft,,2,3
7,1,10:24.0,,Defensive rebound by L. James,2,3
8,1,10:15.0,,M. Dellavedova misses 3-pt jump shot from 23 ft,2,3
9,1,10:14.0,,Offensive rebound by L. James,2,3
10,1,10:09.0,,L. James makes 2-pt layup at rim,2,5
11,1,9:47.0,Shooting foul by K. Love (drawn by G. Antetokounmpo),,2,5
12,1,9:47.0,G. Antetokounmpo makes free throw 1 of 2,,3,5
13,1,9:47.0,G. Antetokounmpo makes free throw 2 of 2,,4,5
14,1,9:33.0,,K. Love makes 2-pt dunk at rim (assist by M. Dellavedova),4,7
15,1,9:08.0,G. Monroe makes 2-pt hook shot at rim,,6,7
16,1,8:57.0,,Turnover by T. Mozgov (lost ball; steal by G. Monroe),6,7
17,1,8:36.0,G. Monroe makes 2-pt jump shot from 14 ft (assist by M. Carter-Williams),,8,7
18,1,8:19.0,,Turnover by M. Dellavedova (bad pass; steal by K. Middleton),8,7
19,1,8:13.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),,10,7
20,1,7:57.0,,J. Smith makes 3-pt jump shot from 27 ft (assist by M. Dellavedova),10,10
21,1,7:38.0,G. Monroe misses 2-pt jump shot from 15 ft,,10,10
22,1,7:37.0,Offensive rebound by J. Parker,,10,10
23,1,7:34.0,J. Parker makes 2-pt layup from 1 ft,,12,10
24,1,7:24.0,,J. Smith makes 3-pt jump shot from 24 ft (assist by M. Dellavedova),12,13
25,1,7:08.0,M. Carter-Williams misses 2-pt jump shot from 18 ft,,12,13
26,1,7:07.0,,Defensive rebound by J. Smith,12,13
27,1,6:57.0,Offensive charge foul by K. Love (drawn by G. Monroe),,12,13
28,1,6:57.0,,Turnover by K. Love (offensive foul),12,13
29,1,6:57.0,,J. Cunningham enters the game for M. Dellavedova,12,13
30,1,6:57.0,,J. Jones enters the game for K. Love,12,13
31,1,6:40.0,J. Parker misses 2-pt jump shot from 16 ft,,12,13
