,QUARTER,TIME_REMAINING,ORLANDO_ACTION,NEW YORK_ACTION,ORLANDO_SCORE,NEW YORK_SCORE
0,1,11:37.0,T. Harris misses 2-pt jump shot from 16 ft,,0,0
1,1,11:36.0,Offensive rebound by Team,,0,0
2,1,11:36.0,Turnover by Team (shot clock),,0,0
3,1,11:14.0,,K. Porziņģis misses 3-pt jump shot from 24 ft,0,0
4,1,11:13.0,Defensive rebound by N. Vučević,,0,0
5,1,11:04.0,E. Payton makes 2-pt layup from 1 ft (assist by N. Vučević),,2,0
6,1,11:04.0,Shooting foul by J. Calderón (drawn by E. Payton),,2,0
7,1,11:04.0,E. Payton makes free throw 1 of 1,,3,0
8,1,10:43.0,,Turnover by K. Porziņģis (lost ball),3,0
9,1,10:27.0,T. Harris misses 3-pt jump shot from 24 ft,,3,0
10,1,10:26.0,,Defensive rebound by A. Afflalo,3,0
11,1,10:20.0,,A. Afflalo makes 2-pt jump shot from 12 ft,3,2
12,1,9:52.0,E. Fournier makes 2-pt layup at rim,,5,2
13,1,9:29.0,,R. Lopez makes 2-pt hook shot from 4 ft,5,4
14,1,9:08.0,C. Frye misses 2-pt jump shot from 17 ft,,5,4
15,1,9:07.0,Offensive rebound by Team,,5,4
16,1,9:07.0,,Loose ball foul by A. Afflalo (drawn by E. Fournier),5,4
17,1,8:54.0,N. Vučević makes 2-pt jump shot from 17 ft,,7,4
18,1,8:38.0,,C. Anthony misses 2-pt jump shot from 22 ft,7,4
19,1,8:37.0,,Offensive rebound by K. Porziņģis,7,4
20,1,8:33.0,,J. Calderón misses 3-pt jump shot from 24 ft,7,4
21,1,8:32.0,,Offensive rebound by Team,7,4
22,1,8:29.0,,A. Afflalo misses 2-pt jump shot from 20 ft,7,4
23,1,8:28.0,,Offensive rebound by J. Calderón,7,4
24,1,8:06.0,,C. Anthony misses 2-pt hook shot from 3 ft,7,4
25,1,8:05.0,,Offensive rebound by R. Lopez,7,4
26,1,8:04.0,,R. Lopez makes 2-pt hook shot from 3 ft,7,6
27,1,7:53.0,N. Vučević misses 2-pt jump shot from 21 ft,,7,6
28,1,7:52.0,,Defensive rebound by K. Porziņģis,7,6
29,1,7:42.0,,K. Porziņģis misses 2-pt layup from 2 ft,7,6
30,1,7:41.0,,Offensive rebound by A. Afflalo,7,6
31,1,7:28.0,,A. Afflalo misses 3-pt jump shot from 28 ft,7,6
32,1,7:27.0,Defensive rebound by T. Harris,,7,6
33,1,7:16.0,T. Harris makes 2-pt jump shot from 8 ft,,9,6
34,1,7:01.0,,Turnover by C. Anthony (lost ball; steal by T. Harris),9,6
35,1,6:54.0,E. Fournier misses 2-pt layup from 2 ft (block by K. Porziņģis),,9,6
36,1,6:53.0,,Defensive rebound by C. Anthony,9,6
37,1,6:51.0,,Turnover by C. Anthony (bad pass; steal by E. Fournier),9,6
38,1,6:45.0,E. Payton makes 2-pt layup at rim,,11,6
39,1,6:32.0,,Turnover by J. Calderón (bad pass; steal by E. Fournier),11,6
40,1,6:27.0,E. Fournier misses 2-pt layup at rim (block by K. Porziņģis),,11,6
41,1,6:25.0,Offensive rebound by C. Frye,,11,6
42,1,6:24.0,C. Frye makes 2-pt dunk at rim,,13,6
43,1,6:24.0,,New York full timeout,13,6
44,1,6:24.0,J. Smith enters the game for C. Frye,,13,6
45,1,6:10.0,,R. Lopez makes 2-pt dunk at rim (assist by A. Afflalo),13,8
46,1,5:51.0,E. Fournier makes 3-pt jump shot from 23 ft (assist by E. Payton),,16,8
47,1,5:39.0,,J. Calderón makes 2-pt jump shot from 18 ft,16,10
48,1,5:19.0,J. Smith misses 3-pt jump shot from 24 ft,,16,10
49,1,5:18.0,,Defensive rebound by J. Calderón,16,10
50,1,5:09.0,,J. Calderón misses 3-pt jump shot from 25 ft,16,10
51,1,5:07.0,Defensive rebound by E. Fournier,,16,10
52,1,4:55.0,E. Payton misses 2-pt layup from 2 ft,,16,10
53,1,4:54.0,,Defensive rebound by R. Lopez,16,10
54,1,4:36.0,,C. Anthony makes 2-pt jump shot from 17 ft,16,12
55,1,4:24.0,Turnover by E. Fournier (lost ball),,16,12
56,1,4:24.0,,L. Galloway enters the game for J. Calderón,16,12
57,1,4:07.0,,R. Lopez makes 2-pt hook shot from 6 ft (assist by C. Anthony),16,14
58,1,3:50.0,N. Vučević makes 2-pt layup at rim (assist by E. Payton),,18,14
59,1,3:35.0,,C. Anthony makes 3-pt jump shot from 24 ft (assist by R. Lopez),18,17
60,1,3:16.0,N. Vučević makes 2-pt jump shot from 16 ft (assist by E. Payton),,20,17
61,1,3:00.0,,C. Anthony makes 2-pt layup from 2 ft,20,19
62,1,2:55.0,Orlando full timeout,,20,19
63,1,2:55.0,A. Nicholson enters the game for T. Harris,,20,19
64,1,2:55.0,V. Oladipo enters the game for N. Vučević,,20,19
65,1,2:55.0,A. Gordon enters the game for E. Fournier,,20,19
66,1,2:55.0,,K. Séraphin enters the game for K. Porziņģis,20,19
67,1,2:55.0,,L. Thomas enters the game for R. Lopez,20,19
68,1,2:45.0,J. Smith misses 2-pt jump shot from 8 ft,,20,19
69,1,2:44.0,,Defensive rebound by C. Anthony,20,19
70,1,2:37.0,,K. Séraphin misses 2-pt hook shot from 2 ft,20,19
71,1,2:35.0,Defensive rebound by J. Smith,,20,19
72,1,2:17.0,A. Nicholson misses 2-pt layup from 1 ft,,20,19
