,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHOENIX_ACTION,NEW YORK_SCORE,PHOENIX_SCORE
0,1,11:39.0,C. Anthony misses 2-pt jump shot from 19 ft,,0,0
1,1,11:37.0,Offensive rebound by R. Lopez,,0,0
2,1,11:37.0,R. Lopez misses 2-pt layup from 1 ft,,0,0
3,1,11:37.0,,Defensive rebound by Team,0,0
4,1,11:25.0,,Turnover by T. Chandler (traveling),0,0
5,1,11:04.0,R. Lopez misses 2-pt hook shot from 8 ft,,0,0
6,1,11:02.0,,Defensive rebound by A. Len,0,0
7,1,10:48.0,,R. Price misses 3-pt jump shot from 24 ft,0,0
8,1,10:47.0,Defensive rebound by K. Porziņģis,,0,0
9,1,10:32.0,S. Vujačić makes 2-pt jump shot from 22 ft (assist by J. Calderón),,2,0
10,1,10:16.0,,D. Booker makes 2-pt layup at rim,2,2
11,1,9:54.0,R. Lopez misses 2-pt hook shot from 7 ft,,2,2
12,1,9:52.0,,Defensive rebound by T. Chandler,2,2
13,1,9:31.0,,A. Len misses 2-pt jump shot from 18 ft,2,2
14,1,9:30.0,Defensive rebound by C. Anthony,,2,2
15,1,9:12.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by J. Calderón),,5,2
16,1,8:52.0,,Turnover by A. Len (traveling),5,2
17,1,8:33.0,R. Lopez makes 2-pt hook shot from 6 ft,,7,2
18,1,8:16.0,,D. Booker misses 2-pt jump shot from 11 ft,7,2
19,1,8:15.0,Defensive rebound by R. Lopez,,7,2
20,1,8:07.0,J. Calderón misses 3-pt jump shot from 25 ft,,7,2
21,1,8:07.0,Offensive rebound by Team,,7,2
22,1,8:07.0,,Loose ball foul by A. Len,7,2
23,1,7:49.0,K. Porziņģis misses 2-pt hook shot from 4 ft,,7,2
24,1,7:48.0,,Defensive rebound by A. Len,7,2
25,1,7:41.0,,P. Tucker makes 2-pt layup at rim,7,4
26,1,7:28.0,Shooting foul by A. Len (drawn by S. Vujačić),,7,4
27,1,7:28.0,S. Vujačić misses free throw 1 of 2,,7,4
28,1,7:28.0,Offensive rebound by Team,,7,4
29,1,7:28.0,,M. Teletović enters the game for A. Len,7,4
30,1,7:28.0,S. Vujačić makes free throw 2 of 2,,8,4
31,1,7:13.0,,Shooting foul by S. Vujačić (drawn by M. Teletović),8,4
32,1,7:13.0,,M. Teletović misses free throw 1 of 2,8,4
