,QUARTER,TIME_REMAINING,CHICAGO_ACTION,DENVER_ACTION,CHICAGO_SCORE,DENVER_SCORE
0,1,11:30.0,,N. Jokić makes 2-pt jump shot from 14 ft (assist by D. Gallinari),0,2
1,1,11:17.0,D. Rose makes 2-pt jump shot from 13 ft,,2,2
2,1,11:02.0,,E. Mudiay makes 2-pt jump shot from 21 ft (assist by G. Harris),2,4
3,1,10:43.0,C. Bairstow misses 3-pt jump shot from 23 ft,,2,4
4,1,10:42.0,,Defensive rebound by D. Gallinari,2,4
5,1,10:40.0,,Personal foul by C. Bairstow (drawn by N. Jokić),2,4
6,1,10:31.0,,E. Mudiay makes 2-pt jump shot from 13 ft,2,6
7,1,10:20.0,T. Gibson makes 2-pt dunk at rim (assist by J. Butler),,4,6
8,1,10:09.0,,Turnover by E. Mudiay (bad pass; steal by J. Butler),4,6
9,1,10:03.0,J. Butler makes 2-pt dunk at rim,,6,6
10,1,9:53.0,,Turnover by K. Faried (traveling),6,6
11,1,9:34.0,T. Gibson misses 2-pt jump shot from 14 ft,,6,6
12,1,9:33.0,,Defensive rebound by G. Harris,6,6
13,1,9:17.0,,N. Jokić misses 2-pt hook shot from 3 ft,6,6
14,1,9:16.0,Defensive rebound by D. Rose,,6,6
15,1,9:02.0,D. Rose misses 3-pt jump shot from 24 ft,,6,6
16,1,9:01.0,,Defensive rebound by K. Faried,6,6
17,1,8:57.0,,G. Harris makes 2-pt layup at rim (assist by K. Faried),6,8
18,1,8:49.0,T. Gibson misses 2-pt jump shot from 19 ft,,6,8
19,1,8:48.0,,Defensive rebound by G. Harris,6,8
20,1,8:42.0,,Shooting block foul by D. Rose (drawn by E. Mudiay),6,8
21,1,8:42.0,,E. Mudiay misses free throw 1 of 2,6,8
22,1,8:42.0,,Offensive rebound by Team,6,8
23,1,8:42.0,,E. Mudiay makes free throw 2 of 2,6,9
24,1,8:26.0,D. Rose makes 2-pt jump shot from 17 ft (assist by J. Butler),,8,9
25,1,8:13.0,,G. Harris makes 2-pt layup at rim (assist by N. Jokić),8,11
26,1,7:58.0,D. Rose misses 2-pt jump shot from 11 ft,,8,11
27,1,7:57.0,,Defensive rebound by G. Harris,8,11
28,1,7:47.0,,Shooting foul by C. Bairstow (drawn by D. Gallinari),8,11
29,1,7:47.0,,D. Gallinari makes free throw 1 of 2,8,12
30,1,7:47.0,B. Portis enters the game for C. Bairstow,,8,12
31,1,7:47.0,,D. Gallinari makes free throw 2 of 2,8,13
32,1,7:27.0,J. Butler makes 2-pt layup from 1 ft,,10,13
33,1,7:27.0,Shooting foul by K. Faried (drawn by J. Butler),,10,13
34,1,7:27.0,J. Butler makes free throw 1 of 1,,11,13
35,1,7:12.0,,D. Gallinari misses 2-pt layup from 1 ft,11,13
36,1,7:11.0,,Offensive rebound by K. Faried,11,13
37,1,7:01.0,,Turnover by E. Mudiay (bad pass),11,13
