,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,CHARLOTTE_ACTION,LA CLIPPERS_SCORE,CHARLOTTE_SCORE
0,1,11:38.0,P. Pierce makes 3-pt jump shot from 24 ft (assist by C. Paul),,3,0
1,1,11:20.0,,P. Hairston misses 3-pt jump shot from 27 ft,3,0
2,1,11:19.0,Defensive rebound by D. Jordan,,3,0
3,1,11:10.0,P. Pierce makes 3-pt jump shot from 25 ft (assist by C. Paul),,6,0
4,1,10:44.0,,K. Walker makes 3-pt jump shot from 24 ft,6,3
5,1,10:30.0,Personal foul by P. Hairston (drawn by D. Jordan),,6,3
6,1,10:21.0,Turnover by L. Mbah a Moute (bad pass; steal by K. Walker),,6,3
7,1,10:14.0,,K. Walker misses 2-pt jump shot from 3 ft (block by C. Paul),6,3
8,1,10:12.0,Defensive rebound by J. Redick,,6,3
9,1,10:07.0,P. Pierce misses 3-pt jump shot from 23 ft,,6,3
10,1,10:06.0,Offensive rebound by C. Paul,,6,3
11,1,9:53.0,C. Paul misses 3-pt jump shot from 24 ft,,6,3
12,1,9:53.0,,Defensive rebound by Team,6,3
13,1,9:31.0,,C. Zeller misses 2-pt jump shot from 3 ft,6,3
14,1,9:30.0,Defensive rebound by D. Jordan,,6,3
15,1,9:22.0,C. Paul misses 2-pt jump shot from 14 ft,,6,3
16,1,9:21.0,,Defensive rebound by M. Williams,6,3
17,1,9:16.0,,K. Walker misses 2-pt layup from 1 ft,6,3
18,1,9:15.0,Defensive rebound by P. Pierce,,6,3
19,1,9:10.0,,Technical foul by K. Walker,6,3
20,1,9:10.0,C. Paul makes technical free throw,,7,3
21,1,8:54.0,C. Paul makes 2-pt jump shot from 8 ft (assist by P. Pierce),,9,3
22,1,8:54.0,Shooting foul by K. Walker (drawn by C. Paul),,9,3
23,1,8:54.0,C. Paul makes free throw 1 of 1,,10,3
24,1,8:35.0,,N. Batum misses 2-pt jump shot from 11 ft,10,3
25,1,8:34.0,Defensive rebound by L. Mbah a Moute,,10,3
26,1,8:08.0,J. Redick makes 3-pt jump shot from 30 ft,,13,3
27,1,8:03.0,,Charlotte full timeout,13,3
28,1,7:56.0,,M. Williams misses 2-pt jump shot from 19 ft,13,3
29,1,7:54.0,,Offensive rebound by C. Zeller,13,3
30,1,7:54.0,,Shooting foul by D. Jordan (drawn by C. Zeller),13,3
31,1,7:54.0,,C. Zeller makes free throw 1 of 2,13,4
