,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,INDIANA_ACTION,LA LAKERS_SCORE,INDIANA_SCORE
0,1,11:40.0,,Turnover by I. Mahinmi (lost ball; steal by L. Williams),0,0
1,1,11:33.0,L. Williams misses 2-pt jump shot from 11 ft,,0,0
2,1,11:33.0,,Defensive rebound by M. Turner,0,0
3,1,11:33.0,,J. Hill enters the game for I. Mahinmi,0,0
4,1,11:18.0,,M. Turner makes 2-pt dunk at rim (assist by M. Ellis),0,2
5,1,11:01.0,Turnover by R. Sacre (bad pass; steal by M. Ellis),,0,2
6,1,10:57.0,,Shooting foul by R. Sacre (drawn by G. Hill),0,2
7,1,10:57.0,,G. Hill misses free throw 1 of 2,0,2
8,1,10:57.0,,Offensive rebound by Team,0,2
9,1,10:57.0,,G. Hill makes free throw 2 of 2,0,3
10,1,10:48.0,K. Bryant misses 3-pt jump shot from 25 ft,,0,3
11,1,10:47.0,,Defensive rebound by J. Hill,0,3
12,1,10:35.0,,M. Turner misses 2-pt jump shot from 15 ft,0,3
13,1,10:34.0,Defensive rebound by J. Clarkson,,0,3
14,1,10:25.0,J. Randle makes 2-pt jump shot from 21 ft (assist by J. Clarkson),,2,3
15,1,10:07.0,,G. Hill misses 3-pt jump shot from 25 ft,2,3
16,1,10:06.0,Defensive rebound by J. Randle,,2,3
17,1,9:53.0,J. Clarkson misses 2-pt jump shot from 15 ft,,2,3
18,1,9:52.0,,Defensive rebound by J. Hill,2,3
19,1,9:36.0,,G. Hill misses 3-pt jump shot from 26 ft,2,3
20,1,9:34.0,,Offensive rebound by P. George,2,3
21,1,9:34.0,Loose ball foul by J. Clarkson (drawn by P. George),,2,3
22,1,9:29.0,,P. George misses 2-pt jump shot from 18 ft,2,3
23,1,9:28.0,,Offensive rebound by Team,2,3
24,1,9:17.0,,J. Hill makes 2-pt layup at rim (assist by M. Turner),2,5
25,1,9:05.0,J. Randle makes 2-pt jump shot from 13 ft (assist by L. Williams),,4,5
26,1,8:46.0,,P. George misses 3-pt jump shot from 26 ft,4,5
27,1,8:45.0,Defensive rebound by L. Williams,,4,5
28,1,8:36.0,J. Clarkson misses 2-pt layup at rim (block by J. Hill),,4,5
29,1,8:35.0,,Defensive rebound by M. Turner,4,5
30,1,8:31.0,,P. George makes 2-pt layup at rim,4,7
31,1,8:16.0,L. Williams makes 3-pt jump shot from 24 ft (assist by J. Randle),,7,7
