,QUARTER,TIME_REMAINING,HOUSTON_ACTION,TORONTO_ACTION,HOUSTON_SCORE,TORONTO_SCORE
0,1,11:34.0,J. Harden misses 3-pt jump shot from 24 ft (block by J. Johnson),,0,0
1,1,11:34.0,Offensive rebound by Team,,0,0
2,1,11:34.0,Turnover by Team (shot clock),,0,0
3,1,11:15.0,,J. Valančiūnas misses 2-pt hook shot from 6 ft,0,0
4,1,11:15.0,,Offensive rebound by L. Scola,0,0
5,1,11:12.0,,L. Scola misses 2-pt layup from 2 ft,0,0
6,1,11:11.0,Defensive rebound by P. Beverley,,0,0
7,1,11:02.0,Turnover by P. Beverley (bad pass; steal by K. Lowry),,0,0
8,1,10:57.0,,L. Scola makes 2-pt layup from 2 ft (assist by K. Lowry),0,2
9,1,10:44.0,Turnover by T. Ariza (bad pass; steal by L. Scola),,0,2
10,1,10:24.0,,K. Lowry misses 2-pt layup from 3 ft,0,2
11,1,10:24.0,Defensive rebound by D. Howard,,0,2
12,1,10:17.0,Shooting foul by L. Scola (drawn by D. Motiejūnas),,0,2
13,1,10:17.0,D. Motiejūnas makes free throw 1 of 2,,1,2
14,1,10:17.0,D. Motiejūnas misses free throw 2 of 2,,1,2
15,1,10:16.0,,Defensive rebound by J. Valančiūnas,1,2
16,1,10:03.0,,Turnover by D. DeRozan (bad pass; steal by P. Beverley),1,2
17,1,9:56.0,J. Harden makes 2-pt layup from 1 ft (assist by P. Beverley),,3,2
18,1,9:41.0,,J. Johnson misses 3-pt jump shot from 24 ft,3,2
19,1,9:41.0,Defensive rebound by D. Motiejūnas,,3,2
20,1,9:31.0,D. Howard makes 2-pt layup from 2 ft (assist by J. Harden),,5,2
21,1,9:31.0,Shooting foul by J. Valančiūnas (drawn by D. Howard),,5,2
22,1,9:31.0,D. Howard makes free throw 1 of 1,,6,2
23,1,9:19.0,,Personal foul by D. Howard (drawn by J. Valančiūnas),6,2
24,1,9:17.0,,Personal foul by D. Motiejūnas (drawn by K. Lowry),6,2
25,1,9:12.0,,Turnover by K. Lowry (bad pass; steal by J. Harden),6,2
26,1,9:08.0,T. Ariza makes 2-pt dunk at rim (assist by J. Harden),,8,2
27,1,8:46.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by J. Johnson),8,4
28,1,8:32.0,D. Howard makes 2-pt dunk at rim (assist by P. Beverley),,10,4
29,1,8:20.0,,Personal foul by P. Beverley (drawn by K. Lowry),10,4
30,1,8:20.0,Technical foul by P. Beverley,,10,4
31,1,8:20.0,,D. DeRozan makes technical free throw,10,5
32,1,8:08.0,,L. Scola misses 3-pt jump shot from 24 ft,10,5
33,1,8:08.0,Defensive rebound by D. Howard,,10,5
34,1,7:58.0,P. Beverley misses 3-pt jump shot from 24 ft,,10,5
35,1,7:58.0,,Defensive rebound by D. DeRozan,10,5
36,1,7:47.0,,J. Johnson makes 3-pt jump shot from 22 ft (assist by D. DeRozan),10,8
