,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PHOENIX_ACTION,CHARLOTTE_SCORE,PHOENIX_SCORE
0,1,11:42.0,,Personal block foul by M. Williams (drawn by B. Knight),0,0
1,1,11:36.0,,R. Price misses 2-pt layup from 1 ft,0,0
2,1,11:33.0,Defensive rebound by C. Zeller,,0,0
3,1,11:25.0,Turnover by J. Lin (bad pass; steal by P. Tucker),,0,0
4,1,11:20.0,,B. Knight makes 2-pt layup from 2 ft (assist by R. Price),0,2
5,1,10:56.0,Personal foul by T. Chandler (drawn by J. Lin),,0,2
6,1,10:47.0,C. Zeller misses 2-pt layup from 1 ft,,0,2
7,1,10:44.0,,Defensive rebound by T. Chandler,0,2
8,1,10:39.0,,Turnover by B. Knight (bad pass; steal by P. Hairston),0,2
9,1,10:32.0,K. Walker makes 3-pt jump shot from 24 ft (assist by M. Williams),,3,2
10,1,10:12.0,,B. Knight makes 2-pt jump shot from 4 ft,3,4
11,1,9:52.0,P. Hairston makes 3-pt jump shot from 24 ft (assist by K. Walker),,6,4
12,1,9:43.0,,Shooting foul by J. Lin (drawn by T. Chandler),6,4
13,1,9:43.0,,T. Chandler makes free throw 1 of 2,6,5
14,1,9:43.0,,T. Chandler makes free throw 2 of 2,6,6
15,1,9:30.0,J. Lin makes 2-pt layup from 2 ft,,8,6
16,1,9:16.0,,J. Leuer makes 2-pt hook shot from 9 ft (assist by T. Chandler),8,8
17,1,9:01.0,J. Lin misses 2-pt jump shot from 12 ft,,8,8
18,1,8:59.0,Offensive rebound by C. Zeller,,8,8
19,1,8:52.0,K. Walker makes 2-pt jump shot from 6 ft (assist by J. Lin),,10,8
20,1,8:39.0,,P. Tucker makes 3-pt jump shot from 22 ft,10,11
21,1,8:32.0,Charlotte full timeout,,10,11
22,1,8:23.0,M. Williams makes 3-pt jump shot from 24 ft (assist by K. Walker),,13,11
23,1,8:04.0,,Personal foul by C. Zeller (drawn by J. Leuer),13,11
24,1,7:58.0,,R. Price makes 2-pt jump shot from 15 ft,13,13
25,1,7:43.0,Personal foul by R. Price (drawn by J. Lin),,13,13
26,1,7:33.0,C. Zeller makes 2-pt layup at rim (assist by M. Williams),,15,13
27,1,7:22.0,,B. Knight makes 3-pt jump shot from 24 ft (assist by T. Chandler),15,16
28,1,7:03.0,K. Walker misses 2-pt jump shot from 13 ft,,15,16
29,1,6:59.0,,Defensive rebound by J. Leuer,15,16
30,1,6:50.0,,T. Chandler makes 2-pt dunk at rim (assist by B. Knight),15,18
31,1,6:29.0,J. Lin makes 2-pt layup at rim,,17,18
32,1,6:18.0,,J. Leuer makes 2-pt layup at rim,17,20
33,1,6:11.0,Charlotte full timeout,,17,20
34,1,6:11.0,,D. Booker enters the game for R. Price,17,20
35,1,6:08.0,K. Walker misses 3-pt jump shot from 23 ft,,17,20
36,1,6:06.0,,Defensive rebound by D. Booker,17,20
37,1,5:49.0,,T. Chandler misses 2-pt dunk at rim (block by C. Zeller),17,20
38,1,5:46.0,Defensive rebound by M. Williams,,17,20
39,1,5:39.0,P. Hairston misses 3-pt jump shot from 23 ft,,17,20
40,1,5:36.0,,Defensive rebound by P. Tucker,17,20
41,1,5:28.0,,J. Leuer misses 2-pt jump shot from 7 ft (block by M. Williams),17,20
42,1,5:26.0,,Offensive rebound by D. Booker,17,20
43,1,5:24.0,,Turnover by J. Leuer (bad pass),17,20
44,1,5:24.0,,A. Len enters the game for T. Chandler,17,20
45,1,5:09.0,K. Walker makes 3-pt jump shot from 23 ft (assist by J. Lin),,20,20
46,1,4:57.0,,B. Knight misses 2-pt jump shot from 6 ft (block by K. Walker),20,20
47,1,4:55.0,Defensive rebound by P. Hairston,,20,20
48,1,4:54.0,Shooting foul by J. Leuer (drawn by P. Hairston),,20,20
49,1,4:54.0,P. Hairston makes free throw 1 of 2,,21,20
50,1,4:54.0,F. Kaminsky enters the game for M. Williams,,21,20
51,1,4:54.0,,M. Teletović enters the game for J. Leuer,21,20
52,1,4:54.0,P. Hairston misses free throw 2 of 2,,21,20
53,1,4:53.0,,Defensive rebound by D. Booker,21,20
54,1,4:34.0,,M. Teletović misses 2-pt jump shot from 8 ft (block by F. Kaminsky),21,20
55,1,4:32.0,Defensive rebound by J. Lin,,21,20
56,1,4:14.0,F. Kaminsky misses 2-pt jump shot from 11 ft,,21,20
57,1,4:11.0,,Defensive rebound by B. Knight,21,20
58,1,4:01.0,,M. Teletović misses 2-pt jump shot from 6 ft,21,20
59,1,3:59.0,Defensive rebound by C. Zeller,,21,20
60,1,3:48.0,K. Walker misses 2-pt jump shot from 7 ft,,21,20
61,1,3:44.0,,Defensive rebound by D. Booker,21,20
62,1,3:40.0,,D. Booker misses 2-pt jump shot from 6 ft,21,20
63,1,3:37.0,Defensive rebound by K. Walker,,21,20
64,1,3:32.0,J. Lin misses 3-pt jump shot from 24 ft,,21,20
65,1,3:30.0,Offensive rebound by J. Lin,,21,20
66,1,3:27.0,K. Walker misses 3-pt jump shot from 24 ft,,21,20
67,1,3:25.0,Offensive rebound by F. Kaminsky,,21,20
68,1,3:23.0,J. Lin makes 3-pt jump shot from 25 ft (assist by F. Kaminsky),,24,20
69,1,3:22.0,,Phoenix full timeout,24,20
70,1,3:22.0,,R. Price enters the game for P. Tucker,24,20
71,1,3:22.0,,T. Warren enters the game for B. Knight,24,20
72,1,3:22.0,J. Lamb enters the game for K. Walker,,24,20
73,1,3:09.0,,M. Teletović makes 3-pt jump shot from 24 ft (assist by D. Booker),24,23
74,1,2:50.0,J. Lamb misses 2-pt jump shot from 16 ft,,24,23
75,1,2:48.0,,Defensive rebound by M. Teletović,24,23
76,1,2:40.0,,M. Teletović misses 3-pt jump shot from 24 ft,24,23
77,1,2:38.0,Defensive rebound by F. Kaminsky,,24,23
78,1,2:32.0,J. Lin makes 2-pt jump shot from 19 ft,,26,23
79,1,2:14.0,,D. Booker makes 2-pt jump shot from 21 ft,26,25
80,1,1:58.0,C. Zeller misses 2-pt jump shot from 19 ft,,26,25
81,1,1:56.0,,Defensive rebound by A. Len,26,25
82,1,1:48.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by R. Price),26,28
83,1,1:34.0,Shooting foul by M. Teletović (drawn by J. Lin),,26,28
84,1,1:34.0,J. Lin makes free throw 1 of 2,,27,28
85,1,1:34.0,S. Hawes enters the game for C. Zeller,,27,28
