,QUARTER,TIME_REMAINING,DALLAS_ACTION,CHARLOTTE_ACTION,DALLAS_SCORE,CHARLOTTE_SCORE
0,1,11:42.0,,M. Williams misses 3-pt jump shot from 23 ft,0,0
1,1,11:41.0,Defensive rebound by R. Felton,,0,0
2,1,11:22.0,C. Parsons makes 3-pt jump shot from 25 ft (assist by R. Felton),,3,0
3,1,11:03.0,,M. Williams misses 3-pt jump shot from 22 ft,3,0
4,1,11:02.0,Defensive rebound by D. Nowitzki,,3,0
5,1,10:42.0,D. Williams misses 3-pt jump shot from 30 ft,,3,0
6,1,10:41.0,,Defensive rebound by M. Williams,3,0
7,1,10:26.0,,Turnover by M. Williams (bad pass; steal by R. Felton),3,0
8,1,10:18.0,Turnover by W. Matthews (bad pass; steal by C. Lee),,3,0
9,1,10:17.0,,Personal foul by W. Matthews,3,0
10,1,10:08.0,,C. Lee misses 2-pt jump shot from 15 ft,3,0
11,1,10:07.0,,Offensive rebound by C. Zeller,3,0
12,1,10:05.0,,Turnover by N. Batum (offensive goaltending),3,0
13,1,9:56.0,D. Williams makes 2-pt layup at rim,,5,0
14,1,9:40.0,,K. Walker misses 3-pt jump shot from 24 ft,5,0
15,1,9:39.0,Defensive rebound by W. Matthews,,5,0
16,1,9:32.0,W. Matthews misses 2-pt jump shot from 16 ft,,5,0
17,1,9:31.0,,Defensive rebound by C. Zeller,5,0
18,1,9:20.0,,K. Walker misses 2-pt jump shot from 13 ft,5,0
19,1,9:18.0,,Offensive rebound by C. Zeller,5,0
20,1,9:16.0,,C. Zeller misses 2-pt layup from 1 ft (block by D. Williams),5,0
21,1,9:16.0,Defensive rebound by Team,,5,0
22,1,9:00.0,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by R. Felton),,7,0
23,1,8:47.0,,N. Batum makes 2-pt jump shot from 16 ft,7,2
24,1,8:47.0,,Shooting foul by D. Williams (drawn by N. Batum),7,2
25,1,8:47.0,,N. Batum misses free throw 1 of 1,7,2
26,1,8:45.0,Defensive rebound by D. Nowitzki,,7,2
27,1,8:32.0,D. Nowitzki makes 2-pt jump shot from 14 ft (assist by C. Parsons),,9,2
28,1,8:18.0,,N. Batum makes 3-pt jump shot from 25 ft (assist by K. Walker),9,5
29,1,7:56.0,R. Felton makes 2-pt jump shot from 9 ft,,11,5
30,1,7:40.0,,M. Williams makes 2-pt jump shot from 8 ft (assist by N. Batum),11,7
31,1,7:31.0,R. Felton misses 2-pt layup from 2 ft,,11,7
32,1,7:30.0,Offensive rebound by R. Felton,,11,7
33,1,7:30.0,Personal foul by C. Zeller,,11,7
34,1,7:20.0,C. Parsons misses 3-pt jump shot from 24 ft,,11,7
35,1,7:19.0,,Defensive rebound by M. Williams,11,7
36,1,7:12.0,,C. Lee makes 3-pt jump shot from 25 ft (assist by K. Walker),11,10
37,1,6:58.0,D. Williams misses 3-pt jump shot from 23 ft,,11,10
38,1,6:57.0,Offensive rebound by D. Nowitzki,,11,10
39,1,6:38.0,Turnover by R. Felton (bad pass),,11,10
40,1,6:26.0,,N. Batum misses 3-pt jump shot from 25 ft,11,10
41,1,6:25.0,Defensive rebound by C. Parsons,,11,10
42,1,6:11.0,R. Felton misses 2-pt layup from 1 ft (block by N. Batum),,11,10
43,1,6:09.0,,Defensive rebound by C. Zeller,11,10
44,1,6:01.0,,Turnover by K. Walker (bad pass; steal by C. Parsons),11,10
45,1,5:51.0,D. Nowitzki makes 2-pt layup at rim (assist by W. Matthews),,13,10
46,1,5:31.0,,C. Zeller misses 2-pt layup from 1 ft,13,10
47,1,5:30.0,Defensive rebound by D. Nowitzki,,13,10
48,1,5:07.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,13,10
49,1,5:06.0,,Defensive rebound by C. Lee,13,10
50,1,4:54.0,,Charlotte full timeout,13,10
51,1,4:54.0,,J. Lin enters the game for C. Zeller,13,10
52,1,4:54.0,,A. Jefferson enters the game for C. Lee,13,10
53,1,4:54.0,D. Lee enters the game for D. Nowitzki,,13,10
54,1,4:54.0,D. Harris enters the game for R. Felton,,13,10
55,1,4:42.0,,N. Batum misses 3-pt jump shot from 25 ft,13,10
56,1,4:41.0,Defensive rebound by D. Lee,,13,10
57,1,4:27.0,D. Lee misses 2-pt layup from 1 ft,,13,10
58,1,4:26.0,,Defensive rebound by A. Jefferson,13,10
59,1,4:20.0,,K. Walker misses 2-pt jump shot from 14 ft,13,10
60,1,4:18.0,Defensive rebound by D. Harris,,13,10
61,1,4:07.0,Personal foul by M. Williams,,13,10
62,1,4:07.0,,T. Daniels enters the game for N. Batum,13,10
63,1,4:01.0,D. Williams makes 2-pt jump shot from 9 ft,,15,10
64,1,3:44.0,,A. Jefferson misses 2-pt jump shot from 7 ft,15,10
65,1,3:43.0,Defensive rebound by C. Parsons,,15,10
66,1,3:21.0,W. Matthews misses 2-pt jump shot from 10 ft,,15,10
67,1,3:21.0,,Defensive rebound by Team,15,10
68,1,3:16.0,,Personal foul by D. Williams,15,10
69,1,3:16.0,J. Anderson enters the game for W. Matthews,,15,10
70,1,3:16.0,J. Barea enters the game for D. Williams,,15,10
71,1,3:16.0,,F. Kaminsky enters the game for M. Williams,15,10
72,1,3:06.0,,K. Walker makes 2-pt jump shot from 16 ft,15,12
73,1,2:58.0,Dallas full timeout,,15,12
74,1,2:46.0,D. Harris makes 2-pt layup at rim (assist by J. Barea),,17,12
75,1,2:30.0,,T. Daniels misses 3-pt jump shot from 28 ft,17,12
76,1,2:29.0,Defensive rebound by D. Harris,,17,12
77,1,2:21.0,J. Barea misses 2-pt jump shot from 7 ft,,17,12
78,1,2:20.0,,Defensive rebound by F. Kaminsky,17,12
79,1,2:09.0,,Shooting foul by D. Lee (drawn by A. Jefferson),17,12
80,1,2:09.0,,A. Jefferson misses free throw 1 of 2,17,12
81,1,2:09.0,,Offensive rebound by Team,17,12
82,1,2:09.0,,A. Jefferson makes free throw 2 of 2,17,13
83,1,1:58.0,D. Lee makes 2-pt layup from 1 ft (assist by J. Barea),,19,13
