,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PORTLAND_ACTION,SACRAMENTO_SCORE,PORTLAND_SCORE
0,1,11:39.0,,A. Aminu makes 3-pt jump shot from 24 ft (assist by M. Harkless),0,3
1,1,11:18.0,Q. Acy makes 2-pt jump shot from 21 ft (assist by D. Collison),,2,3
2,1,11:06.0,,C. McCollum makes 3-pt jump shot from 26 ft (assist by D. Lillard),2,6
3,1,10:54.0,K. Koufos makes 2-pt hook shot from 4 ft (assist by O. Casspi),,4,6
4,1,10:38.0,,Turnover by C. McCollum (lost ball; steal by S. Curry),4,6
5,1,10:35.0,Shooting foul by D. Lillard (drawn by O. Casspi),,4,6
6,1,10:35.0,O. Casspi makes 2-pt layup from 1 ft (assist by S. Curry),,6,6
7,1,10:35.0,O. Casspi makes free throw 1 of 1,,7,6
8,1,10:16.0,,A. Aminu makes 2-pt jump shot from 9 ft,7,8
9,1,10:16.0,,Shooting foul by S. Curry (drawn by A. Aminu),7,8
10,1,10:16.0,,A. Aminu makes free throw 1 of 1,7,9
11,1,10:01.0,K. Koufos misses 2-pt layup from 1 ft (block by M. Harkless),,7,9
12,1,10:00.0,,Defensive rebound by A. Aminu,7,9
13,1,9:56.0,,M. Harkless makes 2-pt layup at rim (assist by A. Aminu),7,11
14,1,9:30.0,S. Curry makes 2-pt jump shot from 8 ft (assist by D. Collison),,9,11
15,1,9:14.0,,M. Plumlee misses 2-pt hook shot from 3 ft,9,11
16,1,9:14.0,Defensive rebound by O. Casspi,,9,11
17,1,9:08.0,Personal foul by C. McCollum,,9,11
18,1,8:58.0,S. Curry misses 2-pt jump shot from 15 ft,,9,11
19,1,8:57.0,,Defensive rebound by A. Aminu,9,11
20,1,8:54.0,,Turnover by A. Aminu (lost ball; steal by D. Collison),9,11
21,1,8:48.0,Q. Acy makes 2-pt layup at rim (assist by D. Collison),,11,11
22,1,8:33.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),11,14
23,1,8:12.0,O. Casspi misses 2-pt layup from 1 ft,,11,14
24,1,8:12.0,Offensive rebound by K. Koufos,,11,14
25,1,8:12.0,K. Koufos makes 2-pt layup from 1 ft,,13,14
26,1,7:59.0,,M. Harkless makes 3-pt jump shot from 23 ft (assist by M. Plumlee),13,17
27,1,7:44.0,K. Koufos misses 2-pt hook shot from 5 ft,,13,17
28,1,7:44.0,,Defensive rebound by C. McCollum,13,17
29,1,7:36.0,,C. McCollum misses 2-pt jump shot from 15 ft,13,17
30,1,7:35.0,Defensive rebound by D. Collison,,13,17
31,1,7:31.0,O. Casspi misses 2-pt layup from 2 ft,,13,17
32,1,7:30.0,Offensive rebound by Q. Acy,,13,17
33,1,7:30.0,Q. Acy makes 2-pt dunk at rim,,15,17
34,1,7:14.0,,Turnover by M. Plumlee (offensive foul),15,17
35,1,7:14.0,,Offensive foul by M. Plumlee (drawn by K. Koufos),15,17
36,1,7:14.0,W. Cauley-Stein enters the game for Q. Acy,,15,17
37,1,6:56.0,O. Casspi makes 2-pt layup from 2 ft,,17,17
38,1,6:56.0,,Portland full timeout,17,17
39,1,6:35.0,,M. Harkless misses 3-pt jump shot from 23 ft,17,17
40,1,6:34.0,Defensive rebound by W. Cauley-Stein,,17,17
41,1,6:19.0,S. Curry misses 2-pt jump shot from 19 ft,,17,17
42,1,6:18.0,,Defensive rebound by A. Aminu,17,17
43,1,6:11.0,,C. McCollum misses 2-pt layup from 1 ft,17,17
44,1,6:11.0,,Offensive rebound by A. Aminu,17,17
45,1,6:11.0,,A. Aminu misses 2-pt layup at rim,17,17
46,1,6:10.0,,Offensive rebound by M. Harkless,17,17
47,1,6:10.0,,M. Harkless makes 2-pt layup at rim,17,19
48,1,6:10.0,,Shooting foul by O. Casspi (drawn by M. Harkless),17,19
49,1,6:10.0,B. McLemore enters the game for S. Curry,,17,19
50,1,6:10.0,,M. Harkless makes free throw 1 of 1,17,20
51,1,5:58.0,Turnover by B. McLemore (traveling),,17,20
52,1,5:44.0,,M. Harkless makes 2-pt dunk at rim,17,22
53,1,5:32.0,B. McLemore misses 3-pt jump shot from 22 ft,,17,22
54,1,5:31.0,Offensive rebound by K. Koufos,,17,22
55,1,5:28.0,O. Casspi makes 3-pt jump shot from 26 ft (assist by K. Koufos),,20,22
56,1,5:08.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),20,25
57,1,4:59.0,Personal foul by A. Aminu,,20,25
58,1,4:59.0,J. Anderson enters the game for O. Casspi,,20,25
59,1,4:59.0,,A. Crabbe enters the game for C. McCollum,20,25
60,1,4:59.0,,E. Davis enters the game for M. Plumlee,20,25
61,1,4:52.0,K. Koufos makes 2-pt jump shot from 6 ft (assist by B. McLemore),,22,25
62,1,4:37.0,,A. Crabbe makes 2-pt jump shot from 22 ft (assist by D. Lillard),22,27
63,1,4:22.0,D. Collison misses 2-pt layup from 1 ft,,22,27
64,1,4:21.0,Offensive rebound by W. Cauley-Stein,,22,27
65,1,4:21.0,W. Cauley-Stein makes 2-pt dunk at rim,,24,27
66,1,4:12.0,,Shooting foul by K. Koufos (drawn by E. Davis),24,27
67,1,4:12.0,,E. Davis makes free throw 1 of 2,24,28
68,1,4:12.0,,G. Henderson enters the game for A. Aminu,24,28
69,1,4:12.0,,E. Davis makes free throw 2 of 2,24,29
70,1,3:55.0,B. McLemore misses 2-pt jump shot from 20 ft,,24,29
71,1,3:54.0,,Defensive rebound by G. Henderson,24,29
72,1,3:40.0,,Turnover by E. Davis (lost ball; steal by K. Koufos),24,29
73,1,3:35.0,D. Collison misses 2-pt layup at rim,,24,29
74,1,3:34.0,Offensive rebound by W. Cauley-Stein,,24,29
75,1,3:34.0,W. Cauley-Stein makes 2-pt dunk at rim,,26,29
76,1,3:17.0,,D. Lillard misses 2-pt jump shot from 7 ft,26,29
77,1,3:16.0,,Offensive rebound by E. Davis,26,29
78,1,3:16.0,,E. Davis makes 2-pt layup from 1 ft,26,31
79,1,2:54.0,D. Collison makes 2-pt jump shot from 15 ft,,28,31
80,1,2:33.0,,A. Crabbe misses 2-pt jump shot from 20 ft,28,31
81,1,2:32.0,Defensive rebound by K. Koufos,,28,31
82,1,2:19.0,J. Anderson makes 3-pt jump shot from 24 ft (assist by D. Collison),,31,31
83,1,2:02.0,,D. Lillard makes 3-pt jump shot from 28 ft,31,34
84,1,1:53.0,K. Koufos misses 2-pt layup from 1 ft,,31,34
85,1,1:53.0,,Defensive rebound by A. Crabbe,31,34
86,1,1:43.0,,D. Lillard misses 3-pt jump shot from 24 ft,31,34
87,1,1:42.0,Defensive rebound by B. McLemore,,31,34
88,1,1:32.0,B. McLemore misses 2-pt layup from 1 ft (block by E. Davis),,31,34
89,1,1:32.0,Offensive rebound by Team,,31,34
90,1,1:32.0,Sacramento full timeout,,31,34
91,1,1:32.0,,N. Vonleh enters the game for M. Harkless,31,34
92,1,1:32.0,Q. Acy enters the game for K. Koufos,,31,34
93,1,1:24.0,W. Cauley-Stein misses 2-pt layup from 2 ft (block by E. Davis),,31,34
94,1,1:23.0,,Defensive rebound by N. Vonleh,31,34
95,1,1:09.0,,A. Crabbe makes 3-pt jump shot from 22 ft (assist by N. Vonleh),31,37
96,1,0:55.0,B. McLemore misses 2-pt layup from 2 ft (block by A. Crabbe),,31,37
97,1,0:54.0,,Defensive rebound by A. Crabbe,31,37
98,1,0:42.0,,Turnover by A. Crabbe (offensive foul),31,37
99,1,0:42.0,Offensive charge foul by A. Crabbe (drawn by Q. Acy),,31,37
100,1,0:42.0,S. Curry enters the game for D. Collison,,31,37
101,1,0:33.0,Personal foul by G. Henderson,,31,37
102,1,0:24.0,Shooting foul by G. Henderson (drawn by J. Anderson),,31,37
103,1,0:24.0,J. Anderson misses free throw 1 of 2,,31,37
104,1,0:24.0,Offensive rebound by Team,,31,37
105,1,0:24.0,,C. McCollum enters the game for N. Vonleh,31,37
106,1,0:24.0,J. Anderson makes free throw 2 of 2,,32,37
107,1,0:01.0,,C. McCollum misses 2-pt jump shot from 17 ft,32,37
108,1,0:00.0,Defensive rebound by J. Anderson,,32,37
109,1,0:00.0,J. Anderson misses 3-pt jump shot from 69 ft,,32,37
110,1,0:00.0,Offensive rebound by Team,,32,37
111,2,11:43.0,Q. Acy misses 2-pt jump shot from 3 ft (block by E. Davis),,32,37
112,2,11:41.0,Offensive rebound by W. Cauley-Stein,,32,37
113,2,11:41.0,W. Cauley-Stein misses 2-pt hook shot from 2 ft,,32,37
114,2,11:40.0,Offensive rebound by B. McLemore,,32,37
115,2,11:35.0,W. Cauley-Stein misses 2-pt jump shot from 4 ft,,32,37
116,2,11:34.0,,Defensive rebound by E. Davis,32,37
117,2,11:13.0,,G. Henderson makes 3-pt jump shot from 23 ft (assist by C. McCollum),32,40
118,2,10:59.0,Shooting foul by A. Crabbe (drawn by B. McLemore),,32,40
119,2,10:59.0,B. McLemore makes free throw 1 of 2,,33,40
120,2,10:59.0,B. McLemore makes free throw 2 of 2,,34,40
121,2,10:48.0,,A. Crabbe makes 2-pt jump shot from 21 ft (assist by C. McCollum),34,42
122,2,10:27.0,S. Curry misses 3-pt jump shot from 26 ft,,34,42
123,2,10:26.0,Offensive rebound by W. Cauley-Stein,,34,42
124,2,10:19.0,Turnover by B. McLemore (bad pass),,34,42
125,2,10:02.0,,C. McCollum misses 2-pt jump shot from 4 ft,34,42
126,2,10:01.0,,Offensive rebound by E. Davis,34,42
127,2,10:01.0,,E. Davis misses 2-pt layup from 1 ft,34,42
128,2,10:01.0,,Offensive rebound by Team,34,42
129,2,10:01.0,Loose ball foul by Q. Acy,,34,42
130,2,10:01.0,O. Casspi enters the game for J. Anderson,,34,42
131,2,9:59.0,,Turnover by G. Henderson (bad pass; steal by S. Curry),34,42
132,2,9:48.0,W. Cauley-Stein makes 2-pt jump shot from 15 ft,,36,42
133,2,9:27.0,,G. Henderson makes 2-pt jump shot from 19 ft (assist by A. Crabbe),36,44
134,2,9:19.0,O. Casspi misses 2-pt layup from 2 ft (block by N. Vonleh),,36,44
135,2,9:18.0,,Defensive rebound by E. Davis,36,44
136,2,8:58.0,,A. Crabbe makes 3-pt jump shot from 25 ft (assist by C. McCollum),36,47
137,2,8:50.0,Sacramento full timeout,,36,47
138,2,8:50.0,C. Butler enters the game for W. Cauley-Stein,,36,47
139,2,8:32.0,S. Curry makes 2-pt hook shot at rim,,38,47
140,2,8:11.0,,G. Henderson makes 2-pt jump shot from 12 ft,38,49
141,2,8:01.0,C. Butler misses 2-pt jump shot from 21 ft,,38,49
142,2,8:00.0,,Defensive rebound by Team,38,49
143,2,7:44.0,,G. Henderson misses 2-pt jump shot from 13 ft,38,49
144,2,7:44.0,Defensive rebound by Q. Acy,,38,49
145,2,7:35.0,S. Curry makes 2-pt jump shot from 19 ft,,40,49
146,2,7:16.0,,Personal foul by Q. Acy,40,49
147,2,7:16.0,K. Koufos enters the game for Q. Acy,,40,49
148,2,7:16.0,D. Collison enters the game for B. McLemore,,40,49
149,2,7:16.0,,A. Aminu enters the game for G. Henderson,40,49
150,2,7:16.0,,B. Roberts enters the game for A. Crabbe,40,49
151,2,7:09.0,,C. McCollum misses 2-pt jump shot from 14 ft,40,49
152,2,7:08.0,Defensive rebound by O. Casspi,,40,49
153,2,7:03.0,D. Collison misses 2-pt layup from 1 ft,,40,49
154,2,7:02.0,,Defensive rebound by E. Davis,40,49
155,2,6:53.0,,A. Aminu misses 3-pt jump shot from 23 ft,40,49
156,2,6:53.0,,Offensive rebound by Team,40,49
157,2,6:53.0,Loose ball foul by C. Butler,,40,49
158,2,6:35.0,,B. Roberts misses 2-pt jump shot from 17 ft,40,49
159,2,6:34.0,,Offensive rebound by E. Davis,40,49
160,2,6:34.0,,E. Davis makes 2-pt layup at rim,40,51
161,2,6:10.0,C. Butler misses 2-pt jump shot from 16 ft,,40,51
162,2,6:09.0,,Defensive rebound by C. McCollum,40,51
163,2,6:06.0,,Shooting foul by C. Butler (drawn by C. McCollum),40,51
164,2,6:06.0,,C. McCollum makes free throw 1 of 2,40,52
165,2,6:06.0,,M. Plumlee enters the game for E. Davis,40,52
166,2,6:06.0,,C. McCollum makes free throw 2 of 2,40,53
167,2,5:49.0,S. Curry misses 2-pt layup from 1 ft (block by B. Roberts),,40,53
168,2,5:48.0,,Defensive rebound by N. Vonleh,40,53
169,2,5:30.0,,C. McCollum misses 3-pt jump shot from 26 ft,40,53
170,2,5:30.0,Defensive rebound by Team,,40,53
171,2,5:30.0,,Loose ball foul by N. Vonleh,40,53
172,2,5:30.0,Official timeout,,40,53
173,2,5:30.0,W. Cauley-Stein enters the game for C. Butler,,40,53
174,2,5:16.0,K. Koufos misses 2-pt hook shot from 6 ft,,40,53
175,2,5:15.0,,Defensive rebound by N. Vonleh,40,53
176,2,5:03.0,,N. Vonleh makes 2-pt layup from 1 ft,40,55
