,QUARTER,TIME_REMAINING,DALLAS_ACTION,LA CLIPPERS_ACTION,DALLAS_SCORE,LA CLIPPERS_SCORE
0,1,11:45.0,Turnover by Z. Pachulia (bad pass; steal by C. Paul),,0,0
1,1,11:37.0,,Turnover by J. Redick (bad pass),0,0
2,1,11:30.0,Offensive foul by J. Anderson (drawn by B. Griffin),,0,0
3,1,11:30.0,Turnover by J. Anderson (offensive foul),,0,0
4,1,11:12.0,,J. Redick makes 2-pt jump shot from 17 ft (assist by C. Paul),0,2
5,1,11:00.0,Z. Pachulia makes 2-pt layup from 2 ft (assist by D. Nowitzki),,2,2
6,1,10:48.0,,B. Griffin misses 2-pt layup from 2 ft (block by Z. Pachulia),2,2
7,1,10:44.0,Defensive rebound by D. Nowitzki,,2,2
8,1,10:35.0,Shooting foul by B. Griffin (drawn by D. Nowitzki),,2,2
9,1,10:35.0,D. Nowitzki makes free throw 1 of 2,,3,2
10,1,10:35.0,D. Nowitzki makes free throw 2 of 2,,4,2
11,1,10:20.0,,B. Griffin makes 2-pt layup from 1 ft (assist by J. Redick),4,4
12,1,9:55.0,D. Williams makes 2-pt layup from 2 ft,,6,4
13,1,9:45.0,,J. Redick makes 2-pt jump shot from 22 ft (assist by L. Mbah a Moute),6,6
14,1,9:33.0,W. Matthews misses 3-pt jump shot from 24 ft,,6,6
15,1,9:31.0,,Defensive rebound by D. Jordan,6,6
16,1,9:17.0,,Shooting block foul by Z. Pachulia (drawn by D. Jordan),6,6
17,1,9:17.0,,D. Jordan misses free throw 1 of 2,6,6
18,1,9:17.0,,Offensive rebound by Team,6,6
19,1,9:17.0,,D. Jordan misses free throw 2 of 2,6,6
20,1,9:16.0,Defensive rebound by Z. Pachulia,,6,6
21,1,8:54.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by D. Williams),,8,6
22,1,8:40.0,,L. Mbah a Moute makes 2-pt layup from 2 ft (assist by C. Paul),8,8
23,1,8:14.0,W. Matthews misses 2-pt jump shot from 9 ft,,8,8
24,1,8:11.0,,Defensive rebound by L. Mbah a Moute,8,8
25,1,8:07.0,,J. Redick makes 2-pt jump shot from 18 ft (assist by B. Griffin),8,10
26,1,7:48.0,D. Nowitzki misses 2-pt jump shot from 19 ft,,8,10
27,1,7:46.0,,Defensive rebound by D. Jordan,8,10
28,1,7:35.0,,B. Griffin misses 2-pt jump shot from 19 ft,8,10
29,1,7:34.0,Defensive rebound by D. Williams,,8,10
30,1,7:28.0,D. Williams misses 2-pt layup from 2 ft (block by L. Mbah a Moute),,8,10
31,1,7:21.0,,Defensive rebound by D. Jordan,8,10
32,1,7:13.0,,B. Griffin misses 2-pt jump shot from 18 ft,8,10
33,1,7:12.0,,Offensive rebound by D. Jordan,8,10
34,1,7:10.0,,D. Jordan misses 2-pt hook shot from 3 ft,8,10
35,1,7:06.0,Defensive rebound by J. Anderson,,8,10
36,1,6:56.0,D. Nowitzki makes 2-pt jump shot from 15 ft (assist by D. Williams),,10,10
37,1,6:33.0,,J. Redick misses 2-pt jump shot from 16 ft,10,10
38,1,6:32.0,Defensive rebound by D. Williams,,10,10
39,1,6:29.0,Shooting foul by L. Mbah a Moute (drawn by D. Williams),,10,10
40,1,6:29.0,D. Williams makes free throw 1 of 2,,11,10
41,1,6:29.0,D. Lee enters the game for D. Nowitzki,,11,10
42,1,6:29.0,D. Harris enters the game for J. Anderson,,11,10
43,1,6:29.0,,W. Johnson enters the game for L. Mbah a Moute,11,10
44,1,6:29.0,D. Williams makes free throw 2 of 2,,12,10
45,1,6:18.0,,Personal foul by W. Matthews,12,10
46,1,6:07.0,,C. Paul misses 2-pt jump shot from 17 ft,12,10
47,1,6:07.0,,Offensive rebound by Team,12,10
48,1,6:07.0,Loose ball foul by D. Lee,,12,10
49,1,5:56.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by C. Paul),12,13
50,1,5:41.0,Turnover by Z. Pachulia (bad pass),,12,13
51,1,5:41.0,,LA Clippers full timeout,12,13
52,1,5:41.0,R. Felton enters the game for D. Williams,,12,13
53,1,5:16.0,,B. Griffin misses 2-pt jump shot from 20 ft,12,13
54,1,5:14.0,Defensive rebound by D. Lee,,12,13
55,1,4:57.0,W. Matthews misses 3-pt jump shot from 26 ft,,12,13
56,1,4:55.0,,Defensive rebound by B. Griffin,12,13
57,1,4:43.0,,C. Paul misses 3-pt jump shot from 24 ft,12,13
58,1,4:41.0,Defensive rebound by D. Lee,,12,13
59,1,4:23.0,R. Felton misses 3-pt jump shot from 25 ft,,12,13
60,1,4:20.0,,Defensive rebound by C. Paul,12,13
61,1,4:03.0,,B. Griffin misses 2-pt jump shot from 21 ft,12,13
62,1,4:01.0,Defensive rebound by R. Felton,,12,13
63,1,3:45.0,Personal foul by C. Paul,,12,13
64,1,3:45.0,,J. Crawford enters the game for J. Redick,12,13
65,1,3:45.0,,J. Green enters the game for B. Griffin,12,13
66,1,3:30.0,D. Harris misses 3-pt jump shot from 24 ft,,12,13
67,1,3:30.0,Offensive rebound by Team,,12,13
68,1,3:30.0,Turnover by Team (shot clock),,12,13
69,1,3:19.0,,C. Paul makes 2-pt jump shot from 16 ft,12,15
70,1,3:04.0,Turnover by W. Matthews (lost ball; steal by J. Green),,12,15
71,1,3:00.0,,J. Green makes 2-pt dunk at rim,12,17
72,1,3:00.0,Dallas full timeout,,12,17
73,1,3:00.0,,A. Rivers enters the game for C. Paul,12,17
74,1,2:38.0,Turnover by R. Felton (bad pass; steal by J. Green),,12,17
75,1,2:32.0,,J. Crawford makes 3-pt jump shot from 24 ft (assist by J. Green),12,20
76,1,2:11.0,R. Felton makes 2-pt layup from 1 ft (assist by W. Matthews),,14,20
77,1,2:11.0,Shooting foul by A. Rivers (drawn by R. Felton),,14,20
78,1,2:11.0,D. Nowitzki enters the game for Z. Pachulia,,14,20
79,1,2:11.0,J. Anderson enters the game for W. Matthews,,14,20
80,1,2:11.0,R. Felton misses free throw 1 of 1,,14,20
81,1,2:08.0,,Defensive rebound by J. Green,14,20
82,1,1:54.0,,Offensive foul by D. Jordan (drawn by D. Harris),14,20
83,1,1:54.0,,Turnover by D. Jordan (offensive foul),14,20
84,1,1:44.0,Turnover by R. Felton (bad pass; steal by J. Green),,14,20
85,1,1:40.0,,J. Green makes 2-pt dunk at rim,14,22
86,1,1:16.0,R. Felton makes 3-pt jump shot from 26 ft (assist by D. Harris),,17,22
87,1,0:59.0,,J. Green misses 2-pt hook shot from 7 ft,17,22
88,1,0:56.0,Defensive rebound by J. Anderson,,17,22
89,1,0:50.0,R. Felton makes 2-pt layup from 2 ft,,19,22
90,1,0:38.0,,J. Green misses 3-pt jump shot from 26 ft,19,22
91,1,0:36.0,Defensive rebound by J. Anderson,,19,22
92,1,0:29.0,Personal foul by A. Rivers,,19,22
93,1,0:29.0,R. Felton makes free throw 1 of 2,,20,22
94,1,0:29.0,R. Felton makes free throw 2 of 2,,21,22
95,1,0:08.0,,Shooting foul by D. Harris (drawn by J. Crawford),21,22
96,1,0:08.0,,J. Crawford makes free throw 1 of 3,21,23
97,1,0:08.0,,J. Crawford misses free throw 2 of 3,21,23
98,1,0:08.0,,Offensive rebound by Team,21,23
99,1,0:08.0,,L. Mbah a Moute enters the game for A. Rivers,21,23
