,QUARTER,TIME_REMAINING,TORONTO_ACTION,NEW YORK_ACTION,TORONTO_SCORE,NEW YORK_SCORE
0,1,11:42.0,,S. Vujačić misses 3-pt jump shot from 24 ft,0,0
1,1,11:40.0,Defensive rebound by J. Thompson,,0,0
2,1,11:19.0,J. Valančiūnas makes 2-pt jump shot from 6 ft (assist by N. Powell),,2,0
3,1,11:01.0,,C. Anthony misses 2-pt jump shot from 12 ft,2,0
4,1,10:59.0,Defensive rebound by J. Thompson,,2,0
5,1,10:44.0,K. Lowry misses 2-pt jump shot from 15 ft,,2,0
6,1,10:42.0,,Defensive rebound by J. Grant,2,0
7,1,10:33.0,,C. Anthony misses 2-pt jump shot from 17 ft,2,0
8,1,10:31.0,,Offensive rebound by Team,2,0
9,1,10:24.0,,J. Grant makes 2-pt jump shot from 4 ft,2,2
10,1,10:06.0,N. Powell misses 2-pt jump shot from 15 ft,,2,2
11,1,10:04.0,Offensive rebound by J. Thompson,,2,2
12,1,9:53.0,Turnover by D. DeRozan (lost ball; steal by J. Grant),,2,2
13,1,9:41.0,,R. Lopez misses 2-pt layup from 1 ft (block by J. Valančiūnas),2,2
14,1,9:39.0,Defensive rebound by D. DeRozan,,2,2
15,1,9:28.0,D. DeRozan misses 2-pt layup from 1 ft,,2,2
16,1,9:26.0,Offensive rebound by J. Valančiūnas,,2,2
17,1,9:25.0,J. Valančiūnas makes 2-pt layup from 1 ft,,4,2
18,1,9:04.0,,J. Grant makes 2-pt layup from 2 ft,4,4
19,1,8:37.0,J. Thompson makes 2-pt layup from 2 ft (assist by K. Lowry),,6,4
20,1,8:18.0,,Shooting foul by J. Valančiūnas (drawn by C. Anthony),6,4
21,1,8:18.0,,C. Anthony makes free throw 1 of 2,6,5
22,1,8:18.0,,C. Anthony makes free throw 2 of 2,6,6
23,1,7:56.0,J. Thompson makes 2-pt jump shot from 4 ft,,8,6
24,1,7:50.0,,Turnover by C. Anthony (back court),8,6
25,1,7:41.0,D. DeRozan misses 2-pt jump shot from 4 ft,,8,6
26,1,7:39.0,,Defensive rebound by S. Vujačić,8,6
27,1,7:31.0,,C. Anthony makes 3-pt jump shot from 24 ft,8,9
28,1,7:06.0,K. Lowry misses 2-pt hook shot from 4 ft,,8,9
29,1,7:05.0,,Defensive rebound by D. Williams,8,9
30,1,6:56.0,,R. Lopez misses 2-pt jump shot from 12 ft,8,9
31,1,6:54.0,Defensive rebound by J. Thompson,,8,9
32,1,6:46.0,Personal foul by S. Vujačić,,8,9
33,1,6:39.0,D. DeRozan makes 2-pt layup from 1 ft,,10,9
34,1,6:25.0,,R. Lopez misses 2-pt hook shot from 3 ft,10,9
35,1,6:23.0,Defensive rebound by J. Valančiūnas,,10,9
36,1,6:06.0,J. Thompson misses 3-pt jump shot from 23 ft,,10,9
37,1,6:04.0,,Defensive rebound by R. Lopez,10,9
38,1,5:55.0,,J. Grant makes 3-pt jump shot from 24 ft (assist by S. Vujačić),10,12
39,1,5:33.0,N. Powell misses 3-pt jump shot from 25 ft,,10,12
40,1,5:31.0,,Defensive rebound by C. Anthony,10,12
41,1,5:24.0,,C. Anthony makes 2-pt jump shot from 19 ft (assist by R. Lopez),10,14
42,1,5:22.0,Toronto full timeout,,10,14
43,1,5:22.0,P. Patterson enters the game for J. Thompson,,10,14
44,1,5:10.0,K. Lowry misses 2-pt jump shot from 12 ft,,10,14
45,1,5:08.0,,Defensive rebound by D. Williams,10,14
