,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,UTAH_ACTION,LA CLIPPERS_SCORE,UTAH_SCORE
0,1,11:38.0,,R. Hood misses 3-pt jump shot from 24 ft,0,0
1,1,11:37.0,,Offensive rebound by S. Mack,0,0
2,1,11:17.0,,G. Hayward misses 2-pt jump shot from 8 ft,0,0
3,1,11:17.0,Defensive rebound by C. Aldrich,,0,0
4,1,10:53.0,L. Mbah a Moute misses 2-pt jump shot from 22 ft,,0,0
5,1,10:53.0,Offensive rebound by J. Crawford,,0,0
6,1,10:28.0,P. Prigioni makes 3-pt jump shot from 27 ft,,3,0
7,1,10:12.0,,D. Favors makes 2-pt jump shot from 5 ft,3,2
8,1,9:49.0,C. Aldrich makes 2-pt layup from 1 ft (assist by J. Crawford),,5,2
9,1,9:33.0,,Turnover by S. Mack (lost ball; steal by P. Pierce),5,2
10,1,9:22.0,P. Pierce makes 2-pt layup from 1 ft,,7,2
11,1,9:01.0,,S. Mack makes 2-pt layup from 2 ft,7,4
12,1,8:41.0,P. Pierce makes 2-pt jump shot from 10 ft,,9,4
13,1,8:29.0,,Turnover by G. Hayward (lost ball; steal by C. Aldrich),9,4
14,1,8:25.0,P. Prigioni makes 2-pt layup from 2 ft (assist by P. Pierce),,11,4
15,1,8:25.0,,Utah full timeout,11,4
16,1,8:09.0,,Turnover by D. Favors (bad pass; steal by L. Mbah a Moute),11,4
17,1,8:02.0,J. Crawford makes 3-pt jump shot from 24 ft (assist by L. Mbah a Moute),,14,4
18,1,7:51.0,,Personal foul by J. Crawford,14,4
19,1,7:45.0,,S. Mack misses 3-pt jump shot from 24 ft,14,4
20,1,7:44.0,,Offensive rebound by D. Favors,14,4
21,1,7:40.0,,R. Hood misses 3-pt jump shot from 24 ft,14,4
22,1,7:37.0,,Offensive rebound by R. Gobert,14,4
23,1,7:36.0,,R. Gobert makes 2-pt layup from 1 ft,14,6
24,1,7:18.0,C. Aldrich makes 2-pt hook shot from 8 ft (assist by P. Prigioni),,16,6
25,1,6:58.0,,D. Favors misses 2-pt jump shot from 21 ft,16,6
26,1,6:56.0,,Offensive rebound by R. Gobert,16,6
27,1,6:56.0,,R. Gobert makes 2-pt dunk at rim,16,8
28,1,6:25.0,Turnover by Team (shot clock),,16,8
29,1,6:25.0,,T. Booker enters the game for D. Favors,16,8
30,1,6:25.0,,J. Ingles enters the game for G. Hayward,16,8
31,1,6:06.0,,J. Ingles misses 3-pt jump shot from 24 ft,16,8
32,1,6:05.0,Defensive rebound by P. Prigioni,,16,8
33,1,5:56.0,Shooting foul by J. Ingles (drawn by C. Aldrich),,16,8
34,1,5:56.0,C. Aldrich makes free throw 1 of 2,,17,8
35,1,5:56.0,J. Green enters the game for P. Pierce,,17,8
36,1,5:56.0,C. Aldrich misses free throw 2 of 2,,17,8
37,1,5:54.0,,Defensive rebound by R. Gobert,17,8
38,1,5:46.0,,Def 3 sec tech foul by J. Green,17,8
39,1,5:46.0,,R. Hood makes technical free throw,17,9
40,1,5:30.0,,T. Booker makes 2-pt jump shot from 22 ft (assist by R. Gobert),17,11
41,1,5:17.0,J. Crawford misses 3-pt jump shot from 24 ft,,17,11
42,1,5:17.0,,Defensive rebound by R. Gobert,17,11
43,1,5:10.0,Violation by L. Mbah a Moute (kicked ball),,17,11
44,1,5:01.0,,Def 3 sec tech foul by J. Green,17,11
45,1,5:01.0,,R. Hood misses technical free throw,17,11
46,1,5:01.0,,Offensive rebound by Team,17,11
47,1,4:51.0,,R. Hood makes 3-pt jump shot from 23 ft (assist by S. Mack),17,14
48,1,4:49.0,LA Clippers full timeout,,17,14
49,1,4:26.0,J. Crawford misses 2-pt jump shot from 15 ft,,17,14
50,1,4:25.0,Offensive rebound by C. Aldrich,,17,14
51,1,4:24.0,C. Aldrich makes 2-pt hook shot from 6 ft,,19,14
52,1,4:01.0,,R. Hood misses 3-pt jump shot from 24 ft,19,14
53,1,4:00.0,Defensive rebound by L. Mbah a Moute,,19,14
54,1,3:43.0,P. Prigioni misses 2-pt jump shot from 12 ft,,19,14
55,1,3:43.0,,Defensive rebound by R. Gobert,19,14
56,1,3:23.0,,Personal foul by P. Prigioni,19,14
57,1,3:23.0,C. Wilcox enters the game for J. Crawford,,19,14
58,1,3:23.0,J. Ayres enters the game for C. Aldrich,,19,14
59,1,3:09.0,,J. Ingles makes 3-pt jump shot from 24 ft,19,17
60,1,2:46.0,J. Green makes 2-pt jump shot from 12 ft,,21,17
61,1,2:26.0,,S. Mack makes 2-pt jump shot from 5 ft,21,19
62,1,2:13.0,,R. Neto enters the game for S. Mack,21,19
63,1,2:13.0,,D. Favors enters the game for R. Gobert,21,19
64,1,2:13.0,,G. Hayward enters the game for R. Hood,21,19
