,QUARTER,TIME_REMAINING,UTAH_ACTION,SACRAMENTO_ACTION,UTAH_SCORE,SACRAMENTO_SCORE
0,1,11:42.0,G. Hayward misses 3-pt jump shot from 24 ft,,0,0
1,1,11:42.0,,Defensive rebound by R. Rondo,0,0
2,1,11:33.0,,Turnover by D. Cousins (bad pass),0,0
3,1,11:13.0,D. Favors misses 2-pt jump shot from 17 ft,,0,0
4,1,11:12.0,,Defensive rebound by O. Casspi,0,0
5,1,11:02.0,,R. Gay misses 3-pt jump shot from 23 ft,0,0
6,1,11:01.0,Defensive rebound by D. Favors,,0,0
7,1,10:53.0,R. Neto makes 2-pt layup at rim,,2,0
8,1,10:28.0,,B. McLemore makes 3-pt jump shot from 24 ft (assist by R. Gay),2,3
9,1,10:03.0,Turnover by R. Neto (bad pass; steal by B. McLemore),,2,3
10,1,9:56.0,,O. Casspi makes 2-pt layup from 2 ft (assist by B. McLemore),2,5
11,1,9:41.0,R. Hood misses 2-pt jump shot from 21 ft,,2,5
12,1,9:40.0,,Defensive rebound by R. Rondo,2,5
13,1,9:39.0,,R. Gay makes 2-pt layup from 1 ft (assist by R. Rondo),2,7
14,1,9:39.0,,Shooting foul by R. Neto (drawn by R. Gay),2,7
15,1,9:39.0,,R. Gay makes free throw 1 of 1,2,8
16,1,9:21.0,Turnover by R. Neto (lost ball),,2,8
17,1,9:10.0,,D. Cousins makes 2-pt jump shot from 18 ft (assist by O. Casspi),2,10
18,1,9:06.0,Turnover by D. Favors (bad pass; steal by D. Cousins),,2,10
19,1,9:05.0,,D. Cousins makes 2-pt layup from 2 ft,2,12
20,1,9:05.0,Utah full timeout,,2,12
21,1,8:47.0,R. Hood misses 2-pt jump shot from 16 ft,,2,12
22,1,8:47.0,,Defensive rebound by R. Rondo,2,12
23,1,8:42.0,,Turnover by D. Cousins (lost ball),2,12
24,1,8:23.0,T. Lyles makes 2-pt jump shot from 15 ft (assist by R. Hood),,4,12
25,1,8:05.0,,B. McLemore makes 2-pt layup from 4 ft,4,14
26,1,7:48.0,T. Lyles makes 2-pt jump shot from 14 ft (assist by D. Favors),,6,14
27,1,7:34.0,,Turnover by R. Rondo (traveling),6,14
28,1,7:20.0,D. Favors misses 2-pt jump shot from 13 ft,,6,14
29,1,7:19.0,,Defensive rebound by O. Casspi,6,14
30,1,7:12.0,,Shooting foul by D. Favors (drawn by D. Cousins),6,14
31,1,7:12.0,,D. Cousins misses free throw 1 of 2,6,14
32,1,7:12.0,,Offensive rebound by Team,6,14
33,1,7:12.0,,D. Cousins misses free throw 2 of 2,6,14
34,1,7:11.0,Defensive rebound by D. Favors,,6,14
35,1,6:58.0,Turnover by G. Hayward (bad pass; steal by B. McLemore),,6,14
36,1,6:51.0,,O. Casspi misses 2-pt jump shot from 9 ft,6,14
37,1,6:50.0,Defensive rebound by G. Hayward,,6,14
38,1,6:44.0,G. Hayward makes 2-pt layup from 1 ft (assist by R. Neto),,8,14
39,1,6:22.0,,O. Casspi makes 2-pt layup from 3 ft,8,16
40,1,6:22.0,,Shooting foul by T. Lyles (drawn by O. Casspi),8,16
41,1,6:22.0,T. Burke enters the game for T. Lyles,,8,16
42,1,6:22.0,T. Booker enters the game for R. Neto,,8,16
43,1,6:22.0,,O. Casspi makes free throw 1 of 1,8,17
44,1,6:06.0,G. Hayward misses 2-pt jump shot from 7 ft,,8,17
45,1,6:05.0,,Defensive rebound by D. Cousins,8,17
46,1,5:58.0,,R. Gay makes 2-pt layup from 2 ft (assist by D. Cousins),8,19
47,1,5:43.0,T. Burke misses 2-pt jump shot from 7 ft,,8,19
48,1,5:43.0,Offensive rebound by T. Booker,,8,19
49,1,5:40.0,T. Booker misses 2-pt jump shot from 14 ft,,8,19
50,1,5:38.0,Offensive rebound by D. Favors,,8,19
51,1,5:28.0,Shooting foul by D. Cousins (drawn by G. Hayward),,8,19
52,1,5:28.0,G. Hayward makes free throw 1 of 2,,9,19
53,1,5:28.0,A. Burks enters the game for R. Hood,,9,19
54,1,5:28.0,G. Hayward makes free throw 2 of 2,,10,19
55,1,5:14.0,,D. Cousins makes 2-pt dunk at rim (assist by R. Rondo),10,21
56,1,4:47.0,T. Booker misses 2-pt layup from 1 ft,,10,21
57,1,4:45.0,Offensive rebound by T. Booker,,10,21
58,1,4:45.0,T. Booker makes 2-pt layup from 2 ft,,12,21
59,1,4:30.0,,R. Rondo makes 3-pt jump shot from 24 ft (assist by B. McLemore),12,24
60,1,4:12.0,Turnover by D. Favors (bad pass; steal by R. Rondo),,12,24
61,1,4:12.0,Violation by A. Burks (kicked ball),,12,24
62,1,4:12.0,,D. Collison enters the game for O. Casspi,12,24
63,1,3:53.0,,D. Cousins misses 3-pt jump shot from 26 ft,12,24
64,1,3:52.0,Defensive rebound by A. Burks,,12,24
65,1,3:42.0,Shooting foul by R. Gay (drawn by A. Burks),,12,24
66,1,3:42.0,A. Burks makes free throw 1 of 2,,13,24
67,1,3:42.0,A. Burks makes free throw 2 of 2,,14,24
68,1,3:21.0,,R. Rondo misses 3-pt jump shot from 25 ft,14,24
69,1,3:20.0,,Offensive rebound by B. McLemore,14,24
70,1,3:19.0,,B. McLemore makes 2-pt layup from 1 ft,14,26
71,1,3:00.0,A. Burks misses 2-pt jump shot from 10 ft,,14,26
72,1,2:59.0,Offensive rebound by T. Booker,,14,26
73,1,2:59.0,T. Booker misses 2-pt layup from 1 ft,,14,26
74,1,2:59.0,,Defensive rebound by Team,14,26
75,1,2:59.0,,Sacramento full timeout,14,26
76,1,2:59.0,,M. Belinelli enters the game for B. McLemore,14,26
77,1,2:47.0,,R. Gay makes 2-pt jump shot from 5 ft,14,28
78,1,2:30.0,T. Burke misses 2-pt jump shot from 20 ft,,14,28
