,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SACRAMENTO_ACTION,LA LAKERS_SCORE,SACRAMENTO_SCORE
0,1,11:45.0,Turnover by R. Hibbert (bad pass),,0,0
1,1,11:29.0,,Personal foul by K. Bryant (drawn by B. McLemore),0,0
2,1,11:24.0,,R. Gay makes 2-pt jump shot from 16 ft,0,2
3,1,11:10.0,D. Russell makes 2-pt layup at rim (assist by K. Bryant),,2,2
4,1,10:56.0,,R. Rondo misses 2-pt layup from 1 ft,2,2
5,1,10:56.0,Defensive rebound by R. Hibbert,,2,2
6,1,10:40.0,J. Randle makes 2-pt jump shot from 11 ft,,4,2
7,1,10:30.0,,Shooting foul by R. Hibbert (drawn by D. Cousins),4,2
8,1,10:30.0,,D. Cousins makes free throw 1 of 2,4,3
9,1,10:30.0,,D. Cousins makes free throw 2 of 2,4,4
10,1,10:19.0,Turnover by J. Randle (bad pass; steal by R. Rondo),,4,4
11,1,10:16.0,,R. Rondo makes 2-pt layup from 1 ft,4,6
12,1,10:07.0,Personal foul by B. McLemore (drawn by J. Clarkson),,4,6
13,1,9:54.0,J. Randle misses 2-pt jump shot from 16 ft,,4,6
14,1,9:54.0,,Defensive rebound by R. Rondo,4,6
15,1,9:42.0,,R. Gay makes 2-pt jump shot from 16 ft,4,8
16,1,9:30.0,Turnover by J. Clarkson (bad pass),,4,8
17,1,9:22.0,,D. Cousins misses 3-pt jump shot from 24 ft,4,8
18,1,9:21.0,,Offensive rebound by B. McLemore,4,8
19,1,9:21.0,,B. McLemore makes 2-pt layup from 1 ft,4,10
20,1,8:57.0,K. Bryant misses 3-pt jump shot from 26 ft,,4,10
21,1,8:56.0,,Defensive rebound by W. Cauley-Stein,4,10
22,1,8:41.0,,B. McLemore misses 3-pt jump shot from 23 ft,4,10
23,1,8:41.0,Defensive rebound by J. Clarkson,,4,10
24,1,8:36.0,K. Bryant misses 3-pt jump shot from 25 ft,,4,10
25,1,8:36.0,,Defensive rebound by B. McLemore,4,10
26,1,8:28.0,,R. Rondo makes 2-pt jump shot from 4 ft,4,12
27,1,8:20.0,LA Lakers full timeout,,4,12
28,1,8:12.0,J. Clarkson misses 3-pt jump shot from 23 ft,,4,12
29,1,8:11.0,,Defensive rebound by W. Cauley-Stein,4,12
30,1,8:03.0,,R. Rondo makes 2-pt layup from 1 ft,4,14
31,1,7:50.0,K. Bryant misses 3-pt jump shot from 25 ft,,4,14
32,1,7:50.0,,Defensive rebound by R. Rondo,4,14
33,1,7:45.0,,R. Gay makes 2-pt layup from 3 ft (assist by R. Rondo),4,16
34,1,7:30.0,J. Clarkson makes 2-pt layup from 3 ft,,6,16
35,1,7:24.0,,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by R. Rondo),6,18
36,1,7:24.0,,Shooting foul by R. Hibbert (drawn by W. Cauley-Stein),6,18
37,1,7:24.0,B. Bass enters the game for R. Hibbert,,6,18
38,1,7:24.0,,W. Cauley-Stein misses free throw 1 of 1,6,18
39,1,7:23.0,Defensive rebound by J. Randle,,6,18
40,1,7:12.0,Shooting foul by D. Cousins (drawn by K. Bryant),,6,18
41,1,7:12.0,K. Bryant makes free throw 1 of 2,,7,18
42,1,7:12.0,K. Bryant misses free throw 2 of 2,,7,18
43,1,7:11.0,,Defensive rebound by W. Cauley-Stein,7,18
44,1,7:05.0,,D. Cousins misses 2-pt layup at rim,7,18
45,1,7:04.0,,Offensive rebound by D. Cousins,7,18
46,1,7:04.0,,D. Cousins makes 2-pt layup at rim,7,20
47,1,6:51.0,J. Clarkson makes 3-pt jump shot from 25 ft (assist by D. Russell),,10,20
48,1,6:26.0,,R. Rondo makes 2-pt layup from 2 ft,10,22
49,1,6:04.0,K. Bryant misses 3-pt jump shot from 24 ft,,10,22
50,1,6:03.0,,Defensive rebound by D. Cousins,10,22
51,1,5:59.0,,Shooting foul by B. Bass (drawn by R. Rondo),10,22
52,1,5:59.0,,R. Rondo makes free throw 1 of 2,10,23
53,1,5:59.0,L. Williams enters the game for D. Russell,,10,23
54,1,5:59.0,,R. Rondo makes free throw 2 of 2,10,24
55,1,5:39.0,J. Randle misses 2-pt jump shot from 19 ft,,10,24
56,1,5:39.0,,Defensive rebound by R. Gay,10,24
57,1,5:36.0,,Personal foul by J. Randle (drawn by D. Cousins),10,24
58,1,5:36.0,,D. Cousins makes free throw 1 of 2,10,25
59,1,5:36.0,,D. Cousins makes free throw 2 of 2,10,26
60,1,5:16.0,,Violation by D. Cousins (def goaltending),10,26
61,1,5:16.0,J. Clarkson makes 2-pt jump shot from 5 ft,,12,26
62,1,5:03.0,,Shooting foul by J. Randle (drawn by W. Cauley-Stein),12,26
63,1,5:03.0,,W. Cauley-Stein misses free throw 1 of 2,12,26
64,1,5:03.0,,Offensive rebound by Team,12,26
65,1,5:03.0,N. Young enters the game for K. Bryant,,12,26
66,1,5:03.0,R. Kelly enters the game for J. Randle,,12,26
67,1,5:03.0,,W. Cauley-Stein makes free throw 2 of 2,12,27
68,1,4:53.0,R. Kelly misses 3-pt jump shot from 25 ft,,12,27
69,1,4:53.0,,Defensive rebound by D. Cousins,12,27
70,1,4:45.0,,W. Cauley-Stein makes 2-pt dunk at rim (assist by R. Rondo),12,29
71,1,4:35.0,Turnover by L. Williams (bad pass; steal by R. Gay),,12,29
72,1,4:22.0,,R. Gay makes 2-pt jump shot from 7 ft (assist by R. Rondo),12,31
73,1,4:08.0,J. Clarkson makes 2-pt jump shot from 18 ft,,14,31
74,1,3:58.0,,D. Cousins makes 2-pt layup from 1 ft (assist by R. Rondo),14,33
75,1,3:50.0,LA Lakers full timeout,,14,33
76,1,3:50.0,,D. Collison enters the game for R. Gay,14,33
77,1,3:50.0,,O. Casspi enters the game for W. Cauley-Stein,14,33
78,1,3:50.0,,K. Koufos enters the game for R. Rondo,14,33
79,1,3:37.0,L. Williams misses 3-pt jump shot from 24 ft,,14,33
80,1,3:36.0,,Defensive rebound by D. Cousins,14,33
81,1,3:18.0,,B. McLemore misses 3-pt jump shot from 25 ft,14,33
82,1,3:18.0,Defensive rebound by B. Bass,,14,33
83,1,3:11.0,J. Clarkson misses 2-pt jump shot from 5 ft (block by D. Cousins),,14,33
84,1,3:10.0,,Defensive rebound by K. Koufos,14,33
85,1,3:06.0,,Turnover by B. McLemore (traveling),14,33
86,1,3:06.0,,M. Belinelli enters the game for B. McLemore,14,33
87,1,2:55.0,N. Young misses 3-pt jump shot from 24 ft,,14,33
88,1,2:54.0,,Defensive rebound by O. Casspi,14,33
89,1,2:52.0,,Offensive foul by K. Koufos (drawn by R. Kelly),14,33
90,1,2:52.0,,Turnover by K. Koufos (offensive foul),14,33
91,1,2:52.0,,Sacramento full timeout,14,33
92,1,2:52.0,,W. Cauley-Stein enters the game for D. Cousins,14,33
