,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CHICAGO_ACTION,MILWAUKEE_SCORE,CHICAGO_SCORE
0,1,11:42.0,,J. Butler misses 2-pt jump shot from 15 ft,0,0
1,1,11:41.0,Defensive rebound by K. Middleton,,0,0
2,1,11:21.0,G. Monroe misses 2-pt layup from 1 ft (block by P. Gasol),,0,0
3,1,11:19.0,,Defensive rebound by N. Mirotić,0,0
4,1,11:08.0,,D. Rose misses 2-pt jump shot from 18 ft,0,0
5,1,11:06.0,,Offensive rebound by T. Gibson,0,0
6,1,11:06.0,,T. Gibson makes 2-pt layup from 1 ft,0,2
7,1,10:54.0,J. Parker misses 2-pt jump shot from 14 ft,,0,2
8,1,10:53.0,,Defensive rebound by J. Butler,0,2
9,1,10:33.0,,Turnover by D. Rose (lost ball; steal by G. Antetokounmpo),0,2
10,1,10:29.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,0,2
11,1,10:28.0,,Defensive rebound by D. Rose,0,2
12,1,10:10.0,,N. Mirotić misses 2-pt jump shot from 17 ft,0,2
13,1,10:09.0,,Offensive rebound by P. Gasol,0,2
14,1,10:06.0,,J. Butler makes 3-pt jump shot from 25 ft (assist by P. Gasol),0,5
15,1,9:48.0,G. Antetokounmpo misses 3-pt jump shot from 23 ft,,0,5
16,1,9:47.0,,Defensive rebound by P. Gasol,0,5
17,1,9:36.0,,T. Gibson makes 2-pt layup from 1 ft (assist by P. Gasol),0,7
18,1,9:36.0,,Shooting foul by G. Monroe (drawn by T. Gibson),0,7
19,1,9:36.0,,T. Gibson makes free throw 1 of 1,0,8
20,1,9:20.0,K. Middleton misses 3-pt jump shot from 23 ft,,0,8
21,1,9:19.0,,Defensive rebound by N. Mirotić,0,8
22,1,9:11.0,,T. Gibson makes 2-pt hook shot from 4 ft (assist by J. Butler),0,10
23,1,9:11.0,Milwaukee full timeout,,0,10
24,1,8:48.0,G. Monroe misses 2-pt layup from 2 ft,,0,10
25,1,8:45.0,,Defensive rebound by P. Gasol,0,10
26,1,8:37.0,,D. Rose misses 3-pt jump shot from 24 ft,0,10
27,1,8:37.0,Defensive rebound by Team,,0,10
28,1,8:25.0,G. Monroe makes 2-pt layup from 2 ft (assist by M. Carter-Williams),,2,10
29,1,8:10.0,,Turnover by D. Rose (bad pass; steal by M. Carter-Williams),2,10
30,1,8:05.0,J. Parker makes 2-pt layup from 3 ft (assist by M. Carter-Williams),,4,10
31,1,7:42.0,,P. Gasol makes 2-pt jump shot from 19 ft,4,12
32,1,7:25.0,Turnover by G. Monroe (bad pass; steal by J. Butler),,4,12
33,1,7:22.0,,J. Butler makes 2-pt layup at rim,4,14
34,1,7:01.0,J. Parker misses 2-pt jump shot from 19 ft,,4,14
35,1,7:00.0,,Defensive rebound by N. Mirotić,4,14
36,1,6:51.0,,N. Mirotić misses 3-pt jump shot from 26 ft,4,14
37,1,6:50.0,Defensive rebound by G. Antetokounmpo,,4,14
38,1,6:45.0,Shooting foul by P. Gasol (drawn by G. Antetokounmpo),,4,14
39,1,6:45.0,G. Antetokounmpo misses free throw 1 of 2,,4,14
40,1,6:45.0,Offensive rebound by Team,,4,14
41,1,6:45.0,G. Antetokounmpo misses free throw 2 of 2,,4,14
42,1,6:43.0,,Defensive rebound by N. Mirotić,4,14
43,1,6:30.0,,J. Butler makes 2-pt layup from 3 ft,4,16
44,1,6:13.0,M. Carter-Williams makes 2-pt jump shot from 18 ft (assist by K. Middleton),,6,16
45,1,5:57.0,,D. Rose misses 3-pt jump shot from 25 ft,6,16
46,1,5:56.0,Defensive rebound by G. Antetokounmpo,,6,16
47,1,5:53.0,M. Carter-Williams makes 2-pt dunk at rim (assist by G. Antetokounmpo),,8,16
48,1,5:43.0,,P. Gasol misses 2-pt jump shot from 18 ft,8,16
49,1,5:42.0,Defensive rebound by J. Parker,,8,16
50,1,5:35.0,K. Middleton misses 2-pt jump shot from 10 ft,,8,16
51,1,5:33.0,,Defensive rebound by T. Gibson,8,16
52,1,5:28.0,,D. Rose makes 2-pt layup from 3 ft,8,18
53,1,5:17.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),,11,18
54,1,5:01.0,,Turnover by J. Butler (lost ball; steal by K. Middleton),11,18
55,1,4:58.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by M. Carter-Williams),,13,18
56,1,4:58.0,,Chicago full timeout,13,18
57,1,4:58.0,,B. Portis enters the game for T. Gibson,13,18
58,1,4:58.0,,K. Hinrich enters the game for D. Rose,13,18
59,1,4:58.0,J. O'Bryant enters the game for G. Antetokounmpo,,13,18
60,1,4:58.0,J. Henson enters the game for G. Monroe,,13,18
61,1,4:49.0,,J. Butler makes 2-pt layup from 1 ft (assist by K. Hinrich),13,20
62,1,4:49.0,,Shooting foul by J. Parker (drawn by J. Butler),13,20
63,1,4:49.0,,J. Butler makes free throw 1 of 1,13,21
64,1,4:30.0,Shooting foul by P. Gasol (drawn by J. Parker),,13,21
65,1,4:30.0,J. Parker misses free throw 1 of 2,,13,21
66,1,4:30.0,Offensive rebound by Team,,13,21
67,1,4:30.0,,T. Gibson enters the game for P. Gasol,13,21
68,1,4:30.0,J. Parker makes free throw 2 of 2,,14,21
69,1,4:11.0,,K. Hinrich makes 2-pt jump shot from 17 ft,14,23
70,1,3:56.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),,17,23
71,1,3:25.0,,J. Butler makes 2-pt jump shot from 12 ft,17,25
72,1,3:17.0,K. Middleton misses 3-pt jump shot from 25 ft,,17,25
73,1,3:16.0,Offensive rebound by Team,,17,25
74,1,3:13.0,J. O'Bryant makes 2-pt jump shot from 15 ft (assist by M. Carter-Williams),,19,25
75,1,2:57.0,,B. Portis misses 2-pt jump shot from 14 ft,19,25
76,1,2:56.0,,Offensive rebound by T. Gibson,19,25
77,1,2:51.0,,Shooting foul by K. Middleton (drawn by N. Mirotić),19,25
78,1,2:51.0,,N. Mirotić makes free throw 1 of 2,19,26
79,1,2:51.0,O. Mayo enters the game for J. Parker,,19,26
80,1,2:51.0,,N. Mirotić makes free throw 2 of 2,19,27
81,1,2:28.0,O. Mayo misses 3-pt jump shot from 23 ft,,19,27
82,1,2:27.0,,Defensive rebound by K. Hinrich,19,27
83,1,2:21.0,,N. Mirotić makes 2-pt layup from 2 ft (assist by K. Hinrich),19,29
84,1,2:10.0,K. Middleton makes 2-pt jump shot from 5 ft,,21,29
85,1,2:01.0,,Turnover by J. Butler (bad pass; steal by J. O'Bryant),21,29
86,1,1:50.0,K. Middleton misses 2-pt layup from 2 ft,,21,29
87,1,1:49.0,,Defensive rebound by B. Portis,21,29
88,1,1:38.0,,B. Portis makes 2-pt jump shot from 17 ft,21,31
89,1,1:23.0,M. Carter-Williams misses 2-pt jump shot from 16 ft,,21,31
90,1,1:23.0,,Defensive rebound by Team,21,31
91,1,1:23.0,,T. Snell enters the game for T. Gibson,21,31
92,1,1:06.0,,T. Snell makes 2-pt jump shot from 21 ft,21,33
93,1,1:06.0,Loose ball foul by J. O'Bryant (drawn by N. Mirotić),,21,33
94,1,1:06.0,G. Monroe enters the game for J. Henson,,21,33
95,1,1:06.0,,N. Mirotić makes free throw 1 of 1,21,34
96,1,0:57.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),,24,34
97,1,0:47.0,,T. Snell makes 2-pt layup at rim,24,36
98,1,0:36.0,M. Carter-Williams makes 2-pt layup at rim (assist by G. Monroe),,26,36
99,1,0:28.0,,N. Mirotić misses 3-pt jump shot from 26 ft,26,36
100,1,0:27.0,Defensive rebound by O. Mayo,,26,36
101,1,0:04.0,K. Middleton misses 2-pt jump shot from 14 ft,,26,36
102,1,0:02.0,Offensive rebound by G. Monroe,,26,36
103,1,0:02.0,G. Monroe misses 2-pt layup from 3 ft,,26,36
104,1,0:02.0,Offensive rebound by J. O'Bryant,,26,36
105,1,0:02.0,J. O'Bryant makes 2-pt layup at rim,,28,36
106,2,12:00.0,G. Monroe misses 2-pt hook shot from 1 ft,,28,36
107,2,12:00.0,Offensive rebound by G. Monroe,,28,36
108,2,12:00.0,Shooting foul by T. Gibson (drawn by G. Monroe),,28,36
109,2,12:00.0,G. Monroe makes free throw 1 of 2,,29,36
110,2,12:00.0,G. Monroe makes free throw 2 of 2,,30,36
111,2,11:26.0,,T. Gibson makes 2-pt dunk at rim (assist by T. Snell),30,38
112,2,11:11.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,30,38
113,2,11:10.0,Offensive rebound by G. Monroe,,30,38
114,2,11:10.0,G. Monroe makes 2-pt layup from 2 ft,,32,38
115,2,10:55.0,,T. Snell misses 2-pt jump shot from 6 ft,32,38
116,2,10:55.0,Defensive rebound by Team,,32,38
117,2,10:37.0,G. Monroe makes 2-pt hook shot from 5 ft,,34,38
118,2,10:13.0,,D. McDermott misses 3-pt jump shot from 24 ft,34,38
119,2,10:12.0,Defensive rebound by G. Antetokounmpo,,34,38
120,2,9:59.0,G. Monroe makes 2-pt layup from 1 ft,,36,38
121,2,9:58.0,,Chicago full timeout,36,38
122,2,9:58.0,,P. Gasol enters the game for T. Gibson,36,38
123,2,9:58.0,,D. Rose enters the game for K. Hinrich,36,38
124,2,9:37.0,,P. Gasol misses 2-pt jump shot from 13 ft,36,38
125,2,9:35.0,,Offensive rebound by B. Portis,36,38
126,2,9:32.0,,Turnover by P. Gasol (lost ball),36,38
127,2,9:18.0,G. Monroe misses 2-pt layup from 2 ft,,36,38
128,2,9:17.0,,Defensive rebound by B. Portis,36,38
129,2,9:00.0,,P. Gasol makes 2-pt jump shot from 15 ft (assist by D. Rose),36,40
130,2,8:46.0,G. Antetokounmpo makes 2-pt jump shot from 20 ft,,38,40
131,2,8:30.0,,Shooting foul by R. Vaughn (drawn by B. Portis),38,40
132,2,8:30.0,,B. Portis makes free throw 1 of 2,38,41
133,2,8:30.0,,B. Portis makes free throw 2 of 2,38,42
134,2,8:20.0,,Violation by T. Snell (def goaltending),38,42
135,2,8:20.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,40,42
136,2,8:20.0,Shooting foul by T. Snell (drawn by G. Antetokounmpo),,40,42
137,2,8:20.0,G. Antetokounmpo makes free throw 1 of 1,,41,42
