,QUARTER,TIME_REMAINING,ATLANTA_ACTION,BOSTON_ACTION,ATLANTA_SCORE,BOSTON_SCORE
0,1,11:45.0,,J. Crowder makes 3-pt jump shot from 24 ft (assist by J. Jerebko),0,3
1,1,11:31.0,K. Bazemore misses 2-pt layup from 2 ft (block by A. Johnson),,0,3
2,1,11:30.0,Offensive rebound by Team,,0,3
3,1,11:23.0,K. Korver misses 3-pt jump shot from 27 ft,,0,3
4,1,11:21.0,,Defensive rebound by Team,0,3
5,1,11:01.0,,I. Thomas makes 2-pt jump shot from 15 ft,0,5
6,1,10:48.0,P. Millsap makes 2-pt layup from 2 ft (assist by J. Teague),,2,5
7,1,10:27.0,,E. Turner misses 2-pt jump shot from 14 ft,2,5
8,1,10:26.0,Defensive rebound by P. Millsap,,2,5
9,1,10:10.0,Turnover by J. Teague (lost ball; steal by A. Johnson),,2,5
10,1,10:05.0,,Personal foul by J. Teague,2,5
11,1,9:57.0,,E. Turner misses 2-pt jump shot from 6 ft,2,5
12,1,9:56.0,,Offensive rebound by A. Johnson,2,5
13,1,9:56.0,,A. Johnson misses 2-pt layup at rim,2,5
14,1,9:55.0,,Offensive rebound by J. Crowder,2,5
15,1,9:54.0,,J. Crowder makes 2-pt layup from 2 ft,2,7
16,1,9:44.0,K. Korver misses 3-pt jump shot from 23 ft,,2,7
17,1,9:43.0,,Defensive rebound by A. Johnson,2,7
18,1,9:37.0,,I. Thomas misses 3-pt jump shot from 26 ft,2,7
19,1,9:35.0,Defensive rebound by P. Millsap,,2,7
20,1,9:26.0,P. Millsap misses 2-pt jump shot from 5 ft,,2,7
21,1,9:25.0,Offensive rebound by P. Millsap,,2,7
22,1,9:24.0,P. Millsap makes 2-pt layup from 2 ft,,4,7
23,1,8:59.0,,J. Jerebko misses 3-pt jump shot from 25 ft,4,7
24,1,8:58.0,Defensive rebound by K. Korver,,4,7
25,1,8:53.0,Personal foul by J. Jerebko,,4,7
26,1,8:41.0,P. Millsap makes 2-pt layup from 2 ft,,6,7
27,1,8:20.0,,Shooting foul by A. Horford (drawn by E. Turner),6,7
28,1,8:20.0,,E. Turner misses free throw 1 of 2,6,7
29,1,8:20.0,,Offensive rebound by Team,6,7
30,1,8:20.0,,E. Turner misses free throw 2 of 2,6,7
31,1,8:19.0,Defensive rebound by A. Horford,,6,7
32,1,8:06.0,A. Horford misses 2-pt jump shot from 15 ft,,6,7
33,1,8:06.0,,Defensive rebound by E. Turner,6,7
34,1,7:55.0,,A. Johnson makes 2-pt layup from 1 ft (assist by E. Turner),6,9
35,1,7:46.0,K. Korver makes 3-pt jump shot from 23 ft (assist by A. Horford),,9,9
36,1,7:20.0,,A. Johnson misses 2-pt layup from 3 ft (block by A. Horford),9,9
37,1,7:19.0,,Offensive rebound by E. Turner,9,9
38,1,7:18.0,,Shooting foul by J. Teague (drawn by E. Turner),9,9
39,1,7:18.0,,E. Turner makes free throw 1 of 2,9,10
40,1,7:18.0,D. Schröder enters the game for J. Teague,,9,10
41,1,7:18.0,M. Scott enters the game for A. Horford,,9,10
42,1,7:18.0,,E. Turner makes free throw 2 of 2,9,11
43,1,7:04.0,K. Korver makes 3-pt jump shot from 25 ft (assist by M. Scott),,12,11
44,1,6:43.0,,J. Jerebko misses 3-pt jump shot from 25 ft,12,11
45,1,6:42.0,Defensive rebound by K. Bazemore,,12,11
46,1,6:22.0,P. Millsap misses 2-pt layup from 1 ft,,12,11
47,1,6:21.0,Offensive rebound by P. Millsap,,12,11
48,1,6:21.0,P. Millsap misses 2-pt layup from 1 ft,,12,11
49,1,6:16.0,,Defensive rebound by I. Thomas,12,11
50,1,6:14.0,,I. Thomas misses 3-pt jump shot from 25 ft,12,11
51,1,6:12.0,Defensive rebound by P. Millsap,,12,11
52,1,6:02.0,P. Millsap makes 3-pt jump shot from 25 ft (assist by D. Schröder),,15,11
53,1,6:02.0,,Boston full timeout,15,11
54,1,6:02.0,,M. Smart enters the game for J. Jerebko,15,11
55,1,6:02.0,T. Sefolosha enters the game for K. Bazemore,,15,11
56,1,5:47.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by M. Smart),15,14
57,1,5:29.0,Turnover by P. Millsap (bad pass),,15,14
58,1,5:04.0,,E. Turner makes 2-pt jump shot from 16 ft (assist by I. Thomas),15,16
59,1,4:52.0,Turnover by D. Schröder (lost ball; steal by J. Crowder),,15,16
60,1,4:47.0,,E. Turner makes 2-pt layup from 2 ft (assist by J. Crowder),15,18
61,1,4:30.0,Turnover by P. Millsap (bad pass),,15,18
62,1,4:17.0,,I. Thomas makes 2-pt jump shot from 3 ft,15,20
63,1,4:17.0,Atlanta full timeout,,15,20
