,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MIAMI_ACTION,WASHINGTON_SCORE,MIAMI_SCORE
0,1,11:38.0,,C. Bosh misses 2-pt jump shot from 19 ft,0,0
1,1,11:37.0,Defensive rebound by B. Beal,,0,0
2,1,11:19.0,Turnover by B. Beal (lost ball),,0,0
3,1,11:06.0,,D. Wade makes 2-pt jump shot from 11 ft,0,2
4,1,10:44.0,O. Porter misses 2-pt layup from 2 ft,,0,2
5,1,10:43.0,Offensive rebound by O. Porter,,0,2
6,1,10:42.0,O. Porter makes 2-pt layup from 1 ft,,2,2
7,1,10:23.0,,C. Bosh misses 3-pt jump shot from 24 ft,2,2
8,1,10:22.0,Defensive rebound by O. Porter,,2,2
9,1,10:16.0,B. Beal makes 2-pt jump shot from 21 ft (assist by O. Porter),,4,2
10,1,9:51.0,,C. Bosh misses 2-pt jump shot from 20 ft,4,2
11,1,9:50.0,Defensive rebound by O. Porter,,4,2
12,1,9:31.0,B. Beal misses 3-pt jump shot from 24 ft,,4,2
13,1,9:30.0,,Defensive rebound by G. Dragić,4,2
14,1,9:24.0,,G. Dragić makes 2-pt layup from 1 ft,4,4
15,1,9:14.0,J. Dudley makes 3-pt jump shot from 24 ft (assist by O. Porter),,7,4
16,1,8:59.0,,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),7,6
17,1,8:37.0,J. Wall makes 3-pt jump shot from 23 ft,,10,6
18,1,8:11.0,,C. Bosh misses 2-pt hook shot from 4 ft,10,6
19,1,8:10.0,Defensive rebound by O. Porter,,10,6
20,1,8:07.0,Shooting foul by C. Bosh (drawn by O. Porter),,10,6
21,1,8:07.0,O. Porter misses free throw 1 of 2,,10,6
22,1,8:07.0,Offensive rebound by Team,,10,6
23,1,8:07.0,O. Porter misses free throw 2 of 2,,10,6
24,1,8:06.0,,Defensive rebound by C. Bosh,10,6
25,1,7:55.0,,D. Wade misses 2-pt layup from 1 ft,10,6
26,1,7:54.0,Defensive rebound by Team,,10,6
27,1,7:48.0,O. Porter misses 2-pt jump shot from 12 ft,,10,6
28,1,7:47.0,,Defensive rebound by H. Whiteside,10,6
29,1,7:32.0,,H. Whiteside makes 2-pt jump shot from 13 ft,10,8
30,1,7:27.0,Personal foul by G. Dragić (drawn by J. Wall),,10,8
31,1,7:19.0,J. Wall misses 2-pt jump shot from 16 ft,,10,8
32,1,7:18.0,Offensive rebound by R. Hollins,,10,8
33,1,7:17.0,R. Hollins misses 2-pt jump shot from 5 ft,,10,8
34,1,7:16.0,Offensive rebound by O. Porter,,10,8
35,1,7:16.0,Shooting foul by D. Wade (drawn by O. Porter),,10,8
36,1,7:16.0,O. Porter makes free throw 1 of 2,,11,8
37,1,7:16.0,O. Porter misses free throw 2 of 2,,11,8
38,1,7:15.0,,Defensive rebound by H. Whiteside,11,8
39,1,6:49.0,,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),11,10
40,1,6:29.0,B. Beal misses 2-pt layup from 3 ft,,11,10
41,1,6:28.0,Offensive rebound by R. Hollins,,11,10
42,1,6:15.0,Shooting foul by H. Whiteside (drawn by J. Dudley),,11,10
43,1,6:15.0,J. Dudley makes free throw 1 of 2,,12,10
44,1,6:15.0,,T. Johnson enters the game for G. Dragić,12,10
45,1,6:15.0,,J. Winslow enters the game for C. Bosh,12,10
46,1,6:15.0,J. Dudley misses free throw 2 of 2,,12,10
47,1,6:14.0,,Defensive rebound by H. Whiteside,12,10
48,1,5:56.0,,Shooting foul by R. Hollins (drawn by H. Whiteside),12,10
49,1,5:56.0,,Miami full timeout,12,10
50,1,5:56.0,G. Neal enters the game for J. Dudley,,12,10
51,1,5:56.0,,H. Whiteside misses free throw 1 of 2,12,10
52,1,5:56.0,,Offensive rebound by Team,12,10
53,1,5:56.0,,H. Whiteside misses free throw 2 of 2,12,10
54,1,5:55.0,Defensive rebound by B. Beal,,12,10
55,1,5:34.0,O. Porter misses 2-pt jump shot from 16 ft,,12,10
56,1,5:33.0,,Defensive rebound by D. Wade,12,10
57,1,5:27.0,,D. Wade misses 2-pt layup at rim (block by R. Hollins),12,10
58,1,5:26.0,Defensive rebound by O. Porter,,12,10
59,1,5:20.0,B. Beal misses 3-pt jump shot from 24 ft,,12,10
60,1,5:19.0,Offensive rebound by O. Porter,,12,10
61,1,5:18.0,O. Porter misses 2-pt jump shot from 10 ft,,12,10
62,1,5:17.0,Offensive rebound by Team,,12,10
63,1,5:11.0,Turnover by J. Wall (bad pass),,12,10
64,1,4:59.0,,H. Whiteside makes 2-pt dunk at rim (assist by D. Wade),12,12
65,1,4:47.0,J. Wall makes 2-pt layup from 2 ft,,14,12
66,1,4:33.0,,G. Green misses 3-pt jump shot from 25 ft,14,12
67,1,4:32.0,Defensive rebound by O. Porter,,14,12
68,1,4:24.0,J. Wall makes 2-pt jump shot from 18 ft,,16,12
69,1,4:09.0,,Turnover by D. Wade (bad pass; steal by O. Porter),16,12
70,1,4:03.0,B. Beal makes 2-pt jump shot from 11 ft (assist by O. Porter),,18,12
71,1,3:44.0,,Turnover by T. Johnson (lost ball; steal by G. Neal),18,12
72,1,3:40.0,J. Wall makes 2-pt dunk at rim,,20,12
73,1,3:40.0,,Miami full timeout,20,12
74,1,3:40.0,K. Humphries enters the game for R. Hollins,,20,12
75,1,3:40.0,,G. Dragić enters the game for H. Whiteside,20,12
76,1,3:40.0,,C. Bosh enters the game for D. Wade,20,12
77,1,3:33.0,,Shooting foul by K. Humphries (drawn by C. Bosh),20,12
78,1,3:33.0,,C. Bosh misses free throw 1 of 2,20,12
79,1,3:33.0,,Offensive rebound by Team,20,12
80,1,3:33.0,,C. Bosh makes free throw 2 of 2,20,13
81,1,3:21.0,K. Humphries makes 2-pt dunk at rim (assist by J. Wall),,22,13
82,1,3:02.0,,Turnover by G. Dragić (bad pass),22,13
83,1,3:02.0,,J. McRoberts enters the game for G. Green,22,13
84,1,2:40.0,B. Beal misses 2-pt jump shot from 18 ft,,22,13
85,1,2:39.0,,Defensive rebound by G. Dragić,22,13
86,1,2:27.0,,G. Dragić makes 2-pt layup from 2 ft,22,15
87,1,2:07.0,B. Beal makes 2-pt jump shot from 10 ft,,24,15
88,1,1:55.0,Violation by O. Porter (kicked ball),,24,15
89,1,1:55.0,Washington full timeout,,24,15
90,1,1:55.0,J. Dudley enters the game for O. Porter,,24,15
91,1,1:55.0,G. Temple enters the game for B. Beal,,24,15
