,QUARTER,TIME_REMAINING,CHICAGO_ACTION,SAN ANTONIO_ACTION,CHICAGO_SCORE,SAN ANTONIO_SCORE
0,1,11:47.0,,K. Leonard makes 2-pt jump shot from 11 ft,0,2
1,1,11:35.0,D. Rose misses 2-pt layup from 3 ft,,0,2
2,1,11:31.0,Offensive rebound by T. Gibson,,0,2
3,1,11:31.0,T. Gibson makes 2-pt layup at rim,,2,2
4,1,11:22.0,,T. Parker makes 2-pt jump shot from 18 ft,2,4
5,1,11:03.0,P. Gasol misses 2-pt jump shot from 19 ft,,2,4
6,1,11:02.0,,Defensive rebound by L. Aldridge,2,4
7,1,10:50.0,,L. Aldridge misses 2-pt jump shot from 6 ft,2,4
8,1,10:49.0,Defensive rebound by P. Gasol,,2,4
9,1,10:27.0,D. Rose misses 2-pt jump shot from 15 ft,,2,4
10,1,10:25.0,,Defensive rebound by Team,2,4
11,1,10:09.0,,L. Aldridge makes 2-pt hook shot from 7 ft,2,6
12,1,9:55.0,T. Gibson misses 2-pt jump shot from 12 ft (block by L. Aldridge),,2,6
13,1,9:51.0,,Defensive rebound by L. Aldridge,2,6
14,1,9:49.0,,Turnover by T. Parker (lost ball; steal by E. Moore),2,6
15,1,9:42.0,D. Rose misses 2-pt jump shot from 19 ft,,2,6
16,1,9:40.0,,Defensive rebound by T. Parker,2,6
17,1,9:32.0,,T. Parker misses 3-pt jump shot from 23 ft,2,6
18,1,9:31.0,,Offensive rebound by T. Duncan,2,6
19,1,9:27.0,,D. Green misses 3-pt jump shot from 24 ft,2,6
20,1,9:26.0,Defensive rebound by M. Dunleavy,,2,6
21,1,9:11.0,M. Dunleavy makes 2-pt layup from 2 ft (assist by P. Gasol),,4,6
22,1,9:11.0,Shooting foul by T. Parker (drawn by M. Dunleavy),,4,6
23,1,9:11.0,M. Dunleavy makes free throw 1 of 1,,5,6
24,1,8:52.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by T. Parker),5,9
