,QUARTER,TIME_REMAINING,INDIANA_ACTION,MINNESOTA_ACTION,INDIANA_SCORE,MINNESOTA_SCORE
0,1,11:46.0,,A. Wiggins misses 2-pt jump shot from 19 ft,0,0
1,1,11:45.0,Defensive rebound by G. Hill,,0,0
2,1,11:21.0,M. Ellis misses 3-pt jump shot from 25 ft,,0,0
3,1,11:20.0,,Defensive rebound by R. Rubio,0,0
4,1,11:10.0,,K. Towns makes 2-pt jump shot from 18 ft (assist by R. Rubio),0,2
5,1,10:49.0,Turnover by P. George (bad pass; steal by R. Rubio),,0,2
6,1,10:41.0,,A. Wiggins misses 2-pt layup from 2 ft,0,2
7,1,10:40.0,,Offensive rebound by K. Towns,0,2
8,1,10:40.0,,K. Towns misses 2-pt layup from 1 ft,0,2
9,1,10:39.0,,Offensive rebound by K. Towns,0,2
10,1,10:37.0,,K. Towns makes 2-pt layup from 1 ft,0,4
11,1,10:33.0,Shooting foul by K. Garnett (drawn by C. Miles),,0,4
12,1,10:33.0,C. Miles misses free throw 1 of 2,,0,4
13,1,10:33.0,Offensive rebound by Team,,0,4
14,1,10:33.0,C. Miles makes free throw 2 of 2,,1,4
15,1,10:18.0,,K. Towns makes 2-pt jump shot from 17 ft (assist by R. Rubio),1,6
16,1,9:58.0,C. Miles makes 3-pt jump shot from 22 ft (assist by P. George),,4,6
17,1,9:36.0,,R. Rubio makes 2-pt jump shot from 17 ft,4,8
18,1,9:21.0,Turnover by M. Ellis (bad pass; steal by K. Garnett),,4,8
19,1,9:15.0,,Turnover by R. Rubio (bad pass),4,8
20,1,8:50.0,Turnover by Team (shot clock),,4,8
21,1,8:42.0,,Shooting foul by P. George (drawn by A. Wiggins),4,8
22,1,8:42.0,,A. Wiggins misses free throw 1 of 2,4,8
23,1,8:42.0,,Offensive rebound by Team,4,8
24,1,8:42.0,,A. Wiggins misses free throw 2 of 2,4,8
25,1,8:42.0,Defensive rebound by M. Ellis,,4,8
26,1,8:29.0,G. Hill misses 3-pt jump shot from 24 ft,,4,8
27,1,8:28.0,,Defensive rebound by K. Garnett,4,8
28,1,8:17.0,,K. Towns misses 2-pt jump shot from 18 ft,4,8
29,1,8:16.0,Defensive rebound by M. Ellis,,4,8
30,1,8:06.0,Shooting foul by K. Garnett (drawn by I. Mahinmi),,4,8
31,1,8:06.0,I. Mahinmi makes free throw 1 of 2,,5,8
32,1,8:06.0,I. Mahinmi makes free throw 2 of 2,,6,8
33,1,7:55.0,,Shooting foul by I. Mahinmi (drawn by K. Towns),6,8
34,1,7:55.0,,K. Towns makes free throw 1 of 2,6,9
35,1,7:55.0,,K. Towns makes free throw 2 of 2,6,10
36,1,7:45.0,Turnover by M. Ellis (lost ball; steal by T. Prince),,6,10
37,1,7:33.0,,K. Garnett misses 2-pt jump shot from 18 ft,6,10
38,1,7:32.0,Defensive rebound by M. Ellis,,6,10
39,1,7:08.0,Turnover by Team (shot clock),,6,10
40,1,6:51.0,,K. Garnett misses 2-pt jump shot from 21 ft,6,10
41,1,6:50.0,Defensive rebound by P. George,,6,10
42,1,6:43.0,M. Ellis misses 2-pt layup from 3 ft,,6,10
43,1,6:41.0,Offensive rebound by I. Mahinmi,,6,10
44,1,6:38.0,P. George makes 3-pt jump shot from 25 ft (assist by I. Mahinmi),,9,10
45,1,6:32.0,,Minnesota full timeout,9,10
46,1,6:32.0,,G. Dieng enters the game for K. Garnett,9,10
47,1,6:21.0,,Shooting foul by C. Miles (drawn by G. Dieng),9,10
48,1,6:21.0,,G. Dieng misses free throw 1 of 2,9,10
49,1,6:21.0,,Offensive rebound by Team,9,10
50,1,6:21.0,,G. Dieng makes free throw 2 of 2,9,11
51,1,5:57.0,P. George misses 3-pt jump shot from 26 ft,,9,11
52,1,5:56.0,,Defensive rebound by K. Towns,9,11
53,1,5:44.0,,T. Prince misses 2-pt jump shot from 19 ft,9,11
54,1,5:42.0,Defensive rebound by G. Hill,,9,11
55,1,5:36.0,M. Ellis makes 2-pt layup from 1 ft (assist by G. Hill),,11,11
56,1,5:21.0,,Turnover by G. Dieng (3 sec),11,11
57,1,5:06.0,M. Ellis misses 3-pt jump shot from 23 ft,,11,11
58,1,5:05.0,,Defensive rebound by G. Dieng,11,11
59,1,4:56.0,,A. Wiggins makes 2-pt jump shot from 16 ft (assist by R. Rubio),11,13
60,1,4:43.0,C. Miles misses 2-pt layup at rim,,11,13
61,1,4:42.0,,Defensive rebound by K. Towns,11,13
62,1,4:33.0,,K. Towns makes 2-pt layup from 1 ft (assist by R. Rubio),11,15
63,1,4:33.0,Indiana full timeout,,11,15
64,1,4:33.0,R. Stuckey enters the game for C. Miles,,11,15
