,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,BROOKLYN_ACTION,SACRAMENTO_SCORE,BROOKLYN_SCORE
0,1,11:45.0,R. Gay misses 3-pt jump shot from 23 ft,,0,0
1,1,11:44.0,,Defensive rebound by D. Sloan,0,0
2,1,11:31.0,,B. Lopez misses 2-pt hook shot from 3 ft,0,0
3,1,11:30.0,,Offensive rebound by B. Lopez,0,0
4,1,11:29.0,,B. Lopez misses 2-pt layup at rim,0,0
5,1,11:28.0,,Offensive rebound by B. Lopez,0,0
6,1,11:27.0,,Shooting foul by D. Cousins (drawn by B. Lopez),0,0
7,1,11:27.0,,B. Lopez makes free throw 1 of 2,0,1
8,1,11:27.0,,B. Lopez makes free throw 2 of 2,0,2
9,1,11:16.0,R. Rondo makes 2-pt jump shot from 9 ft,,2,2
10,1,10:58.0,,Turnover by B. Lopez (traveling),2,2
11,1,10:44.0,D. Cousins misses 2-pt jump shot from 19 ft,,2,2
12,1,10:43.0,,Defensive rebound by B. Lopez,2,2
13,1,10:25.0,,B. Lopez misses 2-pt layup from 1 ft,2,2
14,1,10:24.0,Defensive rebound by W. Cauley-Stein,,2,2
15,1,10:17.0,R. Rondo makes 3-pt jump shot from 24 ft (assist by R. Gay),,5,2
16,1,10:00.0,,Turnover by T. Young (lost ball; steal by R. Rondo),5,2
17,1,9:55.0,D. Cousins misses 2-pt layup from 3 ft,,5,2
18,1,9:54.0,,Defensive rebound by T. Young,5,2
19,1,9:50.0,,W. Ellington makes 2-pt layup at rim (assist by T. Young),5,4
20,1,9:33.0,R. Gay makes 2-pt dunk at rim (assist by D. Cousins),,7,4
21,1,9:18.0,,Personal foul by R. Gay (drawn by D. Sloan),7,4
22,1,9:18.0,Sacramento full timeout,,7,4
23,1,9:18.0,O. Casspi enters the game for R. Gay,,7,4
24,1,9:03.0,,W. Ellington misses 3-pt jump shot from 23 ft,7,4
25,1,9:02.0,Defensive rebound by O. Casspi,,7,4
26,1,8:55.0,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by R. Rondo),,9,4
27,1,8:42.0,,B. Lopez misses 2-pt jump shot from 17 ft,9,4
28,1,8:41.0,Defensive rebound by O. Casspi,,9,4
29,1,8:36.0,M. Belinelli misses 3-pt jump shot from 25 ft,,9,4
30,1,8:35.0,,Defensive rebound by B. Lopez,9,4
31,1,8:25.0,,Turnover by B. Lopez (lost ball; steal by R. Rondo),9,4
32,1,8:18.0,R. Rondo makes 2-pt layup from 3 ft,,11,4
33,1,8:17.0,,Brooklyn full timeout,11,4
34,1,8:17.0,,B. Bogdanović enters the game for W. Ellington,11,4
35,1,8:17.0,,S. Larkin enters the game for D. Sloan,11,4
36,1,8:01.0,,T. Young makes 2-pt layup from 2 ft (assist by S. Larkin),11,6
37,1,7:41.0,Personal foul by S. Larkin (drawn by D. Cousins),,11,6
38,1,7:36.0,O. Casspi makes 2-pt layup from 1 ft (assist by D. Cousins),,13,6
39,1,7:16.0,,T. Young makes 2-pt hook shot from 6 ft,13,8
40,1,6:55.0,M. Belinelli misses 2-pt jump shot from 9 ft,,13,8
41,1,6:54.0,Offensive rebound by W. Cauley-Stein,,13,8
42,1,6:48.0,O. Casspi misses 3-pt jump shot from 24 ft,,13,8
43,1,6:47.0,,Defensive rebound by T. Young,13,8
44,1,6:32.0,,J. Johnson makes 3-pt jump shot from 24 ft (assist by T. Young),13,11
45,1,6:09.0,R. Rondo makes 2-pt layup from 1 ft (assist by D. Cousins),,15,11
46,1,5:56.0,,B. Lopez misses 2-pt layup at rim,15,11
47,1,5:55.0,Defensive rebound by D. Cousins,,15,11
48,1,5:48.0,R. Rondo makes 2-pt jump shot from 19 ft (assist by D. Cousins),,17,11
