,QUARTER,TIME_REMAINING,HOUSTON_ACTION,CHICAGO_ACTION,HOUSTON_SCORE,CHICAGO_SCORE
0,1,11:37.0,T. Ariza misses 3-pt jump shot from 25 ft,,0,0
1,1,11:36.0,,Defensive rebound by J. Butler,0,0
2,1,11:14.0,,T. Gibson misses 2-pt jump shot from 15 ft,0,0
3,1,11:13.0,Defensive rebound by T. Ariza,,0,0
4,1,11:09.0,Turnover by J. Harden (bad pass; steal by T. Gibson),,0,0
5,1,10:58.0,,P. Gasol misses 2-pt jump shot from 11 ft (block by T. Ariza),0,0
6,1,10:57.0,,Offensive rebound by P. Gasol,0,0
7,1,10:56.0,,P. Gasol misses 2-pt hook shot from 4 ft,0,0
8,1,10:54.0,,Offensive rebound by P. Gasol,0,0
9,1,10:54.0,,P. Gasol makes 2-pt layup from 1 ft,0,2
10,1,10:46.0,D. Motiejūnas makes 2-pt layup from 1 ft,,2,2
11,1,10:29.0,,J. Butler misses 2-pt layup from 2 ft,2,2
12,1,10:28.0,Defensive rebound by D. Howard,,2,2
13,1,10:22.0,P. Beverley misses 2-pt layup from 1 ft,,2,2
14,1,10:21.0,Offensive rebound by D. Motiejūnas,,2,2
15,1,10:21.0,D. Motiejūnas misses 2-pt layup from 1 ft,,2,2
16,1,10:20.0,,Defensive rebound by J. Butler,2,2
17,1,10:15.0,,D. Rose makes 2-pt jump shot from 4 ft (assist by J. Butler),2,4
18,1,10:03.0,D. Motiejūnas makes 2-pt jump shot from 14 ft (assist by J. Harden),,4,4
19,1,9:47.0,,P. Gasol makes 2-pt jump shot from 17 ft (assist by D. Rose),4,6
20,1,9:31.0,T. Ariza misses 3-pt jump shot from 22 ft,,4,6
21,1,9:29.0,Offensive rebound by D. Howard,,4,6
22,1,9:29.0,D. Howard makes 2-pt layup from 2 ft,,6,6
23,1,9:20.0,,Shooting foul by D. Motiejūnas (drawn by M. Dunleavy),6,6
24,1,9:20.0,,M. Dunleavy makes free throw 1 of 2,6,7
25,1,9:20.0,,M. Dunleavy makes free throw 2 of 2,6,8
26,1,9:02.0,T. Ariza makes 2-pt dunk at rim (assist by J. Harden),,8,8
27,1,8:55.0,,Shooting foul by P. Beverley (drawn by D. Rose),8,8
28,1,8:55.0,,D. Rose misses free throw 1 of 2,8,8
29,1,8:55.0,,Offensive rebound by Team,8,8
30,1,8:55.0,,D. Rose makes free throw 2 of 2,8,9
31,1,8:31.0,D. Howard misses 2-pt hook shot from 6 ft,,8,9
32,1,8:30.0,,Defensive rebound by P. Gasol,8,9
33,1,8:27.0,,Turnover by P. Gasol (bad pass; steal by T. Ariza),8,9
34,1,8:23.0,T. Ariza makes 2-pt jump shot from 12 ft,,10,9
35,1,8:14.0,,Shooting foul by J. Harden (drawn by J. Butler),10,9
36,1,8:14.0,,J. Butler makes free throw 1 of 2,10,10
37,1,8:14.0,,J. Butler makes free throw 2 of 2,10,11
38,1,7:50.0,Turnover by Team (shot clock),,10,11
39,1,7:33.0,,P. Gasol makes 2-pt jump shot from 10 ft (assist by J. Butler),10,13
40,1,7:30.0,,Offensive charge foul by J. Harden (drawn by D. Rose),10,13
41,1,7:30.0,Turnover by J. Harden (offensive foul),,10,13
42,1,7:15.0,,Turnover by P. Gasol (lost ball),10,13
43,1,7:05.0,T. Ariza misses 3-pt jump shot from 23 ft,,10,13
44,1,7:04.0,,Defensive rebound by P. Gasol,10,13
45,1,7:02.0,,Personal foul by P. Beverley (drawn by D. Rose),10,13
46,1,6:54.0,,P. Gasol misses 2-pt layup at rim,10,13
47,1,6:53.0,Defensive rebound by D. Howard,,10,13
48,1,6:49.0,Shooting foul by D. Rose (drawn by J. Harden),,10,13
49,1,6:49.0,J. Harden makes free throw 1 of 2,,11,13
50,1,6:49.0,J. Terry enters the game for P. Beverley,,11,13
51,1,6:49.0,J. Harden misses free throw 2 of 2,,11,13
52,1,6:48.0,,Defensive rebound by P. Gasol,11,13
53,1,6:34.0,,M. Dunleavy makes 2-pt layup at rim (assist by D. Rose),11,15
54,1,6:20.0,D. Howard misses 2-pt layup from 1 ft,,11,15
55,1,6:19.0,,Defensive rebound by P. Gasol,11,15
56,1,6:14.0,,M. Dunleavy makes 3-pt jump shot from 26 ft (assist by J. Butler),11,18
57,1,6:06.0,Houston full timeout,,11,18
58,1,6:06.0,J. Smith enters the game for D. Motiejūnas,,11,18
59,1,5:50.0,J. Smith misses 2-pt jump shot from 7 ft (block by T. Gibson),,11,18
60,1,5:50.0,Offensive rebound by D. Howard,,11,18
61,1,5:50.0,Shooting foul by M. Dunleavy (drawn by D. Howard),,11,18
62,1,5:50.0,D. Howard misses free throw 1 of 2,,11,18
63,1,5:50.0,Offensive rebound by Team,,11,18
64,1,5:50.0,D. Howard misses free throw 2 of 2,,11,18
65,1,5:49.0,Offensive rebound by J. Smith,,11,18
66,1,5:42.0,J. Terry misses 3-pt jump shot from 26 ft,,11,18
67,1,5:40.0,,Defensive rebound by J. Butler,11,18
68,1,5:33.0,,J. Butler makes 2-pt dunk at rim (assist by P. Gasol),11,20
69,1,5:22.0,D. Howard misses 2-pt dunk at rim,,11,20
70,1,5:21.0,,Defensive rebound by T. Gibson,11,20
71,1,5:17.0,,D. Rose makes 2-pt layup from 1 ft (assist by T. Gibson),11,22
72,1,5:02.0,Shooting foul by J. Butler (drawn by J. Harden),,11,22
73,1,5:02.0,J. Harden makes free throw 1 of 2,,12,22
74,1,5:02.0,J. Harden makes free throw 2 of 2,,13,22
75,1,4:38.0,,D. Rose misses 2-pt jump shot from 19 ft,13,22
76,1,4:37.0,,Offensive rebound by P. Gasol,13,22
77,1,4:34.0,,Turnover by P. Gasol (bad pass; steal by T. Ariza),13,22
78,1,4:28.0,J. Harden misses 3-pt jump shot from 25 ft,,13,22
79,1,4:26.0,,Defensive rebound by D. Rose,13,22
80,1,4:22.0,,M. Dunleavy makes 2-pt layup from 1 ft (assist by D. Rose),13,24
81,1,4:18.0,Shooting foul by P. Gasol (drawn by D. Howard),,13,24
82,1,4:18.0,D. Howard misses free throw 1 of 2,,13,24
83,1,4:18.0,Offensive rebound by Team,,13,24
84,1,4:18.0,C. Brewer enters the game for J. Harden,,13,24
85,1,4:18.0,,E. Moore enters the game for M. Dunleavy,13,24
86,1,4:18.0,,N. Mirotić enters the game for T. Gibson,13,24
87,1,4:18.0,,D. McDermott enters the game for D. Rose,13,24
88,1,4:18.0,D. Howard makes free throw 2 of 2,,14,24
89,1,4:03.0,,E. Moore makes 2-pt dunk from 2 ft (assist by P. Gasol),14,26
90,1,3:40.0,T. Ariza makes 2-pt layup from 1 ft (assist by J. Smith),,16,26
91,1,3:27.0,,Turnover by E. Moore (bad pass),16,26
92,1,3:27.0,,J. Holiday enters the game for J. Butler,16,26
93,1,3:13.0,Offensive foul by D. Howard (drawn by P. Gasol),,16,26
94,1,3:13.0,Turnover by D. Howard (offensive foul),,16,26
95,1,2:55.0,,N. Mirotić misses 3-pt jump shot from 25 ft,16,26
96,1,2:54.0,Defensive rebound by D. Howard,,16,26
97,1,2:48.0,C. Brewer makes 2-pt layup from 3 ft (assist by D. Howard),,18,26
98,1,2:27.0,,Turnover by P. Gasol (bad pass; steal by C. Brewer),18,26
99,1,2:13.0,J. Smith misses 3-pt jump shot from 24 ft,,18,26
100,1,2:13.0,Offensive rebound by Team,,18,26
101,1,2:13.0,,Chicago full timeout,18,26
102,1,2:10.0,D. Howard misses 2-pt jump shot from 3 ft (block by P. Gasol),,18,26
103,1,2:09.0,,Defensive rebound by J. Holiday,18,26
104,1,1:55.0,,Turnover by D. McDermott (bad pass; steal by T. Ariza),18,26
105,1,1:49.0,Shooting foul by E. Moore (drawn by D. Howard),,18,26
106,1,1:49.0,D. Howard misses free throw 1 of 2,,18,26
107,1,1:49.0,Offensive rebound by Team,,18,26
108,1,1:49.0,D. Howard makes free throw 2 of 2,,19,26
109,1,1:38.0,,Personal foul by J. Terry (drawn by P. Gasol),19,26
110,1,1:38.0,,P. Gasol misses free throw 1 of 2,19,26
111,1,1:38.0,,Offensive rebound by Team,19,26
112,1,1:38.0,,D. Rose enters the game for J. Holiday,19,26
113,1,1:38.0,,P. Gasol makes free throw 2 of 2,19,27
114,1,1:31.0,Turnover by J. Smith (bad pass),,19,27
115,1,1:17.0,,Turnover by P. Gasol (bad pass; steal by D. Howard),19,27
116,1,1:01.0,D. Howard misses 2-pt layup from 1 ft,,19,27
117,1,1:00.0,Offensive rebound by J. Smith,,19,27
118,1,1:00.0,J. Smith makes 2-pt layup from 1 ft,,21,27
119,1,0:47.0,,Turnover by D. Rose (bad pass),21,27
120,1,0:37.0,J. Smith misses 3-pt jump shot from 24 ft,,21,27
121,1,0:36.0,,Defensive rebound by P. Gasol,21,27
122,1,0:29.0,,E. Moore misses 2-pt layup from 1 ft,21,27
123,1,0:27.0,Defensive rebound by J. Terry,,21,27
124,1,0:27.0,,J. Butler enters the game for E. Moore,21,27
125,1,0:27.0,J. Harden enters the game for D. Howard,,21,27
126,1,0:08.0,J. Smith makes 2-pt layup from 3 ft (assist by C. Brewer),,23,27
127,1,0:03.0,,P. Gasol makes 2-pt dunk at rim (assist by D. Rose),23,29
128,1,0:00.0,J. Smith misses 3-pt jump shot from 47 ft,,23,29
129,1,0:00.0,Offensive rebound by Team,,23,29
130,2,11:48.0,,D. Rose makes 2-pt jump shot from 12 ft (assist by B. Portis),23,31
131,2,11:36.0,C. Capela makes 2-pt dunk at rim (assist by D. Motiejūnas),,25,31
132,2,11:24.0,,Shooting foul by C. Brewer (drawn by J. Butler),25,31
133,2,11:24.0,,J. Butler misses free throw 1 of 2,25,31
134,2,11:24.0,,Offensive rebound by Team,25,31
135,2,11:24.0,,J. Butler makes free throw 2 of 2,25,32
136,2,11:01.0,J. Harden misses 2-pt jump shot from 6 ft,,25,32
137,2,11:00.0,,Defensive rebound by J. Butler,25,32
138,2,10:39.0,,B. Portis misses 3-pt jump shot from 23 ft,25,32
139,2,10:37.0,Defensive rebound by D. Motiejūnas,,25,32
140,2,10:24.0,J. Harden makes 2-pt jump shot from 11 ft,,27,32
141,2,10:12.0,,D. Rose misses 2-pt layup from 1 ft,27,32
142,2,10:11.0,,Offensive rebound by T. Gibson,27,32
143,2,10:11.0,,T. Gibson misses 2-pt layup from 1 ft,27,32
144,2,10:09.0,Defensive rebound by P. Beverley,,27,32
145,2,10:04.0,J. Harden misses 2-pt layup from 1 ft,,27,32
146,2,10:03.0,Offensive rebound by C. Capela,,27,32
147,2,10:03.0,C. Capela makes 2-pt layup at rim,,29,32
148,2,9:44.0,,D. McDermott misses 3-pt jump shot from 22 ft,29,32
149,2,9:43.0,,Offensive rebound by B. Portis,29,32
150,2,9:41.0,,B. Portis misses 2-pt jump shot from 10 ft,29,32
151,2,9:41.0,,Offensive rebound by T. Gibson,29,32
152,2,9:41.0,,T. Gibson misses 2-pt layup from 1 ft,29,32
153,2,9:41.0,,Offensive rebound by Team,29,32
154,2,9:41.0,,Personal foul by D. Motiejūnas (drawn by T. Gibson),29,32
155,2,9:32.0,,D. McDermott makes 2-pt layup from 1 ft (assist by T. Gibson),29,34
156,2,9:22.0,Personal foul by D. McDermott (drawn by C. Brewer),,29,34
157,2,9:22.0,C. Brewer misses free throw 1 of 2,,29,34
158,2,9:22.0,Offensive rebound by Team,,29,34
159,2,9:22.0,C. Brewer makes free throw 2 of 2,,30,34
160,2,8:58.0,,Turnover by B. Portis (lost ball; steal by C. Brewer),30,34
161,2,8:52.0,J. Harden misses 2-pt layup from 2 ft,,30,34
162,2,8:51.0,Offensive rebound by C. Capela,,30,34
163,2,8:51.0,C. Capela makes 2-pt layup at rim,,32,34
164,2,8:50.0,,Chicago full timeout,32,34
165,2,8:37.0,,Personal foul by D. Motiejūnas (drawn by B. Portis),32,34
166,2,8:37.0,J. Smith enters the game for D. Motiejūnas,,32,34
167,2,8:25.0,,Turnover by D. Rose (lost ball; steal by P. Beverley),32,34
168,2,8:21.0,J. Harden makes 2-pt layup from 1 ft (assist by P. Beverley),,34,34
169,2,8:15.0,,Turnover by D. Rose (traveling),34,34
170,2,8:10.0,,Technical foul by D. Rose,34,34
171,2,8:10.0,Technical foul by P. Beverley,,34,34
172,2,8:10.0,,M. Dunleavy enters the game for D. McDermott,34,34
173,2,8:03.0,Turnover by C. Brewer (bad pass; steal by J. Butler),,34,34
174,2,8:01.0,,J. Butler makes 2-pt dunk at rim,34,36
175,2,7:50.0,Shooting foul by B. Portis (drawn by J. Harden),,34,36
176,2,7:50.0,J. Harden makes free throw 1 of 2,,35,36
177,2,7:50.0,,P. Gasol enters the game for B. Portis,35,36
178,2,7:50.0,J. Harden makes free throw 2 of 2,,36,36
179,2,7:41.0,,J. Butler misses 2-pt jump shot from 5 ft,36,36
180,2,7:40.0,Defensive rebound by J. Harden,,36,36
181,2,7:34.0,C. Capela misses 2-pt dunk at rim,,36,36
182,2,7:33.0,,Defensive rebound by J. Butler,36,36
183,2,7:29.0,,Turnover by J. Butler (lost ball; steal by C. Brewer),36,36
184,2,7:29.0,,Loose ball foul by J. Butler (drawn by J. Harden),36,36
185,2,7:15.0,P. Beverley makes 2-pt layup from 1 ft (assist by J. Harden),,38,36
186,2,7:09.0,,Technical foul by Team,38,36
187,2,7:09.0,J. Harden makes technical free throw,,39,36
188,2,6:57.0,,J. Butler misses 2-pt layup from 2 ft (block by J. Smith),39,36
189,2,6:56.0,Defensive rebound by J. Smith,,39,36
190,2,6:50.0,J. Harden misses 3-pt jump shot from 24 ft,,39,36
191,2,6:49.0,,Defensive rebound by J. Butler,39,36
192,2,6:38.0,,Shooting foul by C. Brewer (drawn by D. Rose),39,36
193,2,6:38.0,,D. Rose makes free throw 1 of 2,39,37
194,2,6:38.0,T. Ariza enters the game for C. Brewer,,39,37
195,2,6:38.0,D. Howard enters the game for C. Capela,,39,37
196,2,6:38.0,,D. Rose makes free throw 2 of 2,39,38
197,2,6:25.0,P. Beverley misses 2-pt layup from 1 ft (block by P. Gasol),,39,38
198,2,6:24.0,,Defensive rebound by T. Gibson,39,38
199,2,6:19.0,,J. Butler misses 2-pt layup from 1 ft,39,38
200,2,6:18.0,Defensive rebound by T. Ariza,,39,38
201,2,6:06.0,Turnover by J. Harden (bad pass),,39,38
202,2,6:06.0,,E. Moore enters the game for D. Rose,39,38
203,2,5:53.0,,Personal foul by J. Smith (drawn by P. Gasol),39,38
204,2,5:53.0,,Chicago full timeout,39,38
205,2,5:53.0,J. Terry enters the game for P. Beverley,,39,38
206,2,5:53.0,,P. Gasol misses free throw 1 of 2,39,38
207,2,5:53.0,,Offensive rebound by Team,39,38
208,2,5:53.0,,P. Gasol makes free throw 2 of 2,39,39
209,2,5:34.0,Turnover by J. Harden (bad pass; steal by E. Moore),,39,39
210,2,5:30.0,,Turnover by J. Butler (bad pass),39,39
211,2,5:08.0,D. Howard misses 2-pt layup from 1 ft,,39,39
212,2,5:07.0,Offensive rebound by J. Smith,,39,39
213,2,5:03.0,T. Ariza misses 3-pt jump shot from 24 ft,,39,39
214,2,5:01.0,,Defensive rebound by J. Butler,39,39
215,2,4:44.0,,P. Gasol makes 2-pt jump shot from 19 ft (assist by J. Butler),39,41
216,2,4:29.0,J. Harden misses 2-pt jump shot from 5 ft,,39,41
217,2,4:28.0,,Defensive rebound by P. Gasol,39,41
218,2,4:23.0,,E. Moore makes 2-pt layup from 1 ft,39,43
219,2,4:22.0,Houston full timeout,,39,43
220,2,4:22.0,M. Beasley enters the game for J. Smith,,39,43
221,2,4:07.0,J. Harden makes 2-pt jump shot from 4 ft (assist by M. Beasley),,41,43
222,2,3:47.0,,Turnover by J. Butler (lost ball; steal by T. Ariza),41,43
223,2,3:43.0,T. Ariza misses 2-pt layup from 1 ft,,41,43
224,2,3:42.0,,Defensive rebound by E. Moore,41,43
225,2,3:37.0,,M. Dunleavy misses 3-pt jump shot from 24 ft,41,43
226,2,3:36.0,Defensive rebound by D. Howard,,41,43
227,2,3:27.0,J. Harden misses 3-pt jump shot from 25 ft,,41,43
228,2,3:26.0,,Defensive rebound by J. Butler,41,43
229,2,3:20.0,,Shooting foul by D. Howard (drawn by J. Butler),41,43
230,2,3:20.0,,J. Butler makes free throw 1 of 2,41,44
231,2,3:20.0,,J. Butler makes free throw 2 of 2,41,45
232,2,3:04.0,M. Beasley misses 2-pt jump shot from 13 ft,,41,45
233,2,3:02.0,,Defensive rebound by P. Gasol,41,45
234,2,2:47.0,,E. Moore makes 2-pt jump shot from 3 ft (assist by P. Gasol),41,47
235,2,2:29.0,M. Beasley misses 2-pt jump shot from 22 ft,,41,47
236,2,2:29.0,,Defensive rebound by Team,41,47
237,2,2:29.0,Loose ball foul by D. Howard (drawn by P. Gasol),,41,47
238,2,2:29.0,,P. Gasol makes free throw 1 of 2,41,48
239,2,2:29.0,C. Capela enters the game for D. Howard,,41,48
240,2,2:29.0,,P. Gasol misses free throw 2 of 2,41,48
241,2,2:27.0,Defensive rebound by C. Capela,,41,48
242,2,2:12.0,Turnover by J. Harden (bad pass; steal by P. Gasol),,41,48
243,2,1:57.0,,Shooting foul by J. Harden (drawn by J. Butler),41,48
244,2,1:57.0,,J. Butler makes free throw 1 of 3,41,49
245,2,1:57.0,,J. Butler makes free throw 2 of 3,41,50
246,2,1:57.0,P. Beverley enters the game for J. Terry,,41,50
247,2,1:57.0,C. Brewer enters the game for J. Harden,,41,50
248,2,1:57.0,,J. Butler makes free throw 3 of 3,41,51
249,2,1:41.0,M. Beasley misses 2-pt jump shot from 20 ft,,41,51
250,2,1:39.0,Offensive rebound by C. Brewer,,41,51
251,2,1:31.0,M. Beasley makes 2-pt jump shot from 12 ft (assist by T. Ariza),,43,51
252,2,1:16.0,,T. Gibson makes 2-pt dunk at rim (assist by P. Gasol),43,53
253,2,1:00.0,M. Beasley misses 2-pt jump shot from 21 ft,,43,53
254,2,0:58.0,,Defensive rebound by M. Dunleavy,43,53
255,2,0:47.0,,Personal foul by M. Beasley (drawn by J. Butler),43,53
256,2,0:47.0,,J. Butler makes free throw 1 of 2,43,54
257,2,0:47.0,,J. Butler makes free throw 2 of 2,43,55
258,2,0:37.0,Turnover by C. Brewer (lost ball; steal by M. Dunleavy),,43,55
259,2,0:22.0,,E. Moore misses 3-pt jump shot from 24 ft,43,55
260,2,0:21.0,Defensive rebound by C. Capela,,43,55
261,2,0:06.0,Personal foul by E. Moore (drawn by P. Beverley),,43,55
262,2,0:06.0,,J. Holiday enters the game for J. Butler,43,55
263,2,0:06.0,J. Harden enters the game for M. Beasley,,43,55
264,2,0:00.0,Turnover by J. Harden (bad pass; steal by P. Gasol),,43,55
265,3,11:38.0,,D. Rose makes 3-pt jump shot from 24 ft (assist by J. Butler),43,58
266,3,11:18.0,J. Harden makes 3-pt jump shot from 23 ft (assist by P. Beverley),,46,58
267,3,10:58.0,,P. Gasol misses 2-pt jump shot from 18 ft,46,58
268,3,10:58.0,,Offensive rebound by Team,46,58
269,3,10:49.0,,P. Gasol misses 2-pt jump shot from 11 ft,46,58
270,3,10:48.0,Defensive rebound by D. Howard,,46,58
271,3,10:43.0,J. Harden makes 2-pt layup at rim,,48,58
272,3,10:27.0,,Turnover by D. Rose (lost ball; steal by P. Beverley),48,58
273,3,10:23.0,Shooting foul by M. Dunleavy (drawn by T. Ariza),,48,58
274,3,10:23.0,T. Ariza makes free throw 1 of 2,,49,58
