,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,GOLDEN STATE_ACTION,MEMPHIS_SCORE,GOLDEN STATE_SCORE
0,1,11:39.0,,D. Green misses 3-pt jump shot from 25 ft,0,0
1,1,11:38.0,Defensive rebound by J. Farmar,,0,0
2,1,11:23.0,M. Barnes misses 2-pt jump shot from 12 ft,,0,0
3,1,11:22.0,,Defensive rebound by D. Green,0,0
4,1,11:08.0,,H. Barnes misses 3-pt jump shot from 25 ft,0,0
5,1,11:08.0,,Offensive rebound by D. Green,0,0
6,1,11:05.0,,D. Green misses 2-pt layup from 2 ft,0,0
7,1,11:05.0,,Offensive rebound by D. Green,0,0
8,1,11:05.0,,D. Green misses 2-pt layup from 2 ft,0,0
9,1,11:05.0,,Offensive rebound by D. Green,0,0
10,1,11:05.0,,Shooting foul by J. Farmar (drawn by D. Green),0,0
11,1,11:05.0,,D. Green makes free throw 1 of 2,0,1
12,1,11:05.0,,D. Green misses free throw 2 of 2,0,1
13,1,11:00.0,Defensive rebound by C. Andersen,,0,1
14,1,10:48.0,Z. Randolph misses 2-pt hook shot from 4 ft,,0,1
15,1,10:45.0,Offensive rebound by Z. Randolph,,0,1
16,1,10:44.0,Z. Randolph makes 2-pt jump shot from 3 ft,,2,1
17,1,10:30.0,,K. Thompson makes 2-pt jump shot from 16 ft (assist by S. Curry),2,3
18,1,10:12.0,Z. Randolph makes 2-pt jump shot from 6 ft (assist by M. Barnes),,4,3
19,1,9:59.0,,K. Thompson misses 3-pt jump shot from 26 ft,4,3
20,1,9:58.0,Defensive rebound by M. Barnes,,4,3
21,1,9:49.0,Turnover by M. Barnes (bad pass; steal by S. Curry),,4,3
22,1,9:44.0,,S. Curry misses 3-pt jump shot from 27 ft,4,3
23,1,9:43.0,Defensive rebound by Team,,4,3
24,1,9:21.0,Z. Randolph misses 2-pt hook shot from 12 ft,,4,3
25,1,9:20.0,,Defensive rebound by D. Green,4,3
26,1,9:13.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),4,6
27,1,9:04.0,M. Barnes misses 3-pt jump shot from 26 ft,,4,6
28,1,9:04.0,,Defensive rebound by S. Curry,4,6
29,1,9:01.0,,K. Thompson misses 3-pt jump shot from 26 ft,4,6
30,1,8:57.0,Defensive rebound by M. Barnes,,4,6
31,1,8:47.0,J. Farmar makes 2-pt jump shot from 16 ft,,6,6
32,1,8:33.0,,H. Barnes makes 3-pt jump shot from 24 ft (assist by K. Thompson),6,9
33,1,8:17.0,V. Carter misses 2-pt jump shot from 10 ft,,6,9
34,1,8:16.0,Offensive rebound by Z. Randolph,,6,9
35,1,8:11.0,V. Carter makes 3-pt jump shot from 25 ft,,9,9
36,1,7:59.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),9,12
37,1,7:39.0,J. Farmar makes 3-pt jump shot from 23 ft,,12,12
38,1,7:33.0,,D. Green misses 3-pt jump shot from 26 ft,12,12
39,1,7:32.0,Defensive rebound by Z. Randolph,,12,12
40,1,7:09.0,Z. Randolph makes 2-pt layup from 2 ft (assist by M. Barnes),,14,12
41,1,7:03.0,,D. Green makes 2-pt layup from 2 ft (assist by S. Curry),14,14
42,1,6:52.0,Z. Randolph misses 3-pt jump shot from 24 ft,,14,14
43,1,6:52.0,Offensive rebound by Team,,14,14
44,1,6:52.0,,Loose ball foul by H. Barnes,14,14
45,1,6:52.0,L. Stephenson enters the game for C. Andersen,,14,14
46,1,6:36.0,Turnover by Z. Randolph (traveling),,14,14
47,1,6:26.0,,K. Thompson misses 3-pt jump shot from 26 ft,14,14
48,1,6:26.0,Defensive rebound by V. Carter,,14,14
49,1,6:16.0,M. Barnes misses 3-pt jump shot from 23 ft,,14,14
50,1,6:15.0,,Defensive rebound by H. Barnes,14,14
51,1,6:08.0,,Shooting foul by M. Barnes (drawn by S. Curry),14,14
52,1,6:08.0,,S. Curry makes free throw 1 of 2,14,15
53,1,6:08.0,,A. Iguodala enters the game for H. Barnes,14,15
54,1,6:08.0,,S. Curry makes free throw 2 of 2,14,16
55,1,5:54.0,J. Farmar misses 3-pt jump shot from 25 ft,,14,16
56,1,5:53.0,,Defensive rebound by A. Bogut,14,16
57,1,5:46.0,,K. Thompson makes 2-pt layup from 2 ft (assist by A. Iguodala),14,18
58,1,5:41.0,Memphis full timeout,,14,18
59,1,5:25.0,Z. Randolph makes 2-pt hook shot from 7 ft (assist by V. Carter),,16,18
60,1,5:08.0,,K. Thompson misses 2-pt jump shot from 9 ft,16,18
61,1,5:06.0,Defensive rebound by M. Barnes,,16,18
62,1,4:59.0,Personal foul by A. Bogut,,16,18
63,1,4:59.0,X. Munford enters the game for J. Farmar,,16,18
64,1,4:52.0,V. Carter misses 2-pt jump shot from 16 ft,,16,18
65,1,4:51.0,,Defensive rebound by S. Curry,16,18
66,1,4:44.0,,S. Curry makes 3-pt jump shot from 31 ft,16,21
