,QUARTER,TIME_REMAINING,HOUSTON_ACTION,SAN ANTONIO_ACTION,HOUSTON_SCORE,SAN ANTONIO_SCORE
0,1,11:41.0,D. Howard makes 2-pt dunk from 1 ft (assist by J. Harden),,2,0
1,1,11:20.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by L. Aldridge),2,3
2,1,11:06.0,D. Howard makes 2-pt layup from 1 ft (assist by T. Ariza),,4,3
3,1,10:44.0,,D. Green makes 3-pt jump shot from 24 ft (assist by K. Anderson),4,6
4,1,10:28.0,Turnover by T. Ariza (traveling),,4,6
5,1,10:14.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by T. Parker),4,8
6,1,10:00.0,Turnover by J. Harden (lost ball; steal by D. Green),,4,8
7,1,9:54.0,,D. Green misses 3-pt jump shot from 22 ft,4,8
8,1,9:52.0,,Offensive rebound by L. Aldridge,4,8
9,1,9:52.0,,Shooting foul by C. Brewer (drawn by L. Aldridge),4,8
10,1,9:52.0,,L. Aldridge makes free throw 1 of 2,4,9
11,1,9:52.0,,L. Aldridge makes free throw 2 of 2,4,10
12,1,9:37.0,P. Beverley makes 2-pt jump shot from 8 ft,,6,10
13,1,9:33.0,,T. Parker makes 2-pt layup at rim,6,12
14,1,9:33.0,,Shooting foul by T. Ariza (drawn by T. Parker),6,12
15,1,9:33.0,,T. Parker makes free throw 1 of 1,6,13
16,1,9:14.0,Shooting foul by D. Green (drawn by J. Harden),,6,13
17,1,9:14.0,J. Harden makes free throw 1 of 2,,7,13
18,1,9:14.0,J. Harden makes free throw 2 of 2,,8,13
19,1,9:00.0,,K. Leonard makes 3-pt jump shot from 23 ft (assist by T. Parker),8,16
20,1,9:00.0,Houston full timeout,,8,16
21,1,8:45.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by P. Beverley),,11,16
22,1,8:28.0,,Personal foul by P. Beverley (drawn by D. Green),11,16
23,1,8:21.0,,Turnover by Team (back court),11,16
24,1,8:04.0,C. Brewer makes 2-pt jump shot from 4 ft,,13,16
25,1,7:48.0,,K. Anderson makes 2-pt layup at rim (assist by L. Aldridge),13,18
26,1,7:37.0,J. Harden makes 2-pt layup from 1 ft,,15,18
27,1,7:13.0,,K. Leonard misses 2-pt jump shot from 12 ft,15,18
28,1,7:12.0,Defensive rebound by D. Howard,,15,18
29,1,7:04.0,Shooting foul by T. Parker (drawn by J. Harden),,15,18
30,1,7:04.0,J. Harden makes free throw 1 of 2,,16,18
31,1,7:04.0,,M. Ginóbili enters the game for D. Green,16,18
32,1,7:04.0,J. Smith enters the game for C. Brewer,,16,18
33,1,7:04.0,,B. Diaw enters the game for K. Anderson,16,18
34,1,7:04.0,J. Harden makes free throw 2 of 2,,17,18
35,1,6:46.0,,T. Parker makes 2-pt layup from 1 ft,17,20
36,1,6:28.0,D. Howard makes 2-pt dunk at rim (assist by J. Smith),,19,20
37,1,6:11.0,,K. Leonard misses 3-pt jump shot from 22 ft,19,20
38,1,6:10.0,Defensive rebound by J. Harden,,19,20
39,1,6:04.0,J. Harden makes 2-pt layup from 1 ft,,21,20
40,1,6:04.0,,San Antonio full timeout,21,20
41,1,5:51.0,,Shooting foul by J. Smith (drawn by L. Aldridge),21,20
42,1,5:51.0,,L. Aldridge makes free throw 1 of 2,21,21
43,1,5:51.0,,L. Aldridge makes free throw 2 of 2,21,22
44,1,5:34.0,J. Smith misses 2-pt jump shot from 4 ft,,21,22
45,1,5:33.0,,Defensive rebound by B. Diaw,21,22
46,1,5:27.0,,T. Parker misses 2-pt layup from 1 ft (block by D. Howard),21,22
47,1,5:25.0,Defensive rebound by D. Howard,,21,22
48,1,5:11.0,P. Beverley makes 2-pt layup from 1 ft (assist by T. Ariza),,23,22
49,1,4:51.0,,T. Parker misses 2-pt layup from 2 ft (block by P. Beverley),23,22
50,1,4:51.0,Defensive rebound by P. Beverley,,23,22
51,1,4:51.0,C. Capela enters the game for D. Howard,,23,22
52,1,4:33.0,T. Ariza misses 3-pt jump shot from 23 ft,,23,22
53,1,4:32.0,Offensive rebound by C. Capela,,23,22
54,1,4:28.0,T. Ariza misses 2-pt layup from 1 ft,,23,22
55,1,4:26.0,,Defensive rebound by L. Aldridge,23,22
56,1,4:19.0,,T. Parker makes 2-pt layup from 2 ft,23,24
57,1,4:03.0,J. Smith misses 3-pt jump shot from 24 ft,,23,24
58,1,4:02.0,,Defensive rebound by T. Parker,23,24
59,1,3:58.0,,T. Parker makes 2-pt layup at rim,23,26
60,1,3:46.0,Turnover by J. Smith (traveling),,23,26
61,1,3:46.0,,P. Mills enters the game for T. Parker,23,26
62,1,3:46.0,T. Lawson enters the game for P. Beverley,,23,26
63,1,3:26.0,,Turnover by M. Ginóbili (bad pass; steal by T. Ariza),23,26
64,1,3:23.0,,Offensive charge foul by J. Harden (drawn by M. Ginóbili),23,26
65,1,3:23.0,Turnover by J. Harden (offensive foul),,23,26
66,1,3:23.0,C. Brewer enters the game for T. Ariza,,23,26
67,1,3:06.0,,L. Aldridge misses 2-pt jump shot from 13 ft,23,26
68,1,3:04.0,Defensive rebound by J. Smith,,23,26
69,1,2:55.0,J. Harden misses 2-pt jump shot from 8 ft (block by K. Leonard),,23,26
70,1,2:54.0,Offensive rebound by Team,,23,26
71,1,2:54.0,J. Terry enters the game for J. Harden,,23,26
72,1,2:42.0,C. Brewer makes 2-pt jump shot from 21 ft (assist by J. Smith),,25,26
73,1,2:32.0,,Shooting foul by C. Capela (drawn by L. Aldridge),25,26
74,1,2:32.0,,L. Aldridge makes free throw 1 of 2,25,27
75,1,2:32.0,,D. Green enters the game for K. Leonard,25,27
76,1,2:32.0,,L. Aldridge makes free throw 2 of 2,25,28
77,1,2:23.0,Def 3 sec tech foul by L. Aldridge,,25,28
78,1,2:23.0,J. Terry makes technical free throw,,26,28
79,1,2:17.0,Personal foul by P. Mills (drawn by T. Lawson),,26,28
80,1,2:09.0,Turnover by C. Capela (lost ball; steal by D. Green),,26,28
81,1,1:51.0,,D. Green makes 3-pt jump shot from 23 ft (assist by B. Diaw),26,31
82,1,1:33.0,C. Brewer misses 2-pt jump shot from 6 ft,,26,31
83,1,1:32.0,,Defensive rebound by D. Green,26,31
84,1,1:26.0,,D. Green misses 3-pt jump shot from 25 ft,26,31
85,1,1:23.0,Defensive rebound by C. Capela,,26,31
86,1,1:13.0,J. Smith misses 3-pt jump shot from 24 ft,,26,31
87,1,1:11.0,,Defensive rebound by M. Ginóbili,26,31
88,1,0:53.0,,Turnover by M. Ginóbili (lost ball; steal by T. Lawson),26,31
