,QUARTER,TIME_REMAINING,DENVER_ACTION,NEW YORK_ACTION,DENVER_SCORE,NEW YORK_SCORE
0,1,11:41.0,,C. Anthony misses 2-pt jump shot from 11 ft,0,0
1,1,11:40.0,Defensive rebound by E. Mudiay,,0,0
2,1,11:33.0,K. Faried makes 2-pt layup from 2 ft (assist by E. Mudiay),,2,0
3,1,11:09.0,,A. Afflalo misses 2-pt jump shot from 10 ft,2,0
4,1,11:08.0,Defensive rebound by G. Harris,,2,0
5,1,11:02.0,G. Harris makes 2-pt layup from 1 ft,,4,0
6,1,10:46.0,,K. Porziņģis misses 2-pt jump shot from 18 ft,4,0
7,1,10:44.0,Defensive rebound by D. Gallinari,,4,0
8,1,10:38.0,E. Mudiay misses 3-pt jump shot from 25 ft,,4,0
9,1,10:36.0,,Defensive rebound by K. Porziņģis,4,0
10,1,10:21.0,,J. Calderón makes 3-pt jump shot from 23 ft (assist by C. Anthony),4,3
11,1,10:04.0,N. Jokić makes 2-pt jump shot from 3 ft (assist by D. Gallinari),,6,3
12,1,9:52.0,,K. Porziņģis misses 2-pt jump shot from 15 ft,6,3
13,1,9:51.0,Defensive rebound by D. Gallinari,,6,3
14,1,9:42.0,K. Faried misses 2-pt jump shot from 20 ft,,6,3
15,1,9:40.0,,Defensive rebound by A. Afflalo,6,3
16,1,9:33.0,,C. Anthony misses 2-pt jump shot from 22 ft,6,3
17,1,9:31.0,Defensive rebound by E. Mudiay,,6,3
18,1,9:22.0,Personal foul by R. Lopez (drawn by D. Gallinari),,6,3
19,1,9:10.0,D. Gallinari misses 3-pt jump shot from 24 ft,,6,3
20,1,9:08.0,,Defensive rebound by A. Afflalo,6,3
21,1,8:57.0,,A. Afflalo makes 2-pt jump shot from 6 ft (assist by C. Anthony),6,5
22,1,8:57.0,,Shooting foul by G. Harris (drawn by A. Afflalo),6,5
23,1,8:57.0,,A. Afflalo makes free throw 1 of 1,6,6
24,1,8:46.0,N. Jokić makes 2-pt layup from 1 ft (assist by G. Harris),,8,6
25,1,8:30.0,,K. Porziņģis misses 2-pt jump shot from 16 ft,8,6
26,1,8:29.0,,Offensive rebound by R. Lopez,8,6
27,1,8:29.0,,R. Lopez misses 2-pt layup from 1 ft,8,6
28,1,8:27.0,Defensive rebound by G. Harris,,8,6
29,1,8:22.0,G. Harris misses 2-pt jump shot from 3 ft,,8,6
30,1,8:21.0,Offensive rebound by N. Jokić,,8,6
31,1,8:21.0,N. Jokić misses 2-pt layup from 2 ft,,8,6
32,1,8:21.0,Offensive rebound by Team,,8,6
