,QUARTER,TIME_REMAINING,BOSTON_ACTION,BROOKLYN_ACTION,BOSTON_SCORE,BROOKLYN_SCORE
0,1,11:43.0,,T. Young makes 2-pt jump shot from 8 ft (assist by J. Johnson),0,2
1,1,11:20.0,K. Olynyk misses 3-pt jump shot from 22 ft,,0,2
2,1,11:19.0,,Defensive rebound by B. Bogdanović,0,2
3,1,11:10.0,,B. Bogdanović misses 2-pt layup from 1 ft,0,2
4,1,11:09.0,,Offensive rebound by T. Young,0,2
5,1,11:08.0,,T. Young misses 2-pt layup from 2 ft,0,2
6,1,11:07.0,Defensive rebound by E. Turner,,0,2
7,1,11:03.0,E. Turner makes 2-pt jump shot from 13 ft,,2,2
8,1,10:39.0,,B. Lopez makes 2-pt jump shot from 7 ft (assist by S. Larkin),2,4
9,1,10:23.0,A. Johnson misses 3-pt jump shot from 25 ft,,2,4
10,1,10:22.0,,Defensive rebound by S. Larkin,2,4
11,1,10:13.0,,J. Johnson makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),2,7
12,1,9:55.0,Shooting foul by T. Young (drawn by J. Crowder),,2,7
13,1,9:55.0,J. Crowder makes free throw 1 of 2,,3,7
14,1,9:55.0,J. Crowder makes free throw 2 of 2,,4,7
15,1,9:37.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,4,7
16,1,9:35.0,Defensive rebound by J. Crowder,,4,7
17,1,9:21.0,I. Thomas misses 3-pt jump shot from 24 ft,,4,7
18,1,9:20.0,,Defensive rebound by T. Young,4,7
19,1,9:12.0,,Turnover by B. Lopez (bad pass; steal by I. Thomas),4,7
20,1,9:08.0,I. Thomas misses 2-pt layup from 2 ft,,4,7
21,1,9:07.0,Offensive rebound by J. Crowder,,4,7
22,1,9:06.0,J. Crowder makes 2-pt layup from 1 ft,,6,7
23,1,8:48.0,,B. Lopez misses 2-pt jump shot from 9 ft,6,7
24,1,8:47.0,Defensive rebound by E. Turner,,6,7
25,1,8:31.0,A. Johnson makes 2-pt hook shot from 7 ft,,8,7
26,1,8:15.0,,T. Young makes 3-pt jump shot from 22 ft (assist by B. Bogdanović),8,10
27,1,8:01.0,E. Turner makes 2-pt jump shot from 16 ft (assist by J. Crowder),,10,10
28,1,7:43.0,,S. Larkin makes 2-pt layup from 3 ft (assist by J. Johnson),10,12
29,1,7:25.0,I. Thomas makes 3-pt jump shot from 25 ft (assist by E. Turner),,13,12
30,1,7:01.0,,T. Young misses 2-pt hook shot from 9 ft,13,12
31,1,7:00.0,Defensive rebound by A. Johnson,,13,12
32,1,6:56.0,I. Thomas makes 2-pt layup from 1 ft,,15,12
33,1,6:56.0,Shooting foul by S. Larkin (drawn by I. Thomas),,15,12
34,1,6:56.0,I. Thomas makes free throw 1 of 1,,16,12
35,1,6:45.0,,Turnover by S. Larkin (bad pass; steal by A. Johnson),16,12
36,1,6:42.0,J. Crowder makes 2-pt layup from 1 ft (assist by A. Johnson),,18,12
37,1,6:41.0,,Brooklyn full timeout,18,12
38,1,6:15.0,,S. Larkin misses 3-pt jump shot from 24 ft,18,12
39,1,6:13.0,,Offensive rebound by B. Bogdanović,18,12
40,1,6:05.0,,J. Johnson makes 2-pt jump shot from 20 ft,18,14
41,1,5:51.0,J. Crowder makes 2-pt layup from 3 ft (assist by A. Johnson),,20,14
42,1,5:30.0,,Offensive foul by B. Lopez (drawn by A. Johnson),20,14
43,1,5:30.0,,Turnover by B. Lopez (offensive foul),20,14
44,1,5:22.0,Shooting foul by J. Johnson (drawn by J. Crowder),,20,14
45,1,5:22.0,J. Crowder makes free throw 1 of 2,,21,14
46,1,5:22.0,J. Crowder makes free throw 2 of 2,,22,14
47,1,5:05.0,,J. Johnson misses 2-pt jump shot from 7 ft,22,14
48,1,5:04.0,Defensive rebound by E. Turner,,22,14
49,1,4:55.0,E. Turner makes 2-pt layup from 1 ft (assist by I. Thomas),,24,14
50,1,4:39.0,,Turnover by J. Johnson (bad pass; steal by J. Crowder),24,14
51,1,4:26.0,E. Turner misses 2-pt jump shot from 7 ft,,24,14
52,1,4:25.0,,Defensive rebound by B. Lopez,24,14
53,1,4:20.0,,Personal foul by A. Johnson (drawn by T. Young),24,14
54,1,4:20.0,,D. Sloan enters the game for S. Larkin,24,14
55,1,4:20.0,,W. Ellington enters the game for B. Bogdanović,24,14
56,1,4:20.0,M. Smart enters the game for E. Turner,,24,14
57,1,4:06.0,,T. Young makes 2-pt layup from 2 ft,24,16
58,1,3:55.0,K. Olynyk misses 2-pt jump shot from 5 ft,,24,16
59,1,3:54.0,Offensive rebound by Team,,24,16
60,1,3:54.0,J. Sullinger enters the game for K. Olynyk,,24,16
61,1,3:49.0,I. Thomas misses 2-pt jump shot from 5 ft,,24,16
62,1,3:48.0,Offensive rebound by M. Smart,,24,16
63,1,3:46.0,M. Smart makes 2-pt layup from 1 ft,,26,16
64,1,3:31.0,,Turnover by T. Young (bad pass; steal by J. Sullinger),26,16
65,1,3:22.0,J. Crowder misses 2-pt layup from 1 ft (block by T. Young),,26,16
66,1,3:20.0,,Defensive rebound by W. Ellington,26,16
67,1,3:04.0,,D. Sloan makes 3-pt jump shot from 25 ft (assist by J. Johnson),26,19
68,1,3:04.0,Boston full timeout,,26,19
69,1,3:04.0,J. Young enters the game for I. Thomas,,26,19
70,1,2:48.0,J. Crowder makes 2-pt jump shot from 19 ft (assist by J. Sullinger),,28,19
71,1,2:27.0,,Turnover by J. Johnson (bad pass; steal by J. Sullinger),28,19
72,1,2:25.0,J. Crowder makes 2-pt layup from 1 ft,,30,19
73,1,2:25.0,Shooting foul by J. Johnson (drawn by J. Crowder),,30,19
74,1,2:25.0,,B. Bogdanović enters the game for J. Johnson,30,19
75,1,2:25.0,J. Crowder misses free throw 1 of 1,,30,19
76,1,2:24.0,,Defensive rebound by T. Young,30,19
77,1,2:11.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by D. Sloan),30,22
78,1,1:57.0,J. Sullinger misses 2-pt jump shot from 19 ft,,30,22
79,1,1:55.0,,Defensive rebound by B. Bogdanović,30,22
80,1,1:49.0,,Turnover by D. Sloan (lost ball; steal by M. Smart),30,22
