,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,WASHINGTON_ACTION,GOLDEN STATE_SCORE,WASHINGTON_SCORE
0,1,11:46.0,,J. Dudley misses 3-pt jump shot from 25 ft,0,0
1,1,11:45.0,Defensive rebound by H. Barnes,,0,0
2,1,11:29.0,K. Thompson misses 2-pt jump shot from 14 ft,,0,0
3,1,11:28.0,,Defensive rebound by J. Dudley,0,0
4,1,11:17.0,,G. Temple makes 3-pt jump shot from 25 ft (assist by J. Dudley),0,3
5,1,11:01.0,A. Bogut misses 2-pt jump shot from 11 ft,,0,3
6,1,11:00.0,,Defensive rebound by M. Gortat,0,3
7,1,10:57.0,,Turnover by M. Gortat (bad pass; steal by K. Thompson),0,3
8,1,10:52.0,Personal foul by J. Dudley (drawn by A. Bogut),,0,3
9,1,10:46.0,K. Thompson misses 2-pt jump shot from 12 ft,,0,3
10,1,10:44.0,Offensive rebound by A. Bogut,,0,3
11,1,10:43.0,A. Bogut makes 2-pt dunk at rim,,2,3
12,1,10:32.0,,Turnover by M. Gortat (lost ball; steal by H. Barnes),2,3
13,1,10:16.0,K. Thompson misses 3-pt jump shot from 25 ft,,2,3
14,1,10:15.0,,Defensive rebound by M. Gortat,2,3
15,1,10:03.0,,J. Dudley misses 2-pt jump shot from 8 ft,2,3
16,1,10:02.0,Defensive rebound by A. Bogut,,2,3
17,1,9:51.0,H. Barnes makes 2-pt jump shot from 21 ft (assist by A. Bogut),,4,3
18,1,9:34.0,,O. Porter makes 2-pt jump shot from 15 ft,4,5
19,1,9:08.0,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),,7,5
20,1,9:01.0,,J. Wall misses 2-pt layup from 2 ft (block by D. Green),7,5
21,1,9:00.0,,Offensive rebound by J. Wall,7,5
22,1,8:50.0,,G. Temple misses 3-pt jump shot from 26 ft,7,5
23,1,8:49.0,Defensive rebound by D. Green,,7,5
24,1,8:39.0,H. Barnes makes 2-pt jump shot from 17 ft (assist by D. Green),,9,5
25,1,8:29.0,,M. Gortat misses 2-pt jump shot from 7 ft,9,5
26,1,8:28.0,,Offensive rebound by Team,9,5
27,1,8:12.0,,J. Wall makes 3-pt jump shot from 24 ft (assist by J. Dudley),9,8
28,1,7:59.0,S. Curry makes 3-pt jump shot from 25 ft,,12,8
29,1,7:43.0,,G. Temple misses 3-pt jump shot from 26 ft,12,8
30,1,7:42.0,Defensive rebound by A. Bogut,,12,8
31,1,7:36.0,S. Curry makes 3-pt jump shot from 27 ft,,15,8
32,1,7:36.0,Away from play foul by O. Porter (drawn by H. Barnes),,15,8
33,1,7:36.0,H. Barnes makes free throw 1 of 1,,16,8
34,1,7:17.0,,G. Temple misses 2-pt jump shot from 17 ft,16,8
35,1,7:16.0,Defensive rebound by D. Green,,16,8
36,1,7:12.0,K. Thompson makes 2-pt dunk at rim (assist by D. Green),,18,8
37,1,7:11.0,,Washington full timeout,18,8
38,1,7:11.0,,B. Beal enters the game for G. Temple,18,8
39,1,7:01.0,,M. Gortat misses 2-pt layup at rim (block by D. Green),18,8
40,1,7:01.0,Defensive rebound by Team,,18,8
41,1,6:49.0,H. Barnes misses 3-pt jump shot from 26 ft,,18,8
42,1,6:48.0,,Defensive rebound by O. Porter,18,8
43,1,6:40.0,,J. Dudley misses 2-pt layup at rim,18,8
44,1,6:39.0,Defensive rebound by K. Thompson,,18,8
45,1,6:28.0,S. Curry makes 3-pt jump shot from 25 ft (assist by A. Bogut),,21,8
46,1,6:22.0,,J. Dudley makes 3-pt jump shot from 25 ft (assist by J. Wall),21,11
47,1,6:09.0,Turnover by S. Curry (bad pass; steal by B. Beal),,21,11
48,1,6:08.0,,Personal foul by A. Bogut (drawn by B. Beal),21,11
49,1,6:00.0,,J. Wall misses 2-pt layup from 2 ft,21,11
50,1,5:59.0,Defensive rebound by A. Bogut,,21,11
51,1,5:48.0,S. Curry makes 2-pt layup from 1 ft (assist by D. Green),,23,11
52,1,5:39.0,,J. Wall makes 2-pt jump shot from 16 ft (assist by J. Dudley),23,13
53,1,5:27.0,S. Curry makes 3-pt jump shot from 24 ft,,26,13
54,1,5:10.0,,B. Beal misses 2-pt jump shot from 9 ft,26,13
55,1,5:09.0,,Offensive rebound by M. Gortat,26,13
56,1,5:06.0,,B. Beal misses 2-pt jump shot from 3 ft,26,13
57,1,5:05.0,Defensive rebound by H. Barnes,,26,13
58,1,4:58.0,S. Curry misses 3-pt jump shot from 23 ft,,26,13
59,1,4:57.0,,Defensive rebound by J. Dudley,26,13
