,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,ATLANTA_ACTION,GOLDEN STATE_SCORE,ATLANTA_SCORE
0,1,11:49.0,,Personal foul by S. Curry,0,0
1,1,11:41.0,,A. Horford misses 2-pt jump shot from 18 ft,0,0
2,1,11:40.0,Defensive rebound by S. Curry,,0,0
3,1,11:23.0,D. Green misses 3-pt jump shot from 24 ft,,0,0
4,1,11:22.0,,Defensive rebound by K. Bazemore,0,0
5,1,11:04.0,,P. Millsap makes 2-pt layup from 1 ft (assist by K. Bazemore),0,2
6,1,10:56.0,Personal foul by J. Teague,,0,2
7,1,10:50.0,K. Thompson misses 2-pt jump shot from 4 ft (block by P. Millsap),,0,2
8,1,10:48.0,,Defensive rebound by A. Horford,0,2
9,1,10:29.0,,K. Bazemore misses 2-pt layup from 1 ft,0,2
10,1,10:26.0,Defensive rebound by H. Barnes,,0,2
11,1,10:22.0,S. Curry makes 3-pt jump shot from 24 ft,,3,2
12,1,10:11.0,,Turnover by J. Teague (bad pass; steal by S. Curry),3,2
13,1,10:06.0,S. Curry misses 3-pt jump shot from 25 ft,,3,2
14,1,10:05.0,,Defensive rebound by K. Korver,3,2
15,1,9:54.0,,P. Millsap misses 3-pt jump shot from 24 ft,3,2
16,1,9:53.0,Defensive rebound by A. Bogut,,3,2
17,1,9:42.0,D. Green misses 2-pt layup from 1 ft (block by A. Horford),,3,2
18,1,9:40.0,,Defensive rebound by A. Horford,3,2
19,1,9:21.0,,K. Bazemore misses 3-pt jump shot from 23 ft,3,2
20,1,9:20.0,Defensive rebound by A. Bogut,,3,2
21,1,9:14.0,H. Barnes misses 3-pt jump shot from 23 ft,,3,2
22,1,9:13.0,,Defensive rebound by A. Horford,3,2
23,1,9:06.0,,Turnover by K. Korver (bad pass; steal by D. Green),3,2
24,1,9:01.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by S. Curry),,6,2
25,1,8:38.0,,J. Teague misses 3-pt jump shot from 24 ft,6,2
26,1,8:36.0,,Offensive rebound by P. Millsap,6,2
27,1,8:31.0,,P. Millsap misses 2-pt layup from 1 ft,6,2
28,1,8:26.0,,Offensive rebound by A. Horford,6,2
29,1,8:26.0,,A. Horford makes 2-pt dunk at rim,6,4
30,1,8:14.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by D. Green),,9,4
31,1,7:52.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by J. Teague),9,6
32,1,7:45.0,K. Thompson makes 2-pt layup from 1 ft (assist by S. Curry),,11,6
33,1,7:31.0,,P. Millsap misses 2-pt layup from 1 ft,11,6
34,1,7:30.0,Defensive rebound by A. Bogut,,11,6
35,1,7:16.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by S. Curry),,14,6
36,1,7:15.0,,Atlanta full timeout,14,6
37,1,7:00.0,,J. Teague makes 3-pt jump shot from 24 ft,14,9
38,1,6:40.0,S. Curry makes 3-pt jump shot from 24 ft,,17,9
39,1,6:31.0,Violation by D. Green (kicked ball),,17,9
40,1,6:24.0,,K. Korver misses 3-pt jump shot from 22 ft,17,9
41,1,6:22.0,Defensive rebound by D. Green,,17,9
42,1,6:15.0,Turnover by S. Curry (bad pass),,17,9
43,1,6:05.0,,K. Bazemore misses 3-pt jump shot from 24 ft,17,9
44,1,6:03.0,Defensive rebound by H. Barnes,,17,9
45,1,5:55.0,K. Thompson makes 2-pt jump shot from 12 ft (assist by D. Green),,19,9
46,1,5:31.0,,A. Horford misses 2-pt dunk at rim (block by A. Bogut),19,9
47,1,5:28.0,Defensive rebound by S. Curry,,19,9
48,1,5:25.0,D. Green makes 2-pt layup from 2 ft (assist by S. Curry),,21,9
49,1,5:07.0,,Personal foul by H. Barnes,21,9
50,1,5:07.0,A. Iguodala enters the game for H. Barnes,,21,9
51,1,5:07.0,,M. Muscala enters the game for A. Horford,21,9
52,1,5:07.0,,T. Sefolosha enters the game for K. Bazemore,21,9
53,1,4:51.0,,K. Korver makes 2-pt jump shot from 10 ft (assist by P. Millsap),21,11
54,1,4:39.0,K. Thompson misses 3-pt jump shot from 24 ft,,21,11
55,1,4:38.0,,Defensive rebound by M. Muscala,21,11
56,1,4:24.0,,J. Teague makes 2-pt jump shot from 12 ft,21,13
57,1,4:14.0,Personal foul by M. Muscala,,21,13
58,1,4:14.0,,D. Schröder enters the game for J. Teague,21,13
59,1,4:14.0,,T. Hardaway enters the game for K. Korver,21,13
60,1,4:14.0,L. Barbosa enters the game for K. Thompson,,21,13
61,1,4:01.0,S. Curry makes 2-pt jump shot from 4 ft (assist by A. Bogut),,23,13
62,1,3:52.0,,Turnover by P. Millsap (bad pass; steal by L. Barbosa),23,13
63,1,3:41.0,Turnover by A. Bogut (lost ball),,23,13
64,1,3:25.0,,Turnover by D. Schröder (bad pass; steal by L. Barbosa),23,13
65,1,3:11.0,L. Barbosa misses 3-pt jump shot from 25 ft,,23,13
66,1,3:08.0,Offensive rebound by A. Bogut,,23,13
67,1,3:04.0,A. Iguodala makes 2-pt jump shot from 14 ft (assist by L. Barbosa),,25,13
68,1,2:46.0,,T. Hardaway misses 3-pt jump shot from 22 ft,25,13
69,1,2:43.0,Defensive rebound by S. Curry,,25,13
70,1,2:35.0,A. Iguodala misses 2-pt jump shot from 18 ft,,25,13
71,1,2:32.0,,Defensive rebound by P. Millsap,25,13
72,1,2:32.0,,Personal foul by L. Barbosa,25,13
73,1,2:32.0,Golden State full timeout,,25,13
74,1,2:32.0,B. Rush enters the game for A. Bogut,,25,13
