,QUARTER,TIME_REMAINING,MIAMI_ACTION,LA LAKERS_ACTION,MIAMI_SCORE,LA LAKERS_SCORE
0,1,11:44.0,,R. Hibbert misses 2-pt jump shot from 19 ft,0,0
1,1,11:43.0,Defensive rebound by D. Wade,,0,0
2,1,11:31.0,A. Stoudemire misses 2-pt jump shot from 16 ft,,0,0
3,1,11:27.0,Offensive rebound by L. Deng,,0,0
4,1,11:27.0,L. Deng makes 2-pt dunk at rim,,2,0
5,1,11:14.0,,K. Bryant makes 2-pt jump shot from 14 ft (assist by R. Hibbert),2,2
6,1,10:56.0,A. Stoudemire makes 2-pt dunk at rim (assist by G. Dragić),,4,2
7,1,10:36.0,,J. Clarkson makes 3-pt jump shot from 24 ft,4,5
8,1,10:26.0,Turnover by D. Wade (offensive foul),,4,5
9,1,10:26.0,Offensive foul by D. Wade (drawn by D. Russell),,4,5
10,1,10:09.0,,J. Randle makes 2-pt jump shot from 18 ft,4,7
11,1,9:56.0,G. Dragić makes 3-pt jump shot from 24 ft (assist by D. Wade),,7,7
12,1,9:43.0,,J. Randle misses 2-pt layup from 2 ft,7,7
13,1,9:42.0,Defensive rebound by G. Dragić,,7,7
14,1,9:37.0,L. Deng makes 2-pt dunk at rim (assist by G. Dragić),,9,7
15,1,9:08.0,,J. Randle misses 2-pt jump shot from 14 ft,9,7
16,1,9:07.0,Defensive rebound by D. Wade,,9,7
17,1,8:49.0,Shooting foul by R. Hibbert (drawn by D. Wade),,9,7
18,1,8:49.0,D. Wade makes free throw 1 of 2,,10,7
19,1,8:49.0,D. Wade makes free throw 2 of 2,,11,7
20,1,8:32.0,,K. Bryant misses 2-pt jump shot from 20 ft,11,7
21,1,8:31.0,Defensive rebound by L. Deng,,11,7
22,1,8:26.0,G. Dragić makes 2-pt layup from 1 ft (assist by L. Deng),,13,7
23,1,8:16.0,,J. Clarkson misses 3-pt jump shot from 24 ft,13,7
24,1,8:15.0,Defensive rebound by G. Dragić,,13,7
25,1,8:00.0,G. Dragić misses 3-pt jump shot from 24 ft,,13,7
26,1,7:59.0,,Defensive rebound by K. Bryant,13,7
27,1,7:53.0,,D. Russell misses 3-pt jump shot from 23 ft,13,7
28,1,7:51.0,Defensive rebound by A. Stoudemire,,13,7
29,1,7:38.0,A. Stoudemire misses 2-pt layup from 1 ft,,13,7
30,1,7:38.0,,Defensive rebound by Team,13,7
31,1,7:38.0,Loose ball foul by A. Stoudemire,,13,7
32,1,7:31.0,,Offensive foul by R. Hibbert (drawn by D. Wade),13,7
33,1,7:31.0,,Turnover by R. Hibbert (offensive foul),13,7
34,1,7:20.0,J. Johnson makes 2-pt jump shot from 11 ft (assist by G. Dragić),,15,7
35,1,7:04.0,,K. Bryant misses 2-pt jump shot from 10 ft (block by D. Wade),15,7
36,1,7:04.0,,Offensive rebound by Team,15,7
37,1,6:59.0,,K. Bryant misses 3-pt jump shot from 22 ft,15,7
38,1,6:58.0,Defensive rebound by Team,,15,7
39,1,6:43.0,D. Wade misses 2-pt layup from 1 ft,,15,7
40,1,6:40.0,Offensive rebound by A. Stoudemire,,15,7
41,1,6:38.0,A. Stoudemire makes 2-pt hook shot from 2 ft,,17,7
42,1,6:28.0,,J. Randle misses 2-pt layup at rim,17,7
43,1,6:26.0,,Offensive rebound by J. Randle,17,7
44,1,6:19.0,,K. Bryant misses 2-pt jump shot from 8 ft (block by L. Deng),17,7
45,1,6:19.0,,Offensive rebound by Team,17,7
46,1,6:19.0,,B. Bass enters the game for R. Hibbert,17,7
47,1,6:13.0,,D. Russell makes 2-pt jump shot from 6 ft,17,9
48,1,6:13.0,,Shooting foul by G. Dragić (drawn by D. Russell),17,9
49,1,6:13.0,,L. Williams enters the game for J. Clarkson,17,9
50,1,6:13.0,,D. Russell makes free throw 1 of 1,17,10
51,1,5:57.0,D. Wade makes 2-pt jump shot from 17 ft,,19,10
52,1,5:34.0,,K. Bryant misses 2-pt jump shot from 7 ft,19,10
53,1,5:33.0,Defensive rebound by L. Deng,,19,10
54,1,5:28.0,D. Wade makes 2-pt dunk at rim (assist by L. Deng),,21,10
55,1,5:14.0,,LA Lakers full timeout,21,10
56,1,5:14.0,J. Winslow enters the game for L. Deng,,21,10
57,1,5:14.0,J. Richardson enters the game for G. Dragić,,21,10
58,1,5:03.0,,L. Williams misses 3-pt jump shot from 24 ft,21,10
59,1,5:02.0,Defensive rebound by J. Johnson,,21,10
60,1,4:53.0,D. Wade misses 2-pt jump shot from 14 ft,,21,10
61,1,4:52.0,,Defensive rebound by J. Randle,21,10
62,1,4:30.0,,D. Russell misses 2-pt jump shot from 18 ft,21,10
63,1,4:28.0,,Offensive rebound by K. Bryant,21,10
64,1,4:24.0,,Turnover by K. Bryant (lost ball; steal by J. Johnson),21,10
65,1,4:12.0,J. Johnson misses 2-pt jump shot from 15 ft,,21,10
66,1,4:10.0,,Defensive rebound by J. Randle,21,10
67,1,4:06.0,,Turnover by D. Russell (bad pass; steal by J. Winslow),21,10
68,1,4:00.0,D. Wade misses 2-pt layup from 1 ft,,21,10
69,1,3:56.0,Offensive rebound by D. Wade,,21,10
70,1,3:54.0,D. Wade makes 2-pt layup from 1 ft,,23,10
71,1,3:30.0,,K. Bryant misses 3-pt jump shot from 24 ft,23,10
72,1,3:29.0,Defensive rebound by J. Richardson,,23,10
73,1,3:23.0,J. Johnson makes 2-pt layup at rim (assist by D. Wade),,25,10
74,1,3:16.0,,Shooting foul by J. Johnson (drawn by L. Williams),25,10
75,1,3:16.0,,L. Williams makes free throw 1 of 2,25,11
76,1,3:16.0,H. Whiteside enters the game for J. Richardson,,25,11
77,1,3:16.0,J. Richardson enters the game for J. Winslow,,25,11
78,1,3:16.0,G. Dragić enters the game for J. Johnson,,25,11
79,1,3:16.0,L. Deng enters the game for D. Wade,,25,11
80,1,3:16.0,J. Winslow enters the game for A. Stoudemire,,25,11
81,1,3:16.0,,R. Kelly enters the game for K. Bryant,25,11
82,1,3:16.0,,L. Nance enters the game for J. Randle,25,11
83,1,3:16.0,,M. Huertas enters the game for D. Russell,25,11
84,1,3:16.0,,L. Williams makes free throw 2 of 2,25,12
85,1,3:07.0,J. Winslow misses 2-pt jump shot from 21 ft,,25,12
86,1,3:05.0,,Defensive rebound by L. Nance,25,12
87,1,2:59.0,,Shooting foul by J. Richardson (drawn by L. Williams),25,12
88,1,2:59.0,Miami full timeout,,25,12
89,1,2:59.0,,L. Williams misses free throw 1 of 3,25,12
90,1,2:59.0,,Offensive rebound by Team,25,12
91,1,2:59.0,,L. Williams makes free throw 2 of 3,25,13
92,1,2:59.0,,L. Williams makes free throw 3 of 3,25,14
93,1,2:43.0,J. Richardson misses 3-pt jump shot from 25 ft,,25,14
94,1,2:41.0,,Defensive rebound by R. Kelly,25,14
95,1,2:18.0,,B. Bass misses 2-pt jump shot from 8 ft,25,14
96,1,2:17.0,Defensive rebound by H. Whiteside,,25,14
97,1,2:12.0,Turnover by G. Dragić (bad pass),,25,14
98,1,2:07.0,,R. Kelly misses 2-pt layup from 1 ft (block by L. Deng),25,14
99,1,2:04.0,,Offensive rebound by B. Bass,25,14
100,1,2:00.0,,B. Bass makes 2-pt dunk at rim,25,16
101,1,1:54.0,G. Dragić misses 2-pt layup from 1 ft,,25,16
102,1,1:54.0,Offensive rebound by H. Whiteside,,25,16
103,1,1:54.0,Shooting foul by L. Nance (drawn by H. Whiteside),,25,16
104,1,1:54.0,H. Whiteside misses free throw 1 of 2,,25,16
105,1,1:54.0,Offensive rebound by Team,,25,16
106,1,1:54.0,H. Whiteside misses free throw 2 of 2,,25,16
107,1,1:53.0,,Defensive rebound by L. Nance,25,16
108,1,1:37.0,,L. Williams makes 3-pt jump shot from 23 ft (assist by M. Huertas),25,19
109,1,1:27.0,Turnover by G. Dragić (bad pass; steal by L. Williams),,25,19
110,1,1:19.0,,L. Williams misses 3-pt jump shot from 24 ft,25,19
111,1,1:15.0,,Offensive rebound by L. Nance,25,19
112,1,1:15.0,,L. Nance makes 2-pt dunk at rim,25,21
113,1,1:02.0,G. Dragić misses 3-pt jump shot from 22 ft,,25,21
114,1,1:01.0,,Defensive rebound by R. Kelly,25,21
115,1,0:48.0,,B. Bass makes 2-pt dunk at rim (assist by M. Huertas),25,23
116,1,0:40.0,L. Deng makes 2-pt dunk at rim (assist by J. Winslow),,27,23
117,1,0:33.0,,M. Huertas makes 2-pt jump shot from 5 ft,27,25
118,1,0:23.0,J. Winslow misses 2-pt jump shot from 19 ft,,27,25
119,1,0:22.0,,Defensive rebound by L. Williams,27,25
120,1,0:03.0,,B. Bass misses 2-pt layup from 1 ft (block by H. Whiteside),27,25
121,1,0:02.0,Defensive rebound by J. Richardson,,27,25
122,2,11:23.0,Turnover by G. Dragić (bad pass; steal by L. Nance),,27,25
123,2,11:18.0,,R. Kelly makes 2-pt jump shot from 14 ft,27,27
124,2,11:09.0,Personal foul by L. Nance,,27,27
125,2,11:01.0,G. Dragić misses 3-pt jump shot from 24 ft,,27,27
126,2,10:59.0,Offensive rebound by L. Deng,,27,27
127,2,10:56.0,L. Deng makes 2-pt layup at rim,,29,27
128,2,10:43.0,,L. Williams misses 3-pt jump shot from 25 ft,29,27
129,2,10:42.0,Defensive rebound by J. Winslow,,29,27
130,2,10:38.0,Turnover by J. Winslow (bad pass),,29,27
131,2,10:24.0,,L. Nance misses 2-pt jump shot from 20 ft,29,27
132,2,10:23.0,,Offensive rebound by B. Bass,29,27
133,2,10:11.0,,M. Huertas misses 2-pt jump shot from 8 ft,29,27
134,2,10:10.0,Defensive rebound by H. Whiteside,,29,27
135,2,10:00.0,Turnover by J. Richardson (traveling),,29,27
136,2,9:48.0,,B. Bass misses 2-pt layup from 1 ft (block by H. Whiteside),29,27
137,2,9:48.0,,Offensive rebound by Team,29,27
138,2,9:45.0,,L. Williams makes 3-pt jump shot from 24 ft (assist by R. Kelly),29,30
139,2,9:24.0,L. Deng makes 2-pt jump shot from 9 ft (assist by J. Richardson),,31,30
140,2,9:09.0,,L. Williams misses 3-pt jump shot from 25 ft,31,30
141,2,9:08.0,Defensive rebound by J. Winslow,,31,30
142,2,9:04.0,Shooting foul by B. Bass (drawn by J. Winslow),,31,30
143,2,9:04.0,J. Winslow misses free throw 1 of 2,,31,30
144,2,9:04.0,Offensive rebound by Team,,31,30
145,2,9:04.0,,J. Clarkson enters the game for L. Williams,31,30
146,2,9:04.0,J. Winslow makes free throw 2 of 2,,32,30
147,2,8:41.0,,M. Huertas misses 2-pt jump shot from 6 ft,32,30
148,2,8:40.0,,Offensive rebound by B. Bass,32,30
149,2,8:28.0,,J. Clarkson misses 2-pt jump shot from 16 ft,32,30
150,2,8:26.0,Defensive rebound by G. Dragić,,32,30
151,2,8:12.0,J. Winslow misses 2-pt jump shot from 3 ft,,32,30
152,2,8:10.0,,Defensive rebound by R. Kelly,32,30
153,2,7:52.0,,L. Nance misses 2-pt jump shot from 12 ft,32,30
154,2,7:50.0,Defensive rebound by H. Whiteside,,32,30
155,2,7:35.0,L. Deng misses 3-pt jump shot from 23 ft,,32,30
156,2,7:34.0,,Defensive rebound by J. Clarkson,32,30
157,2,7:21.0,,M. Huertas misses 2-pt jump shot from 11 ft (block by H. Whiteside),32,30
158,2,7:19.0,Defensive rebound by H. Whiteside,,32,30
159,2,7:05.0,Shooting foul by R. Kelly (drawn by H. Whiteside),,32,30
160,2,7:05.0,Official timeout,,32,30
161,2,7:05.0,,J. Randle enters the game for L. Nance,32,30
162,2,7:05.0,D. Wade enters the game for L. Deng,,32,30
163,2,7:05.0,J. Johnson enters the game for G. Dragić,,32,30
164,2,7:05.0,H. Whiteside misses free throw 1 of 2,,32,30
165,2,7:05.0,Offensive rebound by Team,,32,30
166,2,7:05.0,H. Whiteside misses free throw 2 of 2,,32,30
167,2,7:04.0,,Defensive rebound by J. Randle,32,30
168,2,6:47.0,,Turnover by M. Huertas (bad pass; steal by J. Richardson),32,30
169,2,6:39.0,D. Wade makes 2-pt layup from 2 ft (assist by J. Johnson),,34,30
