,QUARTER,TIME_REMAINING,CHICAGO_ACTION,DETROIT_ACTION,CHICAGO_SCORE,DETROIT_SCORE
0,1,11:42.0,,Turnover by R. Jackson (bad pass; steal by P. Gasol),0,0
1,1,11:34.0,J. Butler misses 2-pt jump shot from 17 ft,,0,0
2,1,11:34.0,,Defensive rebound by A. Drummond,0,0
3,1,11:27.0,,Turnover by M. Morris (bad pass; steal by J. Butler),0,0
4,1,11:04.0,P. Gasol makes 2-pt jump shot from 18 ft (assist by J. Butler),,2,0
5,1,10:42.0,,M. Morris misses 3-pt jump shot from 26 ft,2,0
6,1,10:42.0,Defensive rebound by P. Gasol,,2,0
7,1,10:32.0,T. Snell misses 3-pt jump shot from 24 ft,,2,0
8,1,10:32.0,,Defensive rebound by Team,2,0
9,1,10:12.0,,M. Morris makes 2-pt jump shot from 18 ft,2,2
10,1,9:58.0,P. Gasol makes 2-pt jump shot from 18 ft (assist by D. Rose),,4,2
11,1,9:46.0,,Shooting foul by T. Gibson (drawn by A. Drummond),4,2
12,1,9:46.0,,A. Drummond makes free throw 1 of 2,4,3
13,1,9:46.0,,A. Drummond misses free throw 2 of 2,4,3
14,1,9:45.0,Defensive rebound by P. Gasol,,4,3
15,1,9:26.0,J. Butler makes 2-pt layup at rim (assist by P. Gasol),,6,3
16,1,9:03.0,,K. Caldwell-Pope misses 2-pt jump shot from 8 ft,6,3
17,1,9:03.0,Defensive rebound by P. Gasol,,6,3
18,1,8:55.0,T. Snell misses 2-pt jump shot from 7 ft,,6,3
19,1,8:54.0,Offensive rebound by T. Gibson,,6,3
20,1,8:51.0,T. Gibson misses 2-pt jump shot from 4 ft (block by E. İlyasova),,6,3
21,1,8:50.0,,Defensive rebound by E. İlyasova,6,3
22,1,8:41.0,,R. Jackson makes 2-pt jump shot from 20 ft,6,5
23,1,8:23.0,T. Snell misses 3-pt jump shot from 26 ft,,6,5
24,1,8:22.0,,Defensive rebound by A. Drummond,6,5
25,1,8:10.0,,R. Jackson misses 2-pt jump shot from 9 ft,6,5
26,1,8:10.0,,Offensive rebound by A. Drummond,6,5
27,1,8:07.0,,A. Drummond makes 2-pt layup at rim,6,7
28,1,7:59.0,Personal foul by E. İlyasova (drawn by D. Rose),,6,7
29,1,7:46.0,P. Gasol makes 2-pt jump shot from 16 ft (assist by J. Butler),,8,7
30,1,7:28.0,,K. Caldwell-Pope makes 2-pt jump shot from 15 ft,8,9
31,1,7:12.0,D. Rose misses 2-pt jump shot from 14 ft,,8,9
32,1,7:11.0,,Defensive rebound by E. İlyasova,8,9
33,1,6:59.0,,A. Drummond makes 2-pt hook shot from 4 ft (assist by R. Jackson),8,11
34,1,6:49.0,D. Rose misses 3-pt jump shot from 25 ft,,8,11
35,1,6:48.0,,Defensive rebound by E. İlyasova,8,11
36,1,6:35.0,,A. Drummond misses 2-pt hook shot from 7 ft,8,11
37,1,6:30.0,Defensive rebound by J. Butler,,8,11
38,1,6:28.0,Turnover by J. Butler (bad pass; steal by A. Drummond),,8,11
39,1,6:20.0,,K. Caldwell-Pope misses 2-pt jump shot from 5 ft,8,11
40,1,6:19.0,,Offensive rebound by R. Jackson,8,11
41,1,6:19.0,,R. Jackson makes 2-pt layup at rim,8,13
42,1,6:19.0,Chicago full timeout,,8,13
43,1,6:06.0,J. Butler misses 3-pt jump shot from 25 ft,,8,13
44,1,6:06.0,,Defensive rebound by Team,8,13
45,1,5:54.0,,E. İlyasova makes 3-pt jump shot from 27 ft (assist by R. Jackson),8,16
46,1,5:31.0,P. Gasol misses 3-pt jump shot from 23 ft,,8,16
47,1,5:31.0,,Defensive rebound by K. Caldwell-Pope,8,16
48,1,5:22.0,,A. Drummond makes 2-pt hook shot from 4 ft (assist by R. Jackson),8,18
49,1,5:08.0,J. Butler makes 2-pt jump shot from 15 ft (assist by P. Gasol),,10,18
50,1,4:42.0,,M. Morris makes 2-pt jump shot from 16 ft,10,20
51,1,4:28.0,T. Gibson misses 2-pt jump shot from 3 ft,,10,20
52,1,4:27.0,,Defensive rebound by E. İlyasova,10,20
53,1,4:15.0,,M. Morris makes 2-pt jump shot from 16 ft (assist by A. Drummond),10,22
54,1,4:02.0,D. Rose makes 2-pt layup at rim,,12,22
55,1,3:42.0,,E. İlyasova makes 2-pt layup at rim,12,24
56,1,3:22.0,Shooting foul by M. Morris (drawn by J. Butler),,12,24
57,1,3:22.0,J. Butler makes free throw 1 of 2,,13,24
58,1,3:22.0,A. Brooks enters the game for D. Rose,,13,24
59,1,3:22.0,D. McDermott enters the game for T. Gibson,,13,24
60,1,3:22.0,,S. Johnson enters the game for K. Caldwell-Pope,13,24
61,1,3:22.0,N. Mirotić enters the game for T. Snell,,13,24
62,1,3:22.0,J. Butler misses free throw 2 of 2,,13,24
63,1,3:21.0,,Defensive rebound by E. İlyasova,13,24
64,1,3:06.0,,R. Jackson makes 2-pt jump shot from 17 ft,13,26
65,1,2:58.0,A. Brooks makes 2-pt layup at rim,,15,26
66,1,2:48.0,,Turnover by A. Drummond (offensive foul),15,26
67,1,2:48.0,,Offensive foul by A. Drummond (drawn by A. Brooks),15,26
68,1,2:48.0,,Detroit full timeout,15,26
69,1,2:48.0,,B. Jennings enters the game for R. Jackson,15,26
70,1,2:27.0,D. McDermott makes 3-pt jump shot from 26 ft (assist by N. Mirotić),,18,26
71,1,2:06.0,,M. Morris makes 2-pt jump shot from 17 ft,18,28
72,1,1:47.0,P. Gasol makes 2-pt jump shot from 16 ft (assist by J. Butler),,20,28
73,1,1:27.0,,E. İlyasova makes 2-pt jump shot from 18 ft,20,30
74,1,1:12.0,P. Gasol makes 2-pt jump shot from 5 ft (assist by J. Butler),,22,30
75,1,0:56.0,,E. İlyasova misses 2-pt jump shot from 6 ft,22,30
76,1,0:55.0,Defensive rebound by N. Mirotić,,22,30
77,1,0:45.0,P. Gasol makes 2-pt jump shot from 19 ft (assist by A. Brooks),,24,30
78,1,0:34.0,,E. İlyasova makes 2-pt layup at rim (assist by B. Jennings),24,32
79,1,0:22.0,J. Butler makes 2-pt jump shot from 16 ft,,26,32
80,1,0:15.0,,Personal take foul by A. Brooks (drawn by B. Jennings),26,32
81,1,0:01.0,,M. Morris misses 3-pt jump shot from 22 ft,26,32
82,1,0:00.0,,Offensive rebound by Team,26,32
83,2,11:40.0,N. Mirotić misses 2-pt jump shot from 19 ft,,26,32
84,2,11:39.0,,Defensive rebound by S. Johnson,26,32
85,2,11:30.0,,Turnover by S. Johnson (bad pass),26,32
86,2,11:11.0,B. Portis misses 3-pt jump shot from 25 ft,,26,32
87,2,11:10.0,Offensive rebound by B. Portis,,26,32
88,2,11:01.0,A. Brooks misses 3-pt jump shot from 26 ft,,26,32
89,2,11:00.0,,Defensive rebound by K. Caldwell-Pope,26,32
90,2,10:54.0,,Turnover by B. Jennings (bad pass; steal by D. McDermott),26,32
91,2,10:40.0,D. McDermott misses 2-pt jump shot from 11 ft,,26,32
92,2,10:39.0,,Defensive rebound by B. Jennings,26,32
93,2,10:26.0,,A. Baynes makes 2-pt layup at rim (assist by B. Jennings),26,34
94,2,10:16.0,N. Mirotić makes 2-pt layup at rim (assist by A. Brooks),,28,34
95,2,9:58.0,,S. Johnson makes 2-pt jump shot from 4 ft,28,36
96,2,9:52.0,Shooting foul by A. Baynes (drawn by N. Mirotić),,28,36
97,2,9:52.0,N. Mirotić misses free throw 1 of 2,,28,36
98,2,9:52.0,Offensive rebound by Team,,28,36
99,2,9:52.0,N. Mirotić misses free throw 2 of 2,,28,36
100,2,9:51.0,,Defensive rebound by K. Caldwell-Pope,28,36
101,2,9:35.0,,A. Baynes misses 2-pt jump shot from 15 ft,28,36
102,2,9:35.0,Defensive rebound by B. Portis,,28,36
103,2,9:14.0,A. Brooks makes 2-pt layup from 1 ft,,30,36
104,2,9:07.0,,B. Jennings makes 2-pt layup at rim,30,38
105,2,8:50.0,N. Mirotić misses 2-pt layup at rim,,30,38
106,2,8:50.0,Offensive rebound by N. Mirotić,,30,38
107,2,8:50.0,Shooting foul by A. Tolliver (drawn by N. Mirotić),,30,38
108,2,8:50.0,Official timeout,,30,38
109,2,8:50.0,T. Gibson enters the game for B. Portis,,30,38
110,2,8:50.0,N. Mirotić makes free throw 1 of 2,,31,38
111,2,8:50.0,N. Mirotić makes free throw 2 of 2,,32,38
112,2,8:36.0,,S. Johnson misses 2-pt jump shot from 6 ft,32,38
113,2,8:36.0,Defensive rebound by Team,,32,38
114,2,8:36.0,,Loose ball foul by A. Baynes (drawn by T. Gibson),32,38
115,2,8:23.0,D. McDermott makes 3-pt jump shot from 25 ft (assist by A. Brooks),,35,38
116,2,8:07.0,,S. Johnson misses 3-pt jump shot from 23 ft,35,38
117,2,8:07.0,,Offensive rebound by A. Tolliver,35,38
118,2,8:02.0,,Turnover by S. Johnson (traveling),35,38
119,2,7:42.0,D. McDermott makes 2-pt jump shot from 17 ft,,37,38
120,2,7:24.0,,A. Baynes misses 2-pt jump shot from 10 ft,37,38
121,2,7:22.0,Defensive rebound by A. Brooks,,37,38
122,2,7:16.0,E. Moore makes 2-pt jump shot from 8 ft,,39,38
123,2,7:16.0,,Detroit full timeout,39,38
124,2,6:55.0,,S. Johnson makes 2-pt jump shot from 9 ft (assist by A. Tolliver),39,40
125,2,6:35.0,T. Gibson makes 2-pt jump shot from 15 ft (assist by A. Brooks),,41,40
126,2,6:09.0,,B. Jennings misses 3-pt jump shot from 26 ft,41,40
127,2,6:09.0,Defensive rebound by Team,,41,40
128,2,5:54.0,Personal foul by K. Caldwell-Pope (drawn by D. McDermott),,41,40
129,2,5:54.0,,A. Drummond enters the game for S. Johnson,41,40
130,2,5:54.0,,M. Morris enters the game for B. Jennings,41,40
131,2,5:54.0,,R. Jackson enters the game for A. Baynes,41,40
132,2,5:54.0,P. Gasol enters the game for N. Mirotić,,41,40
133,2,5:54.0,J. Butler enters the game for E. Moore,,41,40
134,2,5:54.0,D. Rose enters the game for A. Brooks,,41,40
135,2,5:50.0,Turnover by D. McDermott (lost ball; steal by K. Caldwell-Pope),,41,40
136,2,5:44.0,,K. Caldwell-Pope makes 2-pt dunk at rim (assist by A. Drummond),41,42
137,2,5:24.0,P. Gasol makes 2-pt jump shot from 17 ft (assist by D. Rose),,43,42
138,2,5:11.0,,R. Jackson makes 2-pt layup at rim,43,44
139,2,4:55.0,D. Rose makes 3-pt jump shot from 23 ft (assist by P. Gasol),,46,44
140,2,4:43.0,,A. Tolliver misses 3-pt jump shot from 26 ft,46,44
141,2,4:43.0,,Offensive rebound by A. Drummond,46,44
142,2,4:40.0,,A. Drummond makes 2-pt layup at rim,46,46
143,2,4:27.0,P. Gasol misses 3-pt jump shot from 25 ft,,46,46
144,2,4:26.0,,Defensive rebound by M. Morris,46,46
145,2,4:14.0,,K. Caldwell-Pope misses 2-pt jump shot from 6 ft,46,46
146,2,4:12.0,Defensive rebound by J. Butler,,46,46
147,2,4:01.0,D. Rose makes 2-pt jump shot from 12 ft (assist by J. Butler),,48,46
148,2,3:42.0,,K. Caldwell-Pope misses 2-pt jump shot from 4 ft (block by T. Gibson),48,46
149,2,3:41.0,Defensive rebound by P. Gasol,,48,46
150,2,3:40.0,,E. İlyasova enters the game for A. Tolliver,48,46
151,2,3:29.0,D. Rose misses 2-pt jump shot from 20 ft,,48,46
152,2,3:28.0,,Defensive rebound by A. Drummond,48,46
