,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MEMPHIS_ACTION,GOLDEN STATE_SCORE,MEMPHIS_SCORE
0,1,11:45.0,D. Green makes 3-pt jump shot from 22 ft (assist by F. Ezeli),,3,0
1,1,11:15.0,,L. Stephenson makes 3-pt jump shot from 24 ft,3,3
2,1,11:02.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by S. Curry),,6,3
3,1,10:46.0,,M. Barnes makes 3-pt jump shot from 23 ft (assist by V. Carter),6,6
4,1,10:34.0,K. Thompson misses 2-pt jump shot from 21 ft,,6,6
5,1,10:33.0,,Defensive rebound by M. Barnes,6,6
6,1,10:27.0,,M. Barnes misses 3-pt jump shot from 25 ft,6,6
7,1,10:24.0,Defensive rebound by F. Ezeli,,6,6
8,1,10:21.0,Turnover by D. Green (bad pass; steal by J. Farmar),,6,6
9,1,10:15.0,,J. Farmar misses 3-pt jump shot from 24 ft,6,6
10,1,10:13.0,Defensive rebound by D. Green,,6,6
11,1,10:05.0,D. Green misses 3-pt jump shot from 26 ft,,6,6
12,1,10:04.0,,Defensive rebound by J. Farmar,6,6
13,1,9:47.0,,Z. Randolph makes 2-pt jump shot from 18 ft (assist by J. Farmar),6,8
14,1,9:41.0,Golden State full timeout,,6,8
15,1,9:31.0,F. Ezeli makes 2-pt layup from 2 ft (assist by S. Curry),,8,8
16,1,9:31.0,Shooting foul by M. Barnes (drawn by F. Ezeli),,8,8
17,1,9:31.0,F. Ezeli makes free throw 1 of 1,,9,8
18,1,9:10.0,,L. Stephenson makes 2-pt jump shot from 5 ft,9,10
19,1,8:54.0,K. Thompson misses 3-pt jump shot from 24 ft,,9,10
20,1,8:53.0,,Defensive rebound by M. Barnes,9,10
21,1,8:39.0,,V. Carter makes 2-pt jump shot from 18 ft (assist by M. Barnes),9,12
22,1,8:32.0,K. Thompson makes 2-pt layup from 1 ft (assist by S. Curry),,11,12
23,1,8:17.0,,M. Barnes makes 3-pt jump shot from 23 ft (assist by J. Farmar),11,15
24,1,8:01.0,H. Barnes misses 2-pt jump shot from 17 ft,,11,15
25,1,8:00.0,,Defensive rebound by L. Stephenson,11,15
26,1,7:43.0,,V. Carter makes 2-pt jump shot from 6 ft,11,17
27,1,7:26.0,H. Barnes makes 2-pt jump shot from 13 ft,,13,17
28,1,7:09.0,,Z. Randolph misses 3-pt jump shot from 25 ft,13,17
29,1,7:08.0,Defensive rebound by D. Green,,13,17
