,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PORTLAND_ACTION,WASHINGTON_SCORE,PORTLAND_SCORE
0,1,11:43.0,,Turnover by A. Aminu (bad pass; steal by J. Wall),0,0
1,1,11:40.0,Shooting foul by C. McCollum (drawn by J. Wall),,0,0
2,1,11:40.0,J. Wall makes free throw 1 of 2,,1,0
3,1,11:40.0,J. Wall misses free throw 2 of 2,,1,0
4,1,11:38.0,,Defensive rebound by D. Lillard,1,0
5,1,11:23.0,,M. Plumlee makes 2-pt hook shot from 5 ft,1,2
6,1,11:13.0,M. Gortat makes 2-pt layup from 2 ft (assist by G. Temple),,3,2
7,1,11:02.0,,Turnover by M. Plumlee (bad pass),3,2
8,1,10:49.0,Turnover by M. Gortat (lost ball),,3,2
9,1,10:35.0,,N. Vonleh misses 2-pt jump shot from 19 ft,3,2
10,1,10:33.0,,Offensive rebound by M. Plumlee,3,2
11,1,10:26.0,,A. Aminu misses 2-pt layup at rim,3,2
12,1,10:25.0,,Offensive rebound by A. Aminu,3,2
13,1,10:21.0,,Turnover by N. Vonleh (traveling),3,2
14,1,10:04.0,M. Morris misses 2-pt jump shot from 15 ft,,3,2
15,1,10:02.0,,Defensive rebound by Team,3,2
16,1,9:53.0,,Personal foul by G. Temple,3,2
17,1,9:50.0,,M. Plumlee misses 2-pt jump shot from 5 ft,3,2
18,1,9:49.0,Defensive rebound by M. Morris,,3,2
19,1,9:43.0,G. Temple makes 3-pt jump shot from 23 ft (assist by J. Wall),,6,2
20,1,9:31.0,,Turnover by M. Plumlee (lost ball; steal by J. Wall),6,2
21,1,9:25.0,O. Porter misses 2-pt dunk at rim,,6,2
22,1,9:22.0,,Defensive rebound by N. Vonleh,6,2
23,1,9:17.0,,C. McCollum makes 2-pt jump shot from 7 ft (assist by D. Lillard),6,4
24,1,9:02.0,M. Morris makes 2-pt jump shot from 21 ft (assist by J. Wall),,8,4
25,1,8:45.0,,C. McCollum makes 3-pt jump shot from 22 ft (assist by D. Lillard),8,7
26,1,8:36.0,M. Gortat misses 2-pt layup from 1 ft (block by M. Plumlee),,8,7
27,1,8:35.0,,Defensive rebound by A. Aminu,8,7
28,1,8:27.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by A. Aminu),8,10
29,1,8:07.0,M. Gortat misses 2-pt jump shot from 4 ft,,8,10
30,1,8:07.0,,Defensive rebound by C. McCollum,8,10
31,1,7:51.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by C. McCollum),8,13
32,1,7:41.0,J. Wall makes 2-pt jump shot from 18 ft,,10,13
33,1,7:17.0,,D. Lillard makes 2-pt layup from 1 ft,10,15
34,1,6:58.0,M. Morris misses 3-pt jump shot from 24 ft,,10,15
35,1,6:57.0,,Defensive rebound by A. Aminu,10,15
36,1,6:46.0,,Shooting foul by M. Morris (drawn by M. Plumlee),10,15
37,1,6:46.0,,M. Plumlee misses free throw 1 of 2,10,15
38,1,6:46.0,,Offensive rebound by Team,10,15
39,1,6:46.0,,M. Plumlee makes free throw 2 of 2,10,16
40,1,6:31.0,J. Wall misses 2-pt jump shot from 14 ft,,10,16
41,1,6:30.0,Offensive rebound by M. Gortat,,10,16
42,1,6:23.0,O. Porter misses 2-pt jump shot from 17 ft,,10,16
43,1,6:22.0,Offensive rebound by M. Morris,,10,16
44,1,6:15.0,Personal foul by N. Vonleh,,10,16
45,1,6:06.0,Turnover by J. Wall (bad pass),,10,16
46,1,6:06.0,,Portland full timeout,10,16
47,1,5:49.0,,N. Vonleh misses 2-pt layup from 1 ft (block by M. Gortat),10,16
48,1,5:48.0,Defensive rebound by O. Porter,,10,16
49,1,5:36.0,J. Wall misses 2-pt layup from 2 ft,,10,16
50,1,5:35.0,,Defensive rebound by Team,10,16
51,1,5:24.0,,D. Lillard makes 2-pt layup from 3 ft,10,18
52,1,5:04.0,M. Morris misses 2-pt jump shot from 10 ft,,10,18
53,1,5:03.0,,Defensive rebound by A. Aminu,10,18
54,1,4:53.0,,M. Plumlee misses 2-pt layup from 1 ft,10,18
55,1,4:52.0,Defensive rebound by M. Gortat,,10,18
56,1,4:42.0,M. Gortat makes 2-pt hook shot from 4 ft (assist by J. Wall),,12,18
57,1,4:29.0,,Offensive foul by N. Vonleh (drawn by G. Temple),12,18
58,1,4:29.0,,Turnover by N. Vonleh (offensive foul),12,18
59,1,4:29.0,J. Dudley enters the game for M. Morris,,12,18
60,1,4:29.0,,E. Davis enters the game for N. Vonleh,12,18
61,1,4:29.0,,M. Leonard enters the game for M. Plumlee,12,18
62,1,4:29.0,,A. Crabbe enters the game for C. McCollum,12,18
63,1,4:12.0,J. Dudley makes 2-pt jump shot from 19 ft,,14,18
64,1,3:48.0,,M. Leonard makes 2-pt jump shot from 18 ft (assist by D. Lillard),14,20
65,1,3:32.0,G. Temple makes 3-pt jump shot from 24 ft (assist by J. Wall),,17,20
66,1,3:12.0,,E. Davis makes 2-pt hook shot from 6 ft (assist by D. Lillard),17,22
67,1,2:55.0,J. Wall misses 2-pt jump shot from 13 ft,,17,22
68,1,2:54.0,,Defensive rebound by D. Lillard,17,22
69,1,2:39.0,,D. Lillard makes 3-pt jump shot from 27 ft (assist by M. Leonard),17,25
70,1,2:34.0,Shooting foul by E. Davis (drawn by J. Dudley),,17,25
71,1,2:34.0,Washington full timeout,,17,25
72,1,2:34.0,,G. Henderson enters the game for A. Aminu,17,25
73,1,2:34.0,A. Anderson enters the game for G. Temple,,17,25
74,1,2:34.0,J. Dudley makes free throw 1 of 3,,18,25
75,1,2:34.0,J. Dudley makes free throw 2 of 3,,19,25
76,1,2:34.0,J. Dudley makes free throw 3 of 3,,20,25
77,1,2:11.0,,A. Crabbe makes 2-pt jump shot from 17 ft (assist by M. Leonard),20,27
78,1,1:55.0,J. Dudley misses 3-pt jump shot from 22 ft,,20,27
79,1,1:54.0,,Defensive rebound by E. Davis,20,27
80,1,1:44.0,,E. Davis misses 2-pt jump shot from 4 ft,20,27
81,1,1:43.0,,Offensive rebound by E. Davis,20,27
82,1,1:41.0,,E. Davis makes 2-pt jump shot from 4 ft,20,29
83,1,1:23.0,Personal foul by G. Henderson,,20,29
84,1,1:23.0,,Technical foul by G. Henderson,20,29
85,1,1:23.0,Technical foul by A. Anderson,,20,29
86,1,1:23.0,Technical foul by A. Anderson,,20,29
87,1,1:23.0,K. Oubre enters the game for A. Anderson,,20,29
88,1,1:23.0,,D. Lillard misses technical free throw,20,29
89,1,1:23.0,Offensive rebound by Team,,20,29
90,1,1:23.0,N. Hilário enters the game for M. Gortat,,20,29
91,1,1:12.0,J. Dudley makes 2-pt jump shot from 5 ft,,22,29
92,1,1:12.0,Shooting foul by D. Lillard (drawn by J. Dudley),,22,29
93,1,1:12.0,J. Dudley misses free throw 1 of 1,,22,29
94,1,1:09.0,Offensive rebound by N. Hilário,,22,29
95,1,1:03.0,J. Wall misses 2-pt jump shot from 18 ft,,22,29
96,1,1:02.0,,Defensive rebound by M. Leonard,22,29
97,1,0:48.0,,D. Lillard misses 2-pt layup from 2 ft,22,29
98,1,0:46.0,Defensive rebound by J. Wall,,22,29
99,1,0:42.0,Shooting foul by M. Leonard (drawn by K. Oubre),,22,29
100,1,0:42.0,K. Oubre misses free throw 1 of 2,,22,29
101,1,0:42.0,Offensive rebound by Team,,22,29
102,1,0:42.0,K. Oubre misses free throw 2 of 2,,22,29
103,1,0:41.0,,Defensive rebound by Team,22,29
104,1,0:32.0,,Turnover by M. Leonard (bad pass; steal by O. Porter),22,29
105,1,0:26.0,O. Porter misses 2-pt layup from 1 ft,,22,29
106,1,0:25.0,,Defensive rebound by E. Davis,22,29
107,1,0:01.0,,A. Crabbe misses 2-pt layup from 2 ft,22,29
108,1,0:00.0,Defensive rebound by N. Hilário,,22,29
109,2,11:42.0,J. Dudley makes 2-pt jump shot from 16 ft (assist by N. Hilário),,24,29
110,2,11:27.0,,A. Crabbe misses 2-pt jump shot from 16 ft,24,29
111,2,11:26.0,Defensive rebound by K. Oubre,,24,29
112,2,11:09.0,Turnover by R. Sessions (lost ball; steal by E. Davis),,24,29
113,2,11:05.0,,Shooting foul by G. Temple (drawn by C. McCollum),24,29
114,2,11:05.0,,C. McCollum makes free throw 1 of 2,24,30
115,2,11:05.0,,C. McCollum makes free throw 2 of 2,24,31
116,2,10:51.0,N. Hilário misses 2-pt jump shot from 18 ft,,24,31
117,2,10:50.0,,Defensive rebound by E. Davis,24,31
118,2,10:35.0,,G. Henderson misses 2-pt jump shot from 15 ft,24,31
119,2,10:35.0,Defensive rebound by K. Oubre,,24,31
120,2,10:21.0,R. Sessions makes 2-pt layup from 1 ft (assist by N. Hilário),,26,31
121,2,10:07.0,,Offensive foul by C. McCollum (drawn by K. Oubre),26,31
122,2,10:07.0,,Turnover by C. McCollum (offensive foul),26,31
123,2,9:57.0,Personal foul by M. Leonard,,26,31
124,2,9:50.0,N. Hilário makes 2-pt hook shot from 4 ft,,28,31
125,2,9:33.0,,Personal foul by J. Dudley,28,31
126,2,9:31.0,,G. Henderson makes 2-pt dunk at rim (assist by E. Davis),28,33
127,2,9:31.0,,Shooting foul by K. Oubre (drawn by G. Henderson),28,33
128,2,9:31.0,,G. Henderson makes free throw 1 of 1,28,34
