,QUARTER,TIME_REMAINING,DENVER_ACTION,MILWAUKEE_ACTION,DENVER_SCORE,MILWAUKEE_SCORE
0,1,11:47.0,,G. Antetokounmpo misses 2-pt jump shot from 14 ft,0,0
1,1,11:46.0,Defensive rebound by N. Jokić,,0,0
2,1,11:42.0,Turnover by E. Mudiay (bad pass),,0,0
3,1,11:22.0,,Turnover by G. Antetokounmpo (lost ball; steal by D. Gallinari),0,0
4,1,11:09.0,Turnover by D. Gallinari (bad pass; steal by J. Bayless),,0,0
5,1,11:00.0,,Def 3 sec tech foul by D. Gallinari,0,0
6,1,11:00.0,,K. Middleton makes technical free throw,0,1
7,1,10:52.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by J. Bayless),0,4
8,1,10:32.0,Turnover by K. Faried (lost ball),,0,4
9,1,10:20.0,,J. Bayless misses 3-pt jump shot from 25 ft,0,4
10,1,10:19.0,Defensive rebound by K. Faried,,0,4
11,1,10:07.0,K. Faried makes 2-pt layup from 2 ft (assist by N. Jokić),,2,4
12,1,9:54.0,,Turnover by K. Middleton (lost ball),2,4
13,1,9:32.0,N. Jokić makes 2-pt hook shot from 10 ft (assist by E. Mudiay),,4,4
14,1,9:11.0,,G. Monroe makes 2-pt hook shot from 4 ft,4,6
15,1,9:00.0,K. Faried makes 2-pt hook shot from 5 ft (assist by R. Foye),,6,6
16,1,9:00.0,Shooting foul by G. Monroe (drawn by K. Faried),,6,6
17,1,9:00.0,K. Faried makes free throw 1 of 1,,7,6
18,1,8:51.0,,K. Middleton misses 2-pt jump shot from 18 ft,7,6
19,1,8:50.0,Defensive rebound by N. Jokić,,7,6
20,1,8:45.0,Personal foul by G. Antetokounmpo (drawn by K. Faried),,7,6
21,1,8:39.0,K. Faried misses 2-pt jump shot from 4 ft (block by G. Antetokounmpo),,7,6
22,1,8:39.0,,Defensive rebound by O. Mayo,7,6
23,1,8:39.0,,Personal foul by N. Jokić (drawn by J. Bayless),7,6
24,1,8:25.0,,G. Monroe misses 2-pt hook shot from 4 ft,7,6
25,1,8:23.0,Defensive rebound by R. Foye,,7,6
26,1,8:09.0,K. Faried makes 2-pt hook shot from 5 ft (assist by D. Gallinari),,9,6
27,1,7:58.0,,G. Monroe makes 2-pt layup from 1 ft (assist by J. Bayless),9,8
28,1,7:46.0,E. Mudiay misses 3-pt jump shot from 27 ft,,9,8
29,1,7:44.0,Offensive rebound by R. Foye,,9,8
30,1,7:33.0,N. Jokić makes 2-pt jump shot from 13 ft (assist by E. Mudiay),,11,8
31,1,7:19.0,,G. Monroe misses 2-pt jump shot from 5 ft (block by N. Jokić),11,8
32,1,7:15.0,Defensive rebound by E. Mudiay,,11,8
33,1,7:08.0,N. Jokić misses 3-pt jump shot from 27 ft,,11,8
34,1,7:06.0,,Defensive rebound by G. Antetokounmpo,11,8
35,1,6:51.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft (block by D. Gallinari),11,8
36,1,6:48.0,Defensive rebound by D. Gallinari,,11,8
37,1,6:34.0,D. Gallinari misses 2-pt jump shot from 19 ft,,11,8
38,1,6:33.0,,Defensive rebound by J. Bayless,11,8
39,1,6:29.0,,Shooting foul by E. Mudiay (drawn by J. Bayless),11,8
40,1,6:29.0,,J. Bayless makes free throw 1 of 2,11,9
41,1,6:29.0,,J. Parker enters the game for G. Antetokounmpo,11,9
42,1,6:29.0,,J. Bayless makes free throw 2 of 2,11,10
43,1,6:19.0,Turnover by E. Mudiay (bad pass; steal by G. Monroe),,11,10
44,1,6:13.0,,J. Parker makes 2-pt dunk at rim (assist by K. Middleton),11,12
45,1,5:54.0,Personal foul by K. Middleton (drawn by D. Gallinari),,11,12
46,1,5:54.0,,Milwaukee full timeout,11,12
47,1,5:54.0,,M. Carter-Williams enters the game for J. Bayless,11,12
48,1,5:43.0,E. Mudiay misses 2-pt jump shot from 3 ft (block by J. Parker),,11,12
49,1,5:42.0,Offensive rebound by R. Foye,,11,12
