,QUARTER,TIME_REMAINING,DETROIT_ACTION,MIAMI_ACTION,DETROIT_SCORE,MIAMI_SCORE
0,1,11:44.0,,H. Whiteside makes 2-pt hook shot from 8 ft (assist by C. Bosh),0,2
1,1,11:27.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,0,2
2,1,11:26.0,,Defensive rebound by H. Whiteside,0,2
3,1,11:18.0,,H. Whiteside makes 2-pt dunk at rim (assist by B. Udrih),0,4
4,1,10:55.0,R. Jackson makes 2-pt layup from 2 ft,,2,4
5,1,10:42.0,,D. Wade misses 2-pt layup from 1 ft,2,4
6,1,10:41.0,Defensive rebound by Team,,2,4
7,1,10:32.0,Turnover by R. Jackson (bad pass),,2,4
8,1,10:13.0,,Shooting foul by A. Drummond (drawn by H. Whiteside),2,4
9,1,10:13.0,,H. Whiteside makes free throw 1 of 2,2,5
10,1,10:13.0,,H. Whiteside makes free throw 2 of 2,2,6
11,1,9:56.0,M. Morris misses 2-pt jump shot from 14 ft,,2,6
12,1,9:55.0,Offensive rebound by E. İlyasova,,2,6
13,1,9:54.0,E. İlyasova makes 2-pt layup from 1 ft,,4,6
14,1,9:32.0,,B. Udrih makes 2-pt jump shot from 11 ft,4,8
15,1,9:14.0,E. İlyasova misses 2-pt jump shot from 18 ft,,4,8
16,1,9:13.0,,Defensive rebound by H. Whiteside,4,8
17,1,9:08.0,,D. Wade makes 2-pt dunk at rim,4,10
18,1,8:59.0,Detroit full timeout,,4,10
19,1,8:43.0,R. Jackson makes 2-pt jump shot from 16 ft,,6,10
20,1,8:26.0,,D. Wade makes 2-pt layup from 1 ft,6,12
21,1,8:06.0,R. Jackson makes 3-pt jump shot from 24 ft (assist by M. Morris),,9,12
22,1,7:48.0,,C. Bosh misses 3-pt jump shot from 25 ft,9,12
23,1,7:47.0,Defensive rebound by A. Drummond,,9,12
24,1,7:43.0,Turnover by R. Jackson (lost ball),,9,12
25,1,7:33.0,,C. Bosh makes 2-pt jump shot from 15 ft (assist by B. Udrih),9,14
26,1,7:16.0,Turnover by E. İlyasova (bad pass; steal by L. Deng),,9,14
27,1,7:14.0,,Shooting foul by K. Caldwell-Pope (drawn by L. Deng),9,14
28,1,7:14.0,,L. Deng misses free throw 1 of 2,9,14
29,1,7:14.0,,Offensive rebound by Team,9,14
30,1,7:14.0,,L. Deng makes free throw 2 of 2,9,15
31,1,6:59.0,A. Drummond misses 2-pt jump shot from 5 ft (block by H. Whiteside),,9,15
32,1,6:58.0,Offensive rebound by Team,,9,15
33,1,6:48.0,R. Jackson misses 2-pt jump shot from 22 ft,,9,15
34,1,6:47.0,,Defensive rebound by D. Wade,9,15
35,1,6:41.0,,D. Wade misses 2-pt layup from 2 ft,9,15
36,1,6:40.0,,Offensive rebound by D. Wade,9,15
37,1,6:35.0,,B. Udrih misses 3-pt jump shot from 24 ft,9,15
38,1,6:34.0,,Offensive rebound by H. Whiteside,9,15
39,1,6:33.0,,H. Whiteside misses 2-pt jump shot from 3 ft,9,15
40,1,6:32.0,,Offensive rebound by H. Whiteside,9,15
41,1,6:31.0,,H. Whiteside makes 2-pt layup at rim,9,17
42,1,6:14.0,,J. Winslow enters the game for C. Bosh,9,17
43,1,6:12.0,Turnover by M. Morris (bad pass; steal by L. Deng),,9,17
44,1,6:03.0,,L. Deng misses 2-pt layup from 2 ft (block by E. İlyasova),9,17
45,1,6:02.0,,Offensive rebound by H. Whiteside,9,17
46,1,6:00.0,,H. Whiteside misses 2-pt layup from 1 ft (block by A. Drummond),9,17
47,1,5:59.0,,Offensive rebound by B. Udrih,9,17
48,1,5:56.0,,B. Udrih makes 2-pt jump shot from 17 ft,9,19
49,1,5:33.0,Turnover by E. İlyasova (lost ball; steal by J. Winslow),,9,19
50,1,5:28.0,,Turnover by J. Winslow (lost ball; steal by E. İlyasova),9,19
51,1,5:22.0,M. Morris misses 2-pt jump shot from 19 ft,,9,19
52,1,5:21.0,,Defensive rebound by H. Whiteside,9,19
53,1,5:10.0,,Turnover by L. Deng (step out of bounds),9,19
54,1,4:58.0,Turnover by K. Caldwell-Pope (bad pass; steal by D. Wade),,9,19
55,1,4:42.0,,D. Wade misses 2-pt jump shot from 12 ft,9,19
56,1,4:41.0,,Offensive rebound by H. Whiteside,9,19
57,1,4:38.0,,Turnover by H. Whiteside (lost ball; steal by R. Jackson),9,19
58,1,4:30.0,R. Jackson makes 2-pt layup from 2 ft,,11,19
59,1,4:30.0,,Miami full timeout,11,19
60,1,4:30.0,A. Baynes enters the game for A. Drummond,,11,19
61,1,4:15.0,,D. Wade misses 2-pt jump shot from 8 ft,11,19
62,1,4:14.0,Defensive rebound by E. İlyasova,,11,19
63,1,4:01.0,K. Caldwell-Pope misses 2-pt jump shot from 12 ft,,11,19
64,1,4:00.0,,Defensive rebound by L. Deng,11,19
65,1,3:47.0,,H. Whiteside misses 2-pt jump shot from 14 ft,11,19
66,1,3:46.0,,Offensive rebound by D. Wade,11,19
67,1,3:45.0,,D. Wade makes 2-pt jump shot from 2 ft,11,21
68,1,3:29.0,Turnover by M. Morris (offensive foul),,11,21
69,1,3:29.0,,Offensive charge foul by M. Morris (drawn by D. Wade),11,21
70,1,3:29.0,,G. Green enters the game for D. Wade,11,21
71,1,3:29.0,S. Johnson enters the game for K. Caldwell-Pope,,11,21
72,1,3:18.0,,B. Udrih makes 2-pt jump shot from 15 ft,11,23
73,1,3:05.0,S. Johnson makes 3-pt jump shot from 22 ft (assist by R. Jackson),,14,23
74,1,2:42.0,,L. Deng makes 2-pt hook shot from 8 ft,14,25
75,1,2:26.0,Shooting foul by L. Deng (drawn by M. Morris),,14,25
76,1,2:26.0,M. Morris misses free throw 1 of 2,,14,25
77,1,2:26.0,Offensive rebound by Team,,14,25
78,1,2:26.0,S. Blake enters the game for R. Jackson,,14,25
79,1,2:26.0,,C. Bosh enters the game for H. Whiteside,14,25
80,1,2:26.0,M. Morris makes free throw 2 of 2,,15,25
81,1,2:14.0,,C. Bosh makes 2-pt dunk at rim (assist by B. Udrih),15,27
82,1,2:00.0,Turnover by A. Baynes (bad pass; steal by L. Deng),,15,27
83,1,1:54.0,,B. Udrih misses 2-pt jump shot from 15 ft,15,27
84,1,1:53.0,Defensive rebound by M. Morris,,15,27
85,1,1:38.0,A. Baynes misses 2-pt jump shot from 7 ft,,15,27
86,1,1:37.0,,Defensive rebound by G. Green,15,27
87,1,1:18.0,,B. Udrih makes 2-pt jump shot from 15 ft (assist by L. Deng),15,29
88,1,0:59.0,Turnover by M. Morris (bad pass; steal by L. Deng),,15,29
89,1,0:56.0,,L. Deng makes 2-pt dunk at rim,15,31
90,1,0:37.0,S. Johnson makes 3-pt jump shot from 24 ft (assist by M. Morris),,18,31
91,1,0:24.0,,G. Green makes 3-pt jump shot from 25 ft (assist by C. Bosh),18,34
92,1,0:00.0,A. Baynes misses 2-pt dunk at rim (block by G. Green),,18,34
93,1,0:00.0,Offensive rebound by Team,,18,34
94,2,11:45.0,Shooting foul by J. Winslow (drawn by A. Baynes),,18,34
95,2,11:45.0,A. Baynes makes free throw 1 of 2,,19,34
96,2,11:45.0,A. Baynes misses free throw 2 of 2,,19,34
97,2,11:44.0,,Defensive rebound by U. Haslem,19,34
98,2,11:23.0,,C. Bosh makes 3-pt jump shot from 25 ft (assist by J. Richardson),19,37
99,2,11:03.0,S. Blake makes 3-pt jump shot from 24 ft (assist by K. Caldwell-Pope),,22,37
100,2,10:47.0,,C. Bosh misses 2-pt jump shot from 17 ft,22,37
101,2,10:46.0,,Offensive rebound by J. Richardson,22,37
102,2,10:44.0,,G. Green makes 3-pt jump shot from 24 ft (assist by J. Richardson),22,40
103,2,10:32.0,Personal foul by C. Bosh (drawn by A. Tolliver),,22,40
104,2,10:17.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,22,40
105,2,10:16.0,Offensive rebound by S. Blake,,22,40
106,2,10:10.0,A. Tolliver makes 3-pt jump shot from 22 ft (assist by S. Johnson),,25,40
107,2,9:55.0,,U. Haslem misses 3-pt jump shot from 23 ft,25,40
108,2,9:54.0,Defensive rebound by S. Johnson,,25,40
109,2,9:35.0,Turnover by S. Blake (bad pass; steal by J. Winslow),,25,40
110,2,9:29.0,,J. Richardson misses 2-pt jump shot from 18 ft,25,40
111,2,9:28.0,Defensive rebound by S. Blake,,25,40
112,2,9:14.0,A. Tolliver makes 3-pt jump shot from 22 ft (assist by S. Johnson),,28,40
113,2,9:14.0,,Miami full timeout,28,40
114,2,9:14.0,A. Drummond enters the game for A. Baynes,,28,40
115,2,8:57.0,,C. Bosh misses 2-pt layup from 4 ft,28,40
116,2,8:56.0,Defensive rebound by A. Drummond,,28,40
117,2,8:37.0,S. Johnson misses 2-pt layup from 2 ft,,28,40
118,2,8:36.0,,Defensive rebound by U. Haslem,28,40
119,2,8:26.0,,J. Richardson misses 2-pt layup from 1 ft,28,40
120,2,8:24.0,Offensive rebound by Team,,28,40
121,2,8:05.0,S. Blake makes 3-pt jump shot from 22 ft (assist by A. Drummond),,31,40
122,2,7:50.0,,C. Bosh misses 3-pt jump shot from 25 ft,31,40
123,2,7:49.0,Defensive rebound by S. Johnson,,31,40
124,2,7:39.0,S. Johnson makes 3-pt jump shot from 24 ft (assist by S. Blake),,34,40
125,2,7:11.0,,U. Haslem misses 2-pt jump shot from 19 ft,34,40
126,2,7:10.0,Defensive rebound by A. Tolliver,,34,40
127,2,6:49.0,S. Johnson misses 3-pt jump shot from 24 ft,,34,40
128,2,6:48.0,,Defensive rebound by J. Richardson,34,40
129,2,6:34.0,,C. Bosh makes 2-pt dunk at rim,34,42
130,2,6:07.0,S. Johnson makes 3-pt jump shot from 24 ft (assist by K. Caldwell-Pope),,37,42
131,2,5:46.0,,G. Green makes 2-pt jump shot from 14 ft,37,44
132,2,5:30.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft,,40,44
133,2,5:15.0,,C. Bosh misses 2-pt jump shot from 6 ft,40,44
134,2,5:14.0,,Offensive rebound by Team,40,44
135,2,5:14.0,Loose ball foul by A. Drummond (drawn by U. Haslem),,40,44
136,2,5:14.0,Official timeout,,40,44
137,2,5:14.0,R. Jackson enters the game for S. Blake,,40,44
138,2,5:14.0,,H. Whiteside enters the game for C. Bosh,40,44
139,2,5:14.0,,D. Wade enters the game for J. Winslow,40,44
140,2,5:14.0,,L. Deng enters the game for J. Richardson,40,44
141,2,5:14.0,,B. Udrih enters the game for U. Haslem,40,44
142,2,5:03.0,,D. Wade makes 2-pt layup from 1 ft,40,46
143,2,4:49.0,S. Johnson makes 2-pt jump shot from 8 ft,,42,46
144,2,4:27.0,,L. Deng misses 3-pt jump shot from 25 ft,42,46
145,2,4:26.0,Defensive rebound by R. Jackson,,42,46
146,2,4:15.0,S. Johnson misses 2-pt layup from 2 ft (block by H. Whiteside),,42,46
147,2,4:14.0,,Defensive rebound by L. Deng,42,46
148,2,4:09.0,,L. Deng makes 2-pt layup at rim,42,48
149,2,3:50.0,S. Johnson misses 3-pt jump shot from 24 ft,,42,48
150,2,3:48.0,Offensive rebound by A. Drummond,,42,48
151,2,3:48.0,A. Drummond misses 2-pt dunk at rim,,42,48
152,2,3:47.0,Offensive rebound by R. Jackson,,42,48
153,2,3:40.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,42,48
154,2,3:39.0,Offensive rebound by A. Drummond,,42,48
155,2,3:36.0,A. Drummond makes 2-pt jump shot from 12 ft,,44,48
156,2,3:15.0,,D. Wade makes 2-pt jump shot from 19 ft,44,50
157,2,3:00.0,Turnover by S. Johnson (traveling),,44,50
158,2,3:00.0,M. Morris enters the game for S. Johnson,,44,50
159,2,2:42.0,,D. Wade misses 2-pt jump shot from 10 ft,44,50
160,2,2:41.0,Defensive rebound by A. Tolliver,,44,50
161,2,2:35.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,44,50
162,2,2:33.0,Offensive rebound by A. Drummond,,44,50
163,2,2:26.0,A. Tolliver misses 3-pt jump shot from 22 ft,,44,50
164,2,2:25.0,Offensive rebound by K. Caldwell-Pope,,44,50
165,2,2:14.0,R. Jackson makes 2-pt jump shot from 4 ft,,46,50
166,2,1:52.0,,L. Deng misses 3-pt jump shot from 23 ft,46,50
167,2,1:51.0,Defensive rebound by M. Morris,,46,50
168,2,1:40.0,Shooting foul by H. Whiteside (drawn by A. Drummond),,46,50
169,2,1:40.0,Detroit full timeout,,46,50
170,2,1:40.0,,C. Bosh enters the game for G. Green,46,50
171,2,1:40.0,A. Drummond makes free throw 1 of 2,,47,50
172,2,1:40.0,A. Drummond makes free throw 2 of 2,,48,50
173,2,1:28.0,,Personal foul by K. Caldwell-Pope (drawn by H. Whiteside),48,50
174,2,1:28.0,A. Baynes enters the game for A. Drummond,,48,50
175,2,1:28.0,S. Johnson enters the game for K. Caldwell-Pope,,48,50
176,2,1:17.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by D. Wade),48,52
177,2,1:00.0,M. Morris makes 2-pt jump shot from 11 ft,,50,52
178,2,0:43.0,,Turnover by C. Bosh (traveling),50,52
179,2,0:30.0,M. Morris makes 2-pt layup from 2 ft,,52,52
180,2,0:25.0,,Miami full timeout,52,52
181,2,0:25.0,,G. Green enters the game for H. Whiteside,52,52
182,2,0:12.0,,G. Green misses 3-pt jump shot from 23 ft,52,52
183,2,0:11.0,Defensive rebound by A. Tolliver,,52,52
184,2,0:01.0,R. Jackson makes 2-pt layup from 2 ft,,54,52
185,3,11:41.0,E. İlyasova misses 2-pt jump shot from 3 ft (block by H. Whiteside),,54,52
186,3,11:40.0,,Defensive rebound by H. Whiteside,54,52
187,3,11:13.0,,C. Bosh misses 2-pt jump shot from 16 ft,54,52
188,3,11:12.0,,Offensive rebound by H. Whiteside,54,52
189,3,11:09.0,,H. Whiteside misses 2-pt layup from 1 ft,54,52
190,3,11:08.0,Defensive rebound by A. Drummond,,54,52
191,3,10:48.0,A. Drummond misses 2-pt hook shot from 11 ft,,54,52
192,3,10:47.0,,Defensive rebound by L. Deng,54,52
193,3,10:39.0,,D. Wade misses 2-pt jump shot from 19 ft,54,52
194,3,10:38.0,Defensive rebound by M. Morris,,54,52
195,3,10:28.0,K. Caldwell-Pope makes 2-pt jump shot from 8 ft (assist by M. Morris),,56,52
196,3,10:06.0,,B. Udrih makes 2-pt jump shot from 11 ft,56,54
197,3,9:49.0,A. Drummond misses 2-pt hook shot from 6 ft,,56,54
198,3,9:48.0,Offensive rebound by Team,,56,54
199,3,9:48.0,,Loose ball foul by C. Bosh (drawn by A. Drummond),56,54
200,3,9:28.0,K. Caldwell-Pope misses 2-pt jump shot from 9 ft,,56,54
201,3,9:27.0,,Defensive rebound by H. Whiteside,56,54
202,3,9:15.0,,B. Udrih makes 2-pt layup from 2 ft,56,56
203,3,9:00.0,Turnover by M. Morris (traveling),,56,56
204,3,8:37.0,,D. Wade misses 2-pt jump shot from 12 ft,56,56
205,3,8:36.0,Defensive rebound by A. Drummond,,56,56
206,3,8:29.0,R. Jackson misses 2-pt jump shot from 17 ft,,56,56
207,3,8:28.0,Offensive rebound by E. İlyasova,,56,56
208,3,8:22.0,A. Drummond misses 2-pt dunk at rim,,56,56
209,3,8:21.0,Offensive rebound by E. İlyasova,,56,56
210,3,8:20.0,E. İlyasova misses 2-pt jump shot from 3 ft,,56,56
211,3,8:19.0,Offensive rebound by A. Drummond,,56,56
212,3,8:18.0,A. Drummond misses 2-pt layup at rim,,56,56
213,3,8:17.0,Offensive rebound by E. İlyasova,,56,56
214,3,8:16.0,E. İlyasova makes 2-pt layup from 1 ft,,58,56
215,3,8:00.0,,H. Whiteside makes 2-pt dunk at rim (assist by B. Udrih),58,58
216,3,7:43.0,Personal block foul by B. Udrih (drawn by R. Jackson),,58,58
217,3,7:34.0,Shooting foul by B. Udrih (drawn by A. Drummond),,58,58
218,3,7:34.0,A. Drummond makes free throw 1 of 2,,59,58
219,3,7:34.0,A. Drummond misses free throw 2 of 2,,59,58
220,3,7:33.0,,Defensive rebound by C. Bosh,59,58
221,3,7:15.0,,D. Wade makes 2-pt jump shot from 6 ft,59,60
222,3,6:59.0,M. Morris makes 2-pt jump shot from 10 ft,,61,60
223,3,6:38.0,,C. Bosh misses 3-pt jump shot from 25 ft,61,60
224,3,6:37.0,Defensive rebound by A. Drummond,,61,60
225,3,6:25.0,Turnover by R. Jackson (bad pass; steal by L. Deng),,61,60
226,3,6:20.0,,B. Udrih makes 2-pt hook shot from 6 ft,61,62
227,3,5:55.0,Shooting foul by H. Whiteside (drawn by K. Caldwell-Pope),,61,62
228,3,5:55.0,,Miami full timeout,61,62
229,3,5:55.0,,J. Winslow enters the game for C. Bosh,61,62
230,3,5:55.0,K. Caldwell-Pope makes free throw 1 of 2,,62,62
231,3,5:55.0,K. Caldwell-Pope makes free throw 2 of 2,,63,62
232,3,5:39.0,,Shooting foul by K. Caldwell-Pope (drawn by D. Wade),63,62
