,QUARTER,TIME_REMAINING,MIAMI_ACTION,INDIANA_ACTION,MIAMI_SCORE,INDIANA_SCORE
0,1,11:42.0,G. Dragić misses 2-pt jump shot from 15 ft,,0,0
1,1,11:41.0,,Defensive rebound by I. Mahinmi,0,0
2,1,11:30.0,,P. George makes 2-pt layup at rim (assist by M. Ellis),0,2
3,1,11:10.0,L. Deng misses 2-pt layup from 3 ft,,0,2
4,1,11:09.0,Offensive rebound by L. Deng,,0,2
5,1,11:08.0,L. Deng makes 2-pt layup from 1 ft,,2,2
6,1,10:53.0,,M. Ellis makes 2-pt jump shot from 17 ft,2,4
7,1,10:41.0,D. Wade misses 2-pt jump shot from 16 ft,,2,4
8,1,10:41.0,,Defensive rebound by I. Mahinmi,2,4
9,1,10:27.0,,P. George misses 2-pt jump shot from 17 ft,2,4
10,1,10:25.0,Defensive rebound by C. Bosh,,2,4
11,1,10:20.0,,Offensive charge foul by L. Deng (drawn by M. Ellis),2,4
12,1,10:20.0,Turnover by L. Deng (offensive foul),,2,4
13,1,10:05.0,,P. George makes 3-pt jump shot from 26 ft (assist by M. Ellis),2,7
14,1,9:46.0,C. Bosh misses 2-pt jump shot from 17 ft,,2,7
15,1,9:45.0,,Defensive rebound by P. George,2,7
16,1,9:37.0,,I. Mahinmi misses 2-pt hook shot from 5 ft,2,7
17,1,9:37.0,Defensive rebound by H. Whiteside,,2,7
18,1,9:19.0,D. Wade makes 2-pt jump shot from 12 ft,,4,7
19,1,9:06.0,,M. Ellis misses 2-pt jump shot from 13 ft,4,7
20,1,9:06.0,Defensive rebound by H. Whiteside,,4,7
21,1,8:51.0,H. Whiteside makes 2-pt layup from 1 ft (assist by D. Wade),,6,7
22,1,8:33.0,,I. Mahinmi makes 2-pt layup from 5 ft (assist by M. Ellis),6,9
23,1,8:13.0,Turnover by L. Deng (lost ball),,6,9
24,1,7:57.0,,P. George misses 2-pt jump shot from 16 ft,6,9
25,1,7:57.0,,Offensive rebound by I. Mahinmi,6,9
26,1,7:52.0,,I. Mahinmi misses 2-pt layup from 3 ft (block by H. Whiteside),6,9
27,1,7:51.0,,Offensive rebound by P. George,6,9
28,1,7:49.0,,P. George makes 2-pt jump shot from 16 ft,6,11
29,1,7:31.0,Turnover by H. Whiteside (bad pass; steal by M. Ellis),,6,11
30,1,7:24.0,,Turnover by M. Ellis (bad pass; steal by H. Whiteside),6,11
31,1,7:18.0,L. Deng makes 2-pt layup from 3 ft (assist by G. Dragić),,8,11
32,1,7:04.0,,P. George makes 2-pt jump shot from 16 ft (assist by I. Mahinmi),8,13
33,1,6:42.0,C. Bosh misses 3-pt jump shot from 24 ft,,8,13
34,1,6:40.0,,Defensive rebound by P. George,8,13
35,1,6:31.0,,P. George makes 2-pt jump shot from 19 ft,8,15
36,1,6:25.0,Miami full timeout,,8,15
37,1,6:25.0,J. Winslow enters the game for C. Bosh,,8,15
38,1,6:18.0,Turnover by G. Dragić (bad pass; steal by P. George),,8,15
39,1,6:03.0,,M. Ellis misses 3-pt jump shot from 24 ft,8,15
40,1,6:02.0,Defensive rebound by G. Dragić,,8,15
41,1,5:56.0,Personal foul by I. Mahinmi (drawn by H. Whiteside),,8,15
42,1,5:56.0,,C. Budinger enters the game for L. Allen,8,15
43,1,5:51.0,D. Wade misses 2-pt jump shot from 16 ft,,8,15
44,1,5:50.0,,Defensive rebound by C. Budinger,8,15
45,1,5:28.0,,P. George misses 3-pt jump shot from 24 ft,8,15
46,1,5:28.0,Defensive rebound by H. Whiteside,,8,15
47,1,5:18.0,H. Whiteside misses 2-pt jump shot from 13 ft (block by P. George),,8,15
48,1,5:16.0,,Defensive rebound by I. Mahinmi,8,15
49,1,5:14.0,,Shooting block foul by G. Dragić (drawn by G. Hill),8,15
50,1,5:14.0,,G. Hill misses free throw 1 of 2,8,15
51,1,5:14.0,,Offensive rebound by Team,8,15
52,1,5:14.0,,G. Hill misses free throw 2 of 2,8,15
53,1,5:14.0,Defensive rebound by J. Winslow,,8,15
