,QUARTER,TIME_REMAINING,PORTLAND_ACTION,TORONTO_ACTION,PORTLAND_SCORE,TORONTO_SCORE
0,1,11:43.0,,D. DeRozan misses 2-pt jump shot from 17 ft,0,0
1,1,11:43.0,Defensive rebound by N. Vonleh,,0,0
2,1,11:33.0,M. Plumlee makes 2-pt dunk at rim (assist by D. Lillard),,2,0
3,1,11:09.0,,K. Lowry makes 2-pt jump shot from 9 ft,2,2
4,1,10:58.0,Personal foul by J. Valančiūnas (drawn by M. Plumlee),,2,2
5,1,10:48.0,C. McCollum makes 3-pt jump shot from 24 ft (assist by N. Vonleh),,5,2
6,1,10:26.0,,Turnover by L. Scola (bad pass),5,2
7,1,10:05.0,A. Aminu misses 2-pt jump shot from 7 ft,,5,2
8,1,10:05.0,,Defensive rebound by N. Powell,5,2
9,1,9:54.0,,Shooting foul by M. Plumlee (drawn by J. Valančiūnas),5,2
10,1,9:54.0,Violation by Team (delay of game),,5,2
11,1,9:54.0,,J. Valančiūnas makes free throw 1 of 2,5,3
12,1,9:54.0,,J. Valančiūnas makes free throw 2 of 2,5,4
13,1,9:38.0,Turnover by D. Lillard (lost ball; steal by L. Scola),,5,4
14,1,9:32.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by N. Powell),5,7
15,1,9:21.0,Personal foul by L. Scola (drawn by N. Vonleh),,5,7
16,1,9:18.0,D. Lillard misses 3-pt jump shot from 26 ft,,5,7
17,1,9:17.0,,Defensive rebound by J. Valančiūnas,5,7
18,1,9:06.0,,D. DeRozan misses 2-pt jump shot from 13 ft,5,7
19,1,9:05.0,Defensive rebound by M. Plumlee,,5,7
20,1,8:56.0,Personal foul by N. Powell (drawn by C. McCollum),,5,7
21,1,8:46.0,Turnover by M. Plumlee (bad pass),,5,7
22,1,8:27.0,,J. Valančiūnas makes 2-pt layup from 1 ft,5,9
23,1,8:04.0,Personal foul by L. Scola (drawn by M. Plumlee),,5,9
24,1,7:59.0,C. McCollum makes 2-pt jump shot from 18 ft,,7,9
25,1,7:45.0,,Turnover by D. DeRozan (bad pass),7,9
26,1,7:35.0,M. Plumlee misses 2-pt layup from 2 ft,,7,9
27,1,7:34.0,,Defensive rebound by Team,7,9
28,1,7:34.0,Loose ball foul by M. Plumlee (drawn by L. Scola),,7,9
29,1,7:34.0,M. Leonard enters the game for M. Plumlee,,7,9
30,1,7:21.0,,Personal foul by N. Vonleh (drawn by L. Scola),7,9
31,1,7:15.0,,Personal foul by N. Vonleh (drawn by L. Scola),7,9
32,1,7:05.0,,N. Powell misses 3-pt jump shot from 26 ft,7,9
33,1,7:05.0,Defensive rebound by N. Vonleh,,7,9
34,1,6:50.0,N. Vonleh makes 2-pt layup from 2 ft,,9,9
35,1,6:50.0,Shooting foul by J. Valančiūnas (drawn by N. Vonleh),,9,9
36,1,6:50.0,,B. Biyombo enters the game for J. Valančiūnas,9,9
37,1,6:50.0,N. Vonleh makes free throw 1 of 1,,10,9
38,1,6:32.0,,D. DeRozan makes 2-pt jump shot from 4 ft,10,11
39,1,6:32.0,,Shooting foul by M. Leonard (drawn by D. DeRozan),10,11
40,1,6:32.0,,P. Patterson enters the game for L. Scola,10,11
41,1,6:32.0,,D. DeRozan makes free throw 1 of 1,10,12
42,1,6:20.0,D. Lillard makes 2-pt jump shot from 5 ft,,12,12
43,1,6:02.0,,D. DeRozan makes 2-pt jump shot from 4 ft,12,14
44,1,5:55.0,Shooting foul by N. Powell (drawn by D. Lillard),,12,14
45,1,5:55.0,,Toronto full timeout,12,14
46,1,5:55.0,,T. Ross enters the game for N. Powell,12,14
47,1,5:55.0,E. Davis enters the game for N. Vonleh,,12,14
48,1,5:55.0,A. Crabbe enters the game for C. McCollum,,12,14
49,1,5:55.0,D. Lillard makes free throw 1 of 2,,13,14
50,1,5:55.0,D. Lillard makes free throw 2 of 2,,14,14
51,1,5:44.0,,Shooting foul by A. Aminu (drawn by D. DeRozan),14,14
52,1,5:44.0,,D. DeRozan makes free throw 1 of 2,14,15
53,1,5:44.0,,D. DeRozan makes free throw 2 of 2,14,16
54,1,5:31.0,A. Crabbe makes 2-pt layup from 2 ft (assist by D. Lillard),,16,16
55,1,5:17.0,,D. DeRozan misses 2-pt jump shot from 4 ft,16,16
56,1,5:17.0,Defensive rebound by E. Davis,,16,16
57,1,5:09.0,Turnover by D. Lillard (bad pass),,16,16
58,1,4:59.0,,B. Biyombo makes 2-pt dunk at rim (assist by K. Lowry),16,18
59,1,4:39.0,A. Aminu misses 2-pt layup from 1 ft (block by B. Biyombo),,16,18
60,1,4:38.0,Offensive rebound by Team,,16,18
61,1,4:38.0,G. Henderson enters the game for A. Aminu,,16,18
62,1,4:33.0,G. Henderson misses 2-pt jump shot from 12 ft,,16,18
63,1,4:33.0,,Defensive rebound by B. Biyombo,16,18
64,1,4:21.0,,K. Lowry misses 3-pt jump shot from 27 ft,16,18
