,QUARTER,TIME_REMAINING,UTAH_ACTION,NEW YORK_ACTION,UTAH_SCORE,NEW YORK_SCORE
0,1,11:41.0,R. Neto makes 2-pt layup from 1 ft,,2,0
1,1,11:22.0,,R. Lopez makes 2-pt hook shot from 4 ft (assist by C. Anthony),2,2
2,1,11:04.0,R. Neto misses 2-pt jump shot from 6 ft,,2,2
3,1,11:02.0,Offensive rebound by R. Neto,,2,2
4,1,10:44.0,T. Lyles makes 2-pt jump shot from 17 ft (assist by G. Hayward),,4,2
5,1,10:21.0,,R. Lopez misses 2-pt hook shot from 5 ft,4,2
6,1,10:18.0,Defensive rebound by R. Gobert,,4,2
7,1,10:03.0,Personal foul by C. Anthony (drawn by G. Hayward),,4,2
8,1,9:59.0,R. Gobert misses 2-pt layup from 1 ft,,4,2
9,1,9:57.0,,Defensive rebound by C. Anthony,4,2
10,1,9:50.0,,R. Lopez makes 2-pt hook shot from 4 ft (assist by C. Anthony),4,4
11,1,9:39.0,Personal foul by R. Lopez (drawn by R. Gobert),,4,4
12,1,9:24.0,R. Gobert makes 2-pt layup from 2 ft (assist by R. Neto),,6,4
13,1,9:13.0,,Turnover by J. Calderón (bad pass; steal by T. Lyles),6,4
14,1,8:53.0,G. Hayward misses 2-pt jump shot from 20 ft,,6,4
15,1,8:52.0,,Defensive rebound by C. Anthony,6,4
16,1,8:46.0,,J. Calderón makes 3-pt jump shot from 24 ft (assist by C. Anthony),6,7
17,1,8:24.0,T. Lyles misses 2-pt layup at rim,,6,7
18,1,8:23.0,,Defensive rebound by K. Porziņģis,6,7
19,1,8:04.0,,C. Anthony misses 2-pt jump shot from 16 ft,6,7
20,1,8:02.0,Defensive rebound by R. Hood,,6,7
21,1,7:48.0,G. Hayward misses 2-pt jump shot from 18 ft,,6,7
22,1,7:47.0,,Defensive rebound by K. Porziņģis,6,7
23,1,7:25.0,,C. Anthony makes 2-pt layup from 1 ft,6,9
24,1,7:06.0,R. Hood makes 2-pt jump shot from 16 ft,,8,9
