,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MEMPHIS_ACTION,PORTLAND_SCORE,MEMPHIS_SCORE
0,1,11:35.0,,M. Gasol makes 2-pt jump shot from 6 ft,0,2
1,1,11:19.0,M. Leonard makes 3-pt jump shot from 25 ft (assist by D. Lillard),,3,2
2,1,10:57.0,,M. Conley misses 2-pt jump shot from 18 ft,3,2
3,1,10:55.0,Defensive rebound by A. Aminu,,3,2
4,1,10:41.0,M. Plumlee makes 2-pt jump shot from 9 ft (assist by C. McCollum),,5,2
5,1,10:20.0,,T. Allen makes 3-pt jump shot from 25 ft (assist by M. Conley),5,5
6,1,10:03.0,C. McCollum misses 2-pt jump shot from 15 ft,,5,5
7,1,10:01.0,,Defensive rebound by M. Gasol,5,5
8,1,9:54.0,,T. Allen makes 2-pt layup from 1 ft (assist by Z. Randolph),5,7
9,1,9:26.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by C. McCollum),,8,7
10,1,9:09.0,,Z. Randolph misses 2-pt jump shot from 20 ft,8,7
11,1,9:09.0,Defensive rebound by D. Lillard,,8,7
12,1,8:58.0,C. McCollum misses 3-pt jump shot from 25 ft,,8,7
13,1,8:57.0,,Defensive rebound by T. Allen,8,7
14,1,8:47.0,,Shooting foul by M. Plumlee (drawn by M. Gasol),8,7
15,1,8:47.0,,M. Gasol makes free throw 1 of 2,8,8
16,1,8:47.0,,M. Gasol makes free throw 2 of 2,8,9
17,1,8:29.0,C. McCollum misses 3-pt jump shot from 25 ft,,8,9
18,1,8:29.0,,Defensive rebound by M. Gasol,8,9
19,1,8:13.0,,Z. Randolph makes 2-pt layup from 1 ft (assist by M. Gasol),8,11
20,1,7:53.0,Shooting foul by M. Conley (drawn by D. Lillard),,8,11
21,1,7:53.0,D. Lillard makes free throw 1 of 3,,9,11
22,1,7:53.0,D. Lillard misses free throw 2 of 3,,9,11
23,1,7:53.0,Offensive rebound by Team,,9,11
24,1,7:53.0,D. Lillard makes free throw 3 of 3,,10,11
25,1,7:41.0,,Personal foul by D. Lillard (drawn by M. Conley),10,11
26,1,7:26.0,,Turnover by C. Lee (lost ball; steal by C. McCollum),10,11
27,1,7:21.0,M. Plumlee makes 2-pt layup from 1 ft (assist by C. McCollum),,12,11
28,1,7:00.0,,T. Allen makes 2-pt layup from 2 ft (assist by M. Gasol),12,13
29,1,6:40.0,M. Leonard misses 3-pt jump shot from 25 ft,,12,13
30,1,6:39.0,,Defensive rebound by M. Conley,12,13
31,1,6:27.0,,C. Lee makes 3-pt jump shot from 25 ft (assist by Z. Randolph),12,16
32,1,6:15.0,Turnover by D. Lillard (bad pass),,12,16
33,1,6:05.0,,M. Gasol makes 2-pt jump shot from 21 ft (assist by M. Conley),12,18
