,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,ATLANTA_ACTION,CHARLOTTE_SCORE,ATLANTA_SCORE
0,1,11:43.0,,K. Bazemore makes 2-pt layup at rim (assist by J. Teague),0,2
1,1,11:16.0,K. Walker misses 2-pt jump shot from 20 ft,,0,2
2,1,11:15.0,,Defensive rebound by A. Horford,0,2
3,1,11:06.0,,P. Millsap makes 2-pt jump shot from 13 ft (assist by A. Horford),0,4
4,1,10:49.0,C. Lee misses 2-pt layup from 1 ft,,0,4
5,1,10:48.0,,Defensive rebound by A. Horford,0,4
6,1,10:24.0,,A. Horford misses 2-pt jump shot from 16 ft,0,4
7,1,10:22.0,Defensive rebound by M. Williams,,0,4
8,1,10:15.0,M. Williams misses 3-pt jump shot from 24 ft,,0,4
9,1,10:13.0,,Defensive rebound by A. Horford,0,4
10,1,10:01.0,,Turnover by J. Teague (bad pass; steal by N. Batum),0,4
11,1,9:48.0,K. Walker makes 2-pt layup from 1 ft,,2,4
12,1,9:41.0,,Turnover by J. Teague (bad pass; steal by N. Batum),2,4
13,1,9:35.0,Shooting foul by K. Korver (drawn by C. Lee),,2,4
14,1,9:35.0,C. Lee makes free throw 1 of 2,,3,4
15,1,9:35.0,C. Lee makes free throw 2 of 2,,4,4
16,1,9:23.0,,P. Millsap makes 2-pt jump shot from 15 ft (assist by J. Teague),4,6
17,1,9:11.0,N. Batum misses 2-pt jump shot from 14 ft,,4,6
18,1,9:10.0,,Defensive rebound by A. Horford,4,6
19,1,8:51.0,,J. Teague misses 2-pt jump shot from 15 ft,4,6
20,1,8:48.0,Defensive rebound by N. Batum,,4,6
21,1,8:39.0,C. Zeller misses 2-pt jump shot from 7 ft,,4,6
22,1,8:38.0,,Defensive rebound by Team,4,6
23,1,8:22.0,,A. Horford makes 2-pt layup from 2 ft,4,8
24,1,8:03.0,N. Batum misses 3-pt jump shot from 24 ft,,4,8
25,1,8:02.0,,Defensive rebound by K. Korver,4,8
26,1,7:56.0,,P. Millsap misses 3-pt jump shot from 25 ft,4,8
27,1,7:54.0,Defensive rebound by C. Zeller,,4,8
28,1,7:42.0,C. Zeller misses 2-pt layup from 1 ft,,4,8
29,1,7:40.0,,Defensive rebound by A. Horford,4,8
30,1,7:26.0,,P. Millsap misses 2-pt jump shot from 8 ft,4,8
31,1,7:24.0,Defensive rebound by C. Zeller,,4,8
32,1,7:14.0,K. Walker misses 3-pt jump shot from 23 ft,,4,8
33,1,7:13.0,,Defensive rebound by P. Millsap,4,8
34,1,7:00.0,,K. Korver makes 2-pt layup at rim (assist by A. Horford),4,10
35,1,6:43.0,M. Williams misses 3-pt jump shot from 24 ft,,4,10
36,1,6:41.0,,Defensive rebound by Team,4,10
37,1,6:41.0,,M. Muscala enters the game for A. Horford,4,10
38,1,6:41.0,,Atlanta full timeout,4,10
39,1,6:33.0,,Personal foul by C. Lee (drawn by K. Korver),4,10
40,1,6:33.0,A. Jefferson enters the game for C. Zeller,,4,10
41,1,6:27.0,,Turnover by J. Teague (bad pass),4,10
42,1,6:04.0,M. Williams misses 2-pt layup from 1 ft (block by P. Millsap),,4,10
43,1,6:02.0,,Defensive rebound by K. Bazemore,4,10
44,1,5:44.0,,J. Teague misses 3-pt jump shot from 24 ft,4,10
45,1,5:42.0,,Offensive rebound by M. Muscala,4,10
46,1,5:40.0,,M. Muscala makes 2-pt layup at rim,4,12
47,1,5:21.0,M. Williams misses 2-pt layup from 1 ft,,4,12
48,1,5:18.0,,Defensive rebound by M. Muscala,4,12
49,1,5:07.0,,K. Bazemore makes 2-pt dunk at rim (assist by J. Teague),4,14
50,1,4:45.0,K. Walker misses 3-pt jump shot from 24 ft,,4,14
51,1,4:42.0,,Defensive rebound by K. Korver,4,14
52,1,4:35.0,,Offensive foul by M. Muscala (drawn by K. Walker),4,14
53,1,4:35.0,,Turnover by M. Muscala (offensive foul),4,14
54,1,4:35.0,,T. Hardaway enters the game for K. Korver,4,14
55,1,4:35.0,,D. Schröder enters the game for J. Teague,4,14
56,1,4:35.0,,T. Sefolosha enters the game for K. Bazemore,4,14
57,1,4:35.0,J. Lin enters the game for N. Batum,,4,14
58,1,4:22.0,Turnover by M. Williams (bad pass; steal by M. Muscala),,4,14
59,1,4:09.0,,T. Sefolosha makes 2-pt jump shot from 18 ft (assist by M. Muscala),4,16
60,1,3:59.0,Charlotte full timeout,,4,16
61,1,3:41.0,A. Jefferson misses 2-pt jump shot from 17 ft,,4,16
62,1,3:40.0,,Defensive rebound by T. Hardaway,4,16
63,1,3:26.0,,T. Sefolosha misses 2-pt jump shot from 21 ft,4,16
