,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MILWAUKEE_ACTION,PORTLAND_SCORE,MILWAUKEE_SCORE
0,1,11:43.0,M. Plumlee misses 2-pt hook shot from 4 ft,,0,0
1,1,11:42.0,,Defensive rebound by G. Monroe,0,0
2,1,11:16.0,,K. Middleton misses 2-pt jump shot from 16 ft,0,0
3,1,11:15.0,Defensive rebound by M. Plumlee,,0,0
4,1,11:03.0,M. Plumlee misses 2-pt jump shot from 4 ft,,0,0
5,1,11:01.0,,Defensive rebound by J. Parker,0,0
6,1,10:47.0,,O. Mayo misses 3-pt jump shot from 22 ft,0,0
7,1,10:46.0,Defensive rebound by A. Aminu,,0,0
8,1,10:39.0,A. Aminu misses 2-pt jump shot from 18 ft,,0,0
9,1,10:37.0,,Defensive rebound by J. Parker,0,0
10,1,10:13.0,,K. Middleton misses 2-pt jump shot from 9 ft (block by M. Plumlee),0,0
11,1,10:13.0,,Offensive rebound by Team,0,0
12,1,10:13.0,,Turnover by Team (shot clock),0,0
13,1,10:03.0,D. Lillard makes 2-pt jump shot from 15 ft (assist by M. Plumlee),,2,0
14,1,9:45.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by J. Parker),2,2
15,1,9:18.0,C. McCollum misses 2-pt jump shot from 14 ft,,2,2
16,1,9:16.0,,Defensive rebound by G. Antetokounmpo,2,2
17,1,9:12.0,,Personal foul by M. Plumlee (drawn by G. Monroe),2,2
18,1,9:02.0,,Shooting foul by C. McCollum (drawn by K. Middleton),2,2
19,1,9:02.0,,K. Middleton misses free throw 1 of 2,2,2
20,1,9:02.0,,Offensive rebound by Team,2,2
21,1,9:02.0,,K. Middleton makes free throw 2 of 2,2,3
22,1,8:50.0,D. Lillard makes 2-pt layup at rim (assist by N. Vonleh),,4,3
23,1,8:35.0,,G. Monroe makes 2-pt hook shot from 5 ft,4,5
24,1,8:18.0,C. McCollum misses 3-pt jump shot from 25 ft,,4,5
25,1,8:17.0,,Defensive rebound by G. Antetokounmpo,4,5
26,1,8:07.0,,G. Monroe makes 2-pt hook shot from 5 ft (assist by G. Antetokounmpo),4,7
27,1,7:49.0,Turnover by D. Lillard (lost ball; steal by O. Mayo),,4,7
28,1,7:45.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by O. Mayo),4,9
29,1,7:28.0,Turnover by M. Plumlee (bad pass; steal by K. Middleton),,4,9
30,1,7:23.0,,K. Middleton misses 2-pt dunk at rim (block by M. Plumlee),4,9
31,1,7:23.0,,Offensive rebound by Team,4,9
32,1,7:22.0,,Turnover by G. Antetokounmpo (bad pass; steal by A. Aminu),4,9
33,1,7:22.0,Personal take foul by K. Middleton (drawn by A. Aminu),,4,9
34,1,7:11.0,Turnover by D. Lillard (bad pass; steal by G. Antetokounmpo),,4,9
35,1,7:08.0,,Personal foul by N. Vonleh (drawn by G. Antetokounmpo),4,9
36,1,7:01.0,,G. Monroe makes 2-pt jump shot from 17 ft (assist by J. Parker),4,11
37,1,6:52.0,Portland full timeout,,4,11
38,1,6:36.0,A. Aminu misses 3-pt jump shot from 23 ft,,4,11
39,1,6:35.0,Offensive rebound by C. McCollum,,4,11
40,1,6:28.0,C. McCollum makes 2-pt jump shot from 7 ft,,6,11
41,1,6:18.0,,K. Middleton makes 2-pt jump shot from 17 ft,6,13
42,1,6:01.0,C. McCollum misses 2-pt jump shot from 11 ft,,6,13
43,1,6:00.0,Offensive rebound by N. Vonleh,,6,13
44,1,5:57.0,N. Vonleh misses 2-pt jump shot from 4 ft (block by G. Antetokounmpo),,6,13
45,1,5:55.0,,Defensive rebound by G. Monroe,6,13
46,1,5:42.0,,J. Parker makes 2-pt jump shot from 5 ft (assist by G. Monroe),6,15
47,1,5:26.0,Turnover by D. Lillard (bad pass),,6,15
48,1,5:26.0,E. Davis enters the game for C. McCollum,,6,15
49,1,5:26.0,A. Crabbe enters the game for M. Plumlee,,6,15
50,1,5:17.0,M. Leonard enters the game for N. Vonleh,,6,15
51,1,5:14.0,,O. Mayo misses 2-pt jump shot from 14 ft,6,15
52,1,5:12.0,Defensive rebound by E. Davis,,6,15
53,1,5:03.0,M. Leonard makes 2-pt layup at rim (assist by D. Lillard),,8,15
54,1,4:53.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),8,17
55,1,4:36.0,Turnover by D. Lillard (bad pass; steal by O. Mayo),,8,17
56,1,4:31.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,8,17
57,1,4:29.0,,Offensive rebound by G. Monroe,8,17
58,1,4:29.0,,G. Monroe makes 2-pt layup from 1 ft,8,19
