,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,GOLDEN STATE_ACTION,SACRAMENTO_SCORE,GOLDEN STATE_SCORE
0,1,11:47.0,,D. Green misses 2-pt jump shot from 18 ft,0,0
1,1,11:46.0,Defensive rebound by R. Rondo,,0,0
2,1,11:36.0,K. Koufos makes 2-pt hook shot from 6 ft (assist by R. Rondo),,2,0
3,1,11:14.0,,S. Curry misses 3-pt jump shot from 24 ft,2,0
4,1,11:13.0,Defensive rebound by R. Gay,,2,0
5,1,11:06.0,Turnover by B. McLemore (lost ball),,2,0
6,1,10:57.0,,Personal foul by R. Rondo (drawn by D. Green),2,0
7,1,10:52.0,,Turnover by K. Thompson (bad pass; steal by K. Koufos),2,0
8,1,10:48.0,R. Gay misses 2-pt jump shot from 4 ft (block by D. Green),,2,0
9,1,10:47.0,Offensive rebound by Team,,2,0
10,1,10:44.0,B. McLemore makes 3-pt jump shot from 23 ft (assist by R. Rondo),,5,0
11,1,10:18.0,,B. Rush misses 2-pt layup from 2 ft (block by K. Koufos),5,0
12,1,10:18.0,Defensive rebound by R. Rondo,,5,0
13,1,10:18.0,Personal foul by A. Bogut (drawn by O. Casspi),,5,0
14,1,10:05.0,Turnover by R. Rondo (bad pass; steal by S. Curry),,5,0
15,1,10:00.0,,S. Curry makes 2-pt layup from 2 ft (assist by D. Green),5,2
16,1,9:38.0,R. Rondo misses 2-pt jump shot from 18 ft,,5,2
17,1,9:37.0,,Defensive rebound by B. Rush,5,2
18,1,9:19.0,,K. Thompson makes 2-pt layup from 2 ft,5,4
19,1,8:57.0,R. Gay misses 2-pt hook shot from 7 ft,,5,4
20,1,8:55.0,Offensive rebound by R. Gay,,5,4
21,1,8:54.0,R. Gay makes 2-pt layup at rim,,7,4
22,1,8:40.0,,A. Bogut misses 2-pt jump shot from 10 ft,7,4
23,1,8:39.0,Defensive rebound by O. Casspi,,7,4
24,1,8:30.0,O. Casspi makes 3-pt jump shot from 28 ft (assist by R. Rondo),,10,4
25,1,8:15.0,,S. Curry misses 3-pt jump shot from 26 ft,10,4
26,1,8:13.0,,Offensive rebound by B. Rush,10,4
27,1,8:13.0,,Shooting foul by K. Koufos (drawn by B. Rush),10,4
28,1,8:13.0,,B. Rush makes free throw 1 of 2,10,5
29,1,8:13.0,,B. Rush makes free throw 2 of 2,10,6
30,1,7:59.0,R. Rondo misses 2-pt jump shot from 5 ft,,10,6
31,1,7:58.0,,Defensive rebound by A. Bogut,10,6
32,1,7:51.0,,K. Thompson misses 3-pt jump shot from 23 ft,10,6
33,1,7:50.0,Defensive rebound by K. Koufos,,10,6
34,1,7:32.0,K. Koufos misses 2-pt jump shot from 10 ft,,10,6
35,1,7:31.0,,Defensive rebound by D. Green,10,6
36,1,7:29.0,,Turnover by D. Green (bad pass; steal by B. McLemore),10,6
37,1,7:20.0,R. Gay makes 2-pt layup from 1 ft (assist by B. McLemore),,12,6
38,1,6:56.0,,D. Green misses 3-pt jump shot from 25 ft,12,6
39,1,6:56.0,Defensive rebound by R. Gay,,12,6
40,1,6:47.0,K. Koufos makes 2-pt hook shot from 6 ft (assist by B. McLemore),,14,6
41,1,6:33.0,,Turnover by D. Green (bad pass; steal by K. Koufos),14,6
42,1,6:21.0,R. Gay misses 2-pt jump shot from 7 ft,,14,6
43,1,6:19.0,,Defensive rebound by A. Bogut,14,6
44,1,6:12.0,,K. Thompson makes 2-pt layup from 1 ft (assist by D. Green),14,8
45,1,5:57.0,Shooting foul by B. Rush (drawn by O. Casspi),,14,8
46,1,5:57.0,,Golden State full timeout,14,8
47,1,5:57.0,,A. Iguodala enters the game for B. Rush,14,8
48,1,5:57.0,O. Casspi makes free throw 1 of 2,,15,8
49,1,5:57.0,O. Casspi makes free throw 2 of 2,,16,8
50,1,5:42.0,,D. Green misses 2-pt jump shot from 17 ft,16,8
51,1,5:42.0,Defensive rebound by O. Casspi,,16,8
52,1,5:28.0,R. Gay misses 2-pt jump shot from 18 ft,,16,8
53,1,5:28.0,,Defensive rebound by A. Iguodala,16,8
54,1,5:18.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by A. Bogut),16,11
55,1,5:07.0,K. Koufos misses 2-pt jump shot from 4 ft (block by D. Green),,16,11
56,1,5:06.0,Offensive rebound by K. Koufos,,16,11
57,1,5:02.0,O. Casspi misses 2-pt layup at rim,,16,11
58,1,5:01.0,Offensive rebound by K. Koufos,,16,11
59,1,5:01.0,K. Koufos makes 2-pt dunk at rim,,18,11
60,1,4:39.0,,A. Iguodala makes 3-pt jump shot from 25 ft (assist by S. Curry),18,14
61,1,4:19.0,R. Rondo makes 2-pt jump shot from 20 ft,,20,14
62,1,4:06.0,,Personal foul by R. Rondo (drawn by A. Bogut),20,14
63,1,4:06.0,M. Belinelli enters the game for B. McLemore,,20,14
64,1,4:06.0,D. Collison enters the game for R. Rondo,,20,14
65,1,4:06.0,Q. Acy enters the game for R. Gay,,20,14
66,1,3:58.0,,Turnover by A. Iguodala (bad pass),20,14
67,1,3:48.0,Turnover by Q. Acy (bad pass),,20,14
68,1,3:40.0,,Offensive foul by A. Iguodala (drawn by O. Casspi),20,14
69,1,3:40.0,,Turnover by A. Iguodala (offensive foul),20,14
70,1,3:31.0,Personal foul by K. Thompson (drawn by M. Belinelli),,20,14
