,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,INDIANA_ACTION,MEMPHIS_SCORE,INDIANA_SCORE
0,1,11:38.0,Z. Randolph misses 2-pt jump shot from 18 ft,,0,0
1,1,11:37.0,Offensive rebound by T. Allen,,0,0
2,1,11:34.0,Personal foul by P. George (drawn by T. Allen),,0,0
3,1,11:27.0,C. Lee makes 2-pt jump shot from 20 ft (assist by M. Conley),,2,0
4,1,11:08.0,,J. Hill misses 2-pt layup at rim,2,0
5,1,11:06.0,,Offensive rebound by Team,2,0
6,1,10:54.0,,G. Hill misses 3-pt jump shot from 25 ft,2,0
7,1,10:53.0,Defensive rebound by T. Allen,,2,0
8,1,10:41.0,C. Lee makes 2-pt jump shot from 18 ft (assist by M. Gasol),,4,0
9,1,10:32.0,,P. George misses 2-pt jump shot from 15 ft,4,0
10,1,10:31.0,Defensive rebound by M. Gasol,,4,0
11,1,10:29.0,,Technical foul by P. George,4,0
12,1,10:29.0,C. Lee makes technical free throw,,5,0
13,1,10:17.0,T. Allen misses 2-pt layup from 7 ft,,5,0
14,1,10:16.0,Offensive rebound by T. Allen,,5,0
15,1,10:14.0,T. Allen makes 2-pt layup at rim,,7,0
16,1,9:57.0,,I. Mahinmi makes 2-pt dunk at rim (assist by G. Hill),7,2
17,1,9:38.0,Z. Randolph misses 2-pt hook shot from 7 ft,,7,2
18,1,9:36.0,,Defensive rebound by I. Mahinmi,7,2
19,1,9:28.0,,P. George misses 3-pt jump shot from 24 ft,7,2
20,1,9:27.0,Defensive rebound by Z. Randolph,,7,2
21,1,9:10.0,M. Gasol misses 2-pt jump shot from 15 ft,,7,2
22,1,9:10.0,,Defensive rebound by I. Mahinmi,7,2
23,1,9:03.0,,M. Ellis misses 2-pt layup from 1 ft,7,2
24,1,9:00.0,,Offensive rebound by I. Mahinmi,7,2
25,1,9:00.0,,I. Mahinmi makes 2-pt layup at rim,7,4
26,1,8:50.0,T. Allen makes 2-pt layup at rim,,9,4
27,1,8:39.0,,Personal foul by Z. Randolph (drawn by J. Hill),9,4
28,1,8:38.0,,Personal foul by T. Allen (drawn by P. George),9,4
29,1,8:25.0,,Shooting foul by T. Allen (drawn by P. George),9,4
30,1,8:25.0,,P. George makes free throw 1 of 2,9,5
31,1,8:25.0,J. Green enters the game for T. Allen,,9,5
32,1,8:25.0,,P. George makes free throw 2 of 2,9,6
33,1,8:06.0,M. Gasol misses 2-pt jump shot from 21 ft,,9,6
34,1,8:05.0,Offensive rebound by C. Lee,,9,6
35,1,8:01.0,C. Lee makes 2-pt jump shot from 10 ft,,11,6
36,1,7:49.0,,M. Ellis misses 2-pt jump shot from 16 ft,11,6
37,1,7:49.0,,Offensive rebound by J. Hill,11,6
38,1,7:45.0,,I. Mahinmi misses 2-pt hook shot from 4 ft,11,6
39,1,7:44.0,,Offensive rebound by J. Hill,11,6
40,1,7:44.0,,J. Hill misses 2-pt layup at rim,11,6
41,1,7:43.0,,Offensive rebound by M. Ellis,11,6
42,1,7:36.0,,J. Hill misses 2-pt layup at rim,11,6
43,1,7:36.0,Defensive rebound by Z. Randolph,,11,6
44,1,7:25.0,M. Gasol makes 2-pt dunk at rim (assist by J. Green),,13,6
45,1,7:12.0,,Personal foul by J. Green (drawn by P. George),13,6
46,1,7:09.0,,Shooting foul by M. Gasol (drawn by I. Mahinmi),13,6
47,1,7:09.0,,I. Mahinmi misses free throw 1 of 2,13,6
48,1,7:09.0,,Offensive rebound by Team,13,6
49,1,7:09.0,,I. Mahinmi makes free throw 2 of 2,13,7
50,1,6:54.0,M. Gasol misses 2-pt jump shot from 20 ft,,13,7
51,1,6:54.0,,Defensive rebound by M. Ellis,13,7
52,1,6:35.0,,Turnover by P. George (bad pass; steal by M. Conley),13,7
53,1,6:32.0,M. Conley makes 2-pt layup from 1 ft,,15,7
54,1,6:26.0,,Indiana full timeout,15,7
55,1,6:10.0,,M. Ellis misses 2-pt jump shot from 19 ft,15,7
56,1,6:10.0,Defensive rebound by C. Lee,,15,7
57,1,6:07.0,Turnover by M. Conley (lost ball),,15,7
58,1,5:46.0,,M. Ellis misses 3-pt jump shot from 26 ft,15,7
59,1,5:45.0,Defensive rebound by M. Gasol,,15,7
60,1,5:19.0,C. Lee misses 3-pt jump shot from 25 ft,,15,7
61,1,5:19.0,,Defensive rebound by P. George,15,7
