,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,TORONTO_ACTION,PHILADELPHIA_SCORE,TORONTO_SCORE
0,1,11:45.0,,D. DeRozan misses 2-pt jump shot from 17 ft,0,0
1,1,11:44.0,,Offensive rebound by J. Valančiūnas,0,0
2,1,11:43.0,,J. Valančiūnas makes 2-pt layup from 1 ft,0,2
3,1,11:26.0,J. Grant makes 2-pt jump shot from 4 ft (assist by N. Noel),,2,2
4,1,11:26.0,Shooting foul by N. Powell (drawn by J. Grant),,2,2
5,1,11:26.0,J. Grant makes free throw 1 of 1,,3,2
6,1,11:04.0,,L. Scola makes 2-pt hook shot from 3 ft,3,4
7,1,10:42.0,N. Noel misses 2-pt hook shot from 9 ft,,3,4
8,1,10:41.0,,Defensive rebound by D. DeRozan,3,4
9,1,10:30.0,,J. Valančiūnas misses 2-pt jump shot from 19 ft,3,4
10,1,10:29.0,Defensive rebound by N. Noel,,3,4
11,1,10:20.0,Shooting foul by L. Scola (drawn by N. Noel),,3,4
12,1,10:20.0,N. Noel makes free throw 1 of 2,,4,4
13,1,10:20.0,N. Noel misses free throw 2 of 2,,4,4
14,1,10:19.0,,Defensive rebound by J. Valančiūnas,4,4
15,1,10:01.0,,Turnover by D. DeRozan (bad pass; steal by N. Noel),4,4
16,1,9:52.0,N. Stauskas makes 3-pt jump shot from 24 ft (assist by I. Smith),,7,4
17,1,9:24.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by K. Lowry),7,6
18,1,9:04.0,I. Smith makes 3-pt jump shot from 24 ft (assist by N. Noel),,10,6
19,1,8:42.0,,J. Valančiūnas misses 2-pt layup from 2 ft,10,6
20,1,8:41.0,Defensive rebound by N. Noel,,10,6
21,1,8:25.0,N. Stauskas misses 3-pt jump shot from 25 ft,,10,6
22,1,8:25.0,,Defensive rebound by J. Valančiūnas,10,6
23,1,8:09.0,,J. Valančiūnas misses 2-pt layup from 1 ft,10,6
24,1,8:09.0,,Offensive rebound by Team,10,6
25,1,8:00.0,,K. Lowry misses 2-pt jump shot from 12 ft,10,6
26,1,7:59.0,,Offensive rebound by J. Valančiūnas,10,6
27,1,7:57.0,,J. Valančiūnas makes 2-pt layup at rim,10,8
28,1,7:44.0,J. Grant makes 3-pt jump shot from 24 ft (assist by R. Covington),,13,8
29,1,7:29.0,,N. Powell makes 2-pt jump shot from 16 ft,13,10
30,1,7:12.0,R. Covington misses 3-pt jump shot from 23 ft,,13,10
31,1,7:12.0,,Defensive rebound by J. Valančiūnas,13,10
32,1,7:03.0,,L. Scola misses 2-pt jump shot from 4 ft (block by J. Grant),13,10
33,1,7:02.0,Defensive rebound by I. Smith,,13,10
34,1,6:57.0,Turnover by I. Smith (lost ball; steal by K. Lowry),,13,10
35,1,6:49.0,,L. Scola misses 2-pt jump shot from 11 ft,13,10
36,1,6:48.0,Defensive rebound by N. Noel,,13,10
