,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CHARLOTTE_ACTION,ATLANTA_SCORE,CHARLOTTE_SCORE
0,1,11:47.0,Turnover by K. Bazemore (lost ball),,0,0
1,1,11:33.0,,Turnover by N. Batum (bad pass; steal by K. Bazemore),0,0
2,1,11:20.0,P. Millsap makes 2-pt layup from 1 ft (assist by K. Bazemore),,2,0
3,1,10:59.0,,K. Walker misses 3-pt jump shot from 24 ft,2,0
4,1,10:57.0,,Offensive rebound by K. Walker,2,0
5,1,10:53.0,,P. Hairston makes 3-pt jump shot from 24 ft (assist by K. Walker),2,3
6,1,10:36.0,K. Korver misses 3-pt jump shot from 25 ft,,2,3
7,1,10:35.0,,Defensive rebound by M. Williams,2,3
8,1,10:19.0,,P. Hairston misses 3-pt jump shot from 25 ft,2,3
9,1,10:18.0,Defensive rebound by P. Millsap,,2,3
10,1,10:03.0,J. Teague misses 2-pt layup from 2 ft (block by K. Walker),,2,3
11,1,10:01.0,,Defensive rebound by P. Hairston,2,3
12,1,9:50.0,,C. Zeller makes 2-pt layup from 1 ft (assist by M. Williams),2,5
13,1,9:31.0,K. Bazemore misses 3-pt jump shot from 25 ft,,2,5
14,1,9:30.0,,Defensive rebound by P. Hairston,2,5
15,1,9:24.0,,K. Walker makes 2-pt layup at rim (assist by N. Batum),2,7
16,1,9:24.0,,Shooting foul by J. Teague (drawn by K. Walker),2,7
17,1,9:24.0,,K. Walker makes free throw 1 of 1,2,8
18,1,9:18.0,Personal foul by M. Williams (drawn by P. Millsap),,2,8
19,1,9:12.0,Turnover by J. Teague (lost ball; steal by K. Walker),,2,8
20,1,9:06.0,,M. Williams misses 2-pt layup from 2 ft,2,8
21,1,9:03.0,Defensive rebound by J. Teague,,2,8
22,1,8:57.0,J. Teague misses 2-pt jump shot from 11 ft,,2,8
23,1,8:55.0,,Defensive rebound by M. Williams,2,8
24,1,8:37.0,,M. Williams misses 2-pt jump shot from 9 ft,2,8
25,1,8:36.0,Defensive rebound by P. Millsap,,2,8
26,1,8:30.0,P. Millsap misses 2-pt layup from 1 ft,,2,8
27,1,8:28.0,,Defensive rebound by C. Zeller,2,8
28,1,8:18.0,,K. Walker misses 2-pt jump shot from 16 ft,2,8
29,1,8:16.0,Defensive rebound by K. Korver,,2,8
30,1,8:10.0,Turnover by A. Horford (bad pass; steal by M. Williams),,2,8
31,1,8:05.0,,C. Zeller makes 2-pt dunk at rim (assist by N. Batum),2,10
32,1,8:05.0,Atlanta full timeout,,2,10
33,1,8:05.0,D. Schröder enters the game for J. Teague,,2,10
34,1,7:51.0,Turnover by K. Korver (bad pass),,2,10
35,1,7:36.0,,N. Batum misses 3-pt jump shot from 25 ft,2,10
36,1,7:35.0,Defensive rebound by K. Korver,,2,10
37,1,7:22.0,Offensive foul by P. Millsap (drawn by K. Walker),,2,10
38,1,7:22.0,Turnover by P. Millsap (offensive foul),,2,10
39,1,7:20.0,T. Splitter enters the game for K. Bazemore,,2,10
40,1,7:09.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by N. Batum),2,13
41,1,6:49.0,D. Schröder misses 2-pt jump shot from 17 ft,,2,13
42,1,6:48.0,,Defensive rebound by N. Batum,2,13
43,1,6:43.0,,Turnover by N. Batum (bad pass),2,13
44,1,6:33.0,T. Splitter misses 2-pt layup from 1 ft,,2,13
45,1,6:33.0,Offensive rebound by Team,,2,13
46,1,6:33.0,Turnover by T. Splitter (traveling),,2,13
47,1,6:33.0,,J. Lin enters the game for K. Walker,2,13
48,1,6:21.0,,C. Zeller makes 2-pt jump shot from 6 ft (assist by N. Batum),2,15
49,1,6:10.0,K. Korver misses 3-pt jump shot from 25 ft,,2,15
50,1,6:10.0,Offensive rebound by Team,,2,15
51,1,6:10.0,,Loose ball foul by N. Batum (drawn by P. Millsap),2,15
52,1,6:04.0,A. Horford misses 2-pt layup from 2 ft (block by C. Zeller),,2,15
53,1,6:04.0,,Defensive rebound by Team,2,15
54,1,5:46.0,,M. Williams misses 3-pt jump shot from 25 ft,2,15
55,1,5:45.0,Defensive rebound by D. Schröder,,2,15
56,1,5:31.0,D. Schröder misses 2-pt layup from 2 ft,,2,15
57,1,5:30.0,,Defensive rebound by M. Williams,2,15
58,1,5:25.0,,Shooting foul by A. Horford (drawn by J. Lin),2,15
59,1,5:25.0,,J. Lin makes free throw 1 of 2,2,16
60,1,5:25.0,,F. Kaminsky enters the game for M. Williams,2,16
61,1,5:25.0,,J. Lin makes free throw 2 of 2,2,17
62,1,5:09.0,P. Millsap makes 2-pt layup from 1 ft,,4,17
63,1,4:54.0,,N. Batum misses 3-pt jump shot from 24 ft,4,17
64,1,4:54.0,,Offensive rebound by Team,4,17
65,1,4:54.0,Loose ball foul by A. Horford (drawn by C. Zeller),,4,17
66,1,4:54.0,K. Bazemore enters the game for A. Horford,,4,17
67,1,4:43.0,,P. Hairston misses 3-pt jump shot from 25 ft,4,17
68,1,4:42.0,Defensive rebound by P. Millsap,,4,17
69,1,4:31.0,P. Millsap makes 2-pt layup from 1 ft (assist by D. Schröder),,6,17
70,1,4:27.0,,Offensive foul by N. Batum (drawn by K. Bazemore),6,17
71,1,4:27.0,,Turnover by N. Batum (offensive foul),6,17
72,1,4:27.0,,J. Lamb enters the game for N. Batum,6,17
73,1,4:27.0,T. Hardaway enters the game for K. Korver,,6,17
74,1,4:09.0,P. Millsap misses 2-pt jump shot from 6 ft (block by C. Zeller),,6,17
75,1,4:07.0,Offensive rebound by K. Bazemore,,6,17
76,1,4:01.0,D. Schröder misses 2-pt layup from 1 ft (block by J. Lin),,6,17
77,1,3:58.0,,Defensive rebound by J. Lin,6,17
78,1,3:51.0,,Shooting foul by K. Bazemore (drawn by C. Zeller),6,17
79,1,3:51.0,,C. Zeller misses free throw 1 of 2,6,17
