,QUARTER,TIME_REMAINING,CHICAGO_ACTION,PORTLAND_ACTION,CHICAGO_SCORE,PORTLAND_SCORE
0,1,11:42.0,P. Gasol misses 2-pt hook shot from 7 ft,,0,0
1,1,11:42.0,,Defensive rebound by M. Plumlee,0,0
2,1,11:24.0,,N. Vonleh misses 2-pt jump shot from 3 ft,0,0
3,1,11:23.0,Defensive rebound by P. Gasol,,0,0
4,1,11:15.0,T. Snell makes 3-pt jump shot from 25 ft (assist by D. Rose),,3,0
5,1,10:54.0,,N. Vonleh misses 2-pt jump shot from 6 ft,3,0
6,1,10:54.0,Defensive rebound by P. Gasol,,3,0
7,1,10:46.0,Shooting foul by N. Vonleh (drawn by T. Snell),,3,0
8,1,10:46.0,T. Snell makes free throw 1 of 2,,4,0
9,1,10:46.0,T. Snell makes free throw 2 of 2,,5,0
10,1,10:29.0,,A. Aminu misses 3-pt jump shot from 25 ft,5,0
11,1,10:29.0,,Offensive rebound by M. Plumlee,5,0
12,1,10:25.0,,D. Lillard misses 3-pt jump shot from 26 ft,5,0
13,1,10:24.0,Defensive rebound by P. Gasol,,5,0
14,1,10:12.0,D. Rose misses 2-pt jump shot from 20 ft,,5,0
15,1,10:11.0,,Defensive rebound by A. Aminu,5,0
16,1,10:05.0,,A. Aminu misses 2-pt jump shot from 3 ft,5,0
17,1,10:05.0,Defensive rebound by Team,,5,0
18,1,10:05.0,,Loose ball foul by N. Vonleh (drawn by J. Butler),5,0
19,1,9:49.0,P. Gasol makes 2-pt hook shot from 3 ft (assist by N. Mirotić),,7,0
20,1,9:24.0,,M. Plumlee misses 2-pt jump shot from 3 ft (block by P. Gasol),7,0
21,1,9:24.0,,Offensive rebound by M. Plumlee,7,0
22,1,9:24.0,,Turnover by Team (shot clock),7,0
23,1,9:10.0,N. Mirotić makes 3-pt jump shot from 24 ft (assist by J. Butler),,10,0
24,1,9:10.0,,Portland full timeout,10,0
25,1,8:51.0,,C. McCollum misses 2-pt jump shot from 4 ft,10,0
26,1,8:50.0,Defensive rebound by P. Gasol,,10,0
27,1,8:31.0,Turnover by N. Mirotić (lost ball),,10,0
28,1,8:13.0,,A. Aminu misses 2-pt layup from 2 ft,10,0
29,1,8:11.0,,Offensive rebound by M. Plumlee,10,0
30,1,8:11.0,,M. Plumlee misses 2-pt layup from 1 ft,10,0
31,1,8:08.0,,Offensive rebound by N. Vonleh,10,0
32,1,8:08.0,,N. Vonleh makes 2-pt dunk at rim,10,2
33,1,7:53.0,J. Butler makes 3-pt jump shot from 25 ft,,13,2
34,1,7:32.0,,D. Lillard makes 2-pt jump shot from 3 ft,13,4
35,1,7:32.0,,Shooting foul by T. Snell (drawn by D. Lillard),13,4
36,1,7:32.0,,D. Lillard makes free throw 1 of 1,13,5
37,1,7:11.0,P. Gasol misses 2-pt jump shot from 19 ft,,13,5
38,1,7:11.0,,Defensive rebound by D. Lillard,13,5
39,1,7:02.0,,C. McCollum makes 3-pt jump shot from 22 ft (assist by A. Aminu),13,8
40,1,6:54.0,Personal block foul by N. Vonleh (drawn by J. Butler),,13,8
41,1,6:54.0,,M. Harkless enters the game for N. Vonleh,13,8
42,1,6:48.0,D. Rose makes 3-pt jump shot from 26 ft (assist by N. Mirotić),,16,8
43,1,6:30.0,,A. Aminu makes 3-pt jump shot from 23 ft (assist by C. McCollum),16,11
44,1,6:06.0,N. Mirotić misses 2-pt layup from 2 ft (block by M. Harkless),,16,11
45,1,6:05.0,,Defensive rebound by M. Plumlee,16,11
46,1,5:58.0,,M. Plumlee misses 2-pt jump shot from 6 ft,16,11
47,1,5:57.0,Defensive rebound by N. Mirotić,,16,11
48,1,5:42.0,J. Butler misses 2-pt jump shot from 17 ft,,16,11
49,1,5:42.0,,Defensive rebound by D. Lillard,16,11
50,1,5:28.0,,M. Plumlee misses 2-pt jump shot from 17 ft,16,11
51,1,5:26.0,,Offensive rebound by M. Plumlee,16,11
52,1,5:22.0,,Turnover by M. Plumlee (bad pass; steal by J. Butler),16,11
53,1,5:22.0,Shooting foul by C. McCollum (drawn by J. Butler),,16,11
54,1,5:22.0,J. Butler makes free throw 1 of 2,,17,11
55,1,5:22.0,,A. Crabbe enters the game for M. Plumlee,17,11
56,1,5:22.0,,E. Davis enters the game for C. McCollum,17,11
57,1,5:22.0,K. Hinrich enters the game for P. Gasol,,17,11
58,1,5:22.0,J. Noah enters the game for D. Rose,,17,11
59,1,5:22.0,J. Butler makes free throw 2 of 2,,18,11
60,1,5:10.0,,Shooting foul by J. Noah (drawn by D. Lillard),18,11
61,1,5:10.0,,D. Lillard makes free throw 1 of 2,18,12
62,1,5:10.0,,D. Lillard makes free throw 2 of 2,18,13
63,1,4:54.0,J. Butler misses 3-pt jump shot from 25 ft,,18,13
64,1,4:53.0,,Defensive rebound by A. Aminu,18,13
65,1,4:50.0,,Shooting foul by K. Hinrich (drawn by D. Lillard),18,13
66,1,4:50.0,,D. Lillard makes free throw 1 of 2,18,14
67,1,4:50.0,D. McDermott enters the game for T. Snell,,18,14
68,1,4:50.0,,D. Lillard makes free throw 2 of 2,18,15
69,1,4:37.0,J. Butler misses 2-pt jump shot from 15 ft,,18,15
70,1,4:36.0,,Defensive rebound by D. Lillard,18,15
71,1,4:27.0,,D. Lillard misses 3-pt jump shot from 25 ft,18,15
72,1,4:27.0,Defensive rebound by Team,,18,15
73,1,4:27.0,,G. Henderson enters the game for A. Aminu,18,15
74,1,4:05.0,K. Hinrich misses 3-pt jump shot from 26 ft,,18,15
75,1,4:05.0,Offensive rebound by N. Mirotić,,18,15
76,1,3:58.0,N. Mirotić makes 3-pt jump shot from 26 ft (assist by K. Hinrich),,21,15
77,1,3:45.0,,Shooting foul by N. Mirotić (drawn by A. Crabbe),21,15
78,1,3:45.0,,A. Crabbe makes free throw 1 of 2,21,16
79,1,3:45.0,,A. Crabbe makes free throw 2 of 2,21,17
80,1,3:26.0,D. McDermott makes 2-pt jump shot from 8 ft (assist by J. Butler),,23,17
81,1,2:59.0,,E. Davis misses 2-pt hook shot from 6 ft,23,17
82,1,2:58.0,Defensive rebound by J. Butler,,23,17
83,1,2:53.0,D. McDermott misses 3-pt jump shot from 24 ft,,23,17
84,1,2:52.0,,Defensive rebound by D. Lillard,23,17
85,1,2:48.0,,Turnover by E. Davis (lost ball),23,17
86,1,2:48.0,Chicago full timeout,,23,17
87,1,2:48.0,T. Gibson enters the game for N. Mirotić,,23,17
88,1,2:30.0,J. Noah misses 2-pt hook shot from 5 ft,,23,17
89,1,2:30.0,,Defensive rebound by D. Lillard,23,17
90,1,2:20.0,,D. Lillard makes 2-pt layup from 2 ft,23,19
91,1,2:03.0,J. Noah makes 2-pt hook shot from 8 ft (assist by J. Butler),,25,19
92,1,1:50.0,,Turnover by G. Henderson (traveling),25,19
93,1,1:29.0,J. Noah makes 2-pt hook shot from 4 ft (assist by K. Hinrich),,27,19
94,1,1:08.0,,G. Henderson misses 2-pt jump shot from 19 ft,27,19
95,1,1:07.0,Defensive rebound by J. Noah,,27,19
96,1,0:56.0,T. Gibson makes 2-pt jump shot from 4 ft,,29,19
97,1,0:33.0,,Shooting foul by J. Butler (drawn by E. Davis),29,19
98,1,0:33.0,,E. Davis misses free throw 1 of 2,29,19
99,1,0:33.0,,Offensive rebound by Team,29,19
100,1,0:33.0,E. Moore enters the game for J. Butler,,29,19
101,1,0:33.0,,C. McCollum enters the game for D. Lillard,29,19
102,1,0:33.0,,E. Davis makes free throw 2 of 2,29,20
103,1,0:09.0,K. Hinrich misses 2-pt layup from 2 ft,,29,20
104,1,0:09.0,Offensive rebound by Team,,29,20
105,1,0:09.0,Turnover by Team (shot clock),,29,20
106,1,0:00.0,,C. McCollum makes 2-pt jump shot from 4 ft,29,22
107,2,11:41.0,,Turnover by E. Davis (bad pass; steal by T. Gibson),29,22
108,2,11:31.0,T. Gibson misses 2-pt hook shot from 5 ft,,29,22
109,2,11:29.0,Offensive rebound by T. Gibson,,29,22
110,2,11:29.0,T. Gibson makes 2-pt layup at rim,,31,22
111,2,11:03.0,,E. Davis misses 2-pt jump shot from 7 ft,31,22
112,2,11:02.0,Defensive rebound by T. Gibson,,31,22
113,2,10:53.0,D. Rose misses 3-pt jump shot from 25 ft,,31,22
114,2,10:53.0,,Defensive rebound by A. Crabbe,31,22
115,2,10:48.0,,Shooting foul by D. McDermott (drawn by G. Henderson),31,22
116,2,10:48.0,,G. Henderson misses free throw 1 of 2,31,22
117,2,10:48.0,,Offensive rebound by Team,31,22
118,2,10:48.0,,M. Plumlee enters the game for M. Harkless,31,22
119,2,10:48.0,,G. Henderson misses free throw 2 of 2,31,22
120,2,10:47.0,Defensive rebound by J. Noah,,31,22
121,2,10:24.0,D. Rose misses 2-pt jump shot from 17 ft,,31,22
122,2,10:23.0,,Defensive rebound by M. Plumlee,31,22
123,2,10:11.0,,M. Plumlee misses 2-pt hook shot from 4 ft,31,22
124,2,10:11.0,Defensive rebound by J. Noah,,31,22
125,2,10:03.0,J. Noah makes 2-pt jump shot from 20 ft (assist by D. McDermott),,33,22
126,2,9:42.0,,M. Plumlee makes 2-pt hook shot from 6 ft,33,24
127,2,9:16.0,D. Rose makes 2-pt jump shot from 20 ft,,35,24
128,2,9:00.0,,G. Henderson makes 3-pt jump shot from 25 ft (assist by E. Davis),35,27
129,2,8:49.0,D. McDermott misses 2-pt hook shot from 3 ft,,35,27
130,2,8:48.0,,Defensive rebound by E. Davis,35,27
