,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MIAMI_ACTION,CHICAGO_SCORE,MIAMI_SCORE
0,1,11:41.0,P. Gasol makes 2-pt hook shot from 9 ft,,2,0
1,1,11:22.0,,D. Wade misses 2-pt jump shot from 6 ft,2,0
2,1,11:21.0,Defensive rebound by P. Gasol,,2,0
3,1,11:15.0,D. Rose misses 2-pt jump shot from 21 ft,,2,0
4,1,11:14.0,,Defensive rebound by G. Dragić,2,0
5,1,10:59.0,,G. Dragić makes 2-pt layup from 2 ft (assist by D. Wade),2,2
6,1,10:51.0,Turnover by D. Rose (bad pass; steal by L. Deng),,2,2
7,1,10:47.0,,L. Deng makes 2-pt layup from 1 ft,2,4
8,1,10:30.0,P. Gasol makes 2-pt jump shot from 9 ft,,4,4
9,1,10:04.0,,L. Deng makes 2-pt hook shot from 6 ft,4,6
10,1,9:54.0,P. Gasol makes 2-pt jump shot from 10 ft (assist by E. Moore),,6,6
11,1,9:30.0,,D. Wade misses 2-pt jump shot from 12 ft,6,6
12,1,9:29.0,Defensive rebound by E. Moore,,6,6
13,1,9:19.0,T. Gibson makes 2-pt dunk at rim (assist by E. Moore),,8,6
14,1,9:08.0,,A. Stoudemire makes 2-pt layup from 1 ft (assist by G. Dragić),8,8
15,1,9:08.0,,Shooting foul by P. Gasol (drawn by A. Stoudemire),8,8
16,1,9:08.0,,A. Stoudemire makes free throw 1 of 1,8,9
17,1,9:04.0,Shooting foul by A. Stoudemire (drawn by D. Rose),,8,9
18,1,9:04.0,D. Rose makes free throw 1 of 2,,9,9
19,1,9:04.0,D. Rose makes free throw 2 of 2,,10,9
20,1,8:48.0,,G. Dragić makes 2-pt layup from 1 ft (assist by L. Deng),10,11
21,1,8:40.0,E. Moore misses 3-pt jump shot from 24 ft,,10,11
22,1,8:39.0,,Defensive rebound by J. Johnson,10,11
23,1,8:36.0,,D. Wade makes 2-pt dunk at rim (assist by J. Johnson),10,13
24,1,8:19.0,T. Gibson makes 2-pt hook shot from 5 ft,,12,13
25,1,7:56.0,,J. Johnson makes 2-pt jump shot from 8 ft (assist by G. Dragić),12,15
26,1,7:47.0,Personal foul by L. Deng (drawn by T. Gibson),,12,15
27,1,7:41.0,P. Gasol misses 2-pt layup from 1 ft (block by A. Stoudemire),,12,15
28,1,7:40.0,Offensive rebound by Team,,12,15
29,1,7:32.0,M. Dunleavy makes 3-pt jump shot from 24 ft (assist by P. Gasol),,15,15
30,1,7:13.0,,G. Dragić makes 2-pt jump shot from 6 ft,15,17
31,1,7:05.0,D. Rose makes 2-pt layup from 1 ft,,17,17
32,1,6:49.0,,J. Johnson makes 3-pt jump shot from 23 ft (assist by D. Wade),17,20
33,1,6:31.0,T. Gibson makes 2-pt jump shot from 5 ft,,19,20
