,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DALLAS_ACTION,MEMPHIS_SCORE,DALLAS_SCORE
0,1,11:38.0,,J. Anderson misses 3-pt jump shot from 24 ft,0,0
1,1,11:37.0,Defensive rebound by C. Andersen,,0,0
2,1,11:21.0,Turnover by J. Farmar (bad pass; steal by D. Nowitzki),,0,0
3,1,11:07.0,,J. Barea misses 3-pt jump shot from 22 ft,0,0
4,1,11:06.0,Defensive rebound by Z. Randolph,,0,0
5,1,11:01.0,Turnover by J. Farmar (step out of bounds),,0,0
6,1,10:51.0,,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by J. Barea),0,2
7,1,10:34.0,T. Allen makes 2-pt layup from 1 ft (assist by M. Barnes),,2,2
8,1,10:09.0,,J. Barea misses 3-pt jump shot from 24 ft,2,2
9,1,10:08.0,,Offensive rebound by J. Anderson,2,2
10,1,10:02.0,,W. Matthews misses 3-pt jump shot from 24 ft,2,2
11,1,10:01.0,Defensive rebound by C. Andersen,,2,2
12,1,9:52.0,C. Andersen misses 2-pt jump shot from 17 ft,,2,2
13,1,9:51.0,,Defensive rebound by J. Barea,2,2
14,1,9:32.0,,Turnover by D. Nowitzki (bad pass),2,2
15,1,9:23.0,J. Farmar misses 2-pt jump shot from 9 ft,,2,2
16,1,9:21.0,Offensive rebound by T. Allen,,2,2
17,1,9:21.0,T. Allen misses 2-pt layup from 1 ft,,2,2
18,1,9:20.0,Offensive rebound by C. Andersen,,2,2
19,1,9:11.0,Turnover by Z. Randolph (lost ball),,2,2
20,1,8:55.0,,Turnover by J. Barea (lost ball; steal by T. Allen),2,2
21,1,8:48.0,M. Barnes misses 3-pt jump shot from 23 ft,,2,2
22,1,8:47.0,,Defensive rebound by J. Anderson,2,2
23,1,8:45.0,,Turnover by J. Anderson (lost ball; steal by T. Allen),2,2
24,1,8:43.0,M. Barnes misses 2-pt layup from 1 ft,,2,2
25,1,8:43.0,Offensive rebound by Team,,2,2
26,1,8:34.0,Z. Randolph misses 2-pt jump shot from 19 ft,,2,2
27,1,8:33.0,,Defensive rebound by J. Anderson,2,2
28,1,8:19.0,,J. Barea makes 2-pt jump shot from 6 ft,2,4
29,1,8:02.0,Personal foul by W. Matthews,,2,4
30,1,7:54.0,Z. Randolph misses 2-pt jump shot from 4 ft,,2,4
31,1,7:53.0,Offensive rebound by Team,,2,4
32,1,7:48.0,Z. Randolph makes 2-pt jump shot from 13 ft,,4,4
33,1,7:21.0,,J. Barea misses 2-pt jump shot from 21 ft,4,4
34,1,7:20.0,Defensive rebound by M. Barnes,,4,4
35,1,7:11.0,M. Barnes misses 2-pt hook shot from 9 ft,,4,4
36,1,7:10.0,Offensive rebound by C. Andersen,,4,4
37,1,7:06.0,J. Farmar makes 3-pt jump shot from 24 ft (assist by C. Andersen),,7,4
38,1,6:45.0,,Shooting foul by J. Farmar (drawn by J. Barea),7,4
39,1,6:45.0,,J. Barea makes free throw 1 of 2,7,5
40,1,6:45.0,,D. Harris enters the game for J. Anderson,7,5
41,1,6:45.0,,D. Lee enters the game for D. Nowitzki,7,5
42,1,6:45.0,,J. Barea misses free throw 2 of 2,7,5
43,1,6:44.0,Defensive rebound by C. Andersen,,7,5
44,1,6:39.0,Personal take foul by J. Barea,,7,5
45,1,6:39.0,,R. Felton enters the game for J. Barea,7,5
46,1,6:28.0,Z. Randolph makes 2-pt jump shot from 17 ft (assist by J. Farmar),,9,5
47,1,6:15.0,,Turnover by R. Felton (bad pass; steal by M. Barnes),9,5
48,1,6:07.0,C. Andersen makes 2-pt layup at rim (assist by M. Barnes),,11,5
49,1,6:05.0,,Dallas full timeout,11,5
50,1,5:46.0,,R. Felton misses 2-pt jump shot from 17 ft,11,5
51,1,5:45.0,Defensive rebound by M. Barnes,,11,5
52,1,5:27.0,Z. Randolph misses 2-pt jump shot from 20 ft,,11,5
53,1,5:26.0,,Defensive rebound by D. Lee,11,5
54,1,5:09.0,,D. Lee makes 2-pt layup from 1 ft (assist by R. Felton),11,7
55,1,4:53.0,Turnover by Z. Randolph (lost ball),,11,7
56,1,4:42.0,,R. Felton misses 3-pt jump shot from 24 ft,11,7
57,1,4:41.0,,Offensive rebound by D. Lee,11,7
58,1,4:32.0,,R. Felton misses 2-pt jump shot from 5 ft,11,7
59,1,4:30.0,Defensive rebound by M. Barnes,,11,7
60,1,4:19.0,J. Farmar makes 3-pt jump shot from 24 ft (assist by M. Barnes),,14,7
61,1,4:00.0,,W. Matthews misses 3-pt jump shot from 25 ft,14,7
62,1,3:59.0,,Offensive rebound by D. Lee,14,7
63,1,3:58.0,,D. Lee makes 2-pt layup from 1 ft,14,9
