,QUARTER,TIME_REMAINING,ATLANTA_ACTION,TORONTO_ACTION,ATLANTA_SCORE,TORONTO_SCORE
0,1,11:37.0,K. Bazemore makes 2-pt jump shot from 17 ft,,2,0
1,1,11:17.0,,D. DeRozan makes 2-pt jump shot from 14 ft (assist by K. Lowry),2,2
2,1,11:00.0,J. Teague misses 2-pt layup from 1 ft,,2,2
3,1,10:59.0,,Defensive rebound by L. Scola,2,2
4,1,10:37.0,,J. Valančiūnas makes 2-pt layup from 2 ft (assist by N. Powell),2,4
5,1,10:19.0,J. Teague makes 2-pt layup at rim,,4,4
6,1,9:59.0,,L. Scola misses 3-pt jump shot from 23 ft,4,4
7,1,9:58.0,Defensive rebound by J. Teague,,4,4
8,1,9:48.0,P. Millsap makes 2-pt jump shot from 15 ft (assist by J. Teague),,6,4
9,1,9:35.0,,Turnover by D. DeRozan (step out of bounds),6,4
10,1,9:22.0,Shooting foul by J. Valančiūnas (drawn by P. Millsap),,6,4
11,1,9:22.0,P. Millsap misses free throw 1 of 2,,6,4
12,1,9:22.0,Offensive rebound by Team,,6,4
13,1,9:22.0,P. Millsap makes free throw 2 of 2,,7,4
14,1,9:08.0,,Turnover by D. DeRozan (lost ball; steal by P. Millsap),7,4
15,1,8:51.0,A. Horford misses 2-pt jump shot from 15 ft,,7,4
16,1,8:51.0,,Defensive rebound by L. Scola,7,4
17,1,8:28.0,,D. DeRozan misses 2-pt jump shot from 18 ft,7,4
18,1,8:27.0,,Offensive rebound by Team,7,4
19,1,8:27.0,,Turnover by Team (shot clock),7,4
20,1,8:13.0,K. Korver misses 3-pt jump shot from 23 ft,,7,4
21,1,8:13.0,Offensive rebound by J. Teague,,7,4
22,1,8:00.0,K. Korver makes 2-pt jump shot from 16 ft (assist by A. Horford),,9,4
23,1,7:53.0,,Toronto full timeout,9,4
24,1,7:47.0,,K. Lowry misses 3-pt jump shot from 24 ft,9,4
25,1,7:46.0,,Offensive rebound by L. Scola,9,4
26,1,7:45.0,,Turnover by L. Scola (bad pass; steal by P. Millsap),9,4
