,QUARTER,TIME_REMAINING,BOSTON_ACTION,LA CLIPPERS_ACTION,BOSTON_SCORE,LA CLIPPERS_SCORE
0,1,11:44.0,A. Bradley makes 2-pt jump shot from 2 ft (assist by I. Thomas),,2,0
1,1,11:21.0,,D. Jordan misses 2-pt jump shot from 6 ft,2,0
2,1,11:20.0,,Offensive rebound by L. Mbah a Moute,2,0
3,1,11:11.0,,P. Pierce misses 3-pt jump shot from 25 ft,2,0
4,1,11:10.0,Defensive rebound by J. Sullinger,,2,0
5,1,11:03.0,A. Bradley makes 3-pt jump shot from 24 ft,,5,0
6,1,10:44.0,,C. Paul makes 2-pt jump shot from 15 ft,5,2
7,1,10:31.0,A. Bradley misses 3-pt jump shot from 23 ft,,5,2
8,1,10:30.0,,Defensive rebound by D. Jordan,5,2
9,1,10:23.0,,C. Paul makes 2-pt jump shot from 19 ft,5,4
10,1,9:59.0,J. Sullinger misses 2-pt hook shot from 6 ft,,5,4
11,1,9:59.0,,Defensive rebound by P. Pierce,5,4
12,1,9:50.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),5,6
13,1,9:29.0,I. Thomas misses 3-pt jump shot from 24 ft,,5,6
14,1,9:29.0,Offensive rebound by Team,,5,6
15,1,9:25.0,Turnover by A. Johnson (bad pass; steal by C. Paul),,5,6
16,1,9:21.0,,C. Paul misses 2-pt layup from 1 ft (block by I. Thomas),5,6
17,1,9:21.0,,Offensive rebound by Team,5,6
18,1,9:17.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by C. Paul),5,8
19,1,9:03.0,I. Thomas makes 2-pt layup from 1 ft,,7,8
20,1,8:59.0,,Turnover by C. Paul (offensive foul),7,8
21,1,8:59.0,Offensive charge foul by C. Paul (drawn by I. Thomas),,7,8
22,1,8:43.0,J. Sullinger makes 2-pt jump shot from 8 ft (assist by A. Bradley),,9,8
23,1,8:32.0,,J. Redick makes 3-pt jump shot from 23 ft (assist by C. Paul),9,11
24,1,8:32.0,,Technical foul by C. Paul,9,11
25,1,8:32.0,I. Thomas makes technical free throw,,10,11
26,1,8:17.0,J. Sullinger misses 2-pt jump shot from 20 ft,,10,11
27,1,8:17.0,,Defensive rebound by D. Jordan,10,11
28,1,8:03.0,,D. Jordan makes 2-pt hook shot from 1 ft (assist by C. Paul),10,13
