,QUARTER,TIME_REMAINING,DENVER_ACTION,HOUSTON_ACTION,DENVER_SCORE,HOUSTON_SCORE
0,1,11:38.0,,C. Capela misses 2-pt layup from 3 ft (block by K. Faried),0,0
1,1,11:38.0,,Offensive rebound by Team,0,0
2,1,11:33.0,,T. Ariza misses 2-pt jump shot from 14 ft,0,0
3,1,11:32.0,Defensive rebound by K. Faried,,0,0
4,1,11:17.0,D. Gallinari misses 2-pt jump shot from 21 ft,,0,0
5,1,11:16.0,Offensive rebound by Team,,0,0
6,1,10:59.0,G. Harris makes 2-pt dunk at rim (assist by E. Mudiay),,2,0
7,1,10:47.0,,Offensive foul by T. Jones (drawn by D. Gallinari),2,0
8,1,10:47.0,,Turnover by T. Jones (offensive foul),2,0
9,1,10:29.0,G. Harris misses 3-pt jump shot from 22 ft,,2,0
10,1,10:29.0,,Defensive rebound by T. Lawson,2,0
11,1,10:21.0,,T. Ariza misses 3-pt jump shot from 24 ft,2,0
12,1,10:21.0,Defensive rebound by K. Faried,,2,0
13,1,10:12.0,K. Faried makes 2-pt layup from 1 ft (assist by E. Mudiay),,4,0
14,1,9:44.0,,T. Jones misses 2-pt jump shot from 7 ft,4,0
15,1,9:43.0,,Offensive rebound by C. Capela,4,0
16,1,9:42.0,,C. Capela misses 2-pt dunk at rim (block by K. Faried),4,0
17,1,9:40.0,Defensive rebound by D. Gallinari,,4,0
18,1,9:32.0,D. Gallinari makes 2-pt dunk at rim (assist by J. Lauvergne),,6,0
19,1,9:16.0,,Shooting block foul by J. Lauvergne (drawn by J. Harden),6,0
20,1,9:16.0,,J. Harden makes free throw 1 of 2,6,1
21,1,9:16.0,,J. Harden misses free throw 2 of 2,6,1
22,1,9:16.0,Defensive rebound by J. Lauvergne,,6,1
23,1,8:59.0,D. Gallinari misses 2-pt jump shot from 22 ft,,6,1
24,1,8:58.0,Offensive rebound by J. Lauvergne,,6,1
25,1,8:57.0,J. Lauvergne makes 2-pt layup from 2 ft,,8,1
26,1,8:42.0,,T. Jones misses 2-pt layup from 2 ft (block by D. Gallinari),8,1
27,1,8:42.0,,Offensive rebound by Team,8,1
28,1,8:33.0,,J. Harden misses 2-pt jump shot from 19 ft,8,1
29,1,8:32.0,Defensive rebound by D. Gallinari,,8,1
30,1,8:22.0,Turnover by K. Faried (bad pass; steal by T. Ariza),,8,1
31,1,8:20.0,,Turnover by T. Ariza (bad pass; steal by G. Harris),8,1
32,1,8:16.0,K. Faried makes 2-pt dunk at rim (assist by E. Mudiay),,10,1
33,1,8:15.0,,Houston full timeout,10,1
34,1,8:05.0,,J. Harden misses 3-pt jump shot from 24 ft,10,1
35,1,8:03.0,Defensive rebound by D. Gallinari,,10,1
36,1,7:49.0,Shooting block foul by T. Jones (drawn by D. Gallinari),,10,1
37,1,7:49.0,D. Gallinari makes free throw 1 of 2,,11,1
38,1,7:49.0,,M. Harrell enters the game for T. Jones,11,1
39,1,7:49.0,D. Gallinari makes free throw 2 of 2,,12,1
40,1,7:28.0,,T. Lawson makes 3-pt jump shot from 24 ft (assist by J. Harden),12,4
41,1,7:17.0,Shooting foul by M. Harrell (drawn by K. Faried),,12,4
42,1,7:17.0,K. Faried makes free throw 1 of 2,,13,4
43,1,7:17.0,K. Faried misses free throw 2 of 2,,13,4
44,1,7:17.0,Offensive rebound by J. Lauvergne,,13,4
45,1,7:11.0,Turnover by E. Mudiay (bad pass; steal by C. Capela),,13,4
46,1,7:04.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by T. Lawson),13,7
47,1,6:42.0,K. Faried makes 2-pt hook shot from 10 ft,,15,7
48,1,6:33.0,,T. Lawson misses 2-pt jump shot from 11 ft,15,7
49,1,6:31.0,,Offensive rebound by C. Capela,15,7
50,1,6:26.0,,T. Ariza misses 2-pt dunk at rim,15,7
51,1,6:21.0,Defensive rebound by G. Harris,,15,7
