,QUARTER,TIME_REMAINING,UTAH_ACTION,SACRAMENTO_ACTION,UTAH_SCORE,SACRAMENTO_SCORE
0,1,11:43.0,Turnover by S. Mack (bad pass; steal by D. Cousins),,0,0
1,1,11:38.0,,Personal foul by D. Favors,0,0
2,1,11:24.0,,D. Cousins misses 2-pt jump shot from 18 ft,0,0
3,1,11:23.0,Defensive rebound by S. Mack,,0,0
4,1,10:59.0,S. Mack misses 3-pt jump shot from 26 ft,,0,0
5,1,10:57.0,Offensive rebound by G. Hayward,,0,0
6,1,10:51.0,G. Hayward misses 3-pt jump shot from 26 ft,,0,0
7,1,10:50.0,Offensive rebound by D. Favors,,0,0
8,1,10:42.0,R. Hood makes 2-pt jump shot from 19 ft (assist by S. Mack),,2,0
9,1,10:19.0,,R. Gay misses 2-pt jump shot from 14 ft,2,0
10,1,10:17.0,Defensive rebound by S. Mack,,2,0
11,1,10:00.0,D. Favors misses 2-pt jump shot from 18 ft,,2,0
12,1,10:00.0,,Defensive rebound by D. Collison,2,0
13,1,9:53.0,,Turnover by D. Collison (bad pass; steal by S. Mack),2,0
14,1,9:49.0,Personal foul by Q. Acy,,2,0
15,1,9:28.0,S. Mack makes 3-pt jump shot from 23 ft,,5,0
16,1,9:01.0,,D. Cousins makes 3-pt jump shot from 23 ft (assist by R. Rondo),5,3
17,1,8:43.0,D. Favors makes 2-pt jump shot from 10 ft,,7,3
18,1,8:31.0,,D. Cousins misses 2-pt jump shot from 7 ft,7,3
19,1,8:31.0,Defensive rebound by R. Gobert,,7,3
20,1,8:29.0,Shooting foul by R. Gay (drawn by G. Hayward),,7,3
21,1,8:29.0,G. Hayward makes free throw 1 of 2,,8,3
22,1,8:29.0,G. Hayward makes free throw 2 of 2,,9,3
23,1,8:15.0,,D. Cousins makes 2-pt layup at rim (assist by R. Rondo),9,5
24,1,7:51.0,D. Favors makes 2-pt jump shot from 17 ft (assist by S. Mack),,11,5
25,1,7:38.0,,R. Rondo makes 2-pt jump shot from 7 ft,11,7
26,1,7:21.0,G. Hayward misses 2-pt jump shot from 22 ft,,11,7
27,1,7:20.0,,Defensive rebound by Q. Acy,11,7
28,1,7:11.0,,D. Cousins misses 2-pt layup from 3 ft,11,7
29,1,7:10.0,Defensive rebound by S. Mack,,11,7
30,1,7:00.0,G. Hayward makes 3-pt jump shot from 23 ft (assist by R. Hood),,14,7
31,1,6:33.0,,R. Rondo misses 2-pt jump shot from 19 ft,14,7
32,1,6:33.0,Defensive rebound by R. Gobert,,14,7
33,1,6:17.0,G. Hayward makes 3-pt jump shot from 25 ft (assist by D. Favors),,17,7
34,1,6:17.0,,Sacramento full timeout,17,7
35,1,6:06.0,,Personal foul by G. Hayward,17,7
36,1,5:58.0,,R. Gay misses 2-pt hook shot from 7 ft,17,7
37,1,5:57.0,Defensive rebound by D. Favors,,17,7
38,1,5:39.0,D. Favors makes 2-pt jump shot from 18 ft (assist by S. Mack),,19,7
39,1,5:26.0,,D. Collison misses 3-pt jump shot from 24 ft,19,7
40,1,5:25.0,Defensive rebound by D. Favors,,19,7
41,1,5:10.0,D. Favors makes 2-pt jump shot from 12 ft (assist by G. Hayward),,21,7
42,1,4:53.0,,Q. Acy makes 2-pt hook shot from 4 ft (assist by D. Collison),21,9
43,1,4:34.0,G. Hayward misses 3-pt jump shot from 24 ft,,21,9
44,1,4:33.0,,Defensive rebound by R. Gay,21,9
45,1,4:22.0,,Shooting foul by D. Favors (drawn by D. Cousins),21,9
46,1,4:22.0,,D. Cousins makes free throw 1 of 2,21,10
47,1,4:22.0,C. Johnson enters the game for D. Favors,,21,10
48,1,4:22.0,T. Booker enters the game for R. Hood,,21,10
49,1,4:22.0,,W. Cauley-Stein enters the game for Q. Acy,21,10
50,1,4:22.0,,M. Belinelli enters the game for R. Gay,21,10
