,QUARTER,TIME_REMAINING,DENVER_ACTION,LA CLIPPERS_ACTION,DENVER_SCORE,LA CLIPPERS_SCORE
0,1,11:39.0,,P. Pierce makes 3-pt jump shot from 25 ft (assist by C. Paul),0,3
1,1,11:18.0,G. Harris misses 2-pt jump shot from 15 ft,,0,3
2,1,11:16.0,,Defensive rebound by D. Jordan,0,3
3,1,11:07.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by D. Jordan),0,5
4,1,10:50.0,Turnover by D. Arthur (lost ball; steal by L. Mbah a Moute),,0,5
5,1,10:45.0,,L. Mbah a Moute misses 2-pt layup from 2 ft (block by D. Arthur),0,5
6,1,10:42.0,Defensive rebound by J. Sampson,,0,5
7,1,10:33.0,E. Mudiay misses 3-pt jump shot from 24 ft,,0,5
8,1,10:31.0,,Defensive rebound by D. Jordan,0,5
9,1,10:26.0,,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by C. Paul),0,7
10,1,10:05.0,Turnover by E. Mudiay (lost ball; steal by J. Redick),,0,7
11,1,10:01.0,,J. Redick makes 2-pt layup from 1 ft (assist by D. Jordan),0,9
12,1,10:00.0,Denver full timeout,,0,9
13,1,9:42.0,D. Arthur misses 3-pt jump shot from 26 ft,,0,9
14,1,9:40.0,,Defensive rebound by P. Pierce,0,9
15,1,9:31.0,,D. Jordan misses 2-pt layup from 3 ft,0,9
16,1,9:28.0,Defensive rebound by J. Sampson,,0,9
17,1,9:24.0,D. Arthur misses 2-pt layup from 1 ft,,0,9
18,1,9:21.0,,Defensive rebound by P. Pierce,0,9
19,1,9:16.0,,J. Redick misses 2-pt jump shot from 15 ft,0,9
20,1,9:15.0,Defensive rebound by N. Jokić,,0,9
21,1,9:04.0,J. Sampson misses 3-pt jump shot from 23 ft,,0,9
22,1,9:02.0,,Defensive rebound by C. Paul,0,9
23,1,8:51.0,,Turnover by P. Pierce (bad pass; steal by E. Mudiay),0,9
24,1,8:33.0,N. Jokić misses 2-pt hook shot from 6 ft,,0,9
25,1,8:30.0,,Defensive rebound by D. Jordan,0,9
26,1,8:26.0,,Turnover by C. Paul (bad pass; steal by G. Harris),0,9
27,1,8:25.0,Personal take foul by P. Pierce,,0,9
28,1,8:17.0,E. Mudiay makes 2-pt jump shot from 15 ft,,2,9
29,1,8:01.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by C. Paul),2,12
30,1,7:51.0,G. Harris misses 2-pt layup from 2 ft,,2,12
31,1,7:48.0,Offensive rebound by N. Jokić,,2,12
32,1,7:48.0,N. Jokić makes 2-pt layup from 2 ft,,4,12
33,1,7:41.0,,Shooting foul by N. Jokić (drawn by D. Jordan),4,12
34,1,7:41.0,,D. Jordan makes free throw 1 of 2,4,13
35,1,7:41.0,,W. Johnson enters the game for P. Pierce,4,13
36,1,7:41.0,,D. Jordan misses free throw 2 of 2,4,13
37,1,7:40.0,Defensive rebound by N. Jokić,,4,13
38,1,7:26.0,G. Harris makes 3-pt jump shot from 24 ft (assist by D. Arthur),,7,13
39,1,7:06.0,,W. Johnson misses 3-pt jump shot from 26 ft,7,13
40,1,7:05.0,,Offensive rebound by D. Jordan,7,13
41,1,7:02.0,,D. Jordan makes 2-pt layup from 1 ft,7,15
42,1,6:48.0,E. Mudiay misses 2-pt jump shot from 4 ft (block by D. Jordan),,7,15
43,1,6:46.0,Offensive rebound by D. Arthur,,7,15
44,1,6:43.0,N. Jokić misses 2-pt jump shot from 13 ft,,7,15
45,1,6:40.0,,Defensive rebound by C. Paul,7,15
46,1,6:33.0,,C. Paul makes 3-pt jump shot from 25 ft,7,18
