,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PHILADELPHIA_ACTION,MILWAUKEE_SCORE,PHILADELPHIA_SCORE
0,1,11:34.0,K. Middleton makes 2-pt jump shot from 21 ft (assist by M. Plumlee),,2,0
1,1,11:22.0,,R. Covington misses 3-pt jump shot from 25 ft,2,0
2,1,11:21.0,Defensive rebound by M. Plumlee,,2,0
3,1,11:16.0,Shooting foul by R. Covington (drawn by G. Antetokounmpo),,2,0
4,1,11:16.0,G. Antetokounmpo makes free throw 1 of 2,,3,0
5,1,11:16.0,G. Antetokounmpo makes free throw 2 of 2,,4,0
6,1,11:06.0,,J. Grant misses 2-pt jump shot from 5 ft,4,0
7,1,11:05.0,,Offensive rebound by J. Grant,4,0
8,1,11:03.0,,J. Grant makes 2-pt layup from 1 ft,4,2
9,1,10:52.0,T. Ennis makes 2-pt layup from 1 ft,,6,2
10,1,10:40.0,,Turnover by N. Noel (bad pass; steal by K. Middleton),6,2
11,1,10:34.0,Turnover by J. Parker (lost ball; steal by I. Smith),,6,2
12,1,10:27.0,,Turnover by R. Covington (bad pass; steal by G. Antetokounmpo),6,2
13,1,10:19.0,J. Parker makes 2-pt jump shot from 5 ft (assist by K. Middleton),,8,2
14,1,10:05.0,,R. Covington misses 3-pt jump shot from 24 ft,8,2
15,1,10:04.0,Defensive rebound by M. Plumlee,,8,2
16,1,9:55.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,8,2
17,1,9:53.0,,Defensive rebound by N. Noel,8,2
18,1,9:37.0,,N. Stauskas misses 3-pt jump shot from 23 ft,8,2
19,1,9:35.0,Defensive rebound by T. Ennis,,8,2
20,1,9:28.0,M. Plumlee makes 2-pt layup from 2 ft (assist by K. Middleton),,10,2
21,1,9:28.0,,Philadelphia full timeout,10,2
22,1,9:15.0,,R. Covington misses 3-pt jump shot from 23 ft,10,2
23,1,9:13.0,Defensive rebound by J. Parker,,10,2
24,1,8:57.0,Turnover by T. Ennis (lost ball; steal by I. Smith),,10,2
25,1,8:31.0,,R. Covington misses 3-pt jump shot from 30 ft,10,2
26,1,8:29.0,Defensive rebound by J. Parker,,10,2
27,1,8:23.0,Shooting foul by I. Smith (drawn by K. Middleton),,10,2
28,1,8:23.0,K. Middleton makes free throw 1 of 2,,11,2
29,1,8:23.0,K. Middleton makes free throw 2 of 2,,12,2
30,1,8:12.0,,J. Grant makes 2-pt layup at rim,12,4
31,1,8:12.0,,Shooting foul by J. Parker (drawn by J. Grant),12,4
32,1,8:12.0,,J. Grant misses free throw 1 of 1,12,4
33,1,8:11.0,Defensive rebound by T. Ennis,,12,4
34,1,8:01.0,G. Antetokounmpo misses 2-pt jump shot from 8 ft (block by J. Grant),,12,4
35,1,8:01.0,Offensive rebound by Team,,12,4
36,1,7:54.0,K. Middleton misses 2-pt jump shot from 9 ft,,12,4
37,1,7:53.0,,Defensive rebound by I. Smith,12,4
38,1,7:46.0,,Turnover by I. Smith (bad pass; steal by K. Middleton),12,4
39,1,7:40.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by K. Middleton),,14,4
40,1,7:21.0,,N. Stauskas misses 3-pt jump shot from 24 ft,14,4
41,1,7:20.0,Defensive rebound by M. Plumlee,,14,4
42,1,6:59.0,M. Plumlee misses 2-pt jump shot from 8 ft,,14,4
43,1,6:58.0,,Defensive rebound by N. Noel,14,4
44,1,6:50.0,,J. Grant makes 2-pt dunk at rim (assist by I. Smith),14,6
45,1,6:25.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by T. Ennis),,17,6
46,1,6:06.0,,Shooting foul by K. Middleton (drawn by J. Grant),17,6
47,1,6:06.0,,J. Grant makes free throw 1 of 2,17,7
48,1,6:06.0,J. Henson enters the game for M. Plumlee,,17,7
49,1,6:06.0,R. Vaughn enters the game for K. Middleton,,17,7
50,1,6:06.0,,H. Thompson enters the game for R. Covington,17,7
51,1,6:06.0,,J. Grant makes free throw 2 of 2,17,8
52,1,5:50.0,J. Parker misses 2-pt layup from 2 ft,,17,8
53,1,5:50.0,,Defensive rebound by Team,17,8
54,1,5:50.0,Loose ball foul by J. Henson,,17,8
55,1,5:32.0,,Turnover by I. Smith (bad pass; steal by G. Antetokounmpo),17,8
56,1,5:29.0,Shooting foul by H. Thompson (drawn by G. Antetokounmpo),,17,8
57,1,5:29.0,G. Antetokounmpo misses free throw 1 of 2,,17,8
58,1,5:29.0,Offensive rebound by Team,,17,8
59,1,5:29.0,G. Antetokounmpo makes free throw 2 of 2,,18,8
60,1,5:19.0,,Shooting foul by J. Parker (drawn by J. Grant),18,8
61,1,5:19.0,,J. Grant makes free throw 1 of 2,18,9
62,1,5:19.0,J. O'Bryant enters the game for J. Parker,,18,9
63,1,5:19.0,,J. Grant makes free throw 2 of 2,18,10
64,1,5:00.0,J. Henson misses 2-pt hook shot from 6 ft,,18,10
65,1,4:58.0,,Defensive rebound by J. Grant,18,10
66,1,4:38.0,,N. Stauskas misses 3-pt jump shot from 25 ft,18,10
67,1,4:36.0,Defensive rebound by G. Antetokounmpo,,18,10
