,QUARTER,TIME_REMAINING,DETROIT_ACTION,ATLANTA_ACTION,DETROIT_SCORE,ATLANTA_SCORE
0,1,12:00.0,Violation by Team (jump ball),,0,0
1,1,11:44.0,,A. Horford misses 2-pt jump shot from 10 ft,0,0
2,1,11:42.0,Defensive rebound by A. Drummond,,0,0
3,1,11:32.0,M. Morris misses 2-pt jump shot from 12 ft,,0,0
4,1,11:31.0,Offensive rebound by Team,,0,0
5,1,11:31.0,Shooting foul by K. Korver (drawn by K. Caldwell-Pope),,0,0
6,1,11:31.0,K. Caldwell-Pope makes free throw 1 of 2,,1,0
7,1,11:31.0,K. Caldwell-Pope makes free throw 2 of 2,,2,0
8,1,11:18.0,,P. Millsap makes 2-pt jump shot from 12 ft (assist by K. Korver),2,2
9,1,11:00.0,K. Caldwell-Pope misses 2-pt layup from 1 ft,,2,2
10,1,10:59.0,Offensive rebound by A. Drummond,,2,2
11,1,10:59.0,A. Drummond makes 2-pt layup from 1 ft,,4,2
12,1,10:48.0,,J. Teague misses 3-pt jump shot from 23 ft,4,2
13,1,10:47.0,,Offensive rebound by Team,4,2
14,1,10:41.0,,K. Korver misses 3-pt jump shot from 24 ft,4,2
15,1,10:40.0,Defensive rebound by M. Morris,,4,2
16,1,10:36.0,Personal foul by A. Horford (drawn by A. Drummond),,4,2
17,1,10:20.0,A. Drummond misses 2-pt hook shot from 8 ft,,4,2
18,1,10:15.0,,Defensive rebound by P. Millsap,4,2
19,1,10:09.0,,P. Millsap makes 2-pt jump shot from 6 ft (assist by K. Korver),4,4
20,1,9:52.0,Turnover by E. İlyasova (bad pass; steal by J. Teague),,4,4
21,1,9:46.0,,K. Bazemore misses 2-pt layup from 1 ft,4,4
22,1,9:45.0,Defensive rebound by R. Jackson,,4,4
23,1,9:39.0,K. Caldwell-Pope misses 2-pt jump shot from 20 ft,,4,4
24,1,9:38.0,,Defensive rebound by A. Horford,4,4
25,1,9:35.0,,Personal foul by R. Jackson (drawn by J. Teague),4,4
26,1,9:35.0,,T. Sefolosha enters the game for K. Bazemore,4,4
27,1,9:29.0,,A. Horford makes 2-pt jump shot from 18 ft (assist by J. Teague),4,6
28,1,9:04.0,A. Drummond misses 2-pt hook shot from 12 ft,,4,6
29,1,9:02.0,Offensive rebound by E. İlyasova,,4,6
30,1,9:02.0,E. İlyasova misses 2-pt layup at rim,,4,6
31,1,8:59.0,Offensive rebound by M. Morris,,4,6
32,1,8:59.0,M. Morris makes 2-pt layup at rim,,6,6
33,1,8:47.0,,J. Teague makes 2-pt jump shot from 6 ft,6,8
34,1,8:22.0,E. İlyasova misses 3-pt jump shot from 25 ft,,6,8
35,1,8:21.0,,Defensive rebound by J. Teague,6,8
36,1,8:12.0,,A. Horford misses 2-pt jump shot from 21 ft,6,8
37,1,8:11.0,Defensive rebound by E. İlyasova,,6,8
38,1,8:01.0,E. İlyasova misses 3-pt jump shot from 24 ft,,6,8
39,1,8:00.0,,Defensive rebound by T. Sefolosha,6,8
40,1,7:45.0,,P. Millsap misses 2-pt jump shot from 11 ft,6,8
41,1,7:43.0,Defensive rebound by M. Morris,,6,8
42,1,7:36.0,M. Morris misses 2-pt jump shot from 16 ft,,6,8
43,1,7:35.0,,Defensive rebound by K. Korver,6,8
44,1,7:23.0,,J. Teague makes 2-pt layup at rim,6,10
45,1,6:58.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by R. Jackson),,9,10
46,1,6:40.0,,K. Korver makes 2-pt layup from 2 ft (assist by J. Teague),9,12
47,1,6:18.0,E. İlyasova makes 2-pt jump shot from 5 ft (assist by A. Drummond),,11,12
48,1,6:11.0,,Atlanta full timeout,11,12
49,1,6:11.0,,T. Splitter enters the game for A. Horford,11,12
50,1,6:01.0,,J. Teague misses 2-pt jump shot from 8 ft,11,12
51,1,5:59.0,Defensive rebound by A. Drummond,,11,12
52,1,5:48.0,E. İlyasova misses 3-pt jump shot from 24 ft,,11,12
53,1,5:47.0,,Defensive rebound by T. Splitter,11,12
54,1,5:28.0,,P. Millsap makes 2-pt jump shot from 2 ft,11,14
55,1,5:08.0,A. Drummond makes 2-pt dunk at rim (assist by R. Jackson),,13,14
56,1,4:49.0,,Turnover by P. Millsap (lost ball; steal by R. Jackson),13,14
57,1,4:41.0,Personal foul by J. Teague (drawn by E. İlyasova),,13,14
58,1,4:41.0,,D. Schröder enters the game for K. Korver,13,14
59,1,4:30.0,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by A. Drummond),,16,14
60,1,4:11.0,,D. Schröder misses 2-pt layup from 2 ft (block by K. Caldwell-Pope),16,14
61,1,4:11.0,,Offensive rebound by Team,16,14
62,1,4:11.0,S. Johnson enters the game for M. Morris,,16,14
63,1,4:05.0,,D. Schröder misses 3-pt jump shot from 25 ft,16,14
64,1,4:01.0,Defensive rebound by E. İlyasova,,16,14
65,1,3:56.0,S. Johnson makes 2-pt layup from 1 ft (assist by E. İlyasova),,18,14
66,1,3:43.0,,J. Teague misses 3-pt jump shot from 24 ft,18,14
67,1,3:42.0,Defensive rebound by A. Drummond,,18,14
68,1,3:36.0,R. Jackson misses 3-pt jump shot from 25 ft,,18,14
69,1,3:32.0,Offensive rebound by E. İlyasova,,18,14
70,1,3:26.0,Turnover by K. Caldwell-Pope (lost ball),,18,14
71,1,3:26.0,,L. Patterson enters the game for J. Teague,18,14
72,1,3:16.0,,P. Millsap misses 2-pt jump shot from 17 ft,18,14
