,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,SAN ANTONIO_ACTION,OKLAHOMA CITY_SCORE,SAN ANTONIO_SCORE
0,1,11:39.0,A. Roberson makes 3-pt jump shot from 25 ft,,3,0
1,1,11:23.0,,L. Aldridge misses 2-pt jump shot from 16 ft,3,0
2,1,11:23.0,Defensive rebound by A. Roberson,,3,0
3,1,11:13.0,C. Payne makes 2-pt jump shot from 5 ft (assist by N. Collison),,5,0
4,1,10:55.0,,T. Duncan makes 2-pt jump shot from 13 ft (assist by K. Leonard),5,2
5,1,10:46.0,Turnover by N. Collison (bad pass; steal by D. Green),,5,2
6,1,10:39.0,,Shooting foul by A. Roberson (drawn by K. Leonard),5,2
7,1,10:39.0,,K. Leonard misses free throw 1 of 2,5,2
8,1,10:39.0,,Offensive rebound by Team,5,2
9,1,10:39.0,,K. Leonard misses free throw 2 of 2,5,2
10,1,10:39.0,Defensive rebound by A. Roberson,,5,2
11,1,10:24.0,D. Waiters misses 3-pt jump shot from 24 ft,,5,2
12,1,10:23.0,Offensive rebound by S. Adams,,5,2
13,1,10:04.0,D. Waiters misses 2-pt layup from 1 ft,,5,2
14,1,10:03.0,Offensive rebound by S. Adams,,5,2
15,1,10:00.0,S. Adams misses 2-pt dunk at rim,,5,2
16,1,10:00.0,,Defensive rebound by T. Duncan,5,2
17,1,9:55.0,,D. Green makes 3-pt jump shot from 24 ft (assist by T. Duncan),5,5
18,1,9:38.0,C. Payne misses 3-pt jump shot from 22 ft,,5,5
19,1,9:38.0,Offensive rebound by S. Adams,,5,5
20,1,9:33.0,S. Adams makes 2-pt dunk at rim,,7,5
21,1,9:18.0,,Turnover by T. Duncan (bad pass; steal by C. Payne),7,5
22,1,8:58.0,C. Payne misses 2-pt jump shot from 12 ft (block by T. Duncan),,7,5
23,1,8:57.0,,Defensive rebound by T. Duncan,7,5
24,1,8:52.0,,T. Parker makes 2-pt layup at rim (assist by T. Duncan),7,7
25,1,8:36.0,N. Collison makes 2-pt jump shot from 18 ft (assist by D. Waiters),,9,7
26,1,8:19.0,,T. Duncan misses 2-pt jump shot from 16 ft,9,7
27,1,8:19.0,Defensive rebound by S. Adams,,9,7
28,1,8:12.0,D. Waiters misses 2-pt jump shot from 16 ft,,9,7
29,1,8:11.0,,Defensive rebound by K. Leonard,9,7
30,1,7:51.0,,T. Duncan makes 2-pt layup at rim (assist by D. Green),9,9
31,1,7:24.0,Personal foul by T. Parker,,9,9
32,1,7:24.0,D. Waiters makes free throw 1 of 2,,10,9
33,1,7:24.0,D. Waiters makes free throw 2 of 2,,11,9
34,1,7:06.0,,D. Green misses 3-pt jump shot from 25 ft,11,9
35,1,7:06.0,,Offensive rebound by L. Aldridge,11,9
36,1,6:55.0,,L. Aldridge makes 2-pt hook shot from 6 ft (assist by K. Leonard),11,11
37,1,6:42.0,C. Payne misses 2-pt layup from 1 ft (block by L. Aldridge),,11,11
38,1,6:41.0,Offensive rebound by S. Adams,,11,11
39,1,6:39.0,Shooting foul by D. Green (drawn by S. Adams),,11,11
40,1,6:39.0,S. Adams makes free throw 1 of 2,,12,11
41,1,6:39.0,S. Adams makes free throw 2 of 2,,13,11
42,1,6:21.0,,Shooting foul by N. Collison (drawn by L. Aldridge),13,11
43,1,6:21.0,,L. Aldridge misses free throw 1 of 2,13,11
44,1,6:21.0,,Offensive rebound by Team,13,11
45,1,6:21.0,E. Freedom enters the game for N. Collison,,13,11
46,1,6:21.0,,L. Aldridge misses free throw 2 of 2,13,11
47,1,6:21.0,Defensive rebound by A. Roberson,,13,11
