,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,TORONTO_ACTION,SAN ANTONIO_SCORE,TORONTO_SCORE
0,1,11:41.0,T. Duncan misses 2-pt jump shot from 3 ft (block by T. Ross),,0,0
1,1,11:41.0,,Defensive rebound by L. Scola,0,0
2,1,11:30.0,,D. DeRozan makes 2-pt jump shot from 15 ft,0,2
3,1,11:12.0,Turnover by T. Parker (bad pass; steal by K. Lowry),,0,2
4,1,11:04.0,,B. Biyombo makes 2-pt dunk at rim (assist by L. Scola),0,4
5,1,10:50.0,D. Green makes 2-pt layup from 1 ft (assist by T. Duncan),,2,4
6,1,10:34.0,,L. Scola misses 3-pt jump shot from 23 ft,2,4
7,1,10:34.0,Defensive rebound by K. Leonard,,2,4
8,1,10:12.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by K. Leonard),,4,4
9,1,9:54.0,,L. Scola makes 2-pt layup from 3 ft (assist by D. DeRozan),4,6
10,1,9:38.0,T. Parker makes 2-pt jump shot from 17 ft (assist by D. Green),,6,6
11,1,9:23.0,,Shooting foul by T. Parker (drawn by K. Lowry),6,6
12,1,9:23.0,,K. Lowry makes free throw 1 of 3,6,7
13,1,9:23.0,,K. Lowry makes free throw 2 of 3,6,8
14,1,9:23.0,,K. Lowry makes free throw 3 of 3,6,9
15,1,9:05.0,Turnover by L. Aldridge (step out of bounds),,6,9
16,1,8:51.0,,L. Scola makes 2-pt jump shot from 19 ft (assist by D. DeRozan),6,11
17,1,8:35.0,Turnover by L. Aldridge (bad pass; steal by D. DeRozan),,6,11
18,1,8:30.0,,L. Scola makes 2-pt layup at rim (assist by D. DeRozan),6,13
19,1,8:30.0,San Antonio full timeout,,6,13
20,1,8:10.0,D. Green misses 3-pt jump shot from 24 ft,,6,13
21,1,8:09.0,,Defensive rebound by K. Lowry,6,13
22,1,8:01.0,,B. Biyombo misses 2-pt layup from 2 ft (block by L. Aldridge),6,13
23,1,7:59.0,,Offensive rebound by B. Biyombo,6,13
24,1,7:56.0,,B. Biyombo makes 2-pt dunk at rim,6,15
25,1,7:40.0,L. Aldridge misses 2-pt jump shot from 19 ft,,6,15
26,1,7:40.0,,Defensive rebound by K. Lowry,6,15
27,1,7:35.0,,Turnover by K. Lowry (palming),6,15
28,1,7:35.0,D. West enters the game for T. Duncan,,6,15
29,1,7:18.0,L. Aldridge misses 3-pt jump shot from 26 ft,,6,15
30,1,7:17.0,,Defensive rebound by D. DeRozan,6,15
31,1,7:02.0,,D. DeRozan makes 2-pt jump shot from 14 ft (assist by K. Lowry),6,17
32,1,6:46.0,T. Parker misses 2-pt jump shot from 4 ft,,6,17
33,1,6:45.0,,Defensive rebound by L. Scola,6,17
34,1,6:35.0,,L. Scola misses 2-pt jump shot from 19 ft,6,17
35,1,6:34.0,Defensive rebound by L. Aldridge,,6,17
36,1,6:26.0,T. Parker misses 3-pt jump shot from 23 ft,,6,17
37,1,6:26.0,,Defensive rebound by D. DeRozan,6,17
38,1,6:06.0,,L. Scola misses 2-pt jump shot from 18 ft,6,17
39,1,6:06.0,Defensive rebound by L. Aldridge,,6,17
40,1,5:46.0,Turnover by K. Leonard (lost ball; steal by L. Scola),,6,17
41,1,5:33.0,,Turnover by T. Ross (bad pass),6,17
42,1,5:33.0,M. Ginóbili enters the game for D. Green,,6,17
43,1,5:18.0,D. West makes 2-pt layup from 2 ft (assist by K. Leonard),,8,17
44,1,4:58.0,,L. Scola makes 2-pt hook shot from 4 ft (assist by D. DeRozan),8,19
45,1,4:49.0,Personal foul by L. Scola (drawn by K. Leonard),,8,19
46,1,4:49.0,P. Mills enters the game for K. Leonard,,8,19
