,QUARTER,TIME_REMAINING,DENVER_ACTION,UTAH_ACTION,DENVER_SCORE,UTAH_SCORE
0,1,11:45.0,Turnover by E. Mudiay (bad pass),,0,0
1,1,11:32.0,,R. Neto misses 2-pt layup from 1 ft,0,0
2,1,11:32.0,Defensive rebound by D. Gallinari,,0,0
3,1,11:11.0,G. Harris misses 3-pt jump shot from 24 ft,,0,0
4,1,11:10.0,,Defensive rebound by R. Hood,0,0
5,1,10:59.0,,D. Favors misses 2-pt jump shot from 15 ft,0,0
6,1,10:59.0,Defensive rebound by G. Harris,,0,0
7,1,10:38.0,N. Jokić misses 2-pt jump shot from 16 ft,,0,0
8,1,10:37.0,,Defensive rebound by D. Favors,0,0
9,1,10:23.0,,Turnover by R. Hood (bad pass; steal by N. Jokić),0,0
10,1,10:19.0,Shooting foul by R. Neto (drawn by K. Faried),,0,0
11,1,10:19.0,K. Faried makes 2-pt layup at rim (assist by E. Mudiay),,2,0
12,1,10:19.0,K. Faried makes free throw 1 of 1,,3,0
13,1,9:58.0,,D. Favors makes 2-pt dunk at rim,3,2
14,1,9:48.0,K. Faried misses 2-pt jump shot from 18 ft,,3,2
15,1,9:47.0,,Defensive rebound by R. Gobert,3,2
16,1,9:26.0,,R. Hood makes 3-pt jump shot from 24 ft (assist by R. Neto),3,5
17,1,9:06.0,D. Gallinari misses 2-pt jump shot from 3 ft,,3,5
18,1,9:05.0,,Defensive rebound by G. Hayward,3,5
19,1,9:00.0,,Personal foul by G. Harris (drawn by R. Neto),3,5
20,1,8:58.0,,Personal foul by K. Faried (drawn by R. Neto),3,5
21,1,8:49.0,,D. Favors misses 2-pt jump shot from 17 ft,3,5
22,1,8:48.0,Defensive rebound by G. Harris,,3,5
23,1,8:30.0,E. Mudiay makes 2-pt jump shot from 8 ft,,5,5
24,1,8:11.0,,R. Gobert makes 2-pt dunk at rim (assist by R. Neto),5,7
25,1,7:46.0,E. Mudiay makes 2-pt jump shot from 15 ft (assist by N. Jokić),,7,7
26,1,7:25.0,,D. Favors misses 2-pt jump shot from 16 ft,7,7
27,1,7:24.0,Defensive rebound by Team,,7,7
28,1,7:12.0,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),,10,7
29,1,6:52.0,,D. Favors makes 2-pt dunk at rim (assist by R. Gobert),10,9
30,1,6:32.0,K. Faried makes 2-pt hook shot from 5 ft,,12,9
31,1,6:12.0,,D. Favors makes 2-pt layup from 2 ft (assist by R. Neto),12,11
32,1,5:50.0,D. Gallinari misses 2-pt jump shot from 7 ft,,12,11
33,1,5:49.0,,Defensive rebound by D. Favors,12,11
34,1,5:47.0,,Turnover by D. Favors (bad pass; steal by E. Mudiay),12,11
35,1,5:42.0,D. Gallinari misses 3-pt jump shot from 24 ft,,12,11
36,1,5:42.0,,Defensive rebound by R. Neto,12,11
37,1,5:31.0,,R. Neto makes 3-pt jump shot from 23 ft,12,14
38,1,5:08.0,K. Faried makes 2-pt layup from 2 ft (assist by N. Jokić),,14,14
39,1,5:07.0,,Utah full timeout,14,14
40,1,4:47.0,,G. Hayward misses 2-pt jump shot from 10 ft,14,14
41,1,4:47.0,Defensive rebound by N. Jokić,,14,14
42,1,4:37.0,G. Harris misses 3-pt jump shot from 23 ft,,14,14
43,1,4:36.0,,Defensive rebound by R. Gobert,14,14
44,1,4:24.0,,R. Hood misses 3-pt jump shot from 24 ft,14,14
45,1,4:23.0,Defensive rebound by K. Faried,,14,14
46,1,4:04.0,D. Gallinari makes 3-pt jump shot from 24 ft (assist by E. Mudiay),,17,14
