,QUARTER,TIME_REMAINING,CHICAGO_ACTION,BOSTON_ACTION,CHICAGO_SCORE,BOSTON_SCORE
0,1,11:45.0,P. Gasol misses 2-pt jump shot from 11 ft,,0,0
1,1,11:44.0,,Defensive rebound by J. Sullinger,0,0
2,1,11:30.0,,A. Bradley makes 2-pt jump shot from 21 ft (assist by J. Sullinger),0,2
3,1,11:11.0,D. Rose makes 2-pt jump shot from 14 ft (assist by P. Gasol),,2,2
4,1,11:00.0,,J. Sullinger makes 2-pt jump shot from 19 ft (assist by I. Thomas),2,4
5,1,10:53.0,,Violation by J. Crowder (kicked ball),2,4
6,1,10:45.0,J. Butler misses 2-pt jump shot from 12 ft,,2,4
7,1,10:44.0,Offensive rebound by J. Butler,,2,4
8,1,10:39.0,Turnover by P. Gasol (bad pass; steal by J. Sullinger),,2,4
9,1,10:29.0,,Turnover by A. Bradley (bad pass; steal by T. Snell),2,4
10,1,10:12.0,T. Gibson misses 2-pt jump shot from 12 ft,,2,4
11,1,10:11.0,,Defensive rebound by J. Sullinger,2,4
12,1,10:03.0,,I. Thomas makes 3-pt jump shot from 24 ft,2,7
13,1,9:41.0,P. Gasol misses 2-pt jump shot from 5 ft,,2,7
14,1,9:40.0,,Defensive rebound by I. Thomas,2,7
15,1,9:35.0,,A. Bradley misses 2-pt layup from 2 ft,2,7
16,1,9:34.0,Defensive rebound by J. Butler,,2,7
17,1,9:23.0,D. Rose makes 3-pt jump shot from 24 ft (assist by T. Gibson),,5,7
18,1,9:05.0,,A. Bradley makes 2-pt jump shot from 22 ft (assist by J. Sullinger),5,9
19,1,8:50.0,P. Gasol misses 2-pt jump shot from 20 ft,,5,9
20,1,8:49.0,,Defensive rebound by J. Sullinger,5,9
21,1,8:39.0,,J. Crowder misses 2-pt jump shot from 22 ft,5,9
22,1,8:38.0,Defensive rebound by T. Gibson,,5,9
23,1,8:35.0,Personal foul by I. Thomas (drawn by D. Rose),,5,9
24,1,8:28.0,P. Gasol misses 2-pt layup from 2 ft (block by K. Olynyk),,5,9
25,1,8:27.0,Offensive rebound by T. Gibson,,5,9
26,1,8:26.0,Shooting foul by J. Sullinger (drawn by T. Gibson),,5,9
27,1,8:26.0,T. Gibson makes free throw 1 of 2,,6,9
28,1,8:26.0,T. Gibson misses free throw 2 of 2,,6,9
29,1,8:24.0,,Defensive rebound by K. Olynyk,6,9
30,1,8:15.0,,J. Crowder misses 2-pt jump shot from 20 ft,6,9
31,1,8:14.0,Defensive rebound by P. Gasol,,6,9
32,1,8:09.0,Personal foul by K. Olynyk (drawn by D. Rose),,6,9
33,1,8:02.0,D. Rose misses 2-pt layup from 1 ft,,6,9
34,1,8:01.0,,Defensive rebound by J. Sullinger,6,9
35,1,7:55.0,,I. Thomas misses 3-pt jump shot from 26 ft,6,9
36,1,7:54.0,Defensive rebound by T. Snell,,6,9
37,1,7:45.0,T. Gibson misses 2-pt jump shot from 15 ft,,6,9
38,1,7:44.0,,Defensive rebound by A. Bradley,6,9
39,1,7:35.0,,K. Olynyk misses 2-pt layup from 2 ft (block by T. Gibson),6,9
40,1,7:34.0,Defensive rebound by P. Gasol,,6,9
41,1,7:33.0,Turnover by P. Gasol (lost ball; steal by J. Sullinger),,6,9
42,1,7:30.0,,J. Crowder makes 2-pt layup at rim (assist by K. Olynyk),6,11
43,1,7:18.0,T. Gibson makes 2-pt hook shot from 5 ft (assist by D. Rose),,8,11
44,1,7:05.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by J. Sullinger),8,14
45,1,6:52.0,Shooting foul by K. Olynyk (drawn by T. Gibson),,8,14
46,1,6:52.0,T. Gibson makes free throw 1 of 2,,9,14
47,1,6:52.0,T. Gibson makes free throw 2 of 2,,10,14
48,1,6:37.0,,K. Olynyk makes 2-pt layup from 1 ft (assist by I. Thomas),10,16
49,1,6:24.0,Shooting foul by J. Crowder (drawn by P. Gasol),,10,16
50,1,6:24.0,P. Gasol makes free throw 1 of 2,,11,16
51,1,6:24.0,P. Gasol makes free throw 2 of 2,,12,16
52,1,6:10.0,,I. Thomas misses 2-pt layup from 1 ft,12,16
53,1,6:09.0,Defensive rebound by J. Butler,,12,16
54,1,6:01.0,J. Butler misses 2-pt jump shot from 17 ft,,12,16
55,1,6:00.0,,Defensive rebound by K. Olynyk,12,16
56,1,5:52.0,,J. Sullinger misses 3-pt jump shot from 24 ft,12,16
57,1,5:51.0,Defensive rebound by J. Butler,,12,16
58,1,5:33.0,T. Gibson misses 2-pt layup from 1 ft (block by J. Crowder),,12,16
59,1,5:31.0,Offensive rebound by D. Rose,,12,16
60,1,5:30.0,D. Rose makes 3-pt jump shot from 25 ft,,15,16
61,1,5:30.0,,Boston full timeout,15,16
62,1,5:30.0,,J. Jerebko enters the game for K. Olynyk,15,16
63,1,5:30.0,N. Mirotić enters the game for T. Gibson,,15,16
64,1,5:16.0,,J. Sullinger misses 2-pt jump shot from 3 ft (block by N. Mirotić),15,16
65,1,5:16.0,,Offensive rebound by Team,15,16
66,1,5:16.0,,Turnover by J. Sullinger (lost ball; steal by N. Mirotić),15,16
67,1,5:05.0,Turnover by P. Gasol (bad pass; steal by J. Crowder),,15,16
68,1,4:59.0,,J. Crowder misses 2-pt layup from 1 ft,15,16
69,1,4:58.0,,Offensive rebound by J. Sullinger,15,16
70,1,4:58.0,,J. Sullinger misses 2-pt layup at rim,15,16
71,1,4:56.0,Defensive rebound by J. Butler,,15,16
72,1,4:46.0,Turnover by N. Mirotić (bad pass; steal by A. Bradley),,15,16
73,1,4:40.0,,J. Jerebko makes 2-pt layup at rim (assist by A. Bradley),15,18
74,1,4:28.0,N. Mirotić makes 2-pt layup from 1 ft (assist by P. Gasol),,17,18
75,1,4:14.0,,A. Bradley misses 2-pt layup at rim,17,18
76,1,4:13.0,,Offensive rebound by Team,17,18
77,1,4:13.0,,M. Smart enters the game for J. Crowder,17,18
78,1,4:13.0,D. McDermott enters the game for J. Butler,,17,18
79,1,4:06.0,,Turnover by J. Jerebko (traveling),17,18
80,1,3:51.0,D. McDermott misses 3-pt jump shot from 25 ft,,17,18
81,1,3:50.0,,Defensive rebound by J. Sullinger,17,18
82,1,3:43.0,,I. Thomas misses 2-pt layup at rim,17,18
83,1,3:42.0,Defensive rebound by P. Gasol,,17,18
84,1,3:34.0,D. Rose misses 2-pt jump shot from 13 ft,,17,18
85,1,3:33.0,,Defensive rebound by J. Jerebko,17,18
86,1,3:26.0,,Personal foul by D. McDermott (drawn by J. Sullinger),17,18
87,1,3:26.0,,E. Turner enters the game for I. Thomas,17,18
88,1,3:18.0,,J. Jerebko makes 3-pt jump shot from 22 ft (assist by M. Smart),17,21
89,1,3:06.0,Turnover by D. Rose (bad pass; steal by A. Bradley),,17,21
90,1,3:04.0,,Personal foul by D. Rose (drawn by A. Bradley),17,21
91,1,2:58.0,,M. Smart makes 2-pt jump shot from 12 ft,17,23
92,1,2:42.0,N. Mirotić misses 2-pt layup at rim,,17,23
93,1,2:41.0,,Defensive rebound by J. Jerebko,17,23
94,1,2:35.0,,J. Sullinger makes 2-pt layup at rim (assist by E. Turner),17,25
95,1,2:35.0,Chicago full timeout,,17,25
96,1,2:24.0,Turnover by D. McDermott (step out of bounds),,17,25
97,1,2:07.0,,A. Bradley makes 2-pt jump shot from 17 ft,17,27
98,1,1:48.0,P. Gasol makes 2-pt jump shot from 5 ft,,19,27
99,1,1:37.0,,E. Turner misses 2-pt jump shot from 15 ft,19,27
100,1,1:36.0,Defensive rebound by P. Gasol,,19,27
101,1,1:30.0,D. Rose misses 2-pt jump shot from 6 ft (block by J. Jerebko),,19,27
102,1,1:29.0,Offensive rebound by Team,,19,27
103,1,1:29.0,,Loose ball foul by E. Turner (drawn by N. Mirotić),19,27
104,1,1:29.0,N. Mirotić makes free throw 1 of 2,,20,27
105,1,1:29.0,,T. Zeller enters the game for J. Sullinger,20,27
106,1,1:29.0,J. Butler enters the game for T. Snell,,20,27
107,1,1:29.0,N. Mirotić makes free throw 2 of 2,,21,27
108,1,1:19.0,,Shooting foul by P. Gasol (drawn by A. Bradley),21,27
109,1,1:19.0,,A. Bradley makes free throw 1 of 2,21,28
110,1,1:19.0,E. Moore enters the game for D. Rose,,21,28
111,1,1:19.0,,A. Bradley makes free throw 2 of 2,21,29
112,1,1:00.0,P. Gasol makes 2-pt layup at rim,,23,29
113,1,0:49.0,,A. Bradley makes 3-pt jump shot from 24 ft (assist by E. Turner),23,32
114,1,0:29.0,Turnover by N. Mirotić (3 sec),,23,32
115,1,0:16.0,,M. Smart makes 2-pt jump shot from 15 ft (assist by T. Zeller),23,34
116,1,0:01.0,J. Butler misses 3-pt jump shot from 29 ft,,23,34
117,1,0:00.0,Offensive rebound by Team,,23,34
118,2,11:43.0,,M. Smart misses 2-pt jump shot from 12 ft,23,34
119,2,11:42.0,Defensive rebound by J. Butler,,23,34
120,2,11:26.0,J. Butler makes 2-pt jump shot from 18 ft,,25,34
121,2,11:13.0,,Personal foul by E. Moore (drawn by E. Turner),25,34
122,2,11:04.0,,E. Turner makes 2-pt jump shot from 12 ft,25,36
123,2,10:51.0,J. Butler makes 2-pt layup from 1 ft,,27,36
124,2,10:35.0,,Shooting foul by E. Moore (drawn by E. Turner),27,36
125,2,10:35.0,,E. Turner makes free throw 1 of 2,27,37
126,2,10:35.0,,E. Turner makes free throw 2 of 2,27,38
127,2,10:21.0,N. Mirotić misses 3-pt jump shot from 25 ft,,27,38
128,2,10:20.0,,Defensive rebound by T. Zeller,27,38
129,2,10:11.0,,J. Crowder makes 2-pt layup from 1 ft (assist by E. Turner),27,40
130,2,9:56.0,Def 3 sec tech foul by J. Crowder,,27,40
131,2,9:56.0,J. Butler makes technical free throw,,28,40
132,2,9:56.0,T. Gibson enters the game for N. Mirotić,,28,40
133,2,9:46.0,B. Portis makes 2-pt jump shot from 18 ft (assist by J. Butler),,30,40
134,2,9:33.0,,Turnover by M. Smart (bad pass),30,40
135,2,9:22.0,J. Butler misses 2-pt jump shot from 11 ft,,30,40
136,2,9:21.0,Offensive rebound by J. Butler,,30,40
137,2,9:19.0,J. Butler makes 2-pt layup from 1 ft,,32,40
138,2,9:05.0,,M. Smart misses 3-pt jump shot from 25 ft,32,40
139,2,9:04.0,Defensive rebound by J. Butler,,32,40
140,2,8:55.0,Turnover by B. Portis (bad pass),,32,40
141,2,8:55.0,Official timeout,,32,40
142,2,8:55.0,,K. Olynyk enters the game for J. Jerebko,32,40
143,2,8:35.0,,T. Zeller misses 2-pt jump shot from 9 ft (block by B. Portis),32,40
144,2,8:33.0,Defensive rebound by J. Butler,,32,40
145,2,8:29.0,B. Portis makes 2-pt layup at rim (assist by J. Butler),,34,40
146,2,8:19.0,,Personal foul by D. McDermott (drawn by M. Smart),34,40
147,2,8:02.0,,E. Turner misses 3-pt jump shot from 23 ft,34,40
148,2,8:00.0,,Offensive rebound by M. Smart,34,40
149,2,7:46.0,,Turnover by E. Turner (bad pass; steal by B. Portis),34,40
150,2,7:42.0,B. Portis misses 2-pt jump shot from 7 ft (block by M. Smart),,34,40
151,2,7:40.0,Offensive rebound by J. Butler,,34,40
152,2,7:39.0,J. Butler makes 2-pt layup at rim,,36,40
153,2,7:25.0,,K. Olynyk misses 2-pt jump shot from 8 ft,36,40
154,2,7:24.0,,Offensive rebound by E. Turner,36,40
155,2,7:23.0,,E. Turner makes 2-pt layup at rim,36,42
156,2,7:00.0,J. Butler makes 2-pt jump shot from 18 ft,,38,42
157,2,6:48.0,,K. Olynyk makes 2-pt layup from 1 ft,38,44
158,2,6:48.0,,Shooting foul by T. Gibson (drawn by K. Olynyk),38,44
159,2,6:48.0,D. Rose enters the game for J. Butler,,38,44
160,2,6:48.0,,I. Thomas enters the game for T. Zeller,38,44
161,2,6:48.0,,K. Olynyk makes free throw 1 of 1,38,45
162,2,6:29.0,E. Moore misses 2-pt jump shot from 5 ft,,38,45
163,2,6:28.0,,Defensive rebound by K. Olynyk,38,45
164,2,6:10.0,,K. Olynyk misses 2-pt layup from 1 ft,38,45
165,2,6:09.0,Defensive rebound by E. Moore,,38,45
166,2,6:02.0,E. Moore misses 2-pt layup from 1 ft,,38,45
167,2,6:01.0,Offensive rebound by T. Gibson,,38,45
