,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,BOSTON_ACTION,BROOKLYN_SCORE,BOSTON_SCORE
0,1,11:48.0,Personal foul by A. Johnson (drawn by B. Lopez),,0,0
1,1,11:39.0,B. Lopez misses 2-pt layup from 2 ft,,0,0
2,1,11:38.0,Offensive rebound by R. Hollis-Jefferson,,0,0
3,1,11:34.0,T. Young misses 2-pt jump shot from 15 ft,,0,0
4,1,11:33.0,,Defensive rebound by J. Sullinger,0,0
5,1,11:20.0,,A. Johnson makes 2-pt layup at rim (assist by I. Thomas),0,2
6,1,11:05.0,J. Jack misses 2-pt jump shot from 17 ft,,0,2
7,1,11:04.0,,Defensive rebound by A. Johnson,0,2
8,1,10:53.0,,M. Smart misses 3-pt jump shot from 25 ft,0,2
9,1,10:52.0,Defensive rebound by T. Young,,0,2
10,1,10:39.0,R. Hollis-Jefferson makes 2-pt jump shot from 8 ft,,2,2
11,1,10:24.0,,I. Thomas misses 3-pt jump shot from 25 ft,2,2
12,1,10:22.0,Defensive rebound by T. Young,,2,2
13,1,10:13.0,J. Jack misses 2-pt jump shot from 7 ft,,2,2
14,1,10:12.0,,Defensive rebound by J. Sullinger,2,2
15,1,10:06.0,,J. Sullinger misses 2-pt layup from 2 ft,2,2
16,1,10:05.0,Defensive rebound by T. Young,,2,2
17,1,9:59.0,T. Young makes 2-pt layup from 1 ft,,4,2
18,1,9:43.0,,J. Crowder misses 3-pt jump shot from 24 ft,4,2
19,1,9:42.0,Defensive rebound by R. Hollis-Jefferson,,4,2
20,1,9:30.0,Personal foul by M. Smart (drawn by B. Lopez),,4,2
21,1,9:22.0,T. Young makes 2-pt layup from 1 ft (assist by J. Jack),,6,2
22,1,9:00.0,,M. Smart makes 2-pt jump shot from 5 ft,6,4
23,1,8:36.0,T. Young misses 2-pt hook shot from 3 ft,,6,4
24,1,8:35.0,,Defensive rebound by J. Crowder,6,4
25,1,8:17.0,,A. Johnson makes 2-pt hook shot from 6 ft (assist by J. Sullinger),6,6
26,1,8:04.0,Shooting foul by J. Sullinger (drawn by B. Lopez),,6,6
27,1,8:04.0,B. Lopez makes free throw 1 of 2,,7,6
28,1,8:04.0,B. Lopez makes free throw 2 of 2,,8,6
29,1,7:52.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by I. Thomas),8,9
30,1,7:41.0,J. Johnson misses 2-pt jump shot from 19 ft,,8,9
31,1,7:40.0,,Defensive rebound by M. Smart,8,9
32,1,7:28.0,,I. Thomas misses 2-pt layup from 2 ft,8,9
33,1,7:27.0,Defensive rebound by J. Jack,,8,9
34,1,7:23.0,Offensive foul by R. Hollis-Jefferson (drawn by M. Smart),,8,9
35,1,7:23.0,Turnover by R. Hollis-Jefferson (offensive foul),,8,9
36,1,7:12.0,,J. Sullinger makes 2-pt jump shot at rim (assist by J. Crowder),8,11
37,1,7:02.0,Turnover by J. Jack (bad pass),,8,11
38,1,6:43.0,,I. Thomas misses 3-pt jump shot from 26 ft,8,11
39,1,6:42.0,Defensive rebound by J. Johnson,,8,11
40,1,6:25.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by J. Jack),,11,11
41,1,6:10.0,,A. Johnson misses 2-pt hook shot from 2 ft,11,11
42,1,6:09.0,Defensive rebound by T. Young,,11,11
43,1,5:56.0,R. Hollis-Jefferson makes 2-pt layup from 2 ft (assist by J. Johnson),,13,11
44,1,5:42.0,,J. Crowder makes 2-pt layup at rim (assist by J. Sullinger),13,13
45,1,5:35.0,Turnover by J. Jack (bad pass; steal by J. Sullinger),,13,13
46,1,5:29.0,,J. Crowder makes 2-pt layup from 2 ft (assist by I. Thomas),13,15
47,1,5:14.0,T. Young misses 2-pt hook shot from 3 ft,,13,15
48,1,5:13.0,,Defensive rebound by J. Sullinger,13,15
49,1,5:02.0,,M. Smart misses 3-pt jump shot from 26 ft,13,15
50,1,5:01.0,Defensive rebound by B. Lopez,,13,15
51,1,4:57.0,Turnover by B. Lopez (bad pass; steal by M. Smart),,13,15
52,1,4:51.0,,I. Thomas misses 3-pt jump shot from 25 ft,13,15
53,1,4:50.0,,Offensive rebound by J. Crowder,13,15
54,1,4:43.0,,I. Thomas misses 2-pt jump shot from 6 ft,13,15
55,1,4:42.0,Defensive rebound by J. Jack,,13,15
56,1,4:37.0,J. Jack makes 2-pt layup at rim,,15,15
57,1,4:37.0,,Boston full timeout,15,15
58,1,4:37.0,,A. Bradley enters the game for M. Smart,15,15
59,1,4:37.0,,K. Olynyk enters the game for J. Sullinger,15,15
60,1,4:37.0,T. Robinson enters the game for B. Lopez,,15,15
