,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SAN ANTONIO_ACTION,LA CLIPPERS_SCORE,SAN ANTONIO_SCORE
0,1,11:41.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,2,0
1,1,11:22.0,,L. Aldridge misses 3-pt jump shot from 22 ft,2,0
2,1,11:21.0,Defensive rebound by J. Redick,,2,0
3,1,11:06.0,C. Paul makes 2-pt jump shot from 8 ft,,4,0
4,1,10:52.0,,L. Aldridge misses 2-pt jump shot from 18 ft,4,0
5,1,10:51.0,Defensive rebound by C. Paul,,4,0
6,1,10:39.0,J. Redick misses 2-pt jump shot from 18 ft,,4,0
7,1,10:39.0,,Defensive rebound by T. Parker,4,0
8,1,10:23.0,,K. Leonard misses 3-pt jump shot from 24 ft,4,0
9,1,10:22.0,Defensive rebound by J. Green,,4,0
10,1,10:08.0,J. Redick misses 3-pt jump shot from 26 ft,,4,0
11,1,10:07.0,,Defensive rebound by L. Aldridge,4,0
12,1,9:56.0,,T. Parker makes 2-pt layup from 1 ft (assist by K. Leonard),4,2
13,1,9:40.0,J. Redick misses 2-pt jump shot from 10 ft,,4,2
14,1,9:39.0,,Defensive rebound by T. Duncan,4,2
15,1,9:32.0,,Shooting foul by D. Jordan (drawn by L. Aldridge),4,2
16,1,9:32.0,,L. Aldridge makes free throw 1 of 2,4,3
17,1,9:32.0,,L. Aldridge makes free throw 2 of 2,4,4
18,1,9:13.0,D. Jordan makes 2-pt dunk at rim (assist by J. Redick),,6,4
19,1,8:56.0,,K. Leonard makes 2-pt jump shot from 8 ft (assist by T. Parker),6,6
20,1,8:47.0,C. Paul makes 3-pt jump shot from 24 ft,,9,6
21,1,8:41.0,,Personal foul by J. Green,9,6
22,1,8:28.0,,L. Aldridge misses 2-pt jump shot from 6 ft,9,6
23,1,8:26.0,Defensive rebound by D. Jordan,,9,6
24,1,8:10.0,J. Green misses 3-pt jump shot from 25 ft,,9,6
25,1,8:09.0,,Defensive rebound by Team,9,6
26,1,7:53.0,,T. Duncan misses 2-pt jump shot from 18 ft,9,6
27,1,7:52.0,Defensive rebound by L. Mbah a Moute,,9,6
28,1,7:39.0,Def 3 sec tech foul by T. Duncan,,9,6
29,1,7:39.0,C. Paul makes technical free throw,,10,6
30,1,7:32.0,C. Paul misses 2-pt jump shot from 11 ft,,10,6
31,1,7:31.0,Offensive rebound by D. Jordan,,10,6
32,1,7:28.0,Turnover by D. Jordan (bad pass; steal by D. Green),,10,6
33,1,7:12.0,,L. Aldridge makes 2-pt layup from 2 ft,10,8
34,1,7:01.0,Personal foul by D. Green,,10,8
35,1,6:54.0,Shooting foul by D. Green (drawn by D. Jordan),,10,8
36,1,6:54.0,D. Jordan makes free throw 1 of 2,,11,8
37,1,6:54.0,,M. Ginóbili enters the game for D. Green,11,8
38,1,6:54.0,D. Jordan makes free throw 2 of 2,,12,8
39,1,6:31.0,,K. Leonard makes 2-pt layup from 1 ft,12,10
40,1,6:23.0,L. Mbah a Moute misses 2-pt layup at rim,,12,10
41,1,6:21.0,,Defensive rebound by L. Aldridge,12,10
42,1,6:11.0,,L. Aldridge misses 2-pt jump shot from 12 ft,12,10
43,1,6:10.0,,Offensive rebound by T. Duncan,12,10
44,1,6:05.0,,K. Leonard misses 3-pt jump shot from 25 ft,12,10
45,1,6:04.0,,Offensive rebound by T. Duncan,12,10
46,1,5:59.0,,Turnover by T. Parker (lost ball; steal by C. Paul),12,10
47,1,5:41.0,J. Green misses 2-pt jump shot from 19 ft,,12,10
48,1,5:40.0,,Defensive rebound by K. Leonard,12,10
49,1,5:33.0,,San Antonio full timeout,12,10
50,1,5:33.0,,D. West enters the game for T. Duncan,12,10
51,1,5:25.0,,M. Ginóbili makes 2-pt jump shot from 16 ft (assist by T. Parker),12,12
52,1,4:59.0,J. Green misses 2-pt jump shot from 11 ft,,12,12
53,1,4:58.0,,Defensive rebound by K. Leonard,12,12
54,1,4:52.0,,M. Ginóbili misses 3-pt jump shot from 24 ft,12,12
55,1,4:51.0,Defensive rebound by C. Paul,,12,12
56,1,4:40.0,C. Paul misses 2-pt jump shot from 22 ft,,12,12
57,1,4:39.0,,Defensive rebound by D. West,12,12
58,1,4:28.0,,T. Parker misses 2-pt jump shot from 18 ft,12,12
59,1,4:27.0,Defensive rebound by D. Jordan,,12,12
60,1,4:12.0,D. Jordan misses 2-pt jump shot from 3 ft (block by D. West),,12,12
61,1,4:10.0,,Defensive rebound by K. Leonard,12,12
62,1,3:57.0,,L. Aldridge makes 2-pt jump shot from 6 ft,12,14
63,1,3:38.0,J. Redick makes 3-pt jump shot from 24 ft (assist by C. Paul),,15,14
64,1,3:24.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by M. Ginóbili),15,16
65,1,3:03.0,J. Green misses 2-pt hook shot from 6 ft,,15,16
66,1,3:02.0,,Defensive rebound by L. Aldridge,15,16
67,1,2:50.0,,L. Aldridge misses 2-pt jump shot from 8 ft,15,16
68,1,2:49.0,Defensive rebound by D. Jordan,,15,16
69,1,2:43.0,LA Clippers full timeout,,15,16
70,1,2:43.0,,P. Mills enters the game for T. Parker,15,16
71,1,2:43.0,J. Crawford enters the game for J. Redick,,15,16
72,1,2:43.0,W. Johnson enters the game for L. Mbah a Moute,,15,16
73,1,2:43.0,,K. Anderson enters the game for L. Aldridge,15,16
74,1,2:38.0,Personal foul by P. Mills,,15,16
75,1,2:38.0,,K. Martin enters the game for K. Leonard,15,16
76,1,2:38.0,A. Rivers enters the game for J. Green,,15,16
77,1,2:27.0,C. Paul misses 3-pt jump shot from 24 ft,,15,16
78,1,2:26.0,,Defensive rebound by M. Ginóbili,15,16
79,1,2:16.0,,Shooting foul by A. Rivers (drawn by K. Martin),15,16
80,1,2:16.0,,K. Martin makes free throw 1 of 2,15,17
81,1,2:16.0,,K. Martin makes free throw 2 of 2,15,18
82,1,2:07.0,Personal foul by P. Mills,,15,18
83,1,1:58.0,C. Paul makes 2-pt jump shot from 14 ft,,17,18
84,1,1:39.0,,K. Martin misses 2-pt jump shot from 9 ft,17,18
85,1,1:38.0,Defensive rebound by D. Jordan,,17,18
86,1,1:28.0,C. Paul makes 2-pt layup from 3 ft,,19,18
87,1,1:21.0,,San Antonio full timeout,19,18
88,1,1:21.0,P. Prigioni enters the game for C. Paul,,19,18
89,1,1:11.0,,D. West misses 2-pt jump shot from 16 ft,19,18
90,1,1:10.0,Defensive rebound by Team,,19,18
91,1,0:58.0,J. Crawford misses 2-pt jump shot from 9 ft,,19,18
92,1,0:57.0,Offensive rebound by Team,,19,18
93,1,0:44.0,Personal foul by M. Ginóbili,,19,18
94,1,0:44.0,J. Crawford makes free throw 1 of 2,,20,18
95,1,0:44.0,C. Aldrich enters the game for D. Jordan,,20,18
96,1,0:44.0,J. Crawford makes free throw 2 of 2,,21,18
97,1,0:38.0,,Personal foul by J. Crawford,21,18
98,1,0:35.0,,Shooting foul by C. Aldrich (drawn by M. Ginóbili),21,18
99,1,0:35.0,,M. Ginóbili misses free throw 1 of 2,21,18
100,1,0:35.0,,Offensive rebound by Team,21,18
101,1,0:35.0,,M. Ginóbili makes free throw 2 of 2,21,19
102,1,0:26.0,J. Crawford misses 3-pt jump shot from 24 ft,,21,19
103,1,0:25.0,,Defensive rebound by K. Anderson,21,19
104,1,0:02.0,,M. Ginóbili misses 3-pt jump shot from 24 ft,21,19
105,1,0:01.0,,Offensive rebound by K. Anderson,21,19
106,1,0:00.0,,K. Anderson misses 2-pt jump shot from 14 ft,21,19
107,1,0:00.0,,Offensive rebound by Team,21,19
108,2,11:48.0,,Turnover by M. Ginóbili (bad pass; steal by C. Aldrich),21,19
109,2,11:43.0,Shooting foul by K. Anderson (drawn by A. Rivers),,21,19
110,2,11:43.0,A. Rivers misses free throw 1 of 2,,21,19
111,2,11:43.0,Offensive rebound by Team,,21,19
112,2,11:43.0,,D. Green enters the game for M. Ginóbili,21,19
113,2,11:43.0,A. Rivers makes free throw 2 of 2,,22,19
114,2,11:26.0,,Turnover by D. Green (step out of bounds),22,19
115,2,11:15.0,A. Rivers misses 2-pt jump shot from 11 ft,,22,19
116,2,11:14.0,,Defensive rebound by K. Martin,22,19
117,2,11:09.0,,K. Martin makes 2-pt layup from 1 ft,22,21
118,2,10:43.0,C. Aldrich misses 2-pt jump shot from 14 ft,,22,21
119,2,10:43.0,Offensive rebound by Team,,22,21
120,2,10:43.0,Turnover by Team (shot clock),,22,21
121,2,10:34.0,,P. Mills makes 2-pt jump shot from 18 ft,22,23
122,2,10:17.0,J. Crawford misses 2-pt jump shot from 19 ft,,22,23
123,2,10:16.0,,Defensive rebound by K. Anderson,22,23
124,2,10:10.0,,K. Martin misses 3-pt jump shot from 24 ft,22,23
125,2,10:09.0,,Offensive rebound by D. West,22,23
126,2,10:01.0,,D. Green makes 3-pt jump shot from 22 ft (assist by D. West),22,26
127,2,9:45.0,Turnover by A. Rivers (bad pass),,22,26
128,2,9:26.0,,P. Mills makes 3-pt jump shot from 24 ft,22,29
129,2,9:18.0,LA Clippers full timeout,,22,29
130,2,9:18.0,,T. Duncan enters the game for D. West,22,29
131,2,9:18.0,,K. Leonard enters the game for K. Martin,22,29
132,2,9:03.0,J. Crawford misses 2-pt layup from 4 ft (block by K. Anderson),,22,29
133,2,9:01.0,,Defensive rebound by P. Mills,22,29
134,2,8:51.0,,T. Duncan makes 2-pt layup from 1 ft (assist by K. Leonard),22,31
135,2,8:37.0,P. Prigioni misses 2-pt jump shot from 7 ft (block by K. Anderson),,22,31
136,2,8:37.0,Offensive rebound by Team,,22,31
137,2,8:37.0,C. Paul enters the game for P. Prigioni,,22,31
138,2,8:37.0,D. Jordan enters the game for C. Aldrich,,22,31
139,2,8:32.0,Turnover by D. Jordan (bad pass),,22,31
140,2,8:19.0,,Turnover by D. Green (lost ball; steal by C. Paul),22,31
141,2,7:59.0,C. Paul makes 2-pt jump shot from 11 ft,,24,31
142,2,7:43.0,,K. Anderson misses 2-pt jump shot from 15 ft,24,31
143,2,7:42.0,Defensive rebound by C. Paul,,24,31
144,2,7:40.0,Turnover by C. Paul (bad pass),,24,31
145,2,7:40.0,,T. Parker enters the game for P. Mills,24,31
146,2,7:20.0,,K. Leonard makes 2-pt layup from 3 ft,24,33
147,2,7:06.0,Personal foul by K. Anderson,,24,33
148,2,7:06.0,J. Green enters the game for J. Crawford,,24,33
149,2,7:06.0,L. Mbah a Moute enters the game for W. Johnson,,24,33
150,2,7:06.0,,L. Aldridge enters the game for K. Anderson,24,33
151,2,7:06.0,J. Redick enters the game for A. Rivers,,24,33
152,2,6:49.0,J. Green makes 2-pt jump shot from 17 ft,,26,33
153,2,6:24.0,,K. Leonard makes 2-pt jump shot from 12 ft,26,35
154,2,6:11.0,C. Paul makes 2-pt jump shot from 13 ft,,28,35
