,QUARTER,TIME_REMAINING,INDIANA_ACTION,OKLAHOMA CITY_ACTION,INDIANA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:47.0,P. George makes 2-pt jump shot from 18 ft (assist by I. Mahinmi),,2,0
1,1,11:28.0,,K. Durant makes 2-pt jump shot from 14 ft (assist by R. Westbrook),2,2
2,1,11:14.0,Turnover by I. Mahinmi (bad pass; steal by D. Waiters),,2,2
3,1,11:08.0,,K. Durant misses 3-pt jump shot from 24 ft,2,2
4,1,11:06.0,Defensive rebound by G. Hill,,2,2
5,1,11:00.0,M. Turner makes 2-pt layup from 2 ft (assist by G. Hill),,4,2
6,1,10:46.0,,S. Ibaka misses 2-pt jump shot from 18 ft,4,2
7,1,10:45.0,Defensive rebound by G. Hill,,4,2
8,1,10:31.0,P. George misses 2-pt layup from 1 ft,,4,2
9,1,10:31.0,,Defensive rebound by Team,4,2
10,1,10:18.0,,R. Westbrook makes 2-pt layup at rim,4,4
11,1,10:08.0,I. Mahinmi makes 2-pt layup from 1 ft (assist by G. Hill),,6,4
12,1,10:00.0,,S. Ibaka misses 3-pt jump shot from 24 ft,6,4
13,1,9:59.0,Defensive rebound by M. Ellis,,6,4
14,1,9:45.0,M. Turner makes 2-pt jump shot from 10 ft (assist by M. Ellis),,8,4
15,1,9:30.0,,K. Durant misses 3-pt jump shot from 25 ft,8,4
16,1,9:29.0,Defensive rebound by M. Turner,,8,4
17,1,9:09.0,I. Mahinmi misses 2-pt hook shot from 4 ft,,8,4
18,1,9:07.0,,Defensive rebound by K. Durant,8,4
19,1,9:00.0,,S. Ibaka makes 2-pt jump shot from 14 ft (assist by R. Westbrook),8,6
20,1,8:36.0,M. Ellis makes 2-pt jump shot from 16 ft,,10,6
21,1,8:21.0,,Shooting foul by I. Mahinmi (drawn by S. Adams),10,6
22,1,8:21.0,,S. Adams makes free throw 1 of 2,10,7
23,1,8:21.0,,S. Adams makes free throw 2 of 2,10,8
24,1,8:05.0,P. George misses 2-pt jump shot from 17 ft,,10,8
25,1,8:05.0,Offensive rebound by I. Mahinmi,,10,8
26,1,7:57.0,M. Ellis makes 3-pt jump shot from 23 ft (assist by G. Hill),,13,8
27,1,7:44.0,,S. Ibaka makes 2-pt jump shot from 18 ft (assist by R. Westbrook),13,10
28,1,7:28.0,G. Hill misses 3-pt jump shot from 24 ft,,13,10
29,1,7:28.0,,Defensive rebound by K. Durant,13,10
30,1,7:19.0,,D. Waiters misses 2-pt layup from 1 ft,13,10
31,1,7:19.0,,Offensive rebound by Team,13,10
32,1,7:16.0,,K. Durant makes 2-pt jump shot from 13 ft (assist by R. Westbrook),13,12
33,1,6:55.0,,Offensive charge foul by P. George (drawn by R. Westbrook),13,12
34,1,6:55.0,Turnover by P. George (offensive foul),,13,12
35,1,6:42.0,,S. Ibaka misses 3-pt jump shot from 24 ft,13,12
36,1,6:42.0,Defensive rebound by Team,,13,12
37,1,6:32.0,M. Ellis misses 3-pt jump shot from 22 ft,,13,12
38,1,6:32.0,,Defensive rebound by Team,13,12
39,1,6:20.0,,Turnover by S. Ibaka (lost ball),13,12
40,1,6:10.0,I. Mahinmi makes 2-pt layup from 1 ft (assist by P. George),,15,12
41,1,5:48.0,,S. Adams misses 2-pt jump shot from 9 ft,15,12
42,1,5:47.0,Defensive rebound by P. George,,15,12
43,1,5:44.0,Turnover by P. George (bad pass; steal by R. Westbrook),,15,12
44,1,5:42.0,,Oklahoma City full timeout,15,12
45,1,5:27.0,,K. Durant misses 2-pt jump shot from 16 ft,15,12
46,1,5:27.0,,Offensive rebound by Team,15,12
47,1,5:27.0,Loose ball foul by M. Ellis,,15,12
48,1,5:27.0,,E. Freedom enters the game for S. Adams,15,12
49,1,5:19.0,,D. Waiters misses 3-pt jump shot from 22 ft,15,12
50,1,5:18.0,Defensive rebound by P. George,,15,12
51,1,5:12.0,I. Mahinmi makes 2-pt dunk at rim (assist by P. George),,17,12
52,1,4:59.0,,K. Durant makes 2-pt dunk at rim (assist by R. Westbrook),17,14
53,1,4:35.0,P. George misses 2-pt jump shot from 16 ft,,17,14
54,1,4:35.0,,Defensive rebound by E. Freedom,17,14
55,1,4:29.0,,R. Westbrook misses 2-pt jump shot from 17 ft,17,14
56,1,4:28.0,Defensive rebound by I. Mahinmi,,17,14
57,1,4:17.0,M. Turner makes 2-pt layup at rim (assist by P. George),,19,14
58,1,4:03.0,,R. Westbrook misses 2-pt layup from 1 ft (block by M. Turner),19,14
59,1,4:02.0,,Offensive rebound by E. Freedom,19,14
60,1,4:02.0,,E. Freedom misses 2-pt layup from 1 ft,19,14
